B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,name,county,county subdivision,state
584.0,14.0,9.0,34.0,34.0,29.0,47.0,17.0,20.0,15.0,17.0,78.0,69.0,68.0,59.0,36.0,38.0,"Dublin town, Cheshire County, New Hampshire",005,19140,33
439.0,20.0,14.0,0.0,23.0,17.0,13.0,20.0,19.0,28.0,43.0,80.0,66.0,45.0,31.0,1.0,19.0,"Richmond town, Cheshire County, New Hampshire",005,64420,33
1443.0,63.0,26.0,0.0,64.0,49.0,17.0,97.0,82.0,95.0,87.0,123.0,198.0,195.0,73.0,74.0,200.0,"Chesterfield town, Cheshire County, New Hampshire",005,12260,33
1631.0,86.0,41.0,62.0,19.0,44.0,86.0,73.0,150.0,86.0,52.0,160.0,217.0,222.0,87.0,128.0,118.0,"Walpole town, Cheshire County, New Hampshire",005,78420,33
1718.0,84.0,50.0,129.0,193.0,72.0,114.0,57.0,53.0,120.0,102.0,255.0,272.0,147.0,30.0,40.0,0.0,"Winchester town, Cheshire County, New Hampshire",005,85540,33
371.0,5.0,14.0,14.0,7.0,7.0,5.0,9.0,0.0,10.0,38.0,64.0,74.0,52.0,38.0,30.0,4.0,"Surry town, Cheshire County, New Hampshire",005,75300,33
1883.0,105.0,71.0,78.0,58.0,76.0,93.0,76.0,85.0,31.0,148.0,176.0,327.0,213.0,108.0,175.0,63.0,"Rindge town, Cheshire County, New Hampshire",005,64580,33
84.0,2.0,3.0,1.0,1.0,0.0,7.0,5.0,2.0,1.0,4.0,21.0,12.0,8.0,6.0,7.0,4.0,"Roxbury town, Cheshire County, New Hampshire",005,65700,33
293.0,16.0,1.0,17.0,16.0,8.0,16.0,23.0,25.0,12.0,11.0,25.0,54.0,32.0,14.0,14.0,9.0,"Sullivan town, Cheshire County, New Hampshire",005,74900,33
1002.0,28.0,43.0,58.0,57.0,58.0,83.0,48.0,76.0,31.0,66.0,82.0,108.0,90.0,71.0,27.0,76.0,"Fitzwilliam town, Cheshire County, New Hampshire",005,26500,33
776.0,66.0,42.0,8.0,26.0,20.0,46.0,49.0,34.0,36.0,75.0,113.0,112.0,72.0,31.0,33.0,13.0,"Alstead town, Cheshire County, New Hampshire",005,00820,33
283.0,24.0,8.0,9.0,13.0,15.0,6.0,14.0,14.0,13.0,26.0,46.0,40.0,16.0,25.0,9.0,5.0,"Gilsum town, Cheshire County, New Hampshire",005,29220,33
437.0,11.0,6.0,9.0,13.0,14.0,9.0,18.0,26.0,28.0,56.0,50.0,49.0,63.0,26.0,34.0,25.0,"Harrisville town, Cheshire County, New Hampshire",005,34420,33
2175.0,92.0,132.0,138.0,66.0,117.0,137.0,160.0,100.0,48.0,101.0,175.0,511.0,121.0,150.0,106.0,21.0,"Jaffrey town, Cheshire County, New Hampshire",005,38500,33
9391.0,712.0,422.0,497.0,689.0,585.0,338.0,346.0,239.0,381.0,880.0,1231.0,1165.0,728.0,365.0,369.0,444.0,"Keene city, Cheshire County, New Hampshire",005,39300,33
484.0,3.0,3.0,0.0,3.0,42.0,37.0,31.0,22.0,13.0,29.0,49.0,70.0,77.0,51.0,45.0,9.0,"Stoddard town, Cheshire County, New Hampshire",005,73700,33
888.0,22.0,65.0,37.0,18.0,43.0,48.0,27.0,78.0,11.0,93.0,111.0,144.0,57.0,75.0,18.0,41.0,"Troy town, Cheshire County, New Hampshire",005,77380,33
226.0,18.0,0.0,5.0,10.0,9.0,10.0,6.0,8.0,10.0,14.0,25.0,25.0,16.0,32.0,6.0,32.0,"Nelson town, Cheshire County, New Hampshire",005,50580,33
2828.0,111.0,111.0,204.0,127.0,109.0,105.0,91.0,217.0,134.0,316.0,225.0,450.0,261.0,154.0,104.0,109.0,"Swanzey town, Cheshire County, New Hampshire",005,75700,33
282.0,12.0,7.0,10.0,8.0,4.0,8.0,14.0,8.0,34.0,33.0,37.0,36.0,41.0,19.0,5.0,6.0,"Marlow town, Cheshire County, New Hampshire",005,45700,33
1749.0,110.0,142.0,121.0,111.0,45.0,83.0,60.0,55.0,63.0,153.0,275.0,276.0,130.0,59.0,27.0,39.0,"Hinsdale town, Cheshire County, New Hampshire",005,36660,33
940.0,21.0,31.0,36.0,30.0,29.0,15.0,33.0,25.0,12.0,95.0,93.0,155.0,117.0,120.0,59.0,69.0,"Canterbury town, Merrimack County, New Hampshire",013,09860,33
977.0,10.0,5.0,4.0,17.0,29.0,37.0,19.0,34.0,50.0,53.0,55.0,166.0,140.0,91.0,118.0,149.0,"Dunbarton town, Merrimack County, New Hampshire",013,19460,33
2071.0,142.0,33.0,16.0,100.0,15.0,160.0,161.0,18.0,14.0,257.0,261.0,326.0,192.0,92.0,149.0,135.0,"Loudon town, Merrimack County, New Hampshire",013,43380,33
1627.0,61.0,48.0,53.0,74.0,65.0,74.0,14.0,75.0,29.0,115.0,222.0,180.0,179.0,198.0,93.0,147.0,"New London town, Merrimack County, New Hampshire",013,52100,33
783.0,18.0,0.0,5.0,38.0,37.0,24.0,7.0,59.0,41.0,58.0,74.0,115.0,89.0,92.0,60.0,66.0,"Sutton town, Merrimack County, New Hampshire",013,75460,33
1051.0,45.0,26.0,30.0,32.0,43.0,17.0,45.0,14.0,69.0,69.0,133.0,178.0,87.0,94.0,97.0,72.0,"Warner town, Merrimack County, New Hampshire",013,78580,33
655.0,32.0,12.0,7.0,26.0,40.0,15.0,32.0,14.0,42.0,76.0,73.0,58.0,78.0,46.0,50.0,54.0,"Wilmot town, Merrimack County, New Hampshire",013,84900,33
2137.0,24.0,14.0,44.0,68.0,30.0,82.0,72.0,72.0,119.0,140.0,237.0,276.0,341.0,125.0,196.0,297.0,"Hopkinton town, Merrimack County, New Hampshire",013,37540,33
786.0,26.0,19.0,13.0,16.0,26.0,28.0,49.0,57.0,31.0,61.0,69.0,146.0,102.0,54.0,59.0,30.0,"Webster town, Merrimack County, New Hampshire",013,80020,33
1744.0,55.0,227.0,8.0,42.0,73.0,142.0,87.0,74.0,56.0,190.0,236.0,236.0,127.0,89.0,90.0,12.0,"Allenstown town, Merrimack County, New Hampshire",013,00660,33
