B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,name,county,county subdivision,state
1320.0,44.0,65.0,78.0,111.0,75.0,119.0,65.0,16.0,42.0,113.0,173.0,229.0,99.0,36.0,37.0,18.0,"Canisteo town, Steuben County, New York",101,12265,36
495.0,6.0,46.0,29.0,44.0,5.0,20.0,23.0,37.0,16.0,45.0,62.0,84.0,50.0,25.0,3.0,0.0,"Thurston town, Steuben County, New York",101,73836,36
938.0,34.0,28.0,123.0,59.0,32.0,41.0,81.0,29.0,24.0,106.0,58.0,130.0,61.0,51.0,51.0,30.0,"Urbana town, Steuben County, New York",101,76496,36
5178.0,497.0,329.0,299.0,224.0,300.0,404.0,213.0,179.0,214.0,408.0,583.0,577.0,412.0,148.0,218.0,173.0,"Corning city, Steuben County, New York",101,18256,36
429.0,21.0,12.0,10.0,22.0,21.0,33.0,32.0,22.0,25.0,50.0,49.0,59.0,35.0,32.0,6.0,0.0,"Fremont town, Steuben County, New York",101,27551,36
579.0,53.0,26.0,11.0,24.0,24.0,34.0,19.0,33.0,32.0,55.0,80.0,71.0,75.0,29.0,10.0,3.0,"Howard town, Steuben County, New York",101,35837,36
629.0,76.0,20.0,19.0,39.0,25.0,29.0,33.0,45.0,23.0,82.0,35.0,74.0,46.0,43.0,27.0,13.0,"Pulteney town, Steuben County, New York",101,59982,36
471.0,26.0,23.0,27.0,25.0,27.0,30.0,51.0,11.0,22.0,57.0,53.0,62.0,24.0,3.0,21.0,9.0,"Wheeler town, Steuben County, New York",101,81457,36
780.0,32.0,28.0,54.0,55.0,21.0,50.0,35.0,54.0,57.0,52.0,89.0,82.0,82.0,39.0,33.0,17.0,"Lindley town, Steuben County, New York",101,42576,36
866.0,69.0,38.0,45.0,68.0,59.0,48.0,42.0,62.0,65.0,83.0,105.0,69.0,55.0,29.0,13.0,16.0,"Avoca town, Steuben County, New York",101,03342,36
730.0,51.0,22.0,34.0,25.0,19.0,31.0,19.0,25.0,19.0,36.0,97.0,153.0,74.0,60.0,38.0,27.0,"Caton town, Steuben County, New York",101,12991,36
557.0,67.0,28.0,16.0,28.0,34.0,46.0,21.0,40.0,27.0,48.0,65.0,70.0,28.0,24.0,6.0,9.0,"Tuscarora town, Steuben County, New York",101,75737,36
393.0,26.0,7.0,22.0,9.0,17.0,18.0,46.0,16.0,26.0,27.0,60.0,97.0,14.0,4.0,4.0,0.0,"Troupsburg town, Steuben County, New York",101,75440,36
378.0,14.0,28.0,29.0,15.0,48.0,29.0,8.0,20.0,9.0,36.0,38.0,38.0,26.0,23.0,15.0,2.0,"Rathbone town, Steuben County, New York",101,60653,36
458.0,3.0,14.0,15.0,37.0,30.0,19.0,18.0,47.0,14.0,43.0,54.0,34.0,60.0,37.0,12.0,21.0,"Wayne town, Steuben County, New York",101,78883,36
112.0,7.0,7.0,8.0,8.0,8.0,1.0,9.0,11.0,2.0,14.0,8.0,6.0,12.0,4.0,3.0,4.0,"West Union town, Steuben County, New York",101,81105,36
1980.0,56.0,64.0,65.0,106.0,133.0,141.0,76.0,102.0,96.0,164.0,237.0,318.0,137.0,160.0,22.0,103.0,"Volney town, Oswego County, New York",075,77662,36
1525.0,48.0,16.0,39.0,52.0,33.0,54.0,48.0,32.0,72.0,166.0,150.0,313.0,131.0,128.0,186.0,57.0,"Oswego town, Oswego County, New York",075,55585,36
1369.0,84.0,31.0,35.0,56.0,54.0,59.0,154.0,124.0,76.0,161.0,164.0,156.0,79.0,44.0,83.0,9.0,"Palermo town, Oswego County, New York",075,56154,36
2873.0,170.0,143.0,75.0,129.0,122.0,218.0,33.0,221.0,161.0,188.0,328.0,325.0,166.0,270.0,206.0,118.0,"Scriba town, Oswego County, New York",075,65992,36
427.0,11.0,39.0,15.0,7.0,36.0,24.0,22.0,9.0,10.0,60.0,44.0,74.0,55.0,11.0,10.0,0.0,"Williamstown town, Oswego County, New York",075,82073,36
2152.0,125.0,107.0,141.0,123.0,215.0,130.0,125.0,124.0,85.0,225.0,157.0,186.0,245.0,88.0,29.0,47.0,"Richland town, Oswego County, New York",075,61533,36
840.0,74.0,46.0,25.0,41.0,45.0,85.0,28.0,55.0,59.0,86.0,60.0,156.0,54.0,16.0,6.0,4.0,"Albion town, Oswego County, New York",075,01055,36
1956.0,81.0,116.0,58.0,106.0,30.0,115.0,61.0,131.0,65.0,184.0,245.0,280.0,125.0,226.0,93.0,40.0,"Mexico town, Oswego County, New York",075,46822,36
195.0,8.0,14.0,8.0,11.0,7.0,23.0,7.0,12.0,2.0,37.0,25.0,20.0,14.0,5.0,0.0,2.0,"Redfield town, Oswego County, New York",075,60873,36
474.0,18.0,13.0,40.0,12.0,54.0,11.0,11.0,39.0,4.0,81.0,49.0,34.0,45.0,29.0,25.0,9.0,"Orwell town, Oswego County, New York",075,55453,36
932.0,34.0,57.0,41.0,34.0,44.0,44.0,37.0,46.0,57.0,89.0,99.0,142.0,101.0,48.0,29.0,30.0,"Parish town, Oswego County, New York",075,56352,36
