B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,name,county,county subdivision,state
3322.0,533.0,335.0,292.0,262.0,189.0,257.0,160.0,169.0,117.0,272.0,265.0,264.0,117.0,55.0,28.0,7.0,"Stilwell East CCD, Adair County, Oklahoma",001,93250,40
1877.0,246.0,141.0,157.0,87.0,177.0,144.0,120.0,98.0,35.0,137.0,142.0,234.0,61.0,63.0,7.0,28.0,"Westville CCD, Adair County, Oklahoma",001,93796,40
954.0,98.0,84.0,54.0,102.0,55.0,48.0,58.0,46.0,73.0,76.0,78.0,105.0,36.0,24.0,10.0,7.0,"Watts CCD, Adair County, Oklahoma",001,93588,40
1643.0,210.0,105.0,116.0,113.0,157.0,102.0,90.0,78.0,63.0,97.0,182.0,169.0,87.0,27.0,28.0,19.0,"Stilwell West CCD, Adair County, Oklahoma",001,93263,40
1046.0,84.0,100.0,91.0,139.0,54.0,66.0,65.0,58.0,28.0,108.0,108.0,54.0,41.0,32.0,18.0,0.0,"Konawa CCD, Seminole County, Oklahoma",133,91612,40
806.0,56.0,32.0,97.0,50.0,26.0,63.0,47.0,49.0,42.0,81.0,103.0,77.0,43.0,20.0,8.0,12.0,"Seminole South CCD, Seminole County, Oklahoma",133,92795,40
2874.0,331.0,292.0,238.0,225.0,252.0,162.0,187.0,194.0,109.0,210.0,169.0,254.0,127.0,47.0,40.0,37.0,"Wewoka CCD, Seminole County, Oklahoma",133,93835,40
4514.0,445.0,328.0,315.0,319.0,306.0,194.0,328.0,187.0,204.0,335.0,512.0,467.0,279.0,119.0,54.0,122.0,"Seminole North CCD, Seminole County, Oklahoma",133,92782,40
744.0,72.0,50.0,52.0,35.0,23.0,26.0,33.0,40.0,18.0,53.0,95.0,95.0,66.0,32.0,26.0,28.0,"Velma-Alma CCD, Stephens County, Oklahoma",137,93432,40
3265.0,282.0,206.0,118.0,243.0,204.0,145.0,185.0,191.0,75.0,277.0,234.0,464.0,238.0,205.0,107.0,91.0,"Marlow CCD, Stephens County, Oklahoma",137,91781,40
2295.0,132.0,127.0,133.0,217.0,140.0,172.0,121.0,144.0,60.0,206.0,235.0,273.0,163.0,79.0,62.0,31.0,"Comanche CCD, Stephens County, Oklahoma",137,90650,40
10948.0,958.0,609.0,720.0,742.0,634.0,679.0,651.0,572.0,475.0,902.0,940.0,1447.0,719.0,309.0,279.0,312.0,"Duncan CCD, Stephens County, Oklahoma",137,90780,40
184.0,15.0,13.0,5.0,9.0,15.0,13.0,25.0,11.0,5.0,9.0,14.0,25.0,7.0,5.0,11.0,2.0,"Keyes CCD, Cimarron County, Oklahoma",025,91560,40
806.0,54.0,42.0,56.0,37.0,58.0,68.0,46.0,30.0,41.0,86.0,84.0,99.0,40.0,19.0,9.0,37.0,"Boise City CCD, Cimarron County, Oklahoma",025,90286,40
1519.0,93.0,130.0,72.0,55.0,93.0,81.0,54.0,62.0,15.0,197.0,207.0,156.0,118.0,80.0,66.0,40.0,"Watonga CCD, Blaine County, Oklahoma",011,93575,40
725.0,36.0,68.0,37.0,65.0,34.0,54.0,37.0,50.0,23.0,32.0,40.0,139.0,53.0,31.0,16.0,10.0,"Canton CCD, Blaine County, Oklahoma",011,90416,40
795.0,71.0,62.0,81.0,75.0,15.0,38.0,56.0,47.0,33.0,32.0,64.0,85.0,55.0,34.0,22.0,25.0,"Geary CCD, Blaine County, Oklahoma",011,91170,40
780.0,57.0,57.0,66.0,43.0,24.0,41.0,32.0,81.0,41.0,75.0,86.0,77.0,53.0,27.0,17.0,3.0,"Okeene CCD, Blaine County, Oklahoma",011,92392,40
14373.0,1228.0,768.0,866.0,812.0,1022.0,768.0,681.0,552.0,656.0,1199.0,1740.0,1604.0,1075.0,544.0,374.0,484.0,"Ardmore CCD, Carter County, Oklahoma",019,90156,40
1159.0,75.0,59.0,56.0,104.0,38.0,67.0,58.0,45.0,80.0,91.0,141.0,154.0,92.0,34.0,22.0,43.0,"Wilson CCD, Carter County, Oklahoma",019,93861,40
1042.0,102.0,55.0,75.0,57.0,57.0,71.0,67.0,44.0,74.0,99.0,123.0,65.0,37.0,49.0,40.0,27.0,"Ardmore North CCD, Carter County, Oklahoma",019,90169,40
533.0,33.0,29.0,37.0,31.0,34.0,23.0,34.0,35.0,21.0,51.0,63.0,82.0,30.0,15.0,9.0,6.0,"Healdton North CCD, Carter County, Oklahoma",019,91287,40
1171.0,83.0,49.0,137.0,101.0,95.0,72.0,51.0,31.0,78.0,96.0,122.0,105.0,66.0,44.0,16.0,25.0,"Healdton Central CCD, Carter County, Oklahoma",019,91274,40
680.0,60.0,50.0,62.0,33.0,43.0,51.0,24.0,23.0,7.0,65.0,69.0,75.0,66.0,23.0,0.0,29.0,"West Coal CCD, Coal County, Oklahoma",029,93705,40
