B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,name,county,county subdivision,state
367.0,43.0,17.0,34.0,29.0,29.0,36.0,21.0,21.0,14.0,27.0,38.0,22.0,15.0,14.0,5.0,2.0,"Mitchell CCD, Wheeler County, Oregon",069,91938,41
376.0,8.0,16.0,15.0,11.0,41.0,10.0,8.0,15.0,20.0,40.0,49.0,72.0,22.0,22.0,5.0,22.0,"Ione-Lexington CCD, Morrow County, Oregon",049,91411,41
2775.0,144.0,149.0,162.0,61.0,191.0,164.0,110.0,121.0,171.0,362.0,340.0,375.0,180.0,185.0,30.0,30.0,"Boardman CCD, Morrow County, Oregon",049,90323,41
785.0,7.0,60.0,40.0,43.0,52.0,38.0,34.0,30.0,42.0,88.0,129.0,77.0,52.0,56.0,33.0,4.0,"Heppner CCD, Morrow County, Oregon",049,91309,41
3892.0,160.0,269.0,257.0,463.0,243.0,138.0,368.0,132.0,155.0,327.0,334.0,508.0,232.0,89.0,103.0,114.0,"Seaside CCD, Clatsop County, Oregon",007,92839,41
10822.0,563.0,458.0,543.0,616.0,659.0,728.0,678.0,528.0,535.0,778.0,1087.0,1446.0,1138.0,394.0,425.0,246.0,"Astoria CCD, Clatsop County, Oregon",007,90153,41
836.0,32.0,53.0,9.0,38.0,26.0,33.0,57.0,26.0,16.0,79.0,140.0,127.0,135.0,8.0,21.0,36.0,"Knappa-Brownsmead CCD, Clatsop County, Oregon",007,91598,41
426.0,32.0,35.0,16.0,25.0,11.0,28.0,25.0,45.0,16.0,27.0,33.0,51.0,31.0,23.0,23.0,5.0,"Jewell CCD, Clatsop County, Oregon",007,91445,41
446.0,70.0,88.0,39.0,40.0,19.0,44.0,0.0,25.0,16.0,34.0,11.0,37.0,3.0,20.0,0.0,0.0,"Powers CCD, Coos County, Oregon",011,92567,41
3059.0,302.0,268.0,293.0,303.0,235.0,125.0,157.0,175.0,271.0,191.0,191.0,250.0,53.0,23.0,130.0,92.0,"Bandon CCD, Coos County, Oregon",011,90221,41
2021.0,330.0,126.0,145.0,137.0,113.0,192.0,51.0,116.0,31.0,136.0,143.0,243.0,88.0,73.0,47.0,50.0,"Myrtle Point CCD, Coos County, Oregon",011,92074,41
12896.0,1386.0,881.0,679.0,808.0,679.0,702.0,886.0,760.0,549.0,1213.0,1354.0,1215.0,804.0,427.0,238.0,315.0,"Coos Bay CCD, Coos County, Oregon",011,90629,41
2318.0,165.0,106.0,53.0,170.0,141.0,138.0,144.0,70.0,71.0,198.0,310.0,202.0,284.0,61.0,84.0,121.0,"Eastside CCD, Coos County, Oregon",011,91003,41
3302.0,166.0,352.0,284.0,288.0,128.0,346.0,245.0,172.0,170.0,289.0,295.0,269.0,137.0,8.0,85.0,68.0,"Coquille CCD, Coos County, Oregon",011,90646,41
2431.0,215.0,121.0,176.0,221.0,66.0,103.0,224.0,135.0,170.0,185.0,222.0,241.0,195.0,85.0,43.0,29.0,"North Bayside CCD, Coos County, Oregon",011,92159,41
1467.0,164.0,151.0,68.0,104.0,181.0,28.0,83.0,28.0,83.0,166.0,116.0,127.0,76.0,35.0,41.0,16.0,"Port Orford CCD, Curry County, Oregon",015,92533,41
7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Agness CCD, Curry County, Oregon",015,90051,41
3959.0,274.0,241.0,364.0,277.0,130.0,109.0,299.0,152.0,276.0,327.0,455.0,373.0,418.0,70.0,141.0,53.0,"Brookings CCD, Curry County, Oregon",015,90357,41
2479.0,144.0,180.0,187.0,189.0,254.0,89.0,124.0,34.0,115.0,149.0,313.0,280.0,117.0,138.0,64.0,102.0,"Gold Beach CCD, Curry County, Oregon",015,91207,41
2470.0,197.0,45.0,467.0,176.0,208.0,234.0,61.0,70.0,132.0,224.0,175.0,111.0,254.0,44.0,43.0,29.0,"Harbor CCD, Curry County, Oregon",015,91275,41
463.0,34.0,44.0,16.0,52.0,32.0,36.0,49.0,8.0,42.0,22.0,36.0,43.0,41.0,8.0,0.0,0.0,"Condon CCD, Gilliam County, Oregon",021,90612,41
342.0,18.0,6.0,4.0,21.0,24.0,41.0,28.0,12.0,10.0,28.0,41.0,47.0,39.0,12.0,2.0,9.0,"Arlington CCD, Gilliam County, Oregon",021,90102,41
487.0,0.0,0.0,9.0,9.0,34.0,0.0,12.0,47.0,36.0,43.0,0.0,143.0,42.0,77.0,26.0,9.0,"Parkdale CCD, Hood River County, Oregon",027,92431,41
1894.0,11.0,40.0,67.0,49.0,129.0,141.0,72.0,125.0,121.0,235.0,216.0,192.0,158.0,143.0,124.0,71.0,"Odell CCD, Hood River County, Oregon",027,92380,41
346.0,0.0,0.0,20.0,0.0,12.0,9.0,28.0,8.0,46.0,33.0,50.0,65.0,22.0,0.0,43.0,10.0,"Dee CCD, Hood River County, Oregon",027,90850,41
573.0,62.0,33.0,32.0,29.0,34.0,41.0,6.0,38.0,54.0,81.0,62.0,52.0,25.0,4.0,10.0,10.0,"Cascade Locks CCD, Hood River County, Oregon",027,90476,41
5243.0,196.0,284.0,221.0,311.0,319.0,211.0,221.0,268.0,226.0,460.0,512.0,762.0,447.0,235.0,259.0,311.0,"Hood River CCD, Hood River County, Oregon",027,91343,41
