B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,name,county,county subdivision,state
1653.0,102.0,49.0,8.0,61.0,63.0,131.0,58.0,63.0,25.0,181.0,117.0,190.0,156.0,125.0,135.0,189.0,"Little Compton town, Newport County, Rhode Island",005,42400,44
6832.0,353.0,331.0,185.0,255.0,164.0,363.0,247.0,405.0,272.0,524.0,806.0,985.0,646.0,484.0,417.0,395.0,"Middletown town, Newport County, Rhode Island",005,45460,44
10523.0,820.0,764.0,519.0,361.0,508.0,425.0,293.0,259.0,260.0,674.0,887.0,1408.0,1042.0,749.0,900.0,654.0,"Newport city, Newport County, Rhode Island",005,49960,44
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"County subdivisions not defined, Newport County, Rhode Island",005,00000,44
2303.0,98.0,13.0,96.0,0.0,48.0,53.0,42.0,39.0,82.0,60.0,215.0,318.0,386.0,118.0,278.0,457.0,"Jamestown town, Newport County, Rhode Island",005,36820,44
7269.0,246.0,225.0,203.0,211.0,158.0,354.0,215.0,260.0,175.0,266.0,614.0,962.0,943.0,632.0,868.0,937.0,"Portsmouth town, Newport County, Rhode Island",005,57880,44
6841.0,302.0,204.0,283.0,171.0,145.0,228.0,180.0,314.0,362.0,398.0,798.0,1040.0,708.0,541.0,679.0,488.0,"Tiverton town, Newport County, Rhode Island",005,70880,44
34904.0,1714.0,1463.0,1489.0,1793.0,1045.0,1089.0,1267.0,1397.0,990.0,2427.0,3683.0,5698.0,4509.0,2442.0,2148.0,1750.0,"Warwick city, Kent County, Rhode Island",003,74300,44
14005.0,404.0,469.0,483.0,669.0,542.0,661.0,551.0,613.0,732.0,1114.0,1229.0,1850.0,1578.0,1288.0,1210.0,612.0,"Coventry town, Kent County, Rhode Island",003,18640,44
12797.0,1097.0,662.0,882.0,635.0,633.0,602.0,631.0,435.0,512.0,1278.0,1092.0,1719.0,1101.0,725.0,633.0,160.0,"West Warwick town, Kent County, Rhode Island",003,78440,44
2195.0,55.0,0.0,0.0,0.0,47.0,175.0,79.0,60.0,49.0,142.0,138.0,308.0,391.0,289.0,268.0,194.0,"West Greenwich town, Kent County, Rhode Island",003,77720,44
5112.0,214.0,133.0,128.0,212.0,162.0,188.0,125.0,57.0,143.0,230.0,282.0,542.0,429.0,505.0,496.0,1266.0,"East Greenwich town, Kent County, Rhode Island",003,22240,44
13541.0,675.0,729.0,576.0,357.0,487.0,475.0,324.0,546.0,310.0,696.0,951.0,2239.0,1512.0,1162.0,1365.0,1137.0,"Cumberland town, Providence County, Rhode Island",007,20080,44
17054.0,2249.0,1397.0,1369.0,825.0,978.0,1004.0,1027.0,842.0,490.0,1339.0,1364.0,1681.0,1250.0,530.0,470.0,239.0,"Woonsocket city, Providence County, Rhode Island",007,80780,44
14032.0,939.0,781.0,477.0,747.0,695.0,737.0,855.0,959.0,474.0,915.0,1327.0,1903.0,1209.0,894.0,647.0,473.0,"North Providence town, Providence County, Rhode Island",007,51760,44
7942.0,236.0,372.0,192.0,332.0,431.0,246.0,227.0,402.0,341.0,601.0,814.0,999.0,693.0,538.0,732.0,786.0,"Lincoln town, Providence County, Rhode Island",007,41500,44
19913.0,1504.0,1304.0,1075.0,841.0,923.0,989.0,956.0,1040.0,677.0,1402.0,2025.0,2481.0,2086.0,929.0,988.0,693.0,"East Providence city, Providence County, Rhode Island",007,22960,44
3607.0,90.0,134.0,89.0,77.0,135.0,120.0,102.0,87.0,89.0,147.0,317.0,604.0,779.0,244.0,436.0,157.0,"Glocester town, Providence County, Rhode Island",007,30340,44
4536.0,173.0,250.0,171.0,128.0,67.0,271.0,83.0,120.0,88.0,440.0,415.0,507.0,530.0,264.0,603.0,426.0,"North Smithfield town, Providence County, Rhode Island",007,52480,44
