B19001_001E,B19001_002E,B19001_003E,B19001_004E,B19001_005E,B19001_006E,B19001_007E,B19001_008E,B19001_009E,B19001_010E,B19001_011E,B19001_012E,B19001_013E,B19001_014E,B19001_015E,B19001_016E,B19001_017E,name,county,county subdivision,state
1039.0,79.0,41.0,49.0,48.0,25.0,70.0,49.0,35.0,79.0,136.0,218.0,42.0,86.0,18.0,37.0,27.0,"Mount Carmel CCD, McCormick County, South Carolina",065,92262,45
5375.0,603.0,567.0,342.0,478.0,310.0,327.0,277.0,300.0,224.0,411.0,451.0,517.0,260.0,121.0,127.0,60.0,"Clinton CCD, Laurens County, South Carolina",059,90663,45
8271.0,757.0,540.0,623.0,930.0,444.0,524.0,517.0,469.0,553.0,620.0,584.0,897.0,395.0,148.0,151.0,119.0,"Laurens CCD, Laurens County, South Carolina",059,91924,45
862.0,39.0,70.0,106.0,72.0,55.0,39.0,45.0,37.0,19.0,84.0,181.0,68.0,18.0,5.0,0.0,24.0,"Joanna CCD, Laurens County, South Carolina",059,91690,45
959.0,118.0,58.0,37.0,11.0,74.0,36.0,73.0,62.0,42.0,105.0,97.0,129.0,55.0,20.0,20.0,22.0,"Parksville CCD, McCormick County, South Carolina",065,92561,45
2079.0,261.0,181.0,136.0,99.0,284.0,114.0,148.0,139.0,15.0,140.0,275.0,155.0,73.0,7.0,14.0,38.0,"McCormick CCD, McCormick County, South Carolina",065,92119,45
4787.0,592.0,467.0,429.0,386.0,482.0,248.0,194.0,200.0,193.0,437.0,346.0,403.0,114.0,90.0,120.0,86.0,"Central CCD, Pickens County, South Carolina",077,90533,45
15281.0,942.0,760.0,972.0,1011.0,988.0,951.0,882.0,833.0,792.0,1201.0,1621.0,1845.0,993.0,631.0,642.0,217.0,"Easley CCD, Pickens County, South Carolina",077,90936,45
6005.0,392.0,528.0,372.0,451.0,321.0,355.0,309.0,419.0,393.0,552.0,469.0,729.0,333.0,160.0,123.0,99.0,"Pickens CCD, Pickens County, South Carolina",077,92639,45
3890.0,310.0,177.0,133.0,101.0,237.0,164.0,158.0,171.0,164.0,336.0,378.0,647.0,527.0,123.0,199.0,65.0,"Easley East CCD, Pickens County, South Carolina",077,90949,45
4279.0,292.0,197.0,300.0,232.0,338.0,128.0,101.0,232.0,293.0,383.0,504.0,380.0,443.0,109.0,216.0,131.0,"Six Mile CCD, Pickens County, South Carolina",077,93146,45
5983.0,986.0,642.0,458.0,260.0,221.0,176.0,342.0,295.0,331.0,414.0,184.0,417.0,403.0,348.0,244.0,262.0,"Clemson CCD, Pickens County, South Carolina",077,90650,45
