B19001B_001E,B19001B_002E,B19001B_003E,B19001B_004E,B19001B_005E,B19001B_006E,B19001B_007E,B19001B_008E,B19001B_009E,B19001B_010E,B19001B_011E,B19001B_012E,B19001B_013E,B19001B_014E,B19001B_015E,B19001B_016E,B19001B_017E,name,county,county subdivision,state
750.0,207.0,153.0,40.0,36.0,48.0,16.0,16.0,8.0,18.0,45.0,51.0,37.0,45.0,30.0,0.0,0.0,"District 2, Yazoo County, Mississippi",163,91476,28
1322.0,296.0,168.0,106.0,94.0,22.0,92.0,170.0,72.0,19.0,82.0,60.0,95.0,24.0,14.0,2.0,6.0,"District 4, Yazoo County, Mississippi",163,92952,28
349.0,29.0,75.0,14.0,46.0,57.0,7.0,7.0,18.0,10.0,24.0,12.0,30.0,9.0,11.0,0.0,0.0,"District 2, Winston County, Mississippi",159,91458,28
392.0,74.0,54.0,12.0,19.0,40.0,45.0,0.0,16.0,19.0,49.0,40.0,10.0,14.0,0.0,0.0,0.0,"District 1, Winston County, Mississippi",159,90720,28
580.0,125.0,26.0,38.0,43.0,61.0,30.0,27.0,77.0,0.0,5.0,21.0,0.0,34.0,75.0,0.0,18.0,"District 1, Yazoo County, Mississippi",163,90738,28
1181.0,313.0,74.0,267.0,122.0,84.0,35.0,44.0,50.0,95.0,57.0,21.0,1.0,0.0,18.0,0.0,0.0,"District 3, Yazoo County, Mississippi",163,92214,28
1055.0,428.0,110.0,58.0,125.0,89.0,22.0,39.0,8.0,46.0,0.0,47.0,41.0,7.0,0.0,0.0,35.0,"District 5, Yazoo County, Mississippi",163,93690,28
497.0,56.0,104.0,53.0,10.0,6.0,65.0,17.0,21.0,0.0,9.0,28.0,66.0,15.0,39.0,0.0,8.0,"District 1, Attala County, Mississippi",007,90036,28
979.0,313.0,143.0,47.0,64.0,97.0,76.0,88.0,5.0,29.0,29.0,36.0,22.0,7.0,0.0,23.0,0.0,"District 2, Attala County, Mississippi",007,90774,28
240.0,25.0,11.0,31.0,45.0,31.0,38.0,5.0,4.0,6.0,0.0,23.0,3.0,6.0,0.0,1.0,11.0,"District 5, Attala County, Mississippi",007,92988,28
784.0,285.0,92.0,59.0,15.0,92.0,80.0,28.0,10.0,43.0,8.0,50.0,22.0,0.0,0.0,0.0,0.0,"District 4, Attala County, Mississippi",007,92250,28
512.0,160.0,20.0,30.0,56.0,50.0,0.0,22.0,0.0,29.0,16.0,19.0,62.0,48.0,0.0,0.0,0.0,"District 3, Attala County, Mississippi",007,91512,28
108.0,9.0,14.0,0.0,47.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,"District 4, Benton County, Mississippi",009,92259,28
277.0,107.0,12.0,0.0,0.0,13.0,0.0,0.0,16.0,0.0,65.0,0.0,51.0,0.0,13.0,0.0,0.0,"District 2, Benton County, Mississippi",009,90783,28
166.0,2.0,17.0,7.0,0.0,0.0,47.0,0.0,35.0,8.0,12.0,38.0,0.0,0.0,0.0,0.0,0.0,"District 3, Benton County, Mississippi",009,91521,28
110.0,22.0,55.0,17.0,0.0,1.0,6.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"District 5, Benton County, Mississippi",009,92997,28
24.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,"District 5, Franklin County, Mississippi",037,93123,28
381.0,62.0,10.0,64.0,0.0,40.0,40.0,0.0,14.0,73.0,60.0,18.0,0.0,0.0,0.0,0.0,0.0,"District 1, Benton County, Mississippi",009,90045,28
376.0,68.0,26.0,87.0,8.0,43.0,1.0,23.0,13.0,27.0,3.0,35.0,33.0,0.0,9.0,0.0,0.0,"District 1, Franklin County, Mississippi",037,90171,28
192.0,10.0,23.0,31.0,0.0,7.0,28.0,0.0,28.0,2.0,18.0,15.0,15.0,0.0,0.0,15.0,0.0,"District 2, Franklin County, Mississippi",037,90909,28
289.0,83.0,49.0,11.0,73.0,2.0,12.0,0.0,0.0,0.0,4.0,44.0,11.0,0.0,0.0,0.0,0.0,"District 3, Franklin County, Mississippi",037,91647,28
187.0,23.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.0,0.0,0.0,42.0,0.0,"District 4, Franklin County, Mississippi",037,92385,28
1285.0,285.0,111.0,88.0,73.0,132.0,67.0,67.0,112.0,35.0,26.0,121.0,76.0,77.0,15.0,0.0,0.0,"District 5, Coahoma County, Mississippi",027,93078,28
1105.0,223.0,114.0,125.0,70.0,94.0,61.0,39.0,82.0,27.0,119.0,82.0,57.0,6.0,6.0,0.0,0.0,"District 1, Coahoma County, Mississippi",027,90126,28
2005.0,499.0,336.0,238.0,201.0,50.0,111.0,151.0,65.0,55.0,79.0,47.0,85.0,77.0,11.0,0.0,0.0,"District 3, Coahoma County, Mississippi",027,91602,28
1052.0,217.0,259.0,112.0,93.0,59.0,110.0,13.0,43.0,0.0,28.0,58.0,8.0,38.0,14.0,0.0,0.0,"District 4, Coahoma County, Mississippi",027,92340,28
1196.0,315.0,71.0,163.0,70.0,37.0,74.0,73.0,40.0,23.0,87.0,96.0,72.0,63.0,0.0,0.0,12.0,"District 2, Coahoma County, Mississippi",027,90864,28
943.0,116.0,121.0,91.0,83.0,96.0,93.0,32.0,24.0,34.0,39.0,133.0,81.0,0.0,0.0,0.0,0.0,"District 5, Jasper County, Mississippi",061,93231,28
404.0,65.0,33.0,0.0,59.0,38.0,0.0,50.0,62.0,8.0,47.0,15.0,27.0,0.0,0.0,0.0,0.0,"District 4, Jasper County, Mississippi",061,92493,28
908.0,138.0,176.0,21.0,54.0,75.0,75.0,0.0,40.0,58.0,128.0,76.0,67.0,0.0,0.0,0.0,0.0,"District 2, Jasper County, Mississippi",061,91017,28
651.0,201.0,77.0,0.0,20.0,34.0,54.0,82.0,24.0,16.0,82.0,25.0,25.0,11.0,0.0,0.0,0.0,"District 1, Jasper County, Mississippi",061,90279,28
782.0,134.0,42.0,30.0,118.0,77.0,43.0,23.0,1.0,31.0,38.0,21.0,144.0,65.0,15.0,0.0,0.0,"District 3, Jasper County, Mississippi",061,91755,28
478.0,80.0,13.0,62.0,27.0,56.0,34.0,32.0,8.0,0.0,42.0,94.0,22.0,0.0,0.0,8.0,0.0,"District 3, Jones County, Mississippi",067,91782,28
1087.0,282.0,274.0,47.0,177.0,29.0,38.0,9.0,1.0,9.0,86.0,44.0,85.0,6.0,0.0,0.0,0.0,"District 2, Jones County, Mississippi",067,91044,28
674.0,134.0,97.0,93.0,16.0,18.0,108.0,9.0,33.0,4.0,86.0,43.0,23.0,10.0,0.0,0.0,0.0,"District 2, Walthall County, Mississippi",147,91404,28
479.0,100.0,86.0,4.0,0.0,49.0,25.0,14.0,0.0,19.0,42.0,111.0,8.0,14.0,0.0,7.0,0.0,"District 4, Jones County, Mississippi",067,92520,28
1570.0,176.0,168.0,198.0,246.0,54.0,74.0,85.0,161.0,0.0,144.0,152.0,79.0,24.0,0.0,9.0,0.0,"District 1, Jones County, Mississippi",067,90306,28
3002.0,637.0,484.0,407.0,301.0,83.0,185.0,266.0,176.0,102.0,127.0,128.0,78.0,28.0,0.0,0.0,0.0,"District 5, Jones County, Mississippi",067,93258,28
454.0,215.0,103.0,32.0,0.0,0.0,0.0,26.0,59.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,"District 1, Walthall County, Mississippi",147,90666,28
414.0,107.0,65.0,9.0,3.0,88.0,11.0,12.0,80.0,0.0,19.0,0.0,0.0,20.0,0.0,0.0,0.0,"District 3, Walthall County, Mississippi",147,92142,28
901.0,374.0,64.0,26.0,136.0,0.0,123.0,26.0,0.0,8.0,85.0,0.0,27.0,0.0,0.0,0.0,32.0,"District 5, Walthall County, Mississippi",147,93618,28
265.0,63.0,0.0,69.0,1.0,15.0,12.0,0.0,0.0,0.0,10.0,0.0,27.0,51.0,17.0,0.0,0.0,"District 4, Walthall County, Mississippi",147,92880,28
442.0,53.0,4.0,25.0,72.0,76.0,21.0,15.0,8.0,29.0,36.0,38.0,13.0,37.0,15.0,0.0,0.0,"District 3, Monroe County, Mississippi",095,91908,28
1774.0,360.0,215.0,71.0,88.0,141.0,127.0,86.0,100.0,69.0,96.0,218.0,119.0,25.0,17.0,42.0,0.0,"District 4, Monroe County, Mississippi",095,92646,28
1481.0,334.0,76.0,276.0,82.0,101.0,90.0,91.0,42.0,108.0,92.0,41.0,146.0,2.0,0.0,0.0,0.0,"District 5, Monroe County, Mississippi",095,93384,28
284.0,14.0,37.0,47.0,9.0,11.0,24.0,10.0,39.0,0.0,0.0,60.0,33.0,0.0,0.0,0.0,0.0,"District 2, Monroe County, Mississippi",095,91170,28
71.0,0.0,0.0,0.0,6.0,0.0,19.0,4.0,0.0,0.0,0.0,10.0,6.0,16.0,10.0,0.0,0.0,"District 1, Monroe County, Mississippi",095,90432,28
498.0,52.0,8.0,66.0,32.0,34.0,114.0,21.0,35.0,49.0,37.0,9.0,14.0,27.0,0.0,0.0,0.0,"District 4, Pontotoc County, Mississippi",115,92736,28
155.0,12.0,21.0,4.0,16.0,31.0,0.0,9.0,22.0,0.0,8.0,32.0,0.0,0.0,0.0,0.0,0.0,"District 3, Pontotoc County, Mississippi",115,91998,28
1440.0,144.0,126.0,183.0,182.0,158.0,77.0,57.0,153.0,34.0,109.0,96.0,70.0,27.0,13.0,0.0,11.0,"District 2, Sunflower County, Mississippi",133,91341,28
268.0,22.0,40.0,29.0,2.0,72.0,40.0,0.0,0.0,5.0,53.0,0.0,5.0,0.0,0.0,0.0,0.0,"District 5, Pontotoc County, Mississippi",115,93474,28
403.0,19.0,40.0,11.0,5.0,6.0,33.0,99.0,28.0,0.0,85.0,46.0,18.0,13.0,0.0,0.0,0.0,"District 1, Pontotoc County, Mississippi",115,90522,28
265.0,15.0,94.0,15.0,54.0,4.0,0.0,0.0,20.0,0.0,0.0,32.0,31.0,0.0,0.0,0.0,0.0,"District 2, Pontotoc County, Mississippi",115,91260,28
1320.0,251.0,214.0,114.0,70.0,68.0,82.0,130.0,70.0,38.0,77.0,117.0,37.0,6.0,0.0,20.0,26.0,"District 4, Sunflower County, Mississippi",133,92817,28
1017.0,213.0,119.0,117.0,85.0,74.0,49.0,49.0,64.0,43.0,64.0,67.0,44.0,19.0,10.0,0.0,0.0,"District 5, Sunflower County, Mississippi",133,93555,28
1061.0,206.0,69.0,142.0,126.0,61.0,24.0,122.0,19.0,30.0,46.0,96.0,58.0,36.0,22.0,4.0,0.0,"District 3, Sunflower County, Mississippi",133,92079,28
1169.0,328.0,117.0,177.0,127.0,65.0,60.0,56.0,37.0,28.0,27.0,58.0,45.0,27.0,17.0,0.0,0.0,"District 1, Sunflower County, Mississippi",133,90603,28
44.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,"District 5, Webster County, Mississippi",155,93654,28
152.0,114.0,0.0,15.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"District 3, Webster County, Mississippi",155,92178,28
107.0,16.0,21.0,29.0,16.0,9.0,0.0,0.0,4.0,0.0,6.0,2.0,4.0,0.0,0.0,0.0,0.0,"District 4, Webster County, Mississippi",155,92916,28
313.0,74.0,25.0,7.0,35.0,58.0,45.0,19.0,18.0,6.0,5.0,0.0,21.0,0.0,0.0,0.0,0.0,"District 1, Webster County, Mississippi",155,90702,28
139.0,39.0,22.0,0.0,25.0,0.0,8.0,0.0,0.0,5.0,0.0,0.0,0.0,25.0,15.0,0.0,0.0,"District 2, Webster County, Mississippi",155,91440,28
31.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,"District 2, Alcorn County, Mississippi",003,90756,28
671.0,129.0,93.0,52.0,149.0,32.0,11.0,27.0,45.0,21.0,17.0,0.0,67.0,0.0,0.0,0.0,28.0,"District 3, Alcorn County, Mississippi",003,91494,28
74.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,21.0,6.0,14.0,28.0,0.0,0.0,0.0,0.0,0.0,"District 1, Alcorn County, Mississippi",003,90018,28
290.0,38.0,79.0,9.0,31.0,0.0,0.0,57.0,25.0,0.0,27.0,24.0,0.0,0.0,0.0,0.0,0.0,"District 5, Alcorn County, Mississippi",003,92970,28
356.0,19.0,69.0,82.0,17.0,33.0,0.0,0.0,60.0,52.0,10.0,0.0,0.0,0.0,14.0,0.0,0.0,"District 4, Alcorn County, Mississippi",003,92232,28
1704.0,377.0,207.0,115.0,112.0,106.0,160.0,131.0,105.0,114.0,77.0,59.0,85.0,33.0,6.0,8.0,9.0,"District 4, Adams County, Mississippi",001,92223,28
1454.0,267.0,152.0,149.0,119.0,115.0,200.0,28.0,55.0,63.0,89.0,57.0,136.0,11.0,0.0,0.0,13.0,"District 5, Adams County, Mississippi",001,92961,28
865.0,182.0,109.0,11.0,49.0,85.0,154.0,19.0,54.0,8.0,146.0,0.0,16.0,32.0,0.0,0.0,0.0,"District 2, Adams County, Mississippi",001,90747,28
884.0,161.0,197.0,80.0,24.0,94.0,101.0,58.0,47.0,14.0,14.0,44.0,14.0,0.0,22.0,14.0,0.0,"District 1, Adams County, Mississippi",001,90009,28
1331.0,512.0,130.0,171.0,91.0,44.0,116.0,41.0,0.0,40.0,67.0,61.0,32.0,20.0,6.0,0.0,0.0,"District 3, Adams County, Mississippi",001,91485,28
691.0,125.0,63.0,60.0,37.0,121.0,14.0,41.0,56.0,32.0,83.0,0.0,41.0,18.0,0.0,0.0,0.0,"District 3, Clay County, Mississippi",025,91593,28
721.0,124.0,42.0,110.0,52.0,24.0,65.0,20.0,40.0,20.0,57.0,85.0,30.0,35.0,11.0,6.0,0.0,"District 2, Clay County, Mississippi",025,90855,28
921.0,101.0,189.0,201.0,32.0,22.0,111.0,6.0,94.0,28.0,28.0,52.0,11.0,44.0,2.0,0.0,0.0,"District 1, Clay County, Mississippi",025,90117,28
940.0,213.0,122.0,89.0,114.0,58.0,23.0,36.0,33.0,79.0,55.0,33.0,22.0,63.0,0.0,0.0,0.0,"District 5, Clay County, Mississippi",025,93069,28
1115.0,210.0,119.0,158.0,103.0,125.0,24.0,80.0,24.0,0.0,64.0,118.0,47.0,16.0,27.0,0.0,0.0,"District 4, Clay County, Mississippi",025,92331,28
1911.0,59.0,123.0,103.0,54.0,112.0,233.0,126.0,72.0,141.0,287.0,232.0,186.0,55.0,58.0,50.0,20.0,"District 4, DeSoto County, Mississippi",033,92367,28
2604.0,146.0,96.0,183.0,267.0,159.0,256.0,251.0,207.0,41.0,188.0,350.0,215.0,174.0,37.0,8.0,26.0,"District 5, DeSoto County, Mississippi",033,93105,28
3598.0,209.0,77.0,161.0,336.0,205.0,187.0,196.0,273.0,308.0,481.0,355.0,493.0,204.0,75.0,0.0,38.0,"District 3, DeSoto County, Mississippi",033,91629,28
4551.0,192.0,108.0,139.0,250.0,275.0,139.0,96.0,175.0,192.0,266.0,747.0,945.0,390.0,306.0,246.0,85.0,"District 1, DeSoto County, Mississippi",033,90153,28
2221.0,137.0,84.0,173.0,251.0,145.0,130.0,80.0,138.0,58.0,142.0,236.0,170.0,170.0,208.0,29.0,70.0,"District 2, DeSoto County, Mississippi",033,90891,28
359.0,53.0,106.0,71.0,0.0,0.0,0.0,47.0,6.0,60.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,"District 1, Noxubee County, Mississippi",103,90468,28
565.0,44.0,41.0,70.0,69.0,82.0,41.0,4.0,123.0,16.0,0.0,30.0,34.0,0.0,11.0,0.0,0.0,"District 4, Leake County, Mississippi",079,92574,28
542.0,54.0,126.0,35.0,44.0,57.0,38.0,28.0,9.0,21.0,15.0,27.0,33.0,11.0,44.0,0.0,0.0,"District 2, Leake County, Mississippi",079,91098,28
782.0,102.0,90.0,98.0,77.0,63.0,52.0,7.0,29.0,0.0,97.0,58.0,23.0,2.0,43.0,0.0,41.0,"District 5, Leake County, Mississippi",079,93312,28
1016.0,225.0,129.0,95.0,83.0,50.0,112.0,20.0,13.0,37.0,72.0,34.0,94.0,8.0,17.0,10.0,17.0,"District 3, Leake County, Mississippi",079,91836,28
165.0,57.0,13.0,0.0,17.0,0.0,0.0,19.0,0.0,0.0,0.0,18.0,33.0,8.0,0.0,0.0,0.0,"District 1, Leake County, Mississippi",079,90360,28
597.0,141.0,55.0,38.0,3.0,46.0,25.0,73.0,0.0,42.0,31.0,27.0,69.0,12.0,4.0,31.0,0.0,"District 4, Noxubee County, Mississippi",103,92682,28
473.0,143.0,69.0,33.0,64.0,23.0,17.0,23.0,2.0,0.0,46.0,19.0,4.0,22.0,0.0,8.0,0.0,"District 5, Noxubee County, Mississippi",103,93420,28
745.0,122.0,102.0,34.0,12.0,55.0,9.0,14.0,28.0,112.0,97.0,26.0,117.0,13.0,0.0,0.0,4.0,"District 3, Noxubee County, Mississippi",103,91944,28
659.0,137.0,87.0,159.0,33.0,45.0,22.0,5.0,39.0,10.0,41.0,41.0,13.0,27.0,0.0,0.0,0.0,"District 2, Noxubee County, Mississippi",103,91206,28
51.0,0.0,13.0,13.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,"District 1, Neshoba County, Mississippi",099,90450,28
258.0,39.0,6.0,0.0,17.0,46.0,14.0,0.0,17.0,11.0,44.0,62.0,2.0,0.0,0.0,0.0,0.0,"District 3, Neshoba County, Mississippi",099,91926,28
378.0,73.0,62.0,9.0,31.0,0.0,54.0,25.0,21.0,0.0,0.0,65.0,38.0,0.0,0.0,0.0,0.0,"District 4, Neshoba County, Mississippi",099,92664,28
