B19001I_001E,B19001I_002E,B19001I_003E,B19001I_004E,B19001I_005E,B19001I_006E,B19001I_007E,B19001I_008E,B19001I_009E,B19001I_010E,B19001I_011E,B19001I_012E,B19001I_013E,B19001I_014E,B19001I_015E,B19001I_016E,B19001I_017E,name,county,county subdivision,state
2809.0,62.0,220.0,119.0,87.0,153.0,263.0,155.0,185.0,222.0,194.0,495.0,243.0,185.0,84.0,142.0,0.0,"Marana CCD, Pima County, Arizona",019,92040,04
496.0,111.0,66.0,11.0,76.0,0.0,36.0,51.0,0.0,20.0,47.0,14.0,41.0,11.0,0.0,0.0,12.0,"Ajo CCD, Pima County, Arizona",019,90051,04
99158.0,9490.0,7454.0,8007.0,7403.0,6683.0,6420.0,5688.0,5794.0,4775.0,8410.0,8689.0,9325.0,4843.0,2516.0,2145.0,1516.0,"Tucson CCD, Pima County, Arizona",019,93570,04
10153.0,571.0,221.0,583.0,652.0,599.0,531.0,611.0,541.0,436.0,1089.0,1176.0,1486.0,854.0,311.0,377.0,115.0,"Arivaca CCD, Pima County, Arizona",019,90153,04
1352.0,61.0,14.0,70.0,98.0,182.0,89.0,73.0,38.0,13.0,149.0,177.0,131.0,80.0,113.0,20.0,44.0,"Gila Bend CCD, Maricopa County, Arizona",013,91377,04
20569.0,742.0,682.0,797.0,745.0,842.0,1136.0,965.0,821.0,1085.0,1628.0,2201.0,2787.0,2035.0,1371.0,1746.0,986.0,"Chandler CCD, Maricopa County, Arizona",013,90561,04
287020.0,24073.0,16419.0,17815.0,21262.0,18872.0,18346.0,16359.0,17416.0,13872.0,27433.0,29375.0,29967.0,16884.0,8977.0,5810.0,4140.0,"Phoenix CCD, Maricopa County, Arizona",013,92601,04
6715.0,273.0,51.0,177.0,91.0,205.0,273.0,322.0,264.0,234.0,541.0,577.0,832.0,1108.0,433.0,914.0,420.0,"Deer Valley CCD, Maricopa County, Arizona",013,90867,04
84.0,24.0,0.0,15.0,0.0,0.0,12.0,6.0,0.0,0.0,7.0,0.0,17.0,3.0,0.0,0.0,0.0,"St. Johns CCD, Maricopa County, Arizona",013,93009,04
27.0,8.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,6.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,"San Carlos CCD, Graham County, Arizona",009,93111,04
2370.0,122.0,78.0,60.0,83.0,147.0,193.0,140.0,56.0,107.0,186.0,277.0,265.0,340.0,105.0,136.0,75.0,"Wickenburg CCD, Maricopa County, Arizona",013,93774,04
6075.0,378.0,171.0,186.0,203.0,337.0,385.0,489.0,327.0,450.0,928.0,694.0,852.0,301.0,274.0,59.0,41.0,"Buckeye CCD, Maricopa County, Arizona",013,90459,04
535.0,0.0,16.0,65.0,136.0,6.0,0.0,130.0,43.0,0.0,9.0,33.0,54.0,35.0,0.0,0.0,8.0,"Payson CCD, Gila County, Arizona",007,92570,04
308.0,23.0,18.0,57.0,12.0,6.0,14.0,39.0,41.0,13.0,10.0,33.0,33.0,3.0,6.0,0.0,0.0,"Winkelman CCD, Gila County, Arizona",007,93927,04
245.0,47.0,2.0,13.0,19.0,0.0,13.0,30.0,0.0,0.0,26.0,0.0,51.0,27.0,0.0,17.0,0.0,"Salt River CCD, Maricopa County, Arizona",013,93060,04
2590.0,130.0,188.0,100.0,234.0,210.0,148.0,168.0,95.0,103.0,276.0,135.0,387.0,278.0,45.0,81.0,12.0,"Globe-Miami CCD, Gila County, Arizona",007,91495,04
57.0,2.0,0.0,0.0,3.0,10.0,0.0,3.0,0.0,16.0,8.0,0.0,11.0,0.0,0.0,4.0,0.0,"Bonita-Klondyke CCD, Graham County, Arizona",009,90357,04
219.0,0.0,11.0,0.0,0.0,72.0,19.0,26.0,23.0,2.0,20.0,31.0,0.0,0.0,4.0,11.0,0.0,"Pima CCD, Graham County, Arizona",009,92652,04
2585.0,269.0,180.0,151.0,150.0,130.0,121.0,120.0,124.0,172.0,164.0,311.0,397.0,189.0,82.0,19.0,6.0,"Safford CCD, Graham County, Arizona",009,92907,04
11655.0,1318.0,884.0,724.0,1012.0,972.0,858.0,555.0,359.0,723.0,1084.0,871.0,1044.0,464.0,298.0,285.0,204.0,"Nogales CCD, Santa Cruz County, Arizona",023,92295,04
175.0,27.0,0.0,28.0,9.0,0.0,26.0,5.0,4.0,3.0,36.0,14.0,0.0,5.0,7.0,0.0,11.0,"Patagonia CCD, Santa Cruz County, Arizona",023,92550,04
749.0,162.0,32.0,59.0,8.0,60.0,7.0,29.0,11.0,0.0,147.0,77.0,57.0,55.0,45.0,0.0,0.0,"Benson CCD, Cochise County, Arizona",003,90255,04
3650.0,267.0,211.0,264.0,244.0,300.0,220.0,171.0,231.0,125.0,355.0,319.0,575.0,139.0,79.0,93.0,57.0,"Sierra Vista CCD, Cochise County, Arizona",003,93182,04
