B19001I_001E,B19001I_002E,B19001I_003E,B19001I_004E,B19001I_005E,B19001I_006E,B19001I_007E,B19001I_008E,B19001I_009E,B19001I_010E,B19001I_011E,B19001I_012E,B19001I_013E,B19001I_014E,B19001I_015E,B19001I_016E,B19001I_017E,name,county,county subdivision,state
9.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Cunningham CCD, Carlisle County, Kentucky",039,90968,21
2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Prestonville CCD, Carroll County, Kentucky",041,92840,21
21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,18.0,0.0,0.0,0.0,0.0,"Arlington CCD, Carlisle County, Kentucky",039,90080,21
219.0,0.0,47.0,58.0,33.0,0.0,0.0,9.0,0.0,0.0,50.0,0.0,22.0,0.0,0.0,0.0,0.0,"Carrollton CCD, Carroll County, Kentucky",041,90608,21
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Kirkmansville CCD, Todd County, Kentucky",219,91928,21
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Bardwell CCD, Carlisle County, Kentucky",039,90160,21
15.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Ravenna CCD, Estill County, Kentucky",065,92888,21
35.0,0.0,6.0,10.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Albany CCD, Clinton County, Kentucky",053,90032,21
19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Cumberland City CCD, Clinton County, Kentucky",053,90944,21
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Irvine CCD, Estill County, Kentucky",065,91816,21
144.0,13.0,8.0,15.0,23.0,0.0,0.0,15.0,23.0,14.0,22.0,0.0,11.0,0.0,0.0,0.0,0.0,"Warsaw CCD, Gallatin County, Kentucky",077,93616,21
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Paint Lick CCD, Garrard County, Kentucky",079,92664,21
41.0,0.0,0.0,10.0,10.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Lancaster CCD, Garrard County, Kentucky",079,91976,21
43.0,0.0,0.0,10.0,0.0,0.0,21.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Bryantsville CCD, Garrard County, Kentucky",079,90400,21
33.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.0,0.0,0.0,"Salvisa-McAfee CCD, Mercer County, Kentucky",167,93064,21
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Butler CCD, Pendleton County, Kentucky",191,90472,21
9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Burgin CCD, Mercer County, Kentucky",167,90424,21
35.0,18.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,"Harrodsburg CCD, Mercer County, Kentucky",167,91624,21
20.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,"Falmouth CCD, Pendleton County, Kentucky",191,91200,21
48.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Mount Olivet CCD, Robertson County, Kentucky",201,92408,21
11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,"Bryan CCD, Russell County, Kentucky",207,90384,21
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Eli CCD, Russell County, Kentucky",207,91120,21
76.0,11.0,25.0,4.0,9.0,0.0,5.0,0.0,0.0,0.0,10.0,12.0,0.0,0.0,0.0,0.0,0.0,"Springfield CCD, Washington County, Kentucky",229,93328,21
58.0,23.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,15.0,0.0,"Jamestown CCD, Russell County, Kentucky",207,91864,21
129.0,0.0,21.0,68.0,11.0,0.0,0.0,0.0,0.0,0.0,23.0,6.0,0.0,0.0,0.0,0.0,0.0,"Russell Springs CCD, Russell County, Kentucky",207,92984,21
87.0,0.0,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,41.0,20.0,0.0,0.0,0.0,0.0,"Taylorsville CCD, Spencer County, Kentucky",215,93448,21
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Willisburg CCD, Washington County, Kentucky",229,93728,21
5.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Sharpsburg CCD, Bath County, Kentucky",011,93144,21
7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Salt Lick CCD, Bath County, Kentucky",011,93056,21
3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Owingsville CCD, Bath County, Kentucky",011,92640,21
10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Wickliffe CCD, Ballard County, Kentucky",007,93696,21
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,"Barlow CCD, Ballard County, Kentucky",007,90168,21
2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,"La Center CCD, Ballard County, Kentucky",007,91952,21
24.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Rocky Hill CCD, Barren County, Kentucky",009,92944,21
226.0,12.0,0.0,0.0,13.0,75.0,0.0,0.0,0.0,33.0,81.0,0.0,12.0,0.0,0.0,0.0,0.0,"Glasgow CCD, Barren County, Kentucky",009,91408,21
48.0,0.0,0.0,0.0,0.0,0.0,11.0,10.0,12.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,"Tracy CCD, Barren County, Kentucky",009,93496,21
13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,"Cave City CCD, Barren County, Kentucky",009,90640,21
