B19001I_001E,B19001I_002E,B19001I_003E,B19001I_004E,B19001I_005E,B19001I_006E,B19001I_007E,B19001I_008E,B19001I_009E,B19001I_010E,B19001I_011E,B19001I_012E,B19001I_013E,B19001I_014E,B19001I_015E,B19001I_016E,B19001I_017E,name,county,county subdivision,state
138.0,29.0,3.0,16.0,38.0,5.0,12.0,0.0,15.0,0.0,0.0,5.0,15.0,0.0,0.0,0.0,0.0,"Stilwell East CCD, Adair County, Oklahoma",001,93250,40
32.0,3.0,0.0,6.0,0.0,3.0,0.0,5.0,0.0,6.0,0.0,6.0,0.0,0.0,0.0,3.0,0.0,"Westville CCD, Adair County, Oklahoma",001,93796,40
28.0,0.0,0.0,0.0,4.0,0.0,3.0,0.0,7.0,8.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,"Watts CCD, Adair County, Oklahoma",001,93588,40
15.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,"Stilwell West CCD, Adair County, Oklahoma",001,93263,40
13.0,0.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,"Konawa CCD, Seminole County, Oklahoma",133,91612,40
16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,"Seminole South CCD, Seminole County, Oklahoma",133,92795,40
66.0,0.0,12.0,6.0,13.0,0.0,0.0,16.0,3.0,3.0,5.0,2.0,2.0,4.0,0.0,0.0,0.0,"Wewoka CCD, Seminole County, Oklahoma",133,93835,40
204.0,11.0,0.0,28.0,6.0,7.0,20.0,38.0,12.0,14.0,14.0,19.0,15.0,16.0,0.0,0.0,4.0,"Seminole North CCD, Seminole County, Oklahoma",133,92782,40
23.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,6.0,0.0,5.0,0.0,"Velma-Alma CCD, Stephens County, Oklahoma",137,93432,40
85.0,0.0,12.0,7.0,13.0,22.0,0.0,8.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,"Marlow CCD, Stephens County, Oklahoma",137,91781,40
82.0,3.0,0.0,4.0,3.0,5.0,7.0,0.0,0.0,0.0,0.0,5.0,19.0,0.0,29.0,7.0,0.0,"Comanche CCD, Stephens County, Oklahoma",137,90650,40
664.0,110.0,0.0,25.0,36.0,72.0,49.0,41.0,29.0,33.0,106.0,31.0,88.0,29.0,0.0,0.0,15.0,"Duncan CCD, Stephens County, Oklahoma",137,90780,40
