B19001I_001E,B19001I_002E,B19001I_003E,B19001I_004E,B19001I_005E,B19001I_006E,B19001I_007E,B19001I_008E,B19001I_009E,B19001I_010E,B19001I_011E,B19001I_012E,B19001I_013E,B19001I_014E,B19001I_015E,B19001I_016E,B19001I_017E,name,county,county subdivision,state
162.0,0.0,0.0,0.0,0.0,0.0,137.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,"Bow CCD, Skagit County, Washington",057,90272,53
26.0,2.0,0.0,4.0,3.0,2.0,0.0,0.0,2.0,3.0,5.0,2.0,0.0,0.0,3.0,0.0,0.0,"Swinomish Reservation CCD, Skagit County, Washington",057,93360,53
2834.0,181.0,75.0,261.0,211.0,112.0,241.0,205.0,172.0,177.0,168.0,422.0,309.0,208.0,55.0,10.0,27.0,"Mount Vernon CCD, Skagit County, Washington",057,92096,53
924.0,141.0,70.0,103.0,77.0,27.0,8.0,21.0,11.0,12.0,174.0,55.0,143.0,70.0,0.0,12.0,0.0,"Burlington CCD, Skagit County, Washington",057,90384,53
70.0,0.0,0.0,0.0,4.0,0.0,0.0,5.0,16.0,0.0,18.0,0.0,12.0,15.0,0.0,0.0,0.0,"Conway CCD, Skagit County, Washington",057,90768,53
51.0,0.0,0.0,6.0,0.0,7.0,0.0,0.0,0.0,2.0,23.0,13.0,0.0,0.0,0.0,0.0,0.0,"La Conner CCD, Skagit County, Washington",057,91536,53
34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,11.0,0.0,0.0,0.0,"Lyman-Hamilton CCD, Skagit County, Washington",057,91776,53
390.0,0.0,11.0,0.0,14.0,0.0,0.0,11.0,61.0,0.0,50.0,35.0,159.0,19.0,0.0,15.0,15.0,"Sedro-Woolley CCD, Skagit County, Washington",057,92944,53
15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,4.0,"Clear Lake CCD, Skagit County, Washington",057,90608,53
236.0,12.0,10.0,14.0,17.0,28.0,3.0,6.0,10.0,8.0,14.0,26.0,37.0,19.0,6.0,14.0,12.0,"Anacortes CCD, Skagit County, Washington",057,90064,53
61.0,0.0,0.0,27.0,0.0,0.0,5.0,0.0,0.0,0.0,24.0,0.0,0.0,5.0,0.0,0.0,0.0,"Springdale CCD, Stevens County, Washington",065,93232,53
47.0,0.0,0.0,0.0,0.0,0.0,21.0,6.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,"Chewelah CCD, Stevens County, Washington",065,90560,53
181.0,40.0,17.0,0.0,36.0,17.0,6.0,13.0,0.0,14.0,0.0,20.0,0.0,0.0,0.0,0.0,18.0,"Colville CCD, Stevens County, Washington",065,90688,53
26.0,3.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,4.0,"Spokane Reservation CCD, Stevens County, Washington",065,93216,53
77.0,10.0,0.0,0.0,57.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Loon Lake CCD, Stevens County, Washington",065,91680,53
15.0,3.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,"Kettle Falls CCD, Stevens County, Washington",065,91472,53
5809.0,705.0,343.0,458.0,274.0,259.0,385.0,205.0,246.0,262.0,478.0,557.0,704.0,364.0,178.0,246.0,145.0,"Spokane CCD, Spokane County, Washington",063,93200,53
295.0,33.0,0.0,0.0,9.0,13.0,23.0,0.0,0.0,0.0,7.0,55.0,104.0,0.0,12.0,30.0,9.0,"Deer Park CCD, Spokane County, Washington",063,90880,53
32.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,"Rockford CCD, Spokane County, Washington",063,92816,53
29.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,"Valleyford CCD, Spokane County, Washington",063,93584,53
116.0,0.0,0.0,0.0,0.0,26.0,0.0,10.0,5.0,0.0,10.0,47.0,0.0,0.0,0.0,18.0,0.0,"Airway Heights CCD, Spokane County, Washington",063,90048,53
41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,19.0,0.0,"Colbert CCD, Spokane County, Washington",063,90640,53
208.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,18.0,26.0,95.0,16.0,0.0,0.0,17.0,"Liberty Lake CCD, Spokane County, Washington",063,91616,53
32.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0,0.0,"Mount Spokane CCD, Spokane County, Washington",063,92080,53
50.0,0.0,0.0,0.0,26.0,6.0,9.0,0.0,0.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,"Odessa CCD, Lincoln County, Washington",043,92304,53
27.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,"Wilbur CCD, Lincoln County, Washington",043,93760,53
63.0,10.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,22.0,0.0,"Davenport CCD, Lincoln County, Washington",043,90848,53
