B19001H_001E,B19001H_002E,B19001H_003E,B19001H_004E,B19001H_005E,B19001H_006E,B19001H_007E,B19001H_008E,B19001H_009E,B19001H_010E,B19001H_011E,B19001H_012E,B19001H_013E,B19001H_014E,B19001H_015E,B19001H_016E,B19001H_017E,name,county,county subdivision,state
75.0,10.0,0.0,0.0,7.0,4.0,15.0,9.0,0.0,11.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0,"Tomlinson township, Logan County, Arkansas",083,93619,05
133.0,0.0,0.0,15.0,0.0,41.0,14.0,0.0,0.0,0.0,12.0,32.0,19.0,0.0,0.0,0.0,0.0,"East Roanoke township, Randolph County, Arkansas",121,91204,05
103.0,13.0,0.0,16.0,15.0,11.0,0.0,0.0,9.0,0.0,15.0,0.0,0.0,0.0,0.0,12.0,12.0,"Wharton township, Madison County, Arkansas",087,93976,05
110.0,0.0,13.0,0.0,16.0,9.0,0.0,0.0,11.0,0.0,0.0,0.0,40.0,10.0,0.0,11.0,0.0,"Tyler township, Prairie County, Arkansas",117,93654,05
295.0,9.0,40.0,55.0,33.0,56.0,0.0,15.0,12.0,7.0,24.0,26.0,18.0,0.0,0.0,0.0,0.0,"Caddo Gap township, Montgomery County, Arkansas",097,90595,05
119.0,0.0,5.0,0.0,0.0,10.0,0.0,0.0,57.0,0.0,10.0,16.0,21.0,0.0,0.0,0.0,0.0,"Black River-Marshell township, Independence County, Arkansas",063,90343,05
51.0,15.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,7.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,"Alamo township, Montgomery County, Arkansas",097,90013,05
194.0,13.0,32.0,18.0,18.0,22.0,0.0,0.0,13.0,21.0,19.0,22.0,8.0,8.0,0.0,0.0,0.0,"Black Springs township, Montgomery County, Arkansas",097,90346,05
78.0,13.0,0.0,0.0,11.0,6.0,12.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,9.0,0.0,15.0,"Fannie township, Montgomery County, Arkansas",097,91273,05
80.0,0.0,0.0,8.0,15.0,0.0,26.0,0.0,0.0,5.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,"Hopper township, Montgomery County, Arkansas",097,91765,05
154.0,7.0,5.0,11.0,6.0,33.0,4.0,14.0,5.0,20.0,6.0,13.0,8.0,10.0,0.0,11.0,1.0,"Township 1, Calhoun County, Arkansas",013,93627,05
365.0,16.0,31.0,12.0,26.0,18.0,71.0,28.0,10.0,51.0,26.0,16.0,25.0,8.0,9.0,14.0,4.0,"West Prairie township, Poinsett County, Arkansas",111,93973,05
240.0,16.0,0.0,13.0,22.0,28.0,16.0,0.0,35.0,0.0,6.0,35.0,9.0,48.0,7.0,3.0,2.0,"Township 3, Calhoun County, Arkansas",013,93631,05
319.0,27.0,48.0,8.0,40.0,28.0,27.0,13.0,6.0,0.0,11.0,22.0,37.0,30.0,22.0,0.0,0.0,"Tyronza township, Crittenden County, Arkansas",035,93655,05
212.0,0.0,44.0,8.0,0.0,11.0,8.0,0.0,0.0,6.0,32.0,51.0,22.0,0.0,30.0,0.0,0.0,"Township 5, Calhoun County, Arkansas",013,93635,05
193.0,0.0,21.0,9.0,30.0,1.0,12.0,0.0,22.0,41.0,11.0,0.0,41.0,5.0,0.0,0.0,0.0,"Township 2, Calhoun County, Arkansas",013,93629,05
100.0,3.0,3.0,2.0,2.0,11.0,22.0,13.0,0.0,9.0,0.0,5.0,12.0,7.0,11.0,0.0,0.0,"Township 4, Calhoun County, Arkansas",013,93633,05
211.0,41.0,0.0,31.0,0.0,0.0,0.0,0.0,14.0,12.0,15.0,29.0,0.0,34.0,8.0,27.0,0.0,"Township 6, Calhoun County, Arkansas",013,93637,05
145.0,4.0,13.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,8.0,19.0,21.0,0.0,64.0,9.0,0.0,"Township 7, Calhoun County, Arkansas",013,93639,05
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Twist township, Cross County, Arkansas",037,93652,05
1143.0,92.0,15.0,31.0,24.0,27.0,53.0,8.0,49.0,45.0,101.0,130.0,263.0,67.0,44.0,97.0,97.0,"Tontitown township, Washington County, Arkansas",143,93623,05
673.0,34.0,56.0,17.0,35.0,31.0,16.0,15.0,0.0,29.0,48.0,106.0,96.0,149.0,32.0,9.0,0.0,"East Fork township, Faulkner County, Arkansas",045,91199,05
204.0,7.0,17.0,11.0,24.0,13.0,6.0,0.0,9.0,4.0,9.0,38.0,33.0,10.0,19.0,0.0,4.0,"Traskwood township, Saline County, Arkansas",125,93648,05
850.0,33.0,52.0,61.0,58.0,54.0,64.0,84.0,64.0,42.0,66.0,29.0,97.0,91.0,16.0,34.0,5.0,"Mount Ida township, Montgomery County, Arkansas",097,92620,05
439.0,74.0,68.0,17.0,14.0,39.0,27.0,13.0,7.0,13.0,31.0,103.0,29.0,4.0,0.0,0.0,0.0,"Norman township, Montgomery County, Arkansas",097,92701,05
310.0,25.0,28.0,31.0,40.0,17.0,26.0,18.0,13.0,5.0,32.0,13.0,31.0,3.0,18.0,10.0,0.0,"Oden township, Montgomery County, Arkansas",097,92737,05
94.0,0.0,5.0,23.0,6.0,7.0,0.0,0.0,0.0,0.0,22.0,26.0,0.0,0.0,5.0,0.0,0.0,"Sims township, Montgomery County, Arkansas",097,93385,05
81.0,5.0,4.0,12.0,8.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,18.0,10.0,7.0,8.0,0.0,"Tyler township, Perry County, Arkansas",105,93653,05
218.0,20.0,11.0,15.0,4.0,30.0,23.0,8.0,17.0,0.0,24.0,28.0,12.0,18.0,0.0,0.0,8.0,"Township 8, Calhoun County, Arkansas",013,93641,05
44.0,6.0,9.0,7.0,0.0,2.0,10.0,4.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,"Township 9, Calhoun County, Arkansas",013,93643,05
184.0,79.0,14.0,8.0,6.0,4.0,7.0,11.0,9.0,1.0,3.0,15.0,23.0,2.0,2.0,0.0,0.0,"Bennett-Lemmons township, Clay County, Arkansas",021,90232,05
187.0,25.0,13.0,8.0,16.0,8.0,9.0,25.0,22.0,6.0,19.0,15.0,3.0,7.0,1.0,10.0,0.0,"Bradshaw-Haywood township, Clay County, Arkansas",021,90448,05
101.0,1.0,5.0,12.0,20.0,16.0,11.0,6.0,8.0,4.0,1.0,0.0,0.0,13.0,1.0,3.0,0.0,"Brown-Carpenter township, Clay County, Arkansas",021,90496,05
162.0,6.0,19.0,14.0,10.0,29.0,20.0,5.0,7.0,12.0,5.0,14.0,7.0,10.0,2.0,2.0,0.0,"Cache-Wilson township, Clay County, Arkansas",021,90589,05
160.0,11.0,23.0,4.0,27.0,7.0,11.0,3.0,2.0,4.0,12.0,33.0,6.0,0.0,13.0,4.0,0.0,"Chalk Bluff-Liddell township, Clay County, Arkansas",021,90757,05
1119.0,170.0,214.0,116.0,33.0,74.0,57.0,34.0,53.0,50.0,46.0,150.0,47.0,26.0,20.0,16.0,13.0,"Cleveland-North Kilgore township, Clay County, Arkansas",021,90874,05
