B19001H_001E,B19001H_002E,B19001H_003E,B19001H_004E,B19001H_005E,B19001H_006E,B19001H_007E,B19001H_008E,B19001H_009E,B19001H_010E,B19001H_011E,B19001H_012E,B19001H_013E,B19001H_014E,B19001H_015E,B19001H_016E,B19001H_017E,name,county,county subdivision,state
7347.0,118.0,208.0,170.0,100.0,201.0,154.0,157.0,250.0,214.0,413.0,597.0,1160.0,905.0,741.0,958.0,1001.0,"Elizabeth CCD, Elbert County, Colorado",039,91190,08
216.0,6.0,9.0,15.0,0.0,4.0,6.0,8.0,17.0,5.0,13.0,43.0,22.0,18.0,29.0,7.0,14.0,"Agate CCD, Elbert County, Colorado",039,90019,08
137.0,1.0,3.0,10.0,5.0,12.0,20.0,3.0,0.0,11.0,29.0,8.0,13.0,4.0,4.0,4.0,10.0,"Kim CCD, Las Animas County, Colorado",071,91976,08
602.0,13.0,19.0,37.0,30.0,29.0,36.0,36.0,33.0,31.0,59.0,73.0,77.0,35.0,13.0,31.0,50.0,"Simla CCD, Elbert County, Colorado",039,93325,08
59.0,0.0,0.0,0.0,0.0,10.0,0.0,8.0,0.0,0.0,20.0,8.0,0.0,8.0,0.0,0.0,5.0,"Model CCD, Las Animas County, Colorado",071,92508,08
74.0,2.0,5.0,1.0,7.0,2.0,1.0,12.0,3.0,1.0,3.0,14.0,18.0,4.0,0.0,1.0,0.0,"Branson CCD, Las Animas County, Colorado",071,90361,08
286.0,10.0,18.0,26.0,12.0,18.0,11.0,19.0,16.0,26.0,23.0,32.0,36.0,3.0,23.0,4.0,9.0,"Aguilar CCD, Las Animas County, Colorado",071,90038,08
437.0,56.0,24.0,14.0,31.0,13.0,12.0,26.0,6.0,19.0,47.0,38.0,27.0,42.0,10.0,49.0,23.0,"Weston CCD, Las Animas County, Colorado",071,93838,08
2636.0,171.0,63.0,219.0,211.0,73.0,285.0,151.0,103.0,170.0,356.0,240.0,240.0,171.0,74.0,52.0,57.0,"Trinidad CCD, Las Animas County, Colorado",071,93648,08
1726.0,75.0,131.0,58.0,51.0,87.0,94.0,89.0,144.0,203.0,208.0,133.0,229.0,120.0,60.0,25.0,19.0,"Yuma CCD, Yuma County, Colorado",125,93952,08
1353.0,89.0,84.0,77.0,37.0,73.0,82.0,100.0,87.0,87.0,150.0,57.0,141.0,141.0,34.0,51.0,63.0,"Wray CCD, Yuma County, Colorado",125,93914,08
362.0,34.0,24.0,7.0,40.0,14.0,12.0,25.0,34.0,21.0,23.0,41.0,40.0,28.0,8.0,7.0,4.0,"Hugo CCD, Lincoln County, Colorado",073,91824,08
310.0,5.0,30.0,7.0,9.0,3.0,29.0,44.0,7.0,22.0,26.0,24.0,44.0,19.0,23.0,4.0,14.0,"Yampa CCD, Routt County, Colorado",107,93933,08
963.0,58.0,50.0,48.0,42.0,43.0,39.0,36.0,49.0,38.0,64.0,107.0,177.0,106.0,74.0,11.0,21.0,"Hayden CCD, Routt County, Colorado",107,91729,08
6316.0,291.0,201.0,307.0,180.0,296.0,231.0,204.0,225.0,238.0,357.0,723.0,991.0,622.0,350.0,412.0,688.0,"Steamboat Springs CCD, Routt County, Colorado",107,93496,08
1423.0,40.0,51.0,82.0,136.0,44.0,38.0,60.0,91.0,69.0,122.0,225.0,141.0,97.0,80.0,95.0,52.0,"Oak Creek CCD, Routt County, Colorado",107,92717,08
2992.0,190.0,139.0,72.0,32.0,144.0,350.0,16.0,110.0,132.0,147.0,327.0,358.0,371.0,61.0,183.0,360.0,"Silverthorne CCD, Summit County, Colorado",117,93287,08
5445.0,161.0,133.0,105.0,73.0,219.0,232.0,193.0,179.0,195.0,574.0,575.0,889.0,696.0,508.0,376.0,337.0,"Breckenridge CCD, Summit County, Colorado",117,90380,08
157.0,18.0,13.0,9.0,6.0,4.0,14.0,7.0,0.0,3.0,5.0,34.0,29.0,6.0,0.0,6.0,3.0,"Arriba CCD, Lincoln County, Colorado",073,90133,08
155.0,12.0,3.0,4.0,12.0,15.0,20.0,4.0,16.0,7.0,11.0,17.0,16.0,13.0,1.0,2.0,2.0,"Karval CCD, Lincoln County, Colorado",073,91919,08
680.0,39.0,65.0,16.0,62.0,59.0,39.0,13.0,23.0,37.0,21.0,115.0,65.0,35.0,49.0,18.0,24.0,"Limon CCD, Lincoln County, Colorado",073,92261,08
2922.0,153.0,63.0,57.0,57.0,87.0,147.0,114.0,144.0,101.0,264.0,332.0,324.0,403.0,244.0,268.0,164.0,"Idaho Springs CCD, Clear Creek County, Colorado",019,91843,08
1192.0,44.0,59.0,38.0,58.0,14.0,82.0,28.0,100.0,108.0,73.0,133.0,147.0,129.0,55.0,93.0,31.0,"Georgetown CCD, Clear Creek County, Colorado",019,91463,08
329.0,31.0,3.0,16.0,35.0,20.0,19.0,12.0,7.0,29.0,28.0,41.0,52.0,18.0,10.0,1.0,7.0,"Mosca-Hooper CCD, Alamosa County, Colorado",003,92584,08
2805.0,417.0,143.0,144.0,147.0,143.0,166.0,109.0,157.0,143.0,207.0,335.0,280.0,169.0,64.0,100.0,81.0,"Alamosa CCD, Alamosa County, Colorado",003,90076,08
4471.0,383.0,391.0,229.0,303.0,248.0,250.0,325.0,105.0,185.0,451.0,497.0,459.0,285.0,146.0,153.0,61.0,"Delta CCD, Delta County, Colorado",029,90988,08
1385.0,95.0,75.0,67.0,111.0,87.0,117.0,132.0,30.0,112.0,54.0,136.0,129.0,74.0,38.0,33.0,95.0,"Paonia CCD, Delta County, Colorado",029,92831,08
3062.0,236.0,223.0,262.0,97.0,264.0,129.0,147.0,254.0,128.0,339.0,311.0,278.0,100.0,94.0,57.0,143.0,"Cedaredge CCD, Delta County, Colorado",029,90532,08
1799.0,54.0,194.0,100.0,92.0,123.0,82.0,106.0,60.0,78.0,168.0,143.0,200.0,200.0,96.0,27.0,76.0,"Hotchkiss CCD, Delta County, Colorado",029,91786,08
1603.0,83.0,142.0,90.0,83.0,72.0,100.0,64.0,106.0,38.0,116.0,245.0,174.0,141.0,25.0,73.0,51.0,"Cotopaxi CCD, Fremont County, Colorado",043,90836,08
1547.0,71.0,139.0,63.0,64.0,47.0,27.0,147.0,83.0,61.0,78.0,195.0,263.0,131.0,37.0,64.0,77.0,"Penrose-Portland CCD, Fremont County, Colorado",043,92888,08
