B19001H_001E,B19001H_002E,B19001H_003E,B19001H_004E,B19001H_005E,B19001H_006E,B19001H_007E,B19001H_008E,B19001H_009E,B19001H_010E,B19001H_011E,B19001H_012E,B19001H_013E,B19001H_014E,B19001H_015E,B19001H_016E,B19001H_017E,name,county,county subdivision,state
1558.0,42.0,31.0,69.0,89.0,16.0,70.0,102.0,53.0,19.0,136.0,214.0,230.0,235.0,120.0,98.0,34.0,"South Wheatland township, Macon County, Illinois",115,71357,17
15027.0,1484.0,885.0,1003.0,1034.0,1011.0,680.0,854.0,884.0,714.0,1195.0,1713.0,1592.0,811.0,394.0,365.0,408.0,"Decatur township, Macon County, Illinois",115,18836,17
506.0,38.0,27.0,4.0,31.0,46.0,14.0,29.0,30.0,23.0,60.0,31.0,73.0,36.0,36.0,13.0,15.0,"Pleasant View township, Macon County, Illinois",115,60677,17
4145.0,98.0,128.0,80.0,188.0,144.0,189.0,194.0,216.0,135.0,226.0,673.0,683.0,486.0,197.0,263.0,245.0,"Long Creek township, Macon County, Illinois",115,44511,17
2658.0,32.0,79.0,103.0,113.0,121.0,70.0,0.0,239.0,102.0,206.0,340.0,313.0,302.0,201.0,224.0,213.0,"Mount Zion township, Macon County, Illinois",115,51219,17
78.0,0.0,0.0,11.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,35.0,0.0,9.0,0.0,"Austin township, Macon County, Illinois",115,03051,17
594.0,14.0,8.0,33.0,14.0,26.0,59.0,24.0,39.0,11.0,50.0,52.0,165.0,38.0,44.0,11.0,6.0,"Illini township, Macon County, Illinois",115,37023,17
223.0,6.0,0.0,3.0,2.0,13.0,14.0,3.0,11.0,4.0,25.0,22.0,44.0,58.0,0.0,11.0,7.0,"Lynnville precinct, Morgan County, Illinois",137,91962,17
689.0,14.0,34.0,47.0,30.0,35.0,36.0,22.0,30.0,57.0,51.0,113.0,88.0,58.0,44.0,12.0,18.0,"Maroa township, Macon County, Illinois",115,47085,17
368.0,24.0,10.0,21.0,11.0,10.0,15.0,5.0,39.0,24.0,4.0,54.0,49.0,59.0,15.0,10.0,18.0,"Blue Mound township, Macon County, Illinois",115,06769,17
6363.0,381.0,354.0,427.0,231.0,456.0,184.0,285.0,333.0,338.0,462.0,627.0,858.0,448.0,219.0,442.0,318.0,"Hickory Point township, Macon County, Illinois",115,34527,17
246.0,5.0,19.0,5.0,18.0,14.0,8.0,10.0,6.0,12.0,25.0,36.0,24.0,20.0,21.0,7.0,16.0,"Niantic township, Macon County, Illinois",115,52974,17
396.0,20.0,13.0,0.0,0.0,37.0,0.0,21.0,32.0,19.0,45.0,17.0,65.0,24.0,17.0,53.0,33.0,"Oakley township, Macon County, Illinois",115,54859,17
598.0,126.0,30.0,0.0,142.0,32.0,60.0,34.0,23.0,0.0,32.0,19.0,47.0,20.0,14.0,19.0,0.0,"Jacksonville No. 2 precinct, Morgan County, Illinois",137,91712,17
370.0,77.0,83.0,43.0,34.0,15.0,8.0,8.0,9.0,0.0,37.0,22.0,14.0,15.0,0.0,5.0,0.0,"Jacksonville No. 9 precinct, Morgan County, Illinois",137,91719,17
128.0,0.0,0.0,0.0,24.0,25.0,0.0,0.0,0.0,4.0,0.0,14.0,20.0,24.0,3.0,14.0,0.0,"Nortonville precinct, Morgan County, Illinois",137,92268,17
289.0,0.0,0.0,7.0,19.0,24.0,34.0,0.0,43.0,16.0,42.0,18.0,15.0,49.0,8.0,9.0,5.0,"Markham precinct, Morgan County, Illinois",137,92034,17
241.0,11.0,7.0,10.0,7.0,13.0,3.0,11.0,8.0,35.0,18.0,77.0,21.0,20.0,0.0,0.0,0.0,"Jacksonville No. 5 precinct, Morgan County, Illinois",137,91715,17
484.0,5.0,11.0,0.0,17.0,33.0,28.0,35.0,7.0,30.0,99.0,26.0,74.0,0.0,73.0,26.0,20.0,"Jacksonville No. 6 precinct, Morgan County, Illinois",137,91716,17
197.0,11.0,4.0,5.0,10.0,15.0,32.0,9.0,9.0,35.0,16.0,20.0,4.0,9.0,4.0,9.0,5.0,"Appanoose township, Hancock County, Illinois",067,01621,17
163.0,0.0,0.0,7.0,0.0,2.0,25.0,1.0,8.0,0.0,51.0,28.0,9.0,4.0,10.0,9.0,9.0,"Harmony township, Hancock County, Illinois",067,32993,17
141.0,0.0,25.0,6.0,3.0,22.0,0.0,8.0,16.0,8.0,12.0,7.0,10.0,14.0,0.0,6.0,4.0,"Rock Creek township, Hancock County, Illinois",067,64876,17
240.0,0.0,0.0,0.0,0.0,10.0,43.0,0.0,7.0,16.0,9.0,22.0,55.0,0.0,0.0,65.0,13.0,"Sonora township, Hancock County, Illinois",067,70499,17
120.0,4.0,0.0,8.0,0.0,5.0,0.0,11.0,0.0,0.0,0.0,24.0,48.0,6.0,0.0,4.0,10.0,"Walker township, Hancock County, Illinois",067,78422,17
201.0,17.0,10.0,6.0,4.0,22.0,16.0,10.0,10.0,2.0,26.0,25.0,24.0,23.0,0.0,4.0,2.0,"Chili township, Hancock County, Illinois",067,14104,17
13282.0,887.0,490.0,648.0,581.0,601.0,592.0,526.0,674.0,442.0,1051.0,1634.0,1552.0,1379.0,771.0,789.0,665.0,"Collinsville township, Madison County, Illinois",119,15612,17
234.0,13.0,32.0,12.0,15.0,13.0,10.0,19.0,16.0,9.0,18.0,18.0,34.0,22.0,0.0,3.0,0.0,"St. Mary township, Hancock County, Illinois",067,67054,17
434.0,18.0,18.0,23.0,38.0,35.0,22.0,5.0,31.0,34.0,52.0,25.0,72.0,41.0,9.0,3.0,8.0,"Dallas City township, Hancock County, Illinois",067,18433,17
8587.0,719.0,753.0,487.0,565.0,561.0,546.0,538.0,464.0,352.0,738.0,915.0,788.0,608.0,233.0,222.0,98.0,"Alton township, Madison County, Illinois",119,01127,17
41.0,0.0,6.0,0.0,0.0,4.0,0.0,13.0,0.0,0.0,4.0,5.0,0.0,0.0,0.0,5.0,4.0,"Wilcox township, Hancock County, Illinois",067,81607,17
898.0,31.0,14.0,10.0,13.0,16.0,26.0,26.0,32.0,19.0,58.0,73.0,282.0,131.0,113.0,46.0,8.0,"St. Jacob township, Madison County, Illinois",119,66872,17
12444.0,752.0,625.0,920.0,526.0,1040.0,433.0,634.0,500.0,630.0,1008.0,1485.0,1867.0,1131.0,365.0,324.0,204.0,"Wood River township, Madison County, Illinois",119,83284,17
871.0,19.0,79.0,31.0,34.0,29.0,30.0,33.0,23.0,34.0,61.0,148.0,110.0,96.0,78.0,41.0,25.0,"Marine township, Madison County, Illinois",119,46877,17
950.0,31.0,31.0,45.0,61.0,35.0,31.0,24.0,43.0,22.0,60.0,108.0,182.0,121.0,62.0,87.0,7.0,"Omphghent township, Madison County, Illinois",119,56068,17
707.0,62.0,60.0,100.0,56.0,68.0,41.0,46.0,7.0,0.0,89.0,37.0,54.0,5.0,27.0,55.0,0.0,"Venice township, Madison County, Illinois",119,77486,17
2962.0,152.0,114.0,275.0,82.0,161.0,197.0,228.0,222.0,103.0,332.0,269.0,383.0,251.0,89.0,50.0,54.0,"Chouteau township, Madison County, Illinois",119,14260,17
4968.0,140.0,130.0,40.0,105.0,150.0,158.0,277.0,182.0,150.0,448.0,476.0,894.0,708.0,438.0,353.0,319.0,"Jarvis township, Madison County, Illinois",119,38245,17
4360.0,339.0,215.0,132.0,160.0,219.0,276.0,245.0,216.0,228.0,299.0,533.0,686.0,393.0,229.0,144.0,46.0,"Nameoki township, Madison County, Illinois",119,51583,17
9969.0,822.0,690.0,689.0,468.0,521.0,564.0,475.0,395.0,477.0,1099.0,1163.0,1267.0,604.0,142.0,466.0,127.0,"Granite City township, Madison County, Illinois",119,30939,17
3251.0,147.0,139.0,239.0,127.0,49.0,163.0,254.0,152.0,118.0,301.0,318.0,445.0,306.0,219.0,149.0,125.0,"Helvetia township, Madison County, Illinois",119,33981,17
1454.0,119.0,0.0,27.0,36.0,50.0,104.0,81.0,25.0,70.0,118.0,100.0,256.0,145.0,181.0,63.0,79.0,"Foster township, Madison County, Illinois",119,27182,17
1377.0,10.0,44.0,0.0,9.0,30.0,34.0,54.0,12.0,117.0,123.0,238.0,283.0,131.0,96.0,154.0,42.0,"Moro township, Madison County, Illinois",119,50465,17
1276.0,0.0,29.0,64.0,13.0,49.0,20.0,35.0,32.0,55.0,47.0,55.0,204.0,161.0,100.0,176.0,236.0,"Pin Oak township, Madison County, Illinois",119,60014,17
