B19001H_001E,B19001H_002E,B19001H_003E,B19001H_004E,B19001H_005E,B19001H_006E,B19001H_007E,B19001H_008E,B19001H_009E,B19001H_010E,B19001H_011E,B19001H_012E,B19001H_013E,B19001H_014E,B19001H_015E,B19001H_016E,B19001H_017E,name,county,county subdivision,state
642.0,10.0,37.0,29.0,65.0,39.0,29.0,73.0,18.0,5.0,61.0,96.0,67.0,50.0,15.0,31.0,17.0,"Cunningham CCD, Carlisle County, Kentucky",039,90968,21
878.0,77.0,78.0,48.0,38.0,67.0,20.0,33.0,80.0,32.0,55.0,72.0,103.0,87.0,7.0,62.0,19.0,"Prestonville CCD, Carroll County, Kentucky",041,92840,21
566.0,40.0,43.0,59.0,41.0,71.0,24.0,42.0,15.0,38.0,24.0,73.0,26.0,36.0,0.0,16.0,18.0,"Arlington CCD, Carlisle County, Kentucky",039,90080,21
2726.0,195.0,376.0,92.0,209.0,107.0,113.0,114.0,196.0,148.0,145.0,276.0,267.0,175.0,45.0,204.0,64.0,"Carrollton CCD, Carroll County, Kentucky",041,90608,21
1045.0,69.0,70.0,80.0,62.0,104.0,97.0,50.0,53.0,66.0,65.0,157.0,87.0,40.0,18.0,15.0,12.0,"Kirkmansville CCD, Todd County, Kentucky",219,91928,21
741.0,70.0,68.0,75.0,54.0,76.0,15.0,47.0,40.0,27.0,40.0,50.0,80.0,40.0,50.0,0.0,9.0,"Bardwell CCD, Carlisle County, Kentucky",039,90160,21
493.0,39.0,22.0,20.0,27.0,68.0,29.0,35.0,39.0,48.0,64.0,52.0,25.0,19.0,0.0,0.0,6.0,"Ravenna CCD, Estill County, Kentucky",065,92888,21
2808.0,309.0,319.0,341.0,312.0,224.0,178.0,135.0,128.0,144.0,143.0,125.0,168.0,126.0,68.0,40.0,48.0,"Albany CCD, Clinton County, Kentucky",053,90032,21
1128.0,86.0,77.0,72.0,100.0,49.0,135.0,100.0,59.0,33.0,144.0,85.0,93.0,43.0,0.0,44.0,8.0,"Cumberland City CCD, Clinton County, Kentucky",053,90944,21
2355.0,275.0,336.0,233.0,246.0,123.0,150.0,98.0,81.0,89.0,100.0,272.0,239.0,50.0,24.0,16.0,23.0,"Irvine CCD, Estill County, Kentucky",065,91816,21
