B19001H_001E,B19001H_002E,B19001H_003E,B19001H_004E,B19001H_005E,B19001H_006E,B19001H_007E,B19001H_008E,B19001H_009E,B19001H_010E,B19001H_011E,B19001H_012E,B19001H_013E,B19001H_014E,B19001H_015E,B19001H_016E,B19001H_017E,name,county,county subdivision,state
802.0,34.0,64.0,69.0,42.0,43.0,28.0,49.0,60.0,46.0,83.0,84.0,83.0,42.0,31.0,30.0,14.0,"Palmyra town, Somerset County, Maine",025,56520,23
373.0,12.0,27.0,34.0,11.0,18.0,13.0,23.0,14.0,9.0,49.0,29.0,61.0,62.0,4.0,7.0,0.0,"Solon town, Somerset County, Maine",025,69505,23
26.0,7.0,4.0,2.0,6.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"Brighton plantation, Somerset County, Maine",025,07380,23
305.0,21.0,19.0,18.0,4.0,11.0,20.0,26.0,32.0,14.0,46.0,14.0,23.0,42.0,7.0,0.0,8.0,"New Portland town, Somerset County, Maine",025,49205,23
363.0,6.0,15.0,7.0,14.0,23.0,11.0,23.0,8.0,19.0,29.0,100.0,61.0,8.0,7.0,25.0,7.0,"Smithfield town, Somerset County, Maine",025,69155,23
368.0,8.0,34.0,18.0,15.0,40.0,20.0,5.0,20.0,23.0,6.0,60.0,66.0,24.0,5.0,10.0,14.0,"Embden town, Somerset County, Maine",025,23410,23
4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Northwest Somerset UT, Somerset County, Maine",025,53636,23
779.0,46.0,42.0,65.0,39.0,37.0,26.0,25.0,41.0,48.0,68.0,118.0,132.0,28.0,18.0,40.0,6.0,"St. Albans town, Somerset County, Maine",025,64850,23
13.0,2.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,"West Forks plantation, Somerset County, Maine",025,82840,23
2010.0,209.0,181.0,104.0,118.0,141.0,151.0,50.0,141.0,67.0,208.0,155.0,162.0,147.0,116.0,41.0,19.0,"Madison town, Somerset County, Maine",025,42660,23
1041.0,82.0,75.0,84.0,80.0,59.0,70.0,48.0,34.0,65.0,99.0,196.0,51.0,36.0,48.0,7.0,7.0,"Anson town, Somerset County, Maine",025,01395,23
12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,10.0,0.0,0.0,0.0,0.0,"Dennistown plantation, Somerset County, Maine",025,17285,23
2509.0,244.0,202.0,166.0,136.0,115.0,101.0,160.0,107.0,125.0,188.0,299.0,285.0,249.0,96.0,10.0,26.0,"Fairfield town, Somerset County, Maine",025,24320,23
690.0,85.0,62.0,55.0,68.0,39.0,79.0,26.0,29.0,16.0,40.0,47.0,80.0,46.0,4.0,14.0,0.0,"Hartland town, Somerset County, Maine",025,31740,23
238.0,13.0,17.0,54.0,22.0,2.0,33.0,14.0,18.0,9.0,8.0,24.0,11.0,9.0,4.0,0.0,0.0,"Moscow town, Somerset County, Maine",025,47455,23
54.0,10.0,0.0,10.0,4.0,4.0,4.0,7.0,13.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,"Pleasant Ridge plantation, Somerset County, Maine",025,59705,23
29.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,"Seboomook Lake UT, Somerset County, Maine",025,67238,23
681.0,37.0,28.0,61.0,47.0,26.0,32.0,29.0,27.0,53.0,69.0,58.0,69.0,32.0,5.0,42.0,66.0,"Gouldsboro town, Hancock County, Maine",009,28450,23
2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Northwest Hancock UT, Hancock County, Maine",009,53620,23
319.0,28.0,4.0,15.0,4.0,10.0,24.0,11.0,14.0,31.0,23.0,41.0,46.0,26.0,23.0,8.0,11.0,"Otis town, Hancock County, Maine",009,55890,23
864.0,63.0,35.0,61.0,47.0,63.0,16.0,21.0,45.0,49.0,41.0,101.0,72.0,79.0,43.0,39.0,89.0,"Deer Isle town, Hancock County, Maine",009,17145,23
1043.0,59.0,52.0,72.0,68.0,62.0,62.0,66.0,72.0,43.0,59.0,152.0,155.0,51.0,26.0,30.0,14.0,"Hancock town, Hancock County, Maine",009,30970,23
29.0,0.0,0.0,2.0,11.0,1.0,0.0,0.0,0.0,2.0,0.0,5.0,4.0,2.0,0.0,2.0,0.0,"Osborn town, Hancock County, Maine",009,55855,23
132.0,7.0,10.0,0.0,11.0,15.0,9.0,0.0,12.0,0.0,12.0,35.0,12.0,7.0,1.0,0.0,1.0,"Sorrento town, Hancock County, Maine",009,69750,23
486.0,35.0,42.0,35.0,11.0,36.0,37.0,38.0,15.0,18.0,41.0,62.0,39.0,25.0,38.0,11.0,3.0,"Stonington town, Hancock County, Maine",009,74580,23
