B19001H_001E,B19001H_002E,B19001H_003E,B19001H_004E,B19001H_005E,B19001H_006E,B19001H_007E,B19001H_008E,B19001H_009E,B19001H_010E,B19001H_011E,B19001H_012E,B19001H_013E,B19001H_014E,B19001H_015E,B19001H_016E,B19001H_017E,name,county,county subdivision,state
32.0,0.0,4.0,4.0,6.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,"Dixie Valley CCD, Churchill County, Nevada",001,94238,32
7777.0,620.0,276.0,443.0,256.0,420.0,516.0,350.0,394.0,410.0,581.0,713.0,1022.0,780.0,541.0,284.0,171.0,"Fallon CCD, Churchill County, Nevada",001,94308,32
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Carson Sink CCD, Churchill County, Nevada",001,94154,32
2913.0,96.0,66.0,135.0,91.0,67.0,47.0,74.0,103.0,111.0,303.0,433.0,380.0,166.0,263.0,241.0,337.0,"Genoa-Jacks Valley CCD, Douglas County, Nevada",005,94378,32
350.0,0.0,7.0,27.0,8.0,1.0,0.0,8.0,1.0,57.0,22.0,41.0,60.0,39.0,25.0,34.0,20.0,"Pine Nut CCD, Douglas County, Nevada",005,94658,32
2129.0,90.0,38.0,58.0,60.0,60.0,96.0,63.0,87.0,137.0,281.0,216.0,259.0,194.0,98.0,111.0,281.0,"Zephyr Cove CCD, Douglas County, Nevada",005,94952,32
11161.0,390.0,444.0,290.0,558.0,475.0,534.0,386.0,731.0,555.0,1002.0,1390.0,1832.0,1160.0,530.0,482.0,402.0,"Gardnerville-Minden CCD, Douglas County, Nevada",005,94364,32
897.0,55.0,57.0,61.0,54.0,53.0,55.0,53.0,27.0,45.0,85.0,92.0,134.0,70.0,25.0,13.0,18.0,"Topaz Lake CCD, Douglas County, Nevada",005,94826,32
1315.0,119.0,78.0,0.0,100.0,68.0,1.0,42.0,41.0,51.0,69.0,104.0,178.0,213.0,74.0,160.0,17.0,"Battle Mountain CCD, Lander County, Nevada",015,94070,32
228.0,0.0,18.0,0.0,19.0,21.0,0.0,43.0,0.0,57.0,0.0,0.0,0.0,35.0,21.0,14.0,0.0,"Austin CCD, Lander County, Nevada",015,94042,32
1069.0,104.0,109.0,44.0,39.0,66.0,49.0,41.0,61.0,34.0,51.0,137.0,190.0,72.0,46.0,19.0,7.0,"Lovelock CCD, Pershing County, Nevada",027,94518,32
609.0,0.0,13.0,51.0,0.0,28.0,43.0,29.0,5.0,81.0,95.0,31.0,114.0,35.0,50.0,14.0,20.0,"Imlay CCD, Pershing County, Nevada",027,94448,32
333.0,2.0,0.0,0.0,0.0,82.0,0.0,70.0,0.0,25.0,51.0,2.0,79.0,22.0,0.0,0.0,0.0,"McDermitt CCD, Humboldt County, Nevada",013,94546,32
237.0,2.0,18.0,34.0,50.0,0.0,15.0,21.0,8.0,16.0,20.0,40.0,8.0,5.0,0.0,0.0,0.0,"Goldfield CCD, Esmeralda County, Nevada",009,94420,32
259.0,36.0,25.0,0.0,0.0,10.0,5.0,6.0,14.0,0.0,35.0,0.0,38.0,71.0,7.0,12.0,0.0,"Beowawe CCD, Eureka County, Nevada",011,94098,32
500.0,18.0,117.0,0.0,11.0,16.0,0.0,6.0,0.0,0.0,29.0,65.0,63.0,48.0,60.0,41.0,26.0,"Eureka CCD, Eureka County, Nevada",011,94294,32
554.0,39.0,17.0,14.0,57.0,41.0,19.0,44.0,37.0,33.0,28.0,66.0,82.0,42.0,35.0,0.0,0.0,"Golconda CCD, Humboldt County, Nevada",013,94406,32
76.0,8.0,5.0,7.0,0.0,0.0,0.0,0.0,5.0,12.0,15.0,12.0,0.0,0.0,12.0,0.0,0.0,"Mina CCD, Mineral County, Nevada",021,94588,32
66.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,14.0,17.0,0.0,20.0,0.0,0.0,0.0,"Summit Lake CCD, Humboldt County, Nevada",013,94798,32
3614.0,165.0,87.0,103.0,123.0,146.0,173.0,62.0,94.0,183.0,150.0,394.0,593.0,520.0,425.0,263.0,133.0,"Winnemucca CCD, Humboldt County, Nevada",013,94910,32
1161.0,90.0,63.0,118.0,72.0,69.0,68.0,53.0,41.0,36.0,151.0,100.0,107.0,116.0,45.0,0.0,32.0,"Hawthorne CCD, Mineral County, Nevada",021,94434,32
26.0,2.0,5.0,0.0,6.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,"Walker River CCD, Mineral County, Nevada",021,94868,32
9.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Cherry Creek CCD, White Pine County, Nevada",033,94168,32
1817.0,56.0,55.0,121.0,68.0,71.0,74.0,44.0,95.0,74.0,142.0,328.0,335.0,206.0,41.0,77.0,30.0,"Ely CCD, White Pine County, Nevada",033,94280,32
590.0,23.0,21.0,44.0,18.0,7.0,17.0,43.0,65.0,35.0,84.0,121.0,21.0,28.0,45.0,18.0,0.0,"McGill CCD, White Pine County, Nevada",033,94560,32
152.0,0.0,0.0,0.0,22.0,11.0,20.0,0.0,0.0,0.0,15.0,0.0,67.0,0.0,17.0,0.0,0.0,"Lund CCD, White Pine County, Nevada",033,94532,32
158.0,12.0,0.0,0.0,0.0,14.0,0.0,14.0,27.0,8.0,0.0,13.0,30.0,16.0,0.0,24.0,0.0,"Ruth CCD, White Pine County, Nevada",033,94742,32
54.0,0.0,0.0,0.0,8.0,0.0,0.0,7.0,0.0,0.0,10.0,6.0,8.0,15.0,0.0,0.0,0.0,"Baker CCD, White Pine County, Nevada",033,94056,32
634.0,9.0,35.0,22.0,46.0,34.0,54.0,13.0,27.0,16.0,32.0,139.0,57.0,77.0,47.0,23.0,3.0,"Wells CCD, Elko County, Nevada",007,94882,32
283.0,78.0,0.0,25.0,81.0,26.0,0.0,27.0,28.0,0.0,0.0,10.0,8.0,0.0,0.0,0.0,0.0,"Jackpot CCD, Elko County, Nevada",007,94476,32
647.0,12.0,0.0,94.0,0.0,31.0,0.0,29.0,59.0,114.0,61.0,56.0,109.0,5.0,30.0,32.0,15.0,"West Wendover CCD, Elko County, Nevada",007,94896,32
10564.0,372.0,304.0,209.0,281.0,191.0,312.0,209.0,242.0,296.0,686.0,1070.0,2128.0,1337.0,1094.0,1209.0,624.0,"Elko CCD, Elko County, Nevada",007,94266,32
82.0,16.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,16.0,9.0,0.0,0.0,0.0,"Montello CCD, Elko County, Nevada",007,94602,32
698.0,0.0,11.0,42.0,18.0,59.0,15.0,6.0,71.0,13.0,47.0,62.0,107.0,40.0,49.0,85.0,73.0,"Carlin CCD, Elko County, Nevada",007,94126,32
39.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,15.0,0.0,0.0,0.0,0.0,"Jarbidge CCD, Elko County, Nevada",007,94490,32
111.0,0.0,0.0,8.0,0.0,17.0,4.0,3.0,3.0,0.0,37.0,16.0,16.0,0.0,4.0,0.0,3.0,"Mountain City CCD, Elko County, Nevada",007,94616,32
399.0,14.0,0.0,0.0,9.0,34.0,38.0,0.0,14.0,30.0,69.0,89.0,60.0,31.0,0.0,0.0,11.0,"Alamo CCD, Lincoln County, Nevada",017,94014,32
435.0,29.0,19.0,34.0,23.0,12.0,32.0,5.0,13.0,4.0,42.0,52.0,98.0,33.0,28.0,11.0,0.0,"Caliente CCD, Lincoln County, Nevada",017,94112,32
959.0,39.0,62.0,63.0,98.0,93.0,27.0,19.0,36.0,43.0,113.0,119.0,54.0,77.0,38.0,58.0,20.0,"Pioche CCD, Lincoln County, Nevada",017,94672,32
185.0,19.0,9.0,20.0,0.0,9.0,8.0,20.0,9.0,0.0,46.0,25.0,0.0,0.0,0.0,9.0,11.0,"Amargosa Valley CCD, Nye County, Nevada",023,94028,32
680.0,0.0,7.0,34.0,22.0,9.0,0.0,0.0,35.0,42.0,79.0,49.0,130.0,75.0,111.0,75.0,12.0,"Round Mountain CCD, Nye County, Nevada",023,94728,32
12549.0,907.0,828.0,782.0,1026.0,813.0,603.0,670.0,699.0,584.0,1587.0,1288.0,1299.0,806.0,364.0,246.0,47.0,"Pahrump CCD, Nye County, Nevada",023,94644,32
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Yucca Flat CCD, Nye County, Nevada",023,94938,32
