B19001H_001E,B19001H_002E,B19001H_003E,B19001H_004E,B19001H_005E,B19001H_006E,B19001H_007E,B19001H_008E,B19001H_009E,B19001H_010E,B19001H_011E,B19001H_012E,B19001H_013E,B19001H_014E,B19001H_015E,B19001H_016E,B19001H_017E,name,county,county subdivision,state
781.0,14.0,11.0,23.0,39.0,25.0,57.0,49.0,35.0,51.0,88.0,194.0,27.0,86.0,18.0,37.0,27.0,"Mount Carmel CCD, McCormick County, South Carolina",065,92262,45
3532.0,351.0,336.0,161.0,285.0,154.0,144.0,192.0,193.0,175.0,301.0,336.0,404.0,212.0,101.0,127.0,60.0,"Clinton CCD, Laurens County, South Carolina",059,90663,45
5214.0,366.0,378.0,355.0,515.0,264.0,243.0,324.0,272.0,332.0,376.0,385.0,672.0,354.0,132.0,127.0,119.0,"Laurens CCD, Laurens County, South Carolina",059,91924,45
749.0,15.0,46.0,106.0,72.0,48.0,39.0,37.0,37.0,19.0,84.0,165.0,50.0,10.0,5.0,0.0,16.0,"Joanna CCD, Laurens County, South Carolina",059,91690,45
587.0,45.0,26.0,16.0,0.0,43.0,19.0,58.0,12.0,32.0,71.0,68.0,103.0,50.0,20.0,14.0,10.0,"Parksville CCD, McCormick County, South Carolina",065,92561,45
949.0,128.0,50.0,22.0,68.0,58.0,34.0,61.0,20.0,12.0,90.0,176.0,125.0,60.0,7.0,0.0,38.0,"McCormick CCD, McCormick County, South Carolina",065,92119,45
3544.0,379.0,283.0,358.0,278.0,387.0,129.0,164.0,133.0,193.0,276.0,266.0,347.0,90.0,82.0,95.0,84.0,"Central CCD, Pickens County, South Carolina",077,90533,45
13215.0,808.0,662.0,845.0,837.0,827.0,696.0,766.0,673.0,712.0,1110.0,1383.0,1694.0,894.0,569.0,522.0,217.0,"Easley CCD, Pickens County, South Carolina",077,90936,45
5721.0,384.0,479.0,366.0,400.0,312.0,348.0,300.0,419.0,393.0,482.0,442.0,724.0,333.0,117.0,123.0,99.0,"Pickens CCD, Pickens County, South Carolina",077,92639,45
3664.0,310.0,177.0,124.0,87.0,237.0,164.0,158.0,155.0,132.0,301.0,352.0,627.0,453.0,123.0,199.0,65.0,"Easley East CCD, Pickens County, South Carolina",077,90949,45
4165.0,287.0,197.0,297.0,187.0,338.0,92.0,101.0,232.0,293.0,375.0,504.0,368.0,440.0,109.0,214.0,131.0,"Six Mile CCD, Pickens County, South Carolina",077,93146,45
4935.0,801.0,484.0,395.0,153.0,197.0,83.0,216.0,251.0,331.0,370.0,166.0,371.0,357.0,298.0,214.0,248.0,"Clemson CCD, Pickens County, South Carolina",077,90650,45
4460.0,376.0,268.0,349.0,184.0,244.0,218.0,232.0,197.0,390.0,364.0,521.0,594.0,254.0,129.0,101.0,39.0,"Liberty CCD, Pickens County, South Carolina",077,91950,45
1080.0,65.0,113.0,49.0,42.0,33.0,103.0,48.0,64.0,30.0,126.0,85.0,167.0,13.0,58.0,81.0,3.0,"Jonesville CCD, Union County, South Carolina",087,91742,45
254.0,13.0,21.0,5.0,0.0,4.0,11.0,23.0,39.0,17.0,21.0,61.0,9.0,16.0,14.0,0.0,0.0,"Carlisle CCD, Union County, South Carolina",087,90507,45
272.0,0.0,9.0,0.0,35.0,20.0,10.0,38.0,10.0,0.0,15.0,20.0,29.0,14.0,0.0,12.0,60.0,"Cross Keys CCD, Union County, South Carolina",087,90832,45
704.0,61.0,92.0,55.0,19.0,10.0,24.0,32.0,63.0,26.0,28.0,56.0,157.0,24.0,10.0,18.0,29.0,"West Springs CCD, Union County, South Carolina",087,93679,45
896.0,89.0,56.0,33.0,61.0,40.0,56.0,75.0,31.0,10.0,106.0,79.0,151.0,79.0,11.0,9.0,10.0,"Lockhart CCD, Union County, South Carolina",087,91989,45
4402.0,317.0,429.0,216.0,517.0,222.0,157.0,244.0,311.0,168.0,323.0,578.0,439.0,245.0,109.0,76.0,51.0,"Union CCD, Union County, South Carolina",087,93497,45
754.0,35.0,51.0,46.0,90.0,80.0,36.0,17.0,49.0,49.0,30.0,92.0,57.0,50.0,26.0,23.0,23.0,"Hemingway CCD, Williamsburg County, South Carolina",089,91495,45
490.0,19.0,34.0,54.0,6.0,14.0,16.0,3.0,7.0,29.0,25.0,92.0,81.0,41.0,26.0,8.0,35.0,"Trio CCD, Williamsburg County, South Carolina",089,93458,45
277.0,32.0,41.0,11.0,32.0,14.0,20.0,31.0,1.0,2.0,30.0,1.0,14.0,23.0,18.0,1.0,6.0,"Greeleyville CCD, Williamsburg County, South Carolina",089,91339,45
1475.0,231.0,88.0,150.0,121.0,68.0,28.0,119.0,105.0,56.0,129.0,111.0,78.0,99.0,0.0,40.0,52.0,"Kingstree CCD, Williamsburg County, South Carolina",089,91768,45
443.0,33.0,26.0,13.0,38.0,33.0,38.0,44.0,0.0,20.0,51.0,32.0,41.0,63.0,11.0,0.0,0.0,"Nesmith CCD, Williamsburg County, South Carolina",089,92353,45
133.0,5.0,3.0,3.0,17.0,0.0,7.0,2.0,0.0,0.0,0.0,27.0,55.0,14.0,0.0,0.0,0.0,"Lane CCD, Williamsburg County, South Carolina",089,91898,45
17944.0,819.0,653.0,756.0,960.0,941.0,868.0,866.0,943.0,623.0,1454.0,1849.0,2474.0,2074.0,997.0,924.0,743.0,"Aiken CCD, Aiken County, South Carolina",003,90026,45
978.0,56.0,69.0,28.0,112.0,96.0,76.0,13.0,53.0,17.0,111.0,102.0,143.0,51.0,11.0,40.0,0.0,"Jackson CCD, Aiken County, South Carolina",003,91651,45
2129.0,62.0,53.0,154.0,124.0,88.0,145.0,42.0,140.0,225.0,218.0,256.0,188.0,130.0,145.0,51.0,108.0,"Beech Island CCD, Aiken County, South Carolina",003,90208,45
3573.0,170.0,171.0,172.0,174.0,227.0,171.0,117.0,159.0,89.0,285.0,261.0,584.0,343.0,206.0,249.0,195.0,"New Ellenton CCD, Aiken County, South Carolina",003,92379,45
15864.0,995.0,1042.0,894.0,833.0,752.0,1002.0,824.0,861.0,587.0,1290.0,1779.0,2076.0,1274.0,678.0,623.0,354.0,"North Augusta CCD, Aiken County, South Carolina",003,92418,45
554.0,66.0,37.0,21.0,29.0,5.0,10.0,26.0,38.0,44.0,30.0,148.0,23.0,50.0,10.0,8.0,9.0,"Salley CCD, Aiken County, South Carolina",003,92977,45
1157.0,113.0,33.0,151.0,34.0,65.0,82.0,117.0,30.0,81.0,54.0,147.0,151.0,58.0,29.0,3.0,9.0,"Wagener CCD, Aiken County, South Carolina",003,93562,45
1367.0,125.0,137.0,50.0,115.0,85.0,72.0,113.0,16.0,9.0,61.0,147.0,271.0,70.0,38.0,49.0,9.0,"Monetta CCD, Aiken County, South Carolina",003,92223,45
1639.0,272.0,69.0,109.0,41.0,119.0,73.0,54.0,128.0,29.0,233.0,77.0,119.0,135.0,67.0,24.0,90.0,"Windsor CCD, Aiken County, South Carolina",003,93744,45
228.0,16.0,0.0,21.0,3.0,16.0,51.0,3.0,10.0,12.0,4.0,23.0,18.0,51.0,0.0,0.0,0.0,"Fairfax CCD, Allendale County, South Carolina",005,91092,45
66.0,0.0,0.0,0.0,0.0,14.0,0.0,19.0,16.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,"Millett CCD, Allendale County, South Carolina",005,92197,45
410.0,0.0,54.0,67.0,81.0,30.0,12.0,13.0,5.0,0.0,12.0,30.0,45.0,20.0,28.0,13.0,0.0,"Allendale CCD, Allendale County, South Carolina",005,90052,45
166.0,3.0,29.0,4.0,18.0,2.0,10.0,22.0,6.0,19.0,18.0,9.0,10.0,15.0,1.0,0.0,0.0,"Sycamore CCD, Allendale County, South Carolina",005,93367,45
995.0,88.0,109.0,42.0,80.0,49.0,90.0,43.0,46.0,22.0,70.0,85.0,115.0,90.0,22.0,30.0,14.0,"Whitmire CCD, Newberry County, South Carolina",071,93705,45
3376.0,220.0,239.0,164.0,160.0,224.0,273.0,163.0,170.0,329.0,272.0,274.0,429.0,166.0,87.0,145.0,61.0,"Newberry CCD, Newberry County, South Carolina",071,92366,45
1107.0,68.0,22.0,72.0,40.0,74.0,56.0,84.0,5.0,46.0,121.0,134.0,131.0,105.0,71.0,43.0,35.0,"Pomaria CCD, Newberry County, South Carolina",071,92704,45
2183.0,201.0,140.0,207.0,9.0,158.0,106.0,131.0,88.0,195.0,145.0,280.0,267.0,95.0,41.0,86.0,34.0,"Barnwell CCD, Barnwell County, South Carolina",011,90143,45
910.0,51.0,98.0,35.0,57.0,72.0,10.0,79.0,44.0,38.0,82.0,99.0,133.0,71.0,22.0,8.0,11.0,"Mountain Rest CCD, Oconee County, South Carolina",073,92249,45
7199.0,407.0,534.0,513.0,434.0,362.0,595.0,400.0,343.0,268.0,468.0,943.0,775.0,365.0,314.0,250.0,228.0,"Walhalla CCD, Oconee County, South Carolina",073,93575,45
