B28003_001E,B28003_002E,B28003_003E,B28003_004E,B28003_005E,B28003_006E,name,county,county subdivision,state
19879.0,17800.0,309.0,14892.0,2599.0,2079.0,"Kenai-Cook Inlet census subarea, Kenai Peninsula Borough, Alaska",122,38460,02
2384.0,2303.0,33.0,1998.0,272.0,81.0,"Chugach census subarea, Valdez-Cordova Census Area, Alaska",261,14420,02
678.0,644.0,0.0,603.0,41.0,34.0,"Denali census subarea, Denali Borough, Alaska",068,18765,02
465.0,327.0,15.0,269.0,43.0,138.0,"Copper River census subarea, Valdez-Cordova Census Area, Alaska",261,17350,02
1900.0,1672.0,28.0,1475.0,169.0,228.0,"Seward-Hope census subarea, Kenai Peninsula Borough, Alaska",122,68610,02
399.0,262.0,0.0,197.0,65.0,137.0,"McGrath-Holy Cross census subarea, Yukon-Koyukuk Census Area, Alaska",290,46060,02
408.0,338.0,1.0,245.0,92.0,70.0,"Lake and Peninsula census subarea, Lake and Peninsula Borough, Alaska",164,42780,02
2139.0,1897.0,11.0,1603.0,283.0,242.0,"Southeast Fairbanks census subarea, Southeast Fairbanks Census Area, Alaska",240,72030,02
1094.0,740.0,1.0,498.0,241.0,354.0,"Koyukuk-Middle Yukon census subarea, Yukon-Koyukuk Census Area, Alaska",290,42080,02
466.0,273.0,3.0,157.0,113.0,193.0,"Yukon Flats census subarea, Yukon-Koyukuk Census Area, Alaska",290,86690,02
106012.0,100312.0,413.0,92255.0,7644.0,5700.0,"Anchorage census subarea, Anchorage Municipality, Alaska",020,03050,02
812.0,693.0,0.0,551.0,142.0,119.0,"Aleutians East census subarea, Aleutians East Borough, Alaska",013,01598,02
1830.0,1566.0,5.0,1241.0,320.0,264.0,"Prince of Wales census subarea, Prince of Wales-Hyder Census Area, Alaska",198,64310,02
423.0,407.0,1.0,352.0,54.0,16.0,"Skagway census subarea, Skagway Municipality, Alaska",230,70810,02
0.0,0.0,0.0,0.0,0.0,0.0,"Hyder census subarea, Prince of Wales-Hyder Census Area, Alaska",198,34575,02
485.0,427.0,0.0,329.0,98.0,58.0,"Metlakatla Indian Community census subarea, Prince of Wales-Hyder Census Area, Alaska",198,48873,02
1084.0,916.0,10.0,807.0,99.0,168.0,"Wrangell census subarea, Wrangell City and Borough, Alaska",275,86420,02
770.0,648.0,0.0,558.0,90.0,122.0,"Hoonah-Angoon census subarea, Hoonah-Angoon Census Area, Alaska",105,33390,02
32.0,22.0,2.0,20.0,0.0,10.0,"Klukwan census subarea, Hoonah-Angoon Census Area, Alaska",105,40560,02
1218.0,1118.0,2.0,900.0,216.0,100.0,"Aleutians West census subarea, Aleutians West Census Area, Alaska",016,01615,02
358.0,327.0,7.0,291.0,29.0,31.0,"Bristol Bay census subarea, Bristol Bay Borough, Alaska",060,09050,02
4538.0,4084.0,5.0,3727.0,352.0,454.0,"Kodiak Island census subarea, Kodiak Island Borough, Alaska",150,41200,02
1849.0,1478.0,0.0,1223.0,255.0,371.0,"Northwest Arctic census subarea, Northwest Arctic Borough, Alaska",188,56270,02
3545.0,3265.0,17.0,2844.0,404.0,280.0,"Sitka census subarea, Sitka City and Borough, Alaska",220,70590,02
417.0,301.0,0.0,229.0,72.0,116.0,"Aniak census subarea, Bethel Census Area, Alaska",050,03580,02
4107.0,3407.0,1.0,2936.0,470.0,700.0,"Lower Kuskokwim census subarea, Bethel Census Area, Alaska",050,45510,02
2041.0,1723.0,10.0,1382.0,331.0,318.0,"North Slope census subarea, North Slope Borough, Alaska",185,55970,02
1752.0,1340.0,0.0,1011.0,329.0,412.0,"Kusilvak census subarea, Kusilvak Census Area, Alaska",158,42185,02
1255.0,1131.0,4.0,953.0,174.0,124.0,"Petersburg census subarea, Petersburg Borough, Alaska",195,60360,02
36396.0,34149.0,231.0,29744.0,4174.0,2247.0,"Fairbanks North Star census subarea, Fairbanks North Star Borough, Alaska",090,24450,02
5270.0,4807.0,26.0,4255.0,526.0,463.0,"Ketchikan census subarea, Ketchikan Gateway Borough, Alaska",130,39010,02
30613.0,28582.0,190.0,26020.0,2372.0,2031.0,"Matanuska-Susitna census subarea, Matanuska-Susitna Borough, Alaska",170,47440,02
2897.0,2477.0,2.0,1948.0,527.0,420.0,"Nome census subarea, Nome Census Area, Alaska",180,54970,02
1405.0,1146.0,2.0,1008.0,136.0,259.0,"Dillingham census subarea, Dillingham Census Area, Alaska",070,19000,02
1087.0,1016.0,19.0,839.0,158.0,71.0,"Haines census subarea, Haines Borough, Alaska",100,31160,02
255.0,227.0,3.0,177.0,47.0,28.0,"Yakutat census subarea, Yakutat City and Borough, Alaska",282,86498,02
12273.0,11600.0,76.0,10713.0,811.0,673.0,"Juneau census subarea, Juneau City and Borough, Alaska",110,36450,02
