B28003_001E,B28003_002E,B28003_003E,B28003_004E,B28003_005E,B28003_006E,name,county,county subdivision,state
46998.0,44906.0,91.0,42274.0,2541.0,2092.0,"Central Pasco CCD, Pasco County, Florida",101,90481,12
2263.0,1642.0,4.0,1311.0,327.0,621.0,"Bell CCD, Gilchrist County, Florida",041,90130,12
6429.0,5315.0,64.0,4608.0,643.0,1114.0,"Live Oak CCD, Suwannee County, Florida",121,91950,12
47288.0,40450.0,177.0,36200.0,4073.0,6838.0,"Port Richey CCD, Pasco County, Florida",101,92860,12
18453.0,14763.0,327.0,12727.0,1709.0,3690.0,"Sebring CCD, Highlands County, Florida",055,93120,12
9689.0,7052.0,118.0,5898.0,1036.0,2637.0,"Lake Placid CCD, Highlands County, Florida",055,91846,12
13208.0,10445.0,238.0,9090.0,1117.0,2763.0,"Avon Park CCD, Highlands County, Florida",055,90091,12
2595.0,2113.0,19.0,1995.0,99.0,482.0,"Branford CCD, Suwannee County, Florida",121,90299,12
5613.0,4685.0,90.0,3812.0,783.0,928.0,"Dade City CCD, Pasco County, Florida",101,90741,12
69715.0,58782.0,385.0,51949.0,6448.0,10933.0,"New Port Richey CCD, Pasco County, Florida",101,92327,12
4136.0,3360.0,20.0,2655.0,685.0,776.0,"Trenton CCD, Gilchrist County, Florida",041,93432,12
3193.0,2714.0,0.0,2409.0,305.0,479.0,"Dowling Park CCD, Suwannee County, Florida",121,90858,12
3074.0,2454.0,15.0,2187.0,252.0,620.0,"McAlpin-Wellborn CCD, Suwannee County, Florida",121,92002,12
66510.0,59423.0,125.0,54091.0,5207.0,7087.0,"Gainesville CCD, Alachua County, Florida",001,91248,12
2246.0,1536.0,95.0,1283.0,158.0,710.0,"Hawthorne CCD, Alachua County, Florida",001,91469,12
8784.0,8024.0,55.0,7309.0,660.0,760.0,"Newberry-Archer CCD, Alachua County, Florida",001,92314,12
1220.0,999.0,36.0,825.0,138.0,221.0,"Micanopy CCD, Alachua County, Florida",001,92184,12
16053.0,14493.0,136.0,13320.0,1037.0,1560.0,"High Springs-Alachua CCD, Alachua County, Florida",001,91495,12
2672.0,2241.0,69.0,1964.0,208.0,431.0,"Waldo CCD, Alachua County, Florida",001,93536,12
4280.0,3087.0,43.0,2676.0,368.0,1193.0,"Arcadia West CCD, DeSoto County, Florida",027,90078,12
7464.0,4013.0,65.0,3145.0,803.0,3451.0,"Arcadia East CCD, DeSoto County, Florida",027,90065,12
927.0,701.0,0.0,634.0,67.0,226.0,"Altha CCD, Calhoun County, Florida",013,90026,12
2178.0,1583.0,5.0,1200.0,378.0,595.0,"Blountstown CCD, Calhoun County, Florida",013,90169,12
5973.0,5083.0,45.0,4412.0,626.0,890.0,"Fort White CCD, Columbia County, Florida",023,91183,12
18225.0,16004.0,269.0,14341.0,1394.0,2221.0,"Punta Gorda CCD, Charlotte County, Florida",015,92899,12
18274.0,16646.0,131.0,14941.0,1574.0,1628.0,"Grove City-Rotonda CCD, Charlotte County, Florida",015,91352,12
38385.0,33508.0,305.0,30091.0,3112.0,4877.0,"Port Charlotte CCD, Charlotte County, Florida",015,92834,12
636.0,567.0,0.0,502.0,65.0,69.0,"North Columbia CCD, Columbia County, Florida",023,92366,12
18113.0,15476.0,113.0,13046.0,2317.0,2637.0,"Lake City CCD, Columbia County, Florida",023,91820,12
1884.0,1220.0,22.0,916.0,282.0,664.0,"Cross City South CCD, Dixie County, Florida",029,90702,12
4547.0,3250.0,96.0,1903.0,1251.0,1297.0,"Cross City North CCD, Dixie County, Florida",029,90689,12
30069.0,27037.0,63.0,24920.0,2054.0,3032.0,"Stuart CCD, Martin County, Florida",085,93250,12
6346.0,5722.0,66.0,4849.0,807.0,624.0,"Indiantown CCD, Martin County, Florida",085,91586,12
27082.0,24056.0,66.0,21748.0,2242.0,3026.0,"Port Salerno-Hobe Sound CCD, Martin County, Florida",085,92873,12
33939.0,29455.0,188.0,26138.0,3129.0,4484.0,"Venice CCD, Sarasota County, Florida",115,93484,12
9570.0,7605.0,194.0,6336.0,1075.0,1965.0,"Interlachen-Florahome CCD, Putnam County, Florida",107,91612,12
6252.0,4622.0,114.0,3720.0,788.0,1630.0,"Crescent City CCD, Putnam County, Florida",107,90663,12
