B28003_001E,B28003_002E,B28003_003E,B28003_004E,B28003_005E,B28003_006E,name,county,county subdivision,state
133.0,107.0,0.0,93.0,14.0,26.0,"Liberty township, Plymouth County, Iowa",149,92484,19
0.0,0.0,0.0,0.0,0.0,0.0,"Sioux City city, Plymouth County, Iowa",149,93925,19
60.0,56.0,7.0,34.0,15.0,4.0,"Union township, Plymouth County, Iowa",149,94254,19
55.0,49.0,0.0,49.0,0.0,6.0,"Henry township, Plymouth County, Iowa",149,91908,19
82.0,37.0,0.0,37.0,0.0,45.0,"Preston township, Plymouth County, Iowa",149,93507,19
737.0,609.0,0.0,531.0,78.0,128.0,"Remsen township, Plymouth County, Iowa",149,93564,19
108.0,108.0,0.0,108.0,0.0,0.0,"Johnson township, Plymouth County, Iowa",149,92274,19
219.0,194.0,4.0,164.0,26.0,25.0,"Marion township, Plymouth County, Iowa",149,92865,19
132.0,117.0,7.0,91.0,19.0,15.0,"Washington township, Plymouth County, Iowa",149,94545,19
74.0,71.0,0.0,67.0,4.0,3.0,"Lincoln township, Plymouth County, Iowa",149,92589,19
143.0,93.0,0.0,93.0,0.0,50.0,"Sioux township, Plymouth County, Iowa",149,93921,19
760.0,592.0,4.0,541.0,47.0,168.0,"Portland township, Plymouth County, Iowa",149,93462,19
133.0,98.0,0.0,84.0,14.0,35.0,"Buffalo township, Buchanan County, Iowa",019,90384,19
85.0,65.0,7.0,39.0,19.0,20.0,"Fremont township, Buchanan County, Iowa",019,91461,19
1988.0,1500.0,23.0,1367.0,110.0,488.0,"Washington township, Buchanan County, Iowa",019,94458,19
1227.0,1051.0,0.0,1004.0,47.0,176.0,"Sumner township, Buchanan County, Iowa",019,94047,19
278.0,242.0,3.0,231.0,8.0,36.0,"Homer township, Buchanan County, Iowa",019,91977,19
330.0,284.0,4.0,238.0,42.0,46.0,"Madison township, Buchanan County, Iowa",019,92751,19
762.0,595.0,9.0,541.0,45.0,167.0,"West Holman township, Osceola County, Iowa",143,94678,19
1949.0,1741.0,14.0,1585.0,142.0,208.0,"Evansdale city, Black Hawk County, Iowa",013,91252,19
0.0,0.0,0.0,0.0,0.0,0.0,"Julien township, Dubuque County, Iowa",061,92285,19
544.0,424.0,6.0,407.0,11.0,120.0,"East Holman township, Osceola County, Iowa",143,91111,19
63.0,58.0,4.0,50.0,4.0,5.0,"Willow township, Greene County, Iowa",073,94746,19
56.0,50.0,0.0,37.0,13.0,6.0,"Bristol township, Greene County, Iowa",073,90342,19
81.0,69.0,0.0,63.0,6.0,12.0,"Cedar township, Greene County, Iowa",073,90537,19
237.0,194.0,8.0,172.0,14.0,43.0,"Highland township, Greene County, Iowa",073,91932,19
44.0,44.0,4.0,34.0,6.0,0.0,"Hardin township, Greene County, Iowa",073,91830,19
178.0,143.0,2.0,113.0,28.0,35.0,"Washington township, Greene County, Iowa",073,94497,19
50.0,42.0,0.0,26.0,16.0,8.0,"Franklin township, Greene County, Iowa",073,91404,19
71.0,56.0,0.0,41.0,15.0,15.0,"Dawson township, Greene County, Iowa",073,90897,19
49.0,49.0,0.0,43.0,6.0,0.0,"Greenbrier township, Greene County, Iowa",073,91746,19
1871.0,1578.0,30.0,1317.0,231.0,293.0,"Jefferson city, Greene County, Iowa",073,92221,19
319.0,272.0,3.0,227.0,42.0,47.0,"Scranton township, Greene County, Iowa",073,93804,19
127.0,114.0,0.0,114.0,0.0,13.0,"Grant township, Greene County, Iowa",073,91653,19
54.0,47.0,6.0,41.0,0.0,7.0,"Jackson township, Greene County, Iowa",073,92115,19
72.0,56.0,4.0,46.0,6.0,16.0,"Kendrick township, Greene County, Iowa",073,92304,19
108.0,82.0,0.0,81.0,1.0,26.0,"Buckeye township, Hardin County, Iowa",083,90372,19
104.0,72.0,0.0,72.0,0.0,32.0,"Eldora township, Hardin County, Iowa",083,91158,19
775.0,596.0,20.0,534.0,42.0,179.0,"Etna township, Hardin County, Iowa",083,91245,19
153.0,153.0,0.0,122.0,31.0,0.0,"Concord township, Hardin County, Iowa",083,90804,19
125.0,89.0,0.0,28.0,61.0,36.0,"Pleasant township, Hardin County, Iowa",083,93363,19
499.0,385.0,13.0,322.0,50.0,114.0,"Alden township, Hardin County, Iowa",083,90036,19
625.0,465.0,29.0,373.0,63.0,160.0,"Harrison township, Harrison County, Iowa",085,91863,19
100.0,83.0,0.0,59.0,24.0,17.0,"Ellis township, Hardin County, Iowa",083,91206,19
1031.0,820.0,27.0,727.0,66.0,211.0,"Eldora city, Hardin County, Iowa",083,91157,19
97.0,70.0,0.0,61.0,9.0,27.0,"Jackson township, Hardin County, Iowa",083,92121,19
153.0,116.0,0.0,107.0,9.0,37.0,"Providence township, Hardin County, Iowa",083,93516,19
252.0,216.0,6.0,180.0,30.0,36.0,"Clay township, Hardin County, Iowa",083,90678,19
69.0,44.0,0.0,44.0,0.0,25.0,"Allen township, Harrison County, Iowa",085,90039,19
152.0,133.0,0.0,125.0,8.0,19.0,"Calhoun township, Harrison County, Iowa",085,90444,19
94.0,73.0,0.0,73.0,0.0,21.0,"Cass township, Harrison County, Iowa",085,90507,19
246.0,218.0,0.0,200.0,18.0,28.0,"Washington township, Harrison County, Iowa",085,94503,19
182.0,155.0,8.0,125.0,22.0,27.0,"Morgan township, Harrison County, Iowa",085,93012,19
93.0,70.0,0.0,65.0,5.0,23.0,"Raglan township, Harrison County, Iowa",085,93534,19
88.0,88.0,0.0,80.0,8.0,0.0,"Cincinnati township, Harrison County, Iowa",085,90666,19
814.0,698.0,23.0,540.0,135.0,116.0,"Jefferson township, Harrison County, Iowa",085,92223,19
69.0,69.0,4.0,49.0,16.0,0.0,"Douglas township, Harrison County, Iowa",085,91038,19
328.0,262.0,2.0,212.0,48.0,66.0,"Harrison township, Kossuth County, Iowa",109,91866,19
2571.0,2187.0,17.0,1972.0,198.0,384.0,"Algona city, Kossuth County, Iowa",109,90037,19
68.0,68.0,0.0,63.0,5.0,0.0,"Lincoln township, Kossuth County, Iowa",109,92565,19
116.0,100.0,0.0,100.0,0.0,16.0,"Plum Creek township, Kossuth County, Iowa",109,93426,19
66.0,56.0,0.0,56.0,0.0,10.0,"Prairie township, Kossuth County, Iowa",109,93492,19
72.0,55.0,0.0,45.0,10.0,17.0,"Ramsey township, Kossuth County, Iowa",109,93537,19
83.0,76.0,0.0,64.0,12.0,7.0,"Riverdale township, Kossuth County, Iowa",109,93636,19
45.0,41.0,0.0,41.0,0.0,4.0,"Eagle township, Kossuth County, Iowa",109,91095,19
87.0,60.0,0.0,50.0,10.0,27.0,"Irvington township, Kossuth County, Iowa",109,92082,19
62.0,62.0,0.0,45.0,17.0,0.0,"Springfield township, Kossuth County, Iowa",109,93981,19
97.0,97.0,0.0,97.0,0.0,0.0,"Union township, Kossuth County, Iowa",109,94227,19
54.0,33.0,0.0,27.0,6.0,21.0,"Hebron township, Kossuth County, Iowa",109,91905,19
241.0,188.0,14.0,147.0,27.0,53.0,"Fenton township, Kossuth County, Iowa",109,91332,19
211.0,160.0,1.0,133.0,26.0,51.0,"Ledyard township, Kossuth County, Iowa",109,92394,19
77.0,73.0,2.0,61.0,10.0,4.0,"Sherman township, Kossuth County, Iowa",109,93864,19
58.0,54.0,0.0,34.0,20.0,4.0,"Swea township, Kossuth County, Iowa",109,94071,19
402.0,358.0,4.0,329.0,25.0,44.0,"Cresco township, Kossuth County, Iowa",109,90855,19
100.0,97.0,6.0,83.0,8.0,3.0,"German township, Kossuth County, Iowa",109,91563,19
338.0,275.0,2.0,244.0,29.0,63.0,"Greenwood township, Kossuth County, Iowa",109,91767,19
276.0,233.0,2.0,192.0,39.0,43.0,"Buffalo township, Kossuth County, Iowa",109,90387,19
108.0,108.0,0.0,65.0,43.0,0.0,"Garfield township, Kossuth County, Iowa",109,91521,19
61.0,54.0,0.0,54.0,0.0,7.0,"Seneca township, Kossuth County, Iowa",109,93810,19
214.0,187.0,3.0,153.0,31.0,27.0,"Wesley township, Kossuth County, Iowa",109,94644,19
32.0,32.0,0.0,32.0,0.0,0.0,"Grant township, Kossuth County, Iowa",109,91668,19
105.0,99.0,2.0,71.0,26.0,6.0,"Lotts Creek township, Kossuth County, Iowa",109,92721,19
146.0,113.0,0.0,95.0,18.0,33.0,"Lu Verne township, Kossuth County, Iowa",109,92730,19
63.0,46.0,0.0,46.0,0.0,17.0,"Portland township, Kossuth County, Iowa",109,93459,19
313.0,220.0,10.0,197.0,13.0,93.0,"Whittemore township, Kossuth County, Iowa",109,94731,19
280.0,236.0,4.0,185.0,47.0,44.0,"Burt township, Kossuth County, Iowa",109,90417,19
2569.0,2081.0,50.0,1777.0,254.0,488.0,"Hardin township, Hardin County, Iowa",083,91833,19
308.0,243.0,5.0,217.0,21.0,65.0,"Sherman township, Hardin County, Iowa",083,93858,19
410.0,322.0,9.0,286.0,27.0,88.0,"Tipton township, Hardin County, Iowa",083,94125,19
108.0,103.0,5.0,98.0,0.0,5.0,"Grant township, Hardin County, Iowa",083,91662,19
391.0,330.0,2.0,277.0,51.0,61.0,"Union township, Hardin County, Iowa",083,94215,19
453.0,379.0,2.0,334.0,43.0,74.0,"Morning Sun township, Louisa County, Iowa",115,93018,19
65.0,46.0,0.0,46.0,0.0,19.0,"Marshall township, Louisa County, Iowa",115,92874,19
1221.0,970.0,6.0,898.0,66.0,251.0,"Columbus City township, Louisa County, Iowa",115,90792,19
85.0,76.0,0.0,64.0,12.0,9.0,"Elm Grove township, Louisa County, Iowa",115,91218,19
107.0,89.0,0.0,89.0,0.0,18.0,"Jefferson township, Louisa County, Iowa",115,92235,19
562.0,470.0,7.0,432.0,31.0,92.0,"Grandview township, Louisa County, Iowa",115,91620,19
259.0,211.0,0.0,188.0,23.0,48.0,"Port Louisa township, Louisa County, Iowa",115,93465,19
1019.0,876.0,18.0,799.0,59.0,143.0,"Wapello township, Louisa County, Iowa",115,94416,19
311.0,234.0,0.0,221.0,13.0,77.0,"Concord township, Louisa County, Iowa",115,90807,19
