B28003_001E,B28003_002E,B28003_003E,B28003_004E,B28003_005E,B28003_006E,name,county,county subdivision,state
1153.0,921.0,23.0,634.0,264.0,232.0,"Harrison township, Blackford County, Indiana",009,31630,18
10124.0,8702.0,42.0,7814.0,846.0,1422.0,"Perry township, Vanderburgh County, Indiana",163,59166,18
207.0,177.0,0.0,92.0,85.0,30.0,"Union township, Vanderburgh County, Indiana",163,77696,18
3250.0,3049.0,23.0,2846.0,180.0,201.0,"Scott township, Vanderburgh County, Indiana",163,68472,18
2901.0,2626.0,51.0,2419.0,156.0,275.0,"German township, Vanderburgh County, Indiana",163,27486,18
29648.0,24870.0,147.0,22017.0,2706.0,4778.0,"Knight township, Vanderburgh County, Indiana",163,40212,18
12319.0,9545.0,73.0,7436.0,2036.0,2774.0,"Pigeon township, Vanderburgh County, Indiana",163,59670,18
3194.0,2653.0,22.0,2254.0,377.0,541.0,"Licking township, Blackford County, Indiana",009,43650,18
512.0,341.0,0.0,251.0,90.0,171.0,"Jackson township, Blackford County, Indiana",009,36774,18
340.0,297.0,0.0,256.0,41.0,43.0,"Washington township, Blackford County, Indiana",009,80360,18
931.0,785.0,5.0,695.0,85.0,146.0,"Jefferson township, Carroll County, Indiana",015,37872,18
431.0,357.0,7.0,246.0,104.0,74.0,"Jackson township, Carroll County, Indiana",015,36828,18
1069.0,787.0,21.0,699.0,67.0,282.0,"Monroe township, Carroll County, Indiana",015,50256,18
204.0,176.0,0.0,158.0,18.0,28.0,"Rock Creek township, Carroll County, Indiana",015,65268,18
299.0,290.0,0.0,251.0,39.0,9.0,"Democrat township, Carroll County, Indiana",015,17686,18
191.0,114.0,0.0,95.0,19.0,77.0,"Madison township, Carroll County, Indiana",015,45900,18
201.0,172.0,0.0,151.0,21.0,29.0,"Adams township, Carroll County, Indiana",015,00316,18
194.0,173.0,9.0,151.0,13.0,21.0,"Liberty township, Carroll County, Indiana",015,43200,18
1822.0,1511.0,23.0,1248.0,240.0,311.0,"Deer Creek township, Carroll County, Indiana",015,17236,18
644.0,554.0,9.0,466.0,79.0,90.0,"Burlington township, Carroll County, Indiana",015,09262,18
987.0,865.0,11.0,704.0,150.0,122.0,"Tippecanoe township, Carroll County, Indiana",015,75824,18
201.0,141.0,0.0,141.0,0.0,60.0,"Washington township, Carroll County, Indiana",015,80414,18
1351.0,1028.0,14.0,785.0,229.0,323.0,"Lexington township, Scott County, Indiana",143,43164,18
551.0,456.0,12.0,395.0,49.0,95.0,"Finley township, Scott County, Indiana",143,23224,18
2386.0,1792.0,27.0,1567.0,198.0,594.0,"Jennings township, Scott County, Indiana",143,38448,18
3673.0,3197.0,50.0,2528.0,619.0,476.0,"Vienna township, Scott County, Indiana",143,79100,18
663.0,562.0,14.0,471.0,77.0,101.0,"Webster township, Harrison County, Indiana",061,82106,18
922.0,747.0,29.0,476.0,242.0,175.0,"Blue River township, Harrison County, Indiana",061,06058,18
1382.0,1298.0,18.0,1163.0,117.0,84.0,"Franklin township, Harrison County, Indiana",061,25396,18
16034.0,12599.0,74.0,10224.0,2301.0,3435.0,"Wayne township, Wayne County, Indiana",177,81944,18
31064.0,28121.0,73.0,24913.0,3135.0,2943.0,"Pike township, Marion County, Indiana",097,59742,18
61209.0,45126.0,279.0,36980.0,7867.0,16083.0,"Center township, Marion County, Indiana",097,11512,18
11553.0,9982.0,76.0,9022.0,884.0,1571.0,"Decatur township, Marion County, Indiana",097,17092,18
1034.0,918.0,83.0,754.0,81.0,116.0,"Jackson township, Clay County, Indiana",021,36864,18
51015.0,43143.0,286.0,37275.0,5582.0,7872.0,"Wayne township, Marion County, Indiana",097,81800,18
40667.0,32544.0,224.0,27185.0,5135.0,8123.0,"Warren township, Marion County, Indiana",097,80144,18
239.0,214.0,0.0,173.0,41.0,25.0,"Carrollton township, Carroll County, Indiana",015,10540,18
406.0,396.0,0.0,339.0,57.0,10.0,"Clay township, Carroll County, Indiana",015,12988,18
931.0,754.0,0.0,639.0,115.0,177.0,"Johnson township, Scott County, Indiana",143,38772,18
582.0,544.0,67.0,361.0,116.0,38.0,"Spencer township, Harrison County, Indiana",061,71936,18
4869.0,4046.0,113.0,3217.0,716.0,823.0,"Harrison township, Harrison County, Indiana",061,31810,18
2106.0,1917.0,26.0,1692.0,199.0,189.0,"Jackson township, Harrison County, Indiana",061,37080,18
1720.0,1363.0,12.0,987.0,364.0,357.0,"Morgan township, Harrison County, Indiana",061,51030,18
1258.0,1119.0,54.0,873.0,192.0,139.0,"Jefferson township, Wayne County, Indiana",177,38286,18
157.0,157.0,6.0,142.0,9.0,0.0,"Dalton township, Wayne County, Indiana",177,16714,18
283.0,232.0,0.0,209.0,23.0,51.0,"Perry township, Clay County, Indiana",021,58986,18
520.0,438.0,7.0,404.0,27.0,82.0,"Sugar Ridge township, Clay County, Indiana",021,73988,18
231.0,209.0,0.0,176.0,33.0,22.0,"Washington township, Clay County, Indiana",021,80468,18
1471.0,1179.0,23.0,1023.0,133.0,292.0,"Van Buren township, Clay County, Indiana",021,78416,18
877.0,724.0,48.0,560.0,116.0,153.0,"Harrison township, Clay County, Indiana",021,31684,18
4602.0,4025.0,30.0,3678.0,317.0,577.0,"Center township, Hendricks County, Indiana",063,11386,18
761.0,714.0,0.0,651.0,63.0,47.0,"Union township, Hendricks County, Indiana",063,77318,18
3958.0,3842.0,37.0,3656.0,149.0,116.0,"Brown township, Hendricks County, Indiana",063,08308,18
17458.0,16451.0,170.0,15261.0,1020.0,1007.0,"Washington township, Hendricks County, Indiana",063,80702,18
2246.0,2068.0,25.0,1856.0,187.0,178.0,"Liberty township, Hendricks County, Indiana",063,43290,18
536.0,481.0,10.0,365.0,106.0,55.0,"Marion township, Hendricks County, Indiana",063,46926,18
495.0,416.0,7.0,363.0,46.0,79.0,"Franklin township, Hendricks County, Indiana",063,25414,18
11520.0,10664.0,109.0,9526.0,1029.0,856.0,"Guilford township, Hendricks County, Indiana",063,30204,18
632.0,585.0,43.0,421.0,121.0,47.0,"Eel River township, Hendricks County, Indiana",063,20530,18
1046.0,916.0,19.0,799.0,98.0,130.0,"Posey township, Harrison County, Indiana",061,61344,18
248.0,128.0,0.0,91.0,37.0,120.0,"Taylor township, Harrison County, Indiana",061,75014,18
502.0,466.0,19.0,396.0,51.0,36.0,"Heth township, Harrison County, Indiana",061,33268,18
159.0,107.0,4.0,86.0,17.0,52.0,"Washington township, Harrison County, Indiana",061,80684,18
494.0,376.0,0.0,295.0,81.0,118.0,"Boone township, Harrison County, Indiana",061,06544,18
894.0,789.0,38.0,592.0,159.0,105.0,"Dallas township, Huntington County, Indiana",069,16678,18
302.0,249.0,0.0,195.0,54.0,53.0,"Warren township, Huntington County, Indiana",069,80126,18
8073.0,6824.0,53.0,5774.0,997.0,1249.0,"Huntington township, Huntington County, Indiana",069,35311,18
834.0,642.0,4.0,587.0,51.0,192.0,"Salamonie township, Huntington County, Indiana",069,67320,18
293.0,252.0,19.0,175.0,58.0,41.0,"Jefferson township, Huntington County, Indiana",069,38016,18
666.0,628.0,0.0,585.0,43.0,38.0,"Clear Creek township, Huntington County, Indiana",069,13384,18
414.0,369.0,43.0,264.0,62.0,45.0,"Lancaster township, Huntington County, Indiana",069,41904,18
630.0,529.0,10.0,395.0,124.0,101.0,"Rock Creek township, Huntington County, Indiana",069,65304,18
1570.0,1406.0,3.0,1294.0,109.0,164.0,"Jackson township, Huntington County, Indiana",069,37116,18
768.0,661.0,12.0,579.0,70.0,107.0,"Cass township, LaPorte County, Indiana",091,10720,18
194.0,165.0,16.0,123.0,26.0,29.0,"Polk township, Huntington County, Indiana",069,60948,18
454.0,400.0,17.0,367.0,16.0,54.0,"Union township, Huntington County, Indiana",069,77354,18
292.0,228.0,0.0,163.0,65.0,64.0,"Wayne township, Huntington County, Indiana",069,81746,18
140.0,125.0,0.0,125.0,0.0,15.0,"Johnson township, LaPorte County, Indiana",091,38736,18
1321.0,1012.0,0.0,913.0,99.0,309.0,"Pleasant township, LaPorte County, Indiana",091,60408,18
103.0,103.0,0.0,82.0,21.0,0.0,"Prairie township, LaPorte County, Indiana",091,61596,18
1808.0,1564.0,0.0,1251.0,313.0,244.0,"Scipio township, LaPorte County, Indiana",091,68346,18
371.0,330.0,1.0,291.0,38.0,41.0,"Washington township, LaPorte County, Indiana",091,80774,18
1832.0,1522.0,37.0,1156.0,329.0,310.0,"Springfield township, LaPorte County, Indiana",091,72170,18
6427.0,5437.0,83.0,4634.0,720.0,990.0,"Coolspring township, LaPorte County, Indiana",091,15040,18
517.0,459.0,0.0,401.0,58.0,58.0,"Noble township, LaPorte County, Indiana",091,54090,18
788.0,720.0,49.0,671.0,0.0,68.0,"Wills township, LaPorte County, Indiana",091,84554,18
709.0,614.0,10.0,580.0,24.0,95.0,"Galena township, LaPorte County, Indiana",091,26224,18
333.0,308.0,13.0,284.0,11.0,25.0,"Hanna township, LaPorte County, Indiana",091,31198,18
10642.0,9243.0,38.0,7923.0,1282.0,1399.0,"Michigan township, LaPorte County, Indiana",091,48780,18
832.0,655.0,9.0,531.0,115.0,177.0,"Union township, LaPorte County, Indiana",091,77408,18
1680.0,1564.0,24.0,1418.0,122.0,116.0,"New Durham township, LaPorte County, Indiana",091,52830,18
411.0,354.0,3.0,295.0,56.0,57.0,"Dewey township, LaPorte County, Indiana",091,17974,18
10273.0,8622.0,39.0,7559.0,1024.0,1651.0,"Center township, LaPorte County, Indiana",091,11494,18
752.0,663.0,15.0,511.0,137.0,89.0,"Hudson township, LaPorte County, Indiana",091,35068,18
695.0,651.0,9.0,537.0,105.0,44.0,"Clinton township, LaPorte County, Indiana",091,13744,18
891.0,726.0,0.0,555.0,171.0,165.0,"Lincoln township, LaPorte County, Indiana",091,43812,18
11721.0,10953.0,11.0,10292.0,650.0,768.0,"Lincoln township, Hendricks County, Indiana",063,43794,18
2361.0,2292.0,57.0,1970.0,265.0,69.0,"Middle township, Hendricks County, Indiana",063,48852,18
