B28003_001E,B28003_002E,B28003_003E,B28003_004E,B28003_005E,B28003_006E,name,county,county subdivision,state
9300.0,8777.0,14.0,8000.0,763.0,523.0,"District 1, Vansville; Prince George's County; Maryland",033,90064,24
7854.0,7608.0,63.0,7057.0,488.0,246.0,"District 3, Marlboro; Prince George's County; Maryland",033,90248,24
22106.0,20696.0,133.0,18707.0,1856.0,1410.0,"District 10, Laurel; Prince George's County; Maryland",033,90892,24
27024.0,25343.0,60.0,23282.0,2001.0,1681.0,"District 13, Kent; Prince George's County; Maryland",033,91164,24
35578.0,31450.0,190.0,26388.0,4872.0,4128.0,"District 6, Spauldings; Prince George's County; Maryland",033,90524,24
22550.0,21710.0,59.0,20610.0,1041.0,840.0,"District 7, Queen Anne; Prince George's County; Maryland",033,90616,24
5346.0,4809.0,51.0,4270.0,488.0,537.0,"District 16, Hyattsville; Prince George's County; Maryland",033,91440,24
13337.0,12431.0,51.0,11010.0,1370.0,906.0,"District 20, Lanham; Prince George's County; Maryland",033,91808,24
22730.0,21499.0,103.0,19447.0,1949.0,1231.0,"District 21, Berwyn; Prince George's County; Maryland",033,91900,24
25567.0,23381.0,118.0,20901.0,2362.0,2186.0,"District 12, Oxon Hill; Prince George's County; Maryland",033,91072,24
1085.0,967.0,4.0,915.0,48.0,118.0,"District 4, Nottingham; Prince George's County; Maryland",033,90340,24
13430.0,12715.0,45.0,12032.0,638.0,715.0,"District 5, Piscataway; Prince George's County; Maryland",033,90432,24
12593.0,12148.0,47.0,11714.0,387.0,445.0,"District 14, Bowie; Prince George's County; Maryland",033,91256,24
9540.0,9115.0,25.0,8503.0,587.0,425.0,"District 15, Mellwood; Prince George's County; Maryland",033,91348,24
12407.0,10801.0,17.0,9041.0,1743.0,1606.0,"District 18, Seat Pleasant; Prince George's County; Maryland",033,91624,24
25285.0,22066.0,128.0,18499.0,3439.0,3219.0,"District 17, Chillum; Prince George's County; Maryland",033,91532,24
5406.0,4714.0,30.0,4048.0,636.0,692.0,"District 19, Riverdale; Prince George's County; Maryland",033,91716,24
704.0,492.0,33.0,330.0,129.0,212.0,"District 8, Aquasco; Prince George's County; Maryland",033,90708,24
