B28003_001E,B28003_002E,B28003_003E,B28003_004E,B28003_005E,B28003_006E,name,county,county subdivision,state
830.0,718.0,12.0,644.0,62.0,112.0,"Palmyra town, Somerset County, Maine",025,56520,23
373.0,336.0,15.0,299.0,22.0,37.0,"Solon town, Somerset County, Maine",025,69505,23
26.0,22.0,2.0,20.0,0.0,4.0,"Brighton plantation, Somerset County, Maine",025,07380,23
323.0,264.0,5.0,231.0,28.0,59.0,"New Portland town, Somerset County, Maine",025,49205,23
378.0,333.0,0.0,302.0,31.0,45.0,"Smithfield town, Somerset County, Maine",025,69155,23
376.0,298.0,3.0,277.0,18.0,78.0,"Embden town, Somerset County, Maine",025,23410,23
4.0,4.0,0.0,4.0,0.0,0.0,"Northwest Somerset UT, Somerset County, Maine",025,53636,23
779.0,703.0,17.0,613.0,73.0,76.0,"St. Albans town, Somerset County, Maine",025,64850,23
13.0,7.0,0.0,7.0,0.0,6.0,"West Forks plantation, Somerset County, Maine",025,82840,23
2143.0,1816.0,14.0,1508.0,294.0,327.0,"Madison town, Somerset County, Maine",025,42660,23
1049.0,787.0,7.0,585.0,195.0,262.0,"Anson town, Somerset County, Maine",025,01395,23
12.0,10.0,0.0,10.0,0.0,2.0,"Dennistown plantation, Somerset County, Maine",025,17285,23
2622.0,2140.0,32.0,1844.0,264.0,482.0,"Fairfield town, Somerset County, Maine",025,24320,23
705.0,561.0,15.0,452.0,94.0,144.0,"Hartland town, Somerset County, Maine",025,31740,23
243.0,178.0,7.0,151.0,20.0,65.0,"Moscow town, Somerset County, Maine",025,47455,23
54.0,39.0,0.0,30.0,9.0,15.0,"Pleasant Ridge plantation, Somerset County, Maine",025,59705,23
29.0,15.0,0.0,15.0,0.0,14.0,"Seboomook Lake UT, Somerset County, Maine",025,67238,23
685.0,594.0,21.0,530.0,43.0,91.0,"Gouldsboro town, Hancock County, Maine",009,28450,23
2.0,0.0,0.0,0.0,0.0,2.0,"Northwest Hancock UT, Hancock County, Maine",009,53620,23
323.0,286.0,0.0,256.0,30.0,37.0,"Otis town, Hancock County, Maine",009,55890,23
890.0,745.0,12.0,658.0,75.0,145.0,"Deer Isle town, Hancock County, Maine",009,17145,23
