B28003_001E,B28003_002E,B28003_003E,B28003_004E,B28003_005E,B28003_006E,name,county,county subdivision,state
17.0,6.0,0.0,6.0,0.0,11.0,"Dog Ear township, Tripp County, South Dakota",123,16780,46
36.0,32.0,0.0,20.0,12.0,4.0,"Lake township, Tripp County, South Dakota",123,35060,46
40.0,40.0,0.0,40.0,0.0,0.0,"Wilson township, Tripp County, South Dakota",123,72060,46
1359.0,1102.0,0.0,952.0,150.0,257.0,"Winner city, Tripp County, South Dakota",123,72180,46
8.0,8.0,0.0,8.0,0.0,0.0,"Elliston township, Tripp County, South Dakota",123,18860,46
0.0,0.0,0.0,0.0,0.0,0.0,"Jordan township, Tripp County, South Dakota",123,32980,46
90.0,77.0,0.0,59.0,18.0,13.0,"Lamro township, Tripp County, South Dakota",123,35700,46
14.0,7.0,0.0,7.0,0.0,7.0,"Carter township, Tripp County, South Dakota",123,10180,46
10.0,5.0,0.0,5.0,0.0,5.0,"Huggins township, Tripp County, South Dakota",123,30820,46
0.0,0.0,0.0,0.0,0.0,0.0,"Lone Star township, Tripp County, South Dakota",123,38580,46
0.0,0.0,0.0,0.0,0.0,0.0,"Banner township, Tripp County, South Dakota",123,03620,46
11.0,11.0,3.0,8.0,0.0,0.0,"Beaver Creek township, Tripp County, South Dakota",123,04140,46
29.0,29.0,0.0,19.0,10.0,0.0,"Brunson township, Tripp County, South Dakota",123,07900,46
30.0,30.0,0.0,30.0,0.0,0.0,"Curlew township, Tripp County, South Dakota",123,15020,46
25.0,0.0,0.0,0.0,0.0,25.0,"Gassman UT, Tripp County, South Dakota",123,23880,46
149.0,121.0,0.0,94.0,27.0,28.0,"Colome city, Tripp County, South Dakota",123,13300,46
30.0,26.0,0.0,21.0,5.0,4.0,"Colome township, Tripp County, South Dakota",123,13340,46
9.0,9.0,0.0,9.0,0.0,0.0,"Rosedale township, Tripp County, South Dakota",123,56100,46
18.0,13.0,0.0,13.0,0.0,5.0,"Star Prairie township, Tripp County, South Dakota",123,61380,46
38.0,38.0,0.0,38.0,0.0,0.0,"Pleasant Valley township, Tripp County, South Dakota",123,50980,46
22.0,18.0,0.0,18.0,0.0,4.0,"Rames township, Tripp County, South Dakota",123,52820,46
15.0,0.0,0.0,0.0,0.0,15.0,"Greenwood township, Tripp County, South Dakota",123,26140,46
22.0,22.0,0.0,22.0,0.0,0.0,"Bull Creek township, Tripp County, South Dakota",123,08420,46
