B28003_001E,B28003_002E,B28003_003E,B28003_004E,B28003_005E,B28003_006E,name,county,county subdivision,state
2081.0,1845.0,14.0,1484.0,347.0,236.0,"Kanab CCD, Kane County, Utah",025,91591,49
663.0,607.0,0.0,512.0,95.0,56.0,"Enterprise CCD, Washington County, Utah",053,90817,49
43036.0,39760.0,340.0,35911.0,3509.0,3276.0,"St. George CCD, Washington County, Utah",053,92924,49
433.0,387.0,7.0,360.0,20.0,46.0,"Orderville CCD, Kane County, Utah",025,92494,49
10415.0,10050.0,8.0,9654.0,388.0,365.0,"Park City CCD, Summit County, Utah",043,92580,49
2443.0,2327.0,25.0,2126.0,176.0,116.0,"Kamas CCD, Summit County, Utah",043,91548,49
1923.0,1754.0,0.0,1637.0,117.0,169.0,"Coalville CCD, Summit County, Utah",043,90430,49
0.0,0.0,0.0,0.0,0.0,0.0,"Uintah and Ouray CCD, Grand County, Utah",019,93526,49
3804.0,3491.0,19.0,3074.0,398.0,313.0,"Moab CCD, Grand County, Utah",019,91935,49
353.0,299.0,5.0,260.0,34.0,54.0,"Circleville CCD, Piute County, Utah",031,90387,49
163.0,132.0,7.0,101.0,24.0,31.0,"Marysvale CCD, Piute County, Utah",031,91849,49
293.0,269.0,12.0,218.0,39.0,24.0,"Randolph-Woodruff CCD, Rich County, Utah",033,92752,49
308.0,290.0,13.0,213.0,64.0,18.0,"Garden City-Laketown CCD, Rich County, Utah",033,91032,49
10.0,10.0,0.0,10.0,0.0,0.0,"Uintah and Ouray CCD, Wasatch County, Utah",051,93612,49
0.0,0.0,0.0,0.0,0.0,0.0,"Soldier Summit CCD, Wasatch County, Utah",051,93139,49
1355.0,1113.0,18.0,1052.0,43.0,242.0,"Beaver CCD, Beaver County, Utah",001,90086,49
958.0,869.0,23.0,686.0,160.0,89.0,"Milford-Minersville CCD, Beaver County, Utah",001,91892,49
9479.0,8521.0,24.0,7772.0,725.0,958.0,"Brigham City CCD, Box Elder County, Utah",003,90258,49
6593.0,5802.0,89.0,5215.0,498.0,791.0,"Tremonton CCD, Box Elder County, Utah",003,93440,49
75.0,75.0,0.0,62.0,13.0,0.0,"West Box Elder CCD, Box Elder County, Utah",003,93827,49
888.0,781.0,48.0,655.0,78.0,107.0,"Howell-Snowville CCD, Box Elder County, Utah",003,91419,49
1457.0,1196.0,5.0,951.0,240.0,261.0,"Parowan CCD, Iron County, Utah",021,92623,49
350.0,289.0,0.0,251.0,38.0,61.0,"Beryl-Newcastle CCD, Iron County, Utah",021,90129,49
13768.0,12912.0,75.0,11358.0,1479.0,856.0,"Cedar City CCD, Iron County, Utah",021,90344,49
3921.0,3315.0,68.0,2848.0,399.0,606.0,"Mount Pleasant-Moroni CCD, Sanpete County, Utah",039,92150,49
1082.0,1003.0,12.0,929.0,62.0,79.0,"Gunnison CCD, Sanpete County, Utah",039,91204,49
3363.0,3122.0,12.0,2587.0,523.0,241.0,"Ephraim-Manti CCD, Sanpete County, Utah",039,90860,49
3821.0,3349.0,36.0,2925.0,388.0,472.0,"Richfield CCD, Sevier County, Utah",041,92838,49
1776.0,1632.0,15.0,1460.0,157.0,144.0,"Monroe CCD, Sevier County, Utah",041,91978,49
1574.0,1401.0,18.0,1141.0,242.0,173.0,"Salina CCD, Sevier County, Utah",041,92967,49
1147.0,1036.0,34.0,845.0,157.0,111.0,"Goshen CCD, Utah County, Utah",049,91118,49
35822.0,34951.0,173.0,32125.0,2653.0,871.0,"American Fork-Pleasant Grove CCD, Utah County, Utah",049,90043,49
61273.0,58810.0,156.0,48559.0,10095.0,2463.0,"Provo-Orem CCD, Utah County, Utah",049,92709,49
23462.0,22996.0,78.0,21641.0,1277.0,466.0,"Lehi CCD, Utah County, Utah",049,91634,49
20870.0,19729.0,86.0,17944.0,1699.0,1141.0,"Spanish Fork-Payson CCD, Utah County, Utah",049,93268,49
13090.0,12511.0,75.0,11513.0,923.0,579.0,"Springville-Mapleton CCD, Utah County, Utah",049,93311,49
73581.0,67197.0,424.0,59213.0,7560.0,6384.0,"Ogden CCD, Weber County, Utah",057,92322,49
2433.0,2351.0,23.0,2241.0,87.0,82.0,"Ogden Valley CCD, Weber County, Utah",057,92365,49
2634.0,2389.0,53.0,2073.0,263.0,245.0,"Delta CCD, Millard County, Utah",027,90516,49
14.0,14.0,0.0,8.0,6.0,0.0,"Garrison-Sevier Lake CCD, Millard County, Utah",027,91075,49
1587.0,1417.0,22.0,1252.0,143.0,170.0,"Fillmore CCD, Millard County, Utah",027,90989,49
18577.0,17314.0,96.0,16270.0,948.0,1263.0,"Tooele-Grantsville CCD, Tooele County, Utah",045,93397,49
665.0,540.0,0.0,455.0,85.0,125.0,"Dugway-Wendover CCD, Tooele County, Utah",045,90602,49
8686.0,7943.0,65.0,6918.0,960.0,743.0,"Hurricane CCD, Washington County, Utah",053,91462,49
3.0,3.0,0.0,3.0,0.0,0.0,"North Duchesne CCD, Duchesne County, Utah",013,92279,49
0.0,0.0,0.0,0.0,0.0,0.0,"South Duchesne CCD, Duchesne County, Utah",013,93225,49
1570.0,1321.0,7.0,1154.0,160.0,249.0,"Duchesne CCD, Duchesne County, Utah",013,90559,49
5077.0,4534.0,13.0,4153.0,368.0,543.0,"Roosevelt CCD, Duchesne County, Utah",013,92881,49
634.0,112.0,0.0,63.0,49.0,522.0,"Oljato CCD, San Juan County, Utah",037,92408,49
1306.0,1105.0,19.0,880.0,206.0,201.0,"Blanding CCD, San Juan County, Utah",037,90215,49
1182.0,921.0,57.0,793.0,71.0,261.0,"Monticello CCD, San Juan County, Utah",037,92021,49
1518.0,1518.0,10.0,1365.0,143.0,0.0,"Cottonwood CCD, Salt Lake County, Utah",035,90473,49
