B28003_001E,B28003_002E,B28003_003E,B28003_004E,B28003_005E,B28003_006E,name,county,county subdivision,state
2467.0,2289.0,17.0,2131.0,141.0,178.0,"Bow CCD, Skagit County, Washington",057,90272,53
1282.0,1149.0,9.0,1063.0,77.0,133.0,"Swinomish Reservation CCD, Skagit County, Washington",057,93360,53
13208.0,11881.0,121.0,11025.0,735.0,1327.0,"Mount Vernon CCD, Skagit County, Washington",057,92096,53
5354.0,4699.0,0.0,4358.0,341.0,655.0,"Burlington CCD, Skagit County, Washington",057,90384,53
1324.0,1218.0,9.0,1072.0,137.0,106.0,"Conway CCD, Skagit County, Washington",057,90768,53
1402.0,1190.0,17.0,1087.0,86.0,212.0,"La Conner CCD, Skagit County, Washington",057,91536,53
1110.0,1013.0,13.0,890.0,110.0,97.0,"Lyman-Hamilton CCD, Skagit County, Washington",057,91776,53
5007.0,4421.0,12.0,4087.0,322.0,586.0,"Sedro-Woolley CCD, Skagit County, Washington",057,92944,53
755.0,733.0,4.0,665.0,64.0,22.0,"Clear Lake CCD, Skagit County, Washington",057,90608,53
9314.0,8338.0,50.0,7739.0,549.0,976.0,"Anacortes CCD, Skagit County, Washington",057,90064,53
2031.0,1785.0,50.0,1325.0,410.0,246.0,"Springdale CCD, Stevens County, Washington",065,93232,53
2397.0,1844.0,58.0,1557.0,229.0,553.0,"Chewelah CCD, Stevens County, Washington",065,90560,53
4780.0,4008.0,119.0,3422.0,467.0,772.0,"Colville CCD, Stevens County, Washington",065,90688,53
784.0,596.0,13.0,421.0,162.0,188.0,"Spokane Reservation CCD, Stevens County, Washington",065,93216,53
3880.0,3415.0,46.0,2998.0,371.0,465.0,"Loon Lake CCD, Stevens County, Washington",065,91680,53
2952.0,2362.0,41.0,1947.0,374.0,590.0,"Kettle Falls CCD, Stevens County, Washington",065,91472,53
150582.0,134435.0,1051.0,122754.0,10630.0,16147.0,"Spokane CCD, Spokane County, Washington",063,93200,53
11219.0,10183.0,175.0,9139.0,869.0,1036.0,"Deer Park CCD, Spokane County, Washington",063,90880,53
1167.0,1049.0,25.0,883.0,141.0,118.0,"Rockford CCD, Spokane County, Washington",063,92816,53
1118.0,1052.0,42.0,934.0,76.0,66.0,"Valleyford CCD, Spokane County, Washington",063,93584,53
4087.0,3836.0,77.0,3542.0,217.0,251.0,"Airway Heights CCD, Spokane County, Washington",063,90048,53
4008.0,3685.0,91.0,3320.0,274.0,323.0,"Colbert CCD, Spokane County, Washington",063,90640,53
6762.0,6258.0,16.0,5730.0,512.0,504.0,"Liberty Lake CCD, Spokane County, Washington",063,91616,53
2260.0,2103.0,49.0,1852.0,202.0,157.0,"Mount Spokane CCD, Spokane County, Washington",063,92080,53
1289.0,1094.0,22.0,900.0,172.0,195.0,"Odessa CCD, Lincoln County, Washington",043,92304,53
1192.0,1090.0,60.0,877.0,153.0,102.0,"Wilbur CCD, Lincoln County, Washington",043,93760,53
1935.0,1745.0,41.0,1531.0,173.0,190.0,"Davenport CCD, Lincoln County, Washington",043,90848,53
14626.0,12832.0,133.0,10829.0,1870.0,1794.0,"Wenatchee CCD, Chelan County, Washington",007,93712,53
3876.0,3522.0,43.0,2919.0,560.0,354.0,"Cashmere CCD, Chelan County, Washington",007,90448,53
2871.0,2471.0,15.0,2147.0,309.0,400.0,"Leavenworth-Lake Wenatchee CCD, Chelan County, Washington",007,91600,53
23.0,23.0,0.0,8.0,15.0,0.0,"Stehekin CCD, Chelan County, Washington",007,93280,53
13061.0,11262.0,93.0,10349.0,820.0,1799.0,"Port Angeles CCD, Clallam County, Washington",009,92592,53
2818.0,2253.0,43.0,2048.0,162.0,565.0,"Forks CCD, Clallam County, Washington",009,91168,53
4784.0,4283.0,41.0,4033.0,209.0,501.0,"Agnew-Carlsborg CCD, Clallam County, Washington",009,90032,53
1438.0,1260.0,46.0,1110.0,104.0,178.0,"Crescent CCD, Clallam County, Washington",009,90816,53
25561.0,22013.0,243.0,19316.0,2454.0,3548.0,"Longview-Kelso CCD, Cowlitz County, Washington",015,91664,53
2525.0,2305.0,23.0,1966.0,316.0,220.0,"Kalama CCD, Cowlitz County, Washington",015,91440,53
2018.0,1766.0,33.0,1582.0,151.0,252.0,"Rose Valley CCD, Cowlitz County, Washington",015,92864,53
