C16001_001E,C16001_002E,C16001_004E,C16001_005E,C16001_007E,C16001_008E,C16001_010E,C16001_011E,C16001_013E,C16001_014E,C16001_016E,C16001_017E,C16001_019E,C16001_020E,C16001_022E,C16001_023E,C16001_025E,C16001_026E,C16001_028E,C16001_029E,C16001_031E,C16001_032E,C16001_034E,C16001_035E,C16001_037E,C16001_038E,name,county,county subdivision,state
21530.0,20657.0,452.0,63.0,63.0,2.0,193.0,36.0,0.0,0.0,5.0,17.0,0.0,0.0,24.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,"Elizabeth CCD, Elbert County, Colorado",039,91190,08
595.0,575.0,14.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Agate CCD, Elbert County, Colorado",039,90019,08
330.0,308.0,20.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Kim CCD, Las Animas County, Colorado",071,91976,08
1421.0,1342.0,58.0,6.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,"Simla CCD, Elbert County, Colorado",039,93325,08
548.0,488.0,0.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,"Model CCD, Las Animas County, Colorado",071,92508,08
188.0,185.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Branson CCD, Las Animas County, Colorado",071,90361,08
1006.0,821.0,136.0,38.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Aguilar CCD, Las Animas County, Colorado",071,90038,08
1204.0,1004.0,157.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,"Weston CCD, Las Animas County, Colorado",071,93838,08
10242.0,8498.0,1042.0,345.0,2.0,6.0,56.0,0.0,4.0,7.0,66.0,4.0,30.0,0.0,0.0,8.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,122.0,42.0,"Trinidad CCD, Las Animas County, Colorado",071,93648,08
4760.0,3829.0,488.0,433.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Yuma CCD, Yuma County, Colorado",125,93952,08
3664.0,3104.0,174.0,341.0,0.0,0.0,27.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Wray CCD, Yuma County, Colorado",125,93914,08
885.0,869.0,3.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Hugo CCD, Lincoln County, Colorado",073,91824,08
790.0,783.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Yampa CCD, Routt County, Colorado",107,93933,08
2450.0,2264.0,126.0,18.0,0.0,0.0,12.0,0.0,14.0,13.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,"Hayden CCD, Routt County, Colorado",107,91729,08
16948.0,15634.0,459.0,392.0,65.0,0.0,8.0,0.0,6.0,178.0,20.0,0.0,0.0,6.0,21.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,36.0,65.0,30.0,"Steamboat Springs CCD, Routt County, Colorado",107,93496,08
3139.0,3023.0,25.0,34.0,4.0,0.0,18.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,"Oak Creek CCD, Routt County, Colorado",107,92717,08
11537.0,8659.0,1059.0,1270.0,22.0,0.0,53.0,0.0,38.0,173.0,21.0,0.0,0.0,0.0,6.0,9.0,0.0,0.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,219.0,"Silverthorne CCD, Summit County, Colorado",117,93287,08
16893.0,15601.0,343.0,428.0,88.0,0.0,63.0,0.0,40.0,29.0,30.0,0.0,0.0,0.0,222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,0.0,0.0,0.0,"Breckenridge CCD, Summit County, Colorado",117,90380,08
309.0,306.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Arriba CCD, Lincoln County, Colorado",073,90133,08
426.0,362.0,42.0,6.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,"Karval CCD, Lincoln County, Colorado",073,91919,08
3593.0,3229.0,27.0,321.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,"Limon CCD, Lincoln County, Colorado",073,92261,08
