C16001_001E,C16001_002E,C16001_004E,C16001_005E,C16001_007E,C16001_008E,C16001_010E,C16001_011E,C16001_013E,C16001_014E,C16001_016E,C16001_017E,C16001_019E,C16001_020E,C16001_022E,C16001_023E,C16001_025E,C16001_026E,C16001_028E,C16001_029E,C16001_031E,C16001_032E,C16001_034E,C16001_035E,C16001_037E,C16001_038E,name,county,county subdivision,state
33578.0,26811.0,3850.0,2282.0,41.0,43.0,37.0,0.0,62.0,1.0,112.0,34.0,0.0,50.0,58.0,107.0,0.0,0.0,29.0,0.0,0.0,35.0,11.0,0.0,14.0,1.0,"Lower Christiana CCD, New Castle County, Delaware",003,91924,10
28016.0,24044.0,460.0,174.0,72.0,7.0,163.0,11.0,112.0,0.0,698.0,245.0,128.0,85.0,651.0,358.0,0.0,0.0,217.0,75.0,360.0,93.0,10.0,12.0,41.0,0.0,"Piedmont CCD, New Castle County, Delaware",003,92960,10
66477.0,59232.0,3079.0,2303.0,115.0,101.0,55.0,0.0,161.0,34.0,306.0,112.0,36.0,53.0,261.0,127.0,0.0,5.0,57.0,0.0,141.0,35.0,55.0,38.0,138.0,33.0,"Wilmington CCD, New Castle County, Delaware",003,93996,10
9474.0,8452.0,194.0,18.0,7.0,0.0,9.0,0.0,0.0,21.0,219.0,191.0,0.0,10.0,27.0,0.0,23.0,14.0,0.0,0.0,11.0,43.0,6.0,7.0,209.0,13.0,"Red Lion CCD, New Castle County, Delaware",003,93256,10
25997.0,20474.0,1414.0,964.0,171.0,0.0,99.0,8.0,50.0,0.0,667.0,257.0,14.0,73.0,54.0,65.0,158.0,92.0,40.0,0.0,865.0,87.0,92.0,62.0,261.0,30.0,"Upper Christiana CCD, New Castle County, Delaware",003,93848,10
75062.0,67021.0,1177.0,711.0,162.0,77.0,174.0,45.0,257.0,92.0,1386.0,556.0,36.0,56.0,477.0,506.0,69.0,86.0,164.0,34.0,1049.0,392.0,78.0,39.0,338.0,80.0,"Brandywine CCD, New Castle County, Delaware",003,90148,10
53973.0,49827.0,1672.0,342.0,148.0,28.0,68.0,9.0,90.0,0.0,474.0,95.0,0.0,24.0,41.0,25.0,0.0,61.0,41.0,33.0,308.0,3.0,104.0,11.0,492.0,77.0,"Middletown-Odessa CCD, New Castle County, Delaware",003,92072,10
40521.0,33638.0,1960.0,1321.0,92.0,34.0,12.0,0.0,164.0,59.0,751.0,267.0,170.0,100.0,480.0,230.0,16.0,12.0,83.0,24.0,533.0,166.0,131.0,4.0,216.0,58.0,"Pike Creek-Central Kirkwood CCD, New Castle County, Delaware",003,93108,10
21392.0,19730.0,642.0,433.0,154.0,188.0,19.0,0.0,64.0,0.0,21.0,69.0,0.0,21.0,0.0,0.0,14.0,26.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Laurel-Delmar CCD, Sussex County, Delaware",005,91628,10
16505.0,15319.0,322.0,396.0,46.0,0.0,36.0,14.0,110.0,7.0,88.0,12.0,0.0,0.0,0.0,6.0,0.0,0.0,80.0,0.0,57.0,0.0,0.0,3.0,9.0,0.0,"Milton CCD, Sussex County, Delaware",005,92664,10
