C16001_001E,C16001_002E,C16001_004E,C16001_005E,C16001_007E,C16001_008E,C16001_010E,C16001_011E,C16001_013E,C16001_014E,C16001_016E,C16001_017E,C16001_019E,C16001_020E,C16001_022E,C16001_023E,C16001_025E,C16001_026E,C16001_028E,C16001_029E,C16001_031E,C16001_032E,C16001_034E,C16001_035E,C16001_037E,C16001_038E,name,county,county subdivision,state
7419.0,6775.0,323.0,229.0,2.0,0.0,36.0,2.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,6.0,21.0,0.0,0.0,8.0,0.0,"St. Anthony CCD, Fremont County, Idaho",043,93128,16
5741.0,5381.0,245.0,75.0,2.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,"Sugar City CCD, Madison County, Idaho",065,93381,16
787.0,744.0,10.0,18.0,0.0,7.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Mullan CCD, Shoshone County, Idaho",079,92346,16
438.0,428.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Murray CCD, Shoshone County, Idaho",079,92392,16
6400.0,6240.0,54.0,57.0,0.0,0.0,24.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,3.0,0.0,"Kellogg CCD, Shoshone County, Idaho",079,91794,16
431.0,385.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,16.0,14.0,"Avery-Clarkia CCD, Shoshone County, Idaho",079,90230,16
2312.0,2213.0,53.0,21.0,0.0,0.0,13.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,"Cottonwood CCD, Idaho County, Idaho",049,90644,16
5591.0,5468.0,94.0,0.0,0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Grangeville CCD, Idaho County, Idaho",049,91334,16
2043.0,1923.0,36.0,34.0,0.0,15.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,"Elk City CCD, Idaho County, Idaho",049,90897,16
1160.0,1125.0,8.0,14.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"Riggins CCD, Idaho County, Idaho",049,93013,16
