B01002_001E,B01002_002E,B01002_003E,name,county,county subdivision,state
43.9,40.1,50.1,"Sonora CCD, Tuolumne County, California",109,93080,06
49.8,48.2,52.7,"East Sonora-Phoenix Lake CCD, Tuolumne County, California",109,90835,06
34.9,34.4,36.2,"Escalon CCD, San Joaquin County, California",077,90900,06
36.8,34.8,37.4,"Thornton CCD, San Joaquin County, California",077,93340,06
36.1,34.2,37.8,"Linden-Farmington CCD, San Joaquin County, California",077,91630,06
43.9,40.4,47.8,"Lockeford CCD, San Joaquin County, California",077,91690,06
36.3,35.4,37.4,"Lodi CCD, San Joaquin County, California",077,91700,06
32.6,31.1,34.0,"Stockton CCD, San Joaquin County, California",077,93240,06
34.4,33.4,35.5,"Manteca CCD, San Joaquin County, California",077,91870,06
39.3,40.9,38.3,"Ripon CCD, San Joaquin County, California",077,92620,06
33.9,33.5,34.5,"Tracy CCD, San Joaquin County, California",077,93400,06
51.5,50.9,52.5,"Sutter Creek-Plymouth CCD, Amador County, California",005,93300,06
51.5,51.4,51.6,"Jackson CCD, Amador County, California",005,91430,06
57.1,55.4,59.6,"Pine Grove-Silver Lake CCD, Amador County, California",005,92470,06
44.2,43.1,47.0,"Ione CCD, Amador County, California",005,91410,06
30.8,31.2,30.5,"Dos Palos CCD, Merced County, California",047,90720,06
33.1,32.6,33.9,"Planada-Le Grand CCD, Merced County, California",047,92500,06
31.2,30.7,31.9,"Los Banos CCD, Merced County, California",047,91760,06
29.0,27.4,30.7,"Merced CCD, Merced County, California",047,91960,06
38.2,40.8,25.5,"Snelling CCD, Merced County, California",047,93050,06
39.5,40.7,37.8,"Hilmar-Irwin CCD, Merced County, California",047,91290,06
36.5,38.7,36.0,"Gustine CCD, Merced County, California",047,91210,06
50.9,50.7,51.7,"Lakeport CCD, Lake County, California",033,91540,06
51.5,50.8,52.4,"Mariposa CCD, Mariposa County, California",043,91880,06
56.3,58.3,55.4,"Coulterville CCD, Mariposa County, California",043,90600,06
54.1,58.1,52.6,"Surprise Valley CCD, Modoc County, California",049,93270,06
31.3,30.9,31.8,"Atwater CCD, Merced County, California",047,90150,06
30.1,29.6,30.7,"Livingston-Delhi CCD, Merced County, California",047,91670,06
54.5,55.1,54.2,"Yuba Foothills CCD, Yuba County, California",115,93830,06
30.3,27.5,31.7,"Marysville CCD, Yuba County, California",115,91900,06
56.5,59.6,52.5,"Adin-Lookout CCD, Modoc County, California",049,90010,06
47.0,46.9,47.0,"Alturas CCD, Modoc County, California",049,90040,06
32.5,32.1,32.8,"Olivehurst CCD, Yuba County, California",115,92250,06
38.1,34.0,41.7,"Wheatland CCD, Yuba County, California",115,93720,06
29.4,28.8,29.9,"Linda CCD, Yuba County, California",115,91610,06
37.3,36.3,38.1,"East Contra Costa CCD, Contra Costa County, California",013,90780,06
39.0,37.6,39.8,"Tassajara CCD, Contra Costa County, California",013,93310,06
37.8,36.6,39.0,"West Contra Costa CCD, Contra Costa County, California",013,93620,06
42.4,40.9,43.5,"Central Contra Costa CCD, Contra Costa County, California",013,90440,06
45.0,44.9,45.1,"Death Valley CCD, Inyo County, California",027,90650,06
46.4,50.1,39.1,"Lone Pine CCD, Inyo County, California",027,91720,06
45.3,43.5,47.3,"Bishop CCD, Inyo County, California",027,90250,06
47.8,47.2,48.6,"Independence CCD, Inyo County, California",027,91390,06
39.2,41.2,35.0,"Madeline Plains CCD, Lassen County, California",035,91820,06
34.3,32.7,42.4,"Susanville CCD, Lassen County, California",035,93280,06
45.2,44.8,45.5,"Westwood CCD, Lassen County, California",035,93710,06
39.0,38.5,48.2,"Honey Lake CCD, Lassen County, California",035,91320,06
52.3,49.2,54.0,"Big Valley CCD, Lassen County, California",035,90240,06
37.0,36.4,38.0,"Waterford CCD, Stanislaus County, California",099,93580,06
34.8,33.5,35.3,"Hughson CCD, Stanislaus County, California",099,91350,06
34.9,33.4,36.4,"Turlock CCD, Stanislaus County, California",099,93460,06
37.9,37.0,38.9,"Oakdale CCD, Stanislaus County, California",099,92210,06
30.9,30.1,33.2,"Westport CCD, Stanislaus County, California",099,93650,06
33.2,32.8,33.5,"Newman CCD, Stanislaus County, California",099,92120,06
31.1,31.5,30.6,"Patterson CCD, Stanislaus County, California",099,92420,06
34.4,32.8,35.6,"Antioch-Pittsburg CCD, Contra Costa County, California",013,90080,06
49.3,49.4,49.2,"Briones CCD, Contra Costa County, California",013,90270,06
33.4,32.2,34.7,"Modesto CCD, Stanislaus County, California",099,91980,06
34.2,33.9,34.6,"Salida CCD, Stanislaus County, California",099,92720,06
28.3,27.1,29.7,"Guadalupe CCD, Santa Barbara County, California",083,91200,06
33.2,32.0,34.7,"Santa Barbara CCD, Santa Barbara County, California",083,92890,06
42.0,43.2,41.4,"Cuyama CCD, Santa Barbara County, California",083,90630,06
