B01002_001E,B01002_002E,B01002_003E,name,county,county subdivision,state
47.1,45.8,48.1,"Redding town, Fairfield County, Connecticut",001,63480,09
44.1,41.7,45.7,"Stratford town, Fairfield County, Connecticut",001,74190,09
37.0,35.6,39.2,"Stamford town, Fairfield County, Connecticut",001,73070,09
43.2,42.8,43.6,"New Canaan town, Fairfield County, Connecticut",001,50580,09
45.1,45.1,45.1,"New Fairfield town, Fairfield County, Connecticut",001,50860,09
45.0,44.5,45.5,"Newtown town, Fairfield County, Connecticut",001,52980,09
45.2,44.0,46.2,"Weston town, Fairfield County, Connecticut",001,83430,09
-666666666.0,-666666666.0,-666666666.0,"County subdivisions not defined, Fairfield County, Connecticut",001,00000,09
49.0,48.2,49.5,"Easton town, Fairfield County, Connecticut",001,23890,09
43.2,42.3,44.0,"Wilton town, Fairfield County, Connecticut",001,86370,09
33.8,32.0,35.5,"Bridgeport town, Fairfield County, Connecticut",001,08070,09
39.4,39.2,39.6,"Darien town, Fairfield County, Connecticut",001,18850,09
41.2,40.1,41.9,"Fairfield town, Fairfield County, Connecticut",001,26620,09
43.2,39.4,45.7,"Bethel town, Fairfield County, Connecticut",001,04720,09
45.1,45.0,45.4,"Ridgefield town, Fairfield County, Connecticut",001,63970,09
46.8,46.1,47.6,"Shelton town, Fairfield County, Connecticut",001,68170,09
45.2,45.3,45.0,"Westport town, Fairfield County, Connecticut",001,83500,09
37.6,36.0,38.7,"Danbury town, Fairfield County, Connecticut",001,18500,09
43.7,45.7,40.0,"Beacon Falls town, New Haven County, Connecticut",009,03250,09
35.1,33.1,37.1,"West Haven town, New Haven County, Connecticut",009,82870,09
47.8,48.3,46.9,"Bethany town, New Haven County, Connecticut",009,04580,09
43.1,40.7,46.1,"East Haven town, New Haven County, Connecticut",009,22910,09
48.3,47.3,49.3,"Guilford town, New Haven County, Connecticut",009,34950,09
48.4,47.9,49.1,"Madison town, New Haven County, Connecticut",009,44560,09
47.0,46.4,47.3,"Middlebury town, New Haven County, Connecticut",009,46940,09
45.2,42.6,47.4,"Wolcott town, New Haven County, Connecticut",009,87560,09
46.6,44.6,48.3,"Wallingford town, New Haven County, Connecticut",009,78740,09
47.7,46.3,49.2,"Woodbridge town, New Haven County, Connecticut",009,87700,09
39.1,36.6,41.3,"Ansonia town, New Haven County, Connecticut",009,01220,09
39.2,37.1,42.6,"Naugatuck town, New Haven County, Connecticut",009,49950,09
45.8,44.5,46.9,"Orange town, New Haven County, Connecticut",009,57600,09
44.8,44.1,45.6,"Oxford town, New Haven County, Connecticut",009,58300,09
45.1,41.4,48.6,"Prospect town, New Haven County, Connecticut",009,62290,09
-666666666.0,-666666666.0,-666666666.0,"County subdivisions not defined, New Haven County, Connecticut",009,00000,09
47.5,47.2,47.7,"Branford town, New Haven County, Connecticut",009,07310,09
40.9,37.6,43.6,"Derby town, New Haven County, Connecticut",009,19550,09
42.6,42.4,42.8,"Meriden town, New Haven County, Connecticut",009,46520,09
30.7,29.7,31.6,"New Haven town, New Haven County, Connecticut",009,52070,09
51.6,49.4,53.1,"Southbury town, New Haven County, Connecticut",009,69640,09
45.8,42.7,48.6,"Cheshire town, New Haven County, Connecticut",009,14160,09
48.0,48.2,47.9,"North Branford town, New Haven County, Connecticut",009,53890,09
48.9,50.3,47.7,"Sherman town, Fairfield County, Connecticut",001,68310,09
37.4,36.9,37.9,"Hamden town, New Haven County, Connecticut",009,35650,09
39.2,37.4,41.2,"Norwalk town, Fairfield County, Connecticut",001,56060,09
43.6,41.7,44.8,"Brookfield town, Fairfield County, Connecticut",001,08980,09
43.5,42.5,44.7,"Trumbull town, Fairfield County, Connecticut",001,77200,09
40.8,39.6,42.7,"Seymour town, New Haven County, Connecticut",009,67610,09
34.7,32.7,36.3,"Waterbury town, New Haven County, Connecticut",009,80070,09
45.6,45.3,46.0,"North Haven town, New Haven County, Connecticut",009,54870,09
44.8,42.2,47.4,"Milford town, New Haven County, Connecticut",009,47535,09
47.6,47.7,47.6,"Harwinton town, Litchfield County, Connecticut",005,37280,09
46.7,43.2,48.4,"Morris town, Litchfield County, Connecticut",005,49460,09
43.5,42.0,43.8,"Plymouth town, Litchfield County, Connecticut",005,60750,09
58.9,60.5,57.8,"Sharon town, Litchfield County, Connecticut",005,67960,09
44.3,40.4,46.2,"Thomaston town, Litchfield County, Connecticut",005,75730,09
55.1,55.7,54.7,"Salisbury town, Litchfield County, Connecticut",005,66420,09
45.2,44.3,46.0,"Torrington town, Litchfield County, Connecticut",005,76570,09
53.3,53.7,51.4,"Cornwall town, Litchfield County, Connecticut",005,17240,09
50.9,52.9,49.1,"Goshen town, Litchfield County, Connecticut",005,32290,09
43.7,41.1,45.3,"New Milford town, Litchfield County, Connecticut",005,52630,09
45.3,44.3,46.0,"Watertown town, Litchfield County, Connecticut",005,80490,09
45.8,43.9,46.5,"Colebrook town, Litchfield County, Connecticut",005,16050,09
48.2,46.7,49.0,"Woodbury town, Litchfield County, Connecticut",005,87910,09
54.6,55.0,54.0,"Bridgewater town, Litchfield County, Connecticut",005,08210,09
52.6,51.9,53.2,"Canaan town, Litchfield County, Connecticut",005,10940,09
47.7,44.7,48.8,"Bethlehem town, Litchfield County, Connecticut",005,04930,09
51.1,48.4,53.8,"Litchfield town, Litchfield County, Connecticut",005,43370,09
49.5,48.1,51.3,"Warren town, Litchfield County, Connecticut",005,79510,09
54.1,54.1,54.2,"Norfolk town, Litchfield County, Connecticut",005,53470,09
46.6,46.5,46.7,"North Canaan town, Litchfield County, Connecticut",005,54030,09
50.7,51.1,50.3,"Roxbury town, Litchfield County, Connecticut",005,65930,09
48.0,43.9,50.6,"Winchester town, Litchfield County, Connecticut",005,86440,09
44.8,44.6,45.5,"New Hartford town, Litchfield County, Connecticut",005,51350,09
55.5,54.7,55.9,"Washington town, Litchfield County, Connecticut",005,79720,09
45.6,45.4,45.8,"Barkhamsted town, Litchfield County, Connecticut",005,02760,09
47.4,47.1,47.9,"Canton town, Hartford County, Connecticut",003,12270,09
41.0,38.7,44.4,"Enfield town, Hartford County, Connecticut",003,25990,09
44.9,42.3,46.8,"Newington town, Hartford County, Connecticut",003,52140,09
