B01002_001E,B01002_002E,B01002_003E,name,county,county subdivision,state
38.9,38.0,39.8,"Central Pasco CCD, Pasco County, Florida",101,90481,12
44.6,44.0,44.7,"Bell CCD, Gilchrist County, Florida",041,90130,12
38.1,37.8,38.8,"Live Oak CCD, Suwannee County, Florida",121,91950,12
48.3,47.8,49.1,"Port Richey CCD, Pasco County, Florida",101,92860,12
54.9,53.1,57.0,"Sebring CCD, Highlands County, Florida",055,93120,12
53.4,52.4,54.5,"Lake Placid CCD, Highlands County, Florida",055,91846,12
49.2,47.8,50.0,"Avon Park CCD, Highlands County, Florida",055,90091,12
43.2,40.6,44.0,"Branford CCD, Suwannee County, Florida",121,90299,12
39.2,37.7,40.4,"Dade City CCD, Pasco County, Florida",101,90741,12
44.6,43.4,45.8,"New Port Richey CCD, Pasco County, Florida",101,92327,12
41.4,32.9,48.0,"Trenton CCD, Gilchrist County, Florida",041,93432,12
44.5,42.8,47.6,"Dowling Park CCD, Suwannee County, Florida",121,90858,12
44.8,44.9,44.7,"McAlpin-Wellborn CCD, Suwannee County, Florida",121,92002,12
27.7,27.5,28.0,"Gainesville CCD, Alachua County, Florida",001,91248,12
43.0,46.9,41.5,"Hawthorne CCD, Alachua County, Florida",001,91469,12
39.1,39.0,39.1,"Newberry-Archer CCD, Alachua County, Florida",001,92314,12
44.8,42.2,46.6,"Micanopy CCD, Alachua County, Florida",001,92184,12
39.9,37.7,41.6,"High Springs-Alachua CCD, Alachua County, Florida",001,91495,12
46.1,46.6,44.9,"Waldo CCD, Alachua County, Florida",001,93536,12
48.6,44.4,52.1,"Arcadia West CCD, DeSoto County, Florida",027,90078,12
37.9,37.0,39.3,"Arcadia East CCD, DeSoto County, Florida",027,90065,12
37.2,37.5,37.0,"Altha CCD, Calhoun County, Florida",013,90026,12
37.8,37.3,39.4,"Blountstown CCD, Calhoun County, Florida",013,90169,12
44.9,43.0,46.0,"Fort White CCD, Columbia County, Florida",023,91183,12
60.2,58.8,61.5,"Punta Gorda CCD, Charlotte County, Florida",015,92899,12
