B01002_001E,B01002_002E,B01002_003E,name,county,county subdivision,state
35.7,35.9,35.5,"St. Anthony CCD, Fremont County, Idaho",043,93128,16
27.5,24.5,32.4,"Sugar City CCD, Madison County, Idaho",065,93381,16
34.1,35.3,30.1,"Mullan CCD, Shoshone County, Idaho",079,92346,16
68.1,70.0,66.1,"Murray CCD, Shoshone County, Idaho",079,92392,16
46.1,44.1,47.2,"Kellogg CCD, Shoshone County, Idaho",079,91794,16
58.3,53.3,59.5,"Avery-Clarkia CCD, Shoshone County, Idaho",079,90230,16
35.4,30.2,48.1,"Cottonwood CCD, Idaho County, Idaho",049,90644,16
46.1,46.1,46.2,"Grangeville CCD, Idaho County, Idaho",049,91334,16
58.8,62.2,54.1,"Elk City CCD, Idaho County, Idaho",049,90897,16
60.8,60.7,62.2,"Riggins CCD, Idaho County, Idaho",049,93013,16
50.5,48.8,51.6,"Nez Perce CCD, Idaho County, Idaho",049,92553,16
40.1,40.7,37.1,"Victor CCD, Teton County, Idaho",081,93611,16
27.0,26.3,30.7,"Tetonia CCD, Teton County, Idaho",081,93473,16
35.2,33.4,36.1,"Driggs CCD, Teton County, Idaho",081,90782,16
37.8,46.6,34.8,"Fort Hall CCD, Power County, Idaho",077,91127,16
36.5,36.2,37.5,"Rockland CCD, Power County, Idaho",077,93082,16
34.5,35.2,33.9,"American Falls CCD, Power County, Idaho",077,90092,16
35.8,24.2,37.3,"Arbon CCD, Power County, Idaho",077,90115,16
43.1,41.3,43.8,"Weiser CCD, Washington County, Idaho",087,93703,16
54.7,55.7,52.9,"Cambridge CCD, Washington County, Idaho",087,90506,16
53.2,53.6,52.7,"Midvale CCD, Washington County, Idaho",087,92139,16
33.6,27.5,38.5,"Albion CCD, Cassia County, Idaho",031,90046,16
30.9,30.5,31.3,"Burley CCD, Cassia County, Idaho",031,90460,16
23.6,23.1,40.2,"Holbrook CCD, Oneida County, Idaho",071,91472,16
41.1,42.8,39.1,"Malad City CCD, Oneida County, Idaho",071,92047,16
36.6,38.1,35.8,"Declo CCD, Cassia County, Idaho",031,90759,16
32.8,31.9,33.0,"Oakley CCD, Cassia County, Idaho",031,92645,16
42.1,41.1,43.4,"Emmett Valley CCD, Gem County, Idaho",045,90966,16
47.9,45.3,50.3,"Emmett Bench CCD, Gem County, Idaho",045,90943,16
57.6,58.9,55.9,"Sweet CCD, Gem County, Idaho",045,93427,16
37.3,34.6,41.0,"Richfield CCD, Lincoln County, Idaho",063,92967,16
32.3,32.8,31.3,"Shoshone CCD, Lincoln County, Idaho",063,93243,16
47.3,45.2,48.5,"McCall CCD, Valley County, Idaho",085,92001,16
58.8,58.4,60.0,"Cascade CCD, Valley County, Idaho",085,90552,16
70.3,68.6,74.4,"Stibnite CCD, Valley County, Idaho",085,93358,16
42.3,30.0,53.1,"Mink Creek CCD, Franklin County, Idaho",041,92185,16
22.5,26.5,18.7,"Dayton CCD, Franklin County, Idaho",041,90713,16
55.7,56.8,51.6,"Council CCD, Adams County, Idaho",003,90667,16
51.1,49.8,51.7,"New Meadows CCD, Adams County, Idaho",003,92484,16
34.4,32.6,36.1,"Preston CCD, Franklin County, Idaho",041,92921,16
50.8,51.9,46.3,"Leland CCD, Nez Perce County, Idaho",069,91909,16
38.3,36.0,40.9,"Nez Perce CCD, Nez Perce County, Idaho",069,92599,16
41.8,39.7,43.3,"Lewiston CCD, Nez Perce County, Idaho",069,91955,16
43.0,41.9,44.1,"Eden-Hazelton CCD, Jerome County, Idaho",053,90874,16
32.2,32.4,32.0,"Jerome CCD, Jerome County, Idaho",053,91748,16
25.6,30.1,23.4,"Hunt CCD, Jerome County, Idaho",053,91587,16
39.8,37.8,41.9,"Coeur d'Alene CCD, Kootenai County, Idaho",055,90621,16
36.5,35.4,37.4,"Post Falls-Rathdrum CCD, Kootenai County, Idaho",055,92875,16
53.3,52.8,53.7,"Worley CCD, Kootenai County, Idaho",055,93887,16
50.8,53.1,50.0,"Harrison CCD, Kootenai County, Idaho",055,91426,16
47.9,47.9,47.9,"Spirit Lake-Athol CCD, Kootenai County, Idaho",055,93312,16
50.6,48.5,52.4,"Craigmont CCD, Lewis County, Idaho",061,90690,16
49.5,52.2,48.2,"Winchester CCD, Lewis County, Idaho",061,93864,16
47.3,45.5,48.3,"Kamiah CCD, Lewis County, Idaho",061,91771,16
39.9,39.3,40.4,"Paul CCD, Minidoka County, Idaho",067,92760,16
35.3,31.5,37.7,"Rupert CCD, Minidoka County, Idaho",067,93105,16
35.0,36.8,32.4,"Minidoka CCD, Minidoka County, Idaho",067,92162,16
32.8,34.9,29.0,"Heyburn CCD, Minidoka County, Idaho",067,91449,16
34.8,41.3,31.2,"Hollister CCD, Twin Falls County, Idaho",083,91495,16
45.2,40.3,50.9,"Buhl CCD, Twin Falls County, Idaho",083,90437,16
25.0,29.1,23.8,"Murtaugh CCD, Twin Falls County, Idaho",083,92415,16
43.9,40.0,46.5,"West Salmon Falls CCD, Twin Falls County, Idaho",083,93818,16
32.8,31.0,33.6,"Kimberly CCD, Twin Falls County, Idaho",083,91840,16
