B01002_001E,B01002_002E,B01002_003E,name,county,county subdivision,state
49.0,43.4,53.8,"South Wheatland township, Macon County, Illinois",115,71357,17
37.4,35.0,39.6,"Decatur township, Macon County, Illinois",115,18836,17
33.1,35.4,32.3,"Pleasant View township, Macon County, Illinois",115,60677,17
49.1,46.5,51.8,"Long Creek township, Macon County, Illinois",115,44511,17
42.3,42.6,41.5,"Mount Zion township, Macon County, Illinois",115,51219,17
39.7,39.9,38.7,"Austin township, Macon County, Illinois",115,03051,17
34.3,37.5,33.2,"Illini township, Macon County, Illinois",115,37023,17
55.2,39.7,60.0,"Lynnville precinct, Morgan County, Illinois",137,91962,17
43.8,42.6,46.5,"Maroa township, Macon County, Illinois",115,47085,17
47.0,46.6,47.1,"Blue Mound township, Macon County, Illinois",115,06769,17
40.6,38.9,42.3,"Hickory Point township, Macon County, Illinois",115,34527,17
47.4,46.4,47.9,"Niantic township, Macon County, Illinois",115,52974,17
59.3,60.3,57.5,"Oakley township, Macon County, Illinois",115,54859,17
37.7,31.7,47.3,"Jacksonville No. 2 precinct, Morgan County, Illinois",137,91712,17
54.0,54.8,52.7,"Jacksonville No. 9 precinct, Morgan County, Illinois",137,91719,17
49.0,44.1,53.8,"Nortonville precinct, Morgan County, Illinois",137,92268,17
36.1,34.7,36.2,"Markham precinct, Morgan County, Illinois",137,92034,17
30.0,29.9,34.1,"Jacksonville No. 5 precinct, Morgan County, Illinois",137,91715,17
37.4,37.5,37.1,"Jacksonville No. 6 precinct, Morgan County, Illinois",137,91716,17
57.2,42.5,59.5,"Appanoose township, Hancock County, Illinois",067,01621,17
47.5,46.2,50.2,"Harmony township, Hancock County, Illinois",067,32993,17
54.4,51.2,55.5,"Rock Creek township, Hancock County, Illinois",067,64876,17
48.4,38.8,52.8,"Sonora township, Hancock County, Illinois",067,70499,17
50.7,50.1,51.8,"Walker township, Hancock County, Illinois",067,78422,17
38.9,38.3,42.3,"Chili township, Hancock County, Illinois",067,14104,17
39.8,39.0,40.7,"Collinsville township, Madison County, Illinois",119,15612,17
52.8,50.6,55.2,"St. Mary township, Hancock County, Illinois",067,67054,17
50.1,54.3,46.5,"Dallas City township, Hancock County, Illinois",067,18433,17
38.0,35.5,40.4,"Alton township, Madison County, Illinois",119,01127,17
57.4,55.5,57.6,"Wilcox township, Hancock County, Illinois",067,81607,17
35.2,36.3,32.8,"St. Jacob township, Madison County, Illinois",119,66872,17
39.6,38.2,41.5,"Wood River township, Madison County, Illinois",119,83284,17
43.2,41.2,44.9,"Marine township, Madison County, Illinois",119,46877,17
42.4,44.7,41.5,"Omphghent township, Madison County, Illinois",119,56068,17
37.9,32.9,43.5,"Venice township, Madison County, Illinois",119,77486,17
41.8,42.7,41.2,"Chouteau township, Madison County, Illinois",119,14260,17
36.5,36.5,36.6,"Jarvis township, Madison County, Illinois",119,38245,17
39.8,39.0,41.7,"Nameoki township, Madison County, Illinois",119,51583,17
41.9,37.6,46.1,"Granite City township, Madison County, Illinois",119,30939,17
38.2,35.8,40.5,"Helvetia township, Madison County, Illinois",119,33981,17
47.5,47.1,48.1,"Foster township, Madison County, Illinois",119,27182,17
44.4,43.9,44.7,"Moro township, Madison County, Illinois",119,50465,17
45.0,44.6,45.5,"Pin Oak township, Madison County, Illinois",119,60014,17
41.8,39.9,42.6,"Hamel township, Madison County, Illinois",119,32421,17
34.0,33.7,34.3,"Edwardsville township, Madison County, Illinois",119,22710,17
43.5,43.8,42.9,"New Douglas township, Madison County, Illinois",119,52428,17
46.0,42.0,48.6,"Saline township, Madison County, Illinois",119,67275,17
41.0,41.2,40.1,"Leef township, Madison County, Illinois",119,42652,17
43.4,42.4,43.9,"Olive township, Madison County, Illinois",119,55834,17
43.2,43.2,43.3,"Fort Russell township, Madison County, Illinois",119,27130,17
45.8,43.0,48.4,"Godfrey township, Madison County, Illinois",119,30107,17
35.1,33.4,37.5,"Felix township, Grundy County, Illinois",063,25778,17
44.1,43.8,44.7,"Goodfarm township, Grundy County, Illinois",063,30432,17
35.3,32.2,37.1,"Mazon township, Grundy County, Illinois",063,47800,17
39.9,41.4,39.5,"Alhambra township, Madison County, Illinois",119,00750,17
56.3,53.6,58.4,"Goose Lake township, Grundy County, Illinois",063,30549,17
40.4,41.3,37.6,"Vienna township, Grundy County, Illinois",063,77850,17
57.4,58.5,56.8,"Erienna township, Grundy County, Illinois",063,24400,17
40.8,38.9,42.5,"Garfield township, Grundy County, Illinois",063,28677,17
44.8,43.9,47.5,"Greenfield township, Grundy County, Illinois",063,31381,17
41.1,41.6,40.6,"Norman township, Grundy County, Illinois",063,53286,17
54.9,55.8,54.4,"Highland township, Grundy County, Illinois",063,34657,17
39.8,39.8,39.8,"Saratoga township, Grundy County, Illinois",063,67678,17
45.9,45.6,45.9,"Wauponsee township, Grundy County, Illinois",063,79345,17
33.9,31.8,35.2,"Nettle Creek township, Grundy County, Illinois",063,52038,17
34.7,34.5,34.9,"Braceville township, Grundy County, Illinois",063,07653,17
33.1,34.0,32.7,"Aux Sable township, Grundy County, Illinois",063,03090,17
36.0,34.6,41.8,"Morris township, Grundy County, Illinois",063,50504,17
51.4,53.2,50.1,"Salina township, Kankakee County, Illinois",091,67262,17
43.8,42.8,44.9,"Momence township, Kankakee County, Illinois",091,49906,17
40.6,36.3,43.9,"St. Anne township, Kankakee County, Illinois",091,66651,17
45.3,45.2,45.3,"Rockville township, Kankakee County, Illinois",091,65195,17
45.8,44.4,46.3,"Limestone township, Kankakee County, Illinois",091,43497,17
39.4,37.8,44.7,"Otto township, Kankakee County, Illinois",091,57017,17
46.7,38.9,49.2,"Sumner township, Kankakee County, Illinois",091,73690,17
33.9,32.3,35.3,"Bourbonnais township, Kankakee County, Illinois",091,07484,17
41.7,40.6,43.4,"Essex township, Kankakee County, Illinois",091,24465,17
42.8,42.7,42.8,"Manteno township, Kankakee County, Illinois",091,46513,17
38.9,38.1,40.7,"Ganeer township, Kankakee County, Illinois",091,28456,17
35.2,35.1,35.2,"Kankakee township, Kankakee County, Illinois",091,38947,17
36.3,35.2,36.9,"Norton township, Kankakee County, Illinois",091,54352,17
37.1,30.2,42.5,"Pembroke township, Kankakee County, Illinois",091,58538,17
48.4,49.1,48.0,"Aroma township, Kankakee County, Illinois",091,02245,17
46.3,37.6,47.0,"Abington township, Mercer County, Illinois",131,00126,17
54.4,57.6,50.9,"North Henderson township, Mercer County, Illinois",131,53806,17
44.8,46.3,43.7,"Richland Grove township, Mercer County, Illinois",131,63628,17
42.2,38.4,42.9,"Perryton township, Mercer County, Illinois",131,59182,17
48.4,44.7,51.0,"Greene township, Mercer County, Illinois",131,31342,17
52.8,55.4,50.9,"New Boston township, Mercer County, Illinois",131,52233,17
43.5,37.6,44.4,"Suez township, Mercer County, Illinois",131,73339,17
43.4,46.3,43.1,"Ohio Grove township, Mercer County, Illinois",131,55405,17
40.2,40.7,39.8,"Preemption township, Mercer County, Illinois",131,61795,17
35.7,31.7,36.9,"Rivoli township, Mercer County, Illinois",131,64551,17
30.1,30.7,26.8,"Eliza township, Mercer County, Illinois",131,23152,17
48.6,45.9,49.6,"Mercer township, Mercer County, Illinois",131,48398,17
48.4,47.3,48.9,"Keithsburg township, Mercer County, Illinois",131,39311,17
39.5,37.7,41.2,"Lisle township, DuPage County, Illinois",043,43952,17
47.9,47.7,49.5,"Millersburg township, Mercer County, Illinois",131,49256,17
31.5,31.9,30.8,"Duncan township, Mercer County, Illinois",131,20968,17
49.3,45.6,49.6,"Maine township, Grundy County, Illinois",063,46175,17
40.3,37.6,47.4,"Pilot township, Kankakee County, Illinois",091,59819,17
44.1,44.5,42.8,"Yellowhead township, Kankakee County, Illinois",091,83856,17
38.5,37.1,40.1,"Milton township, DuPage County, Illinois",043,49451,17
36.0,35.2,36.9,"Winfield township, DuPage County, Illinois",043,82413,17
40.7,38.6,43.1,"York township, DuPage County, Illinois",043,83947,17
-666666666.0,-666666666.0,-666666666.0,"Chicago city, DuPage County, Illinois",043,14000,17
43.0,41.2,44.4,"Downers Grove township, DuPage County, Illinois",043,20604,17
35.9,35.4,36.5,"Naperville township, DuPage County, Illinois",043,51635,17
41.5,41.9,41.2,"Clear Lake township, Sangamon County, Illinois",167,14858,17
48.6,48.5,48.6,"Cotton Hill township, Sangamon County, Illinois",167,16574,17
62.2,62.1,63.6,"Maxwell township, Sangamon County, Illinois",167,47618,17
40.2,37.6,43.3,"Cartwright township, Sangamon County, Illinois",167,11579,17
36.4,37.8,35.3,"Chatham township, Sangamon County, Illinois",167,12697,17
46.9,46.1,50.1,"Island Grove township, Sangamon County, Illinois",167,37881,17
38.2,37.4,39.1,"Addison township, DuPage County, Illinois",043,00250,17
38.1,37.0,39.0,"Bloomingdale township, DuPage County, Illinois",043,06600,17
39.4,37.8,40.6,"Wayne township, DuPage County, Illinois",043,79410,17
45.2,45.4,44.5,"Mechanicsburg township, Sangamon County, Illinois",167,48034,17
45.6,46.8,44.3,"Gardner township, Sangamon County, Illinois",167,28651,17
35.1,30.8,36.7,"New Berlin township, Sangamon County, Illinois",167,52181,17
50.7,38.9,56.3,"Curran township, Sangamon County, Illinois",167,18160,17
37.8,35.1,38.5,"Auburn township, Sangamon County, Illinois",167,02928,17
55.3,55.1,59.7,"Buffalo Hart township, Sangamon County, Illinois",167,09486,17
46.7,44.8,49.0,"Divernon township, Sangamon County, Illinois",167,20058,17
39.3,39.6,37.7,"Lanesville township, Sangamon County, Illinois",167,41976,17
35.8,32.2,38.2,"Springfield township, Sangamon County, Illinois",167,72013,17
45.1,43.7,46.6,"Woodside township, Sangamon County, Illinois",167,83310,17
38.9,36.4,41.0,"Capital township, Sangamon County, Illinois",167,11046,17
47.9,45.7,49.3,"Fancy Creek township, Sangamon County, Illinois",167,25323,17
38.9,38.8,40.0,"Illiopolis township, Sangamon County, Illinois",167,37140,17
37.6,32.5,41.3,"Williams township, Sangamon County, Illinois",167,81776,17
49.5,49.8,49.3,"Cooper township, Sangamon County, Illinois",167,16223,17
37.7,35.6,42.6,"Loami township, Sangamon County, Illinois",167,44186,17
37.0,34.4,38.9,"Pawnee township, Sangamon County, Illinois",167,58187,17
37.3,36.7,37.9,"Ball township, Sangamon County, Illinois",167,03506,17
43.4,42.8,44.0,"Rochester township, Sangamon County, Illinois",167,64772,17
55.1,48.5,55.1,"Talkington township, Sangamon County, Illinois",167,74340,17
46.5,45.8,48.0,"Concord township, Iroquois County, Illinois",075,16041,17
44.1,44.3,44.0,"Ridgeland township, Iroquois County, Illinois",075,63901,17
46.2,46.3,46.2,"Iroquois township, Iroquois County, Illinois",075,37725,17
41.9,38.4,46.3,"Ashkum township, Iroquois County, Illinois",075,02492,17
59.3,65.0,57.4,"Stockland township, Iroquois County, Illinois",075,72773,17
49.2,53.5,46.6,"Prairie Green township, Iroquois County, Illinois",075,61665,17
50.5,50.6,50.4,"Middleport township, Iroquois County, Illinois",075,48814,17
47.2,45.5,51.5,"May township, Christian County, Illinois",021,47631,17
47.8,47.3,50.3,"Jonesboro District 3 precinct, Union County, Illinois",181,91792,17
36.4,39.3,36.3,"Dongola District 2 precinct, Union County, Illinois",181,90990,17
37.9,37.3,39.1,"Jonesboro District 1 precinct, Union County, Illinois",181,91764,17
47.7,43.2,49.9,"Jonesboro District 2 precinct, Union County, Illinois",181,91782,17
48.6,45.4,50.7,"Union precinct, Union County, Illinois",181,93484,17
52.2,48.8,52.3,"South Jacksonville No. 3 precinct, Morgan County, Illinois",137,93210,17
52.1,52.5,48.8,"South Jacksonville No. 4 precinct, Morgan County, Illinois",137,93212,17
42.1,41.6,43.1,"Blairsville precinct, Williamson County, Illinois",199,90432,17
33.9,35.7,33.3,"Carterville precinct, Williamson County, Illinois",199,90648,17
32.3,21.9,42.1,"Corinth precinct, Williamson County, Illinois",199,90846,17
43.3,43.6,41.7,"Crab Orchard precinct, Williamson County, Illinois",199,90882,17
55.6,54.6,56.0,"Creal Springs precinct, Williamson County, Illinois",199,90918,17
40.1,37.1,43.3,"East Marion precinct, Williamson County, Illinois",199,91062,17
50.4,51.3,50.0,"Grassy precinct, Williamson County, Illinois",199,91548,17
41.5,41.3,41.7,"Herrin precinct, Williamson County, Illinois",199,91620,17
49.1,49.6,40.6,"Prentice-Sinclair precinct, Morgan County, Illinois",137,92934,17
43.0,42.2,46.1,"Lake Creek precinct, Williamson County, Illinois",199,91836,17
42.5,42.1,46.8,"Southern precinct, Williamson County, Illinois",199,93204,17
44.4,44.9,42.9,"Stonefort precinct, Williamson County, Illinois",199,93294,17
40.8,39.1,44.0,"West Marion precinct, Williamson County, Illinois",199,93690,17
52.2,53.3,50.4,"Murrayville precinct, Morgan County, Illinois",137,92232,17
45.1,50.5,41.0,"South Jacksonville No. 1 precinct, Morgan County, Illinois",137,93206,17
46.5,33.5,48.5,"South Jacksonville No. 2 precinct, Morgan County, Illinois",137,93208,17
42.3,43.1,40.0,"Anna District 4 precinct, Union County, Illinois",181,90180,17
44.2,33.0,49.2,"Anna District 5 precinct, Union County, Illinois",181,90198,17
47.8,56.0,45.7,"Precinct 19, Monroe County, Illinois",133,92640,17
37.2,37.4,36.8,"Precinct 20, Monroe County, Illinois",133,92645,17
35.0,33.0,38.5,"Precinct 1, Monroe County, Illinois",133,92550,17
40.1,29.6,44.3,"Precinct 2, Monroe County, Illinois",133,92555,17
36.6,35.4,37.6,"Precinct 3, Monroe County, Illinois",133,92560,17
42.1,33.2,42.8,"Precinct 4, Monroe County, Illinois",133,92565,17
50.8,53.9,50.6,"Precinct 5, Monroe County, Illinois",133,92570,17
48.2,42.7,52.6,"Precinct 6, Monroe County, Illinois",133,92575,17
57.9,57.5,60.5,"Precinct 7, Monroe County, Illinois",133,92580,17
45.8,43.1,50.5,"Precinct 8, Monroe County, Illinois",133,92585,17
43.3,43.4,40.9,"Precinct 9, Monroe County, Illinois",133,92590,17
48.2,48.5,48.0,"Precinct 10, Monroe County, Illinois",133,92595,17
42.5,44.4,40.3,"Precinct 11, Monroe County, Illinois",133,92600,17
46.0,30.0,51.2,"Precinct 12, Monroe County, Illinois",133,92605,17
53.9,53.6,54.2,"Precinct 13, Monroe County, Illinois",133,92610,17
45.7,45.5,47.4,"Precinct 14, Monroe County, Illinois",133,92615,17
46.9,40.8,51.3,"Precinct 15, Monroe County, Illinois",133,92620,17
47.0,44.1,53.9,"Precinct 16, Monroe County, Illinois",133,92625,17
27.8,35.4,25.3,"Precinct 17, Monroe County, Illinois",133,92630,17
49.2,49.2,49.0,"Precinct 18, Monroe County, Illinois",133,92635,17
50.1,43.5,55.2,"Precinct 24, Monroe County, Illinois",133,92665,17
44.3,46.1,40.2,"Precinct 21, Monroe County, Illinois",133,92650,17
55.3,56.4,53.5,"Precinct 22, Monroe County, Illinois",133,92655,17
36.0,36.1,35.9,"Precinct 23, Monroe County, Illinois",133,92660,17
41.5,39.5,46.0,"Precinct 25, Monroe County, Illinois",133,92670,17
39.5,35.3,57.7,"Anna District 6 precinct, Union County, Illinois",181,90216,17
49.5,46.0,52.8,"Anna District 7 precinct, Union County, Illinois",181,90224,17
38.4,40.3,35.7,"Precinct 27, Monroe County, Illinois",133,92680,17
34.4,33.6,34.9,"Precinct 28, Monroe County, Illinois",133,92685,17
45.6,57.1,32.8,"Precinct 29, Monroe County, Illinois",133,92690,17
50.8,50.8,50.8,"Precinct 30, Monroe County, Illinois",133,92695,17
30.4,31.7,27.6,"Precinct 31, Monroe County, Illinois",133,92700,17
55.0,55.1,46.9,"Precinct 32, Monroe County, Illinois",133,92705,17
39.9,45.6,32.4,"Precinct 33, Monroe County, Illinois",133,92710,17
34.9,33.8,35.3,"Precinct 34, Monroe County, Illinois",133,92715,17
42.4,35.8,43.8,"Precinct 35, Monroe County, Illinois",133,92720,17
27.4,41.9,23.9,"Precinct 36, Monroe County, Illinois",133,92725,17
50.8,52.7,46.9,"Precinct 37, Monroe County, Illinois",133,92730,17
36.9,36.0,43.7,"Precinct 26, Monroe County, Illinois",133,92675,17
46.7,49.7,44.0,"Fall River township, LaSalle County, Illinois",099,25284,17
36.4,36.3,36.8,"Hope township, LaSalle County, Illinois",099,36100,17
49.2,46.9,50.5,"Adams township, LaSalle County, Illinois",099,00204,17
47.6,47.7,47.2,"Dimmick township, LaSalle County, Illinois",099,19980,17
55.6,57.1,55.1,"Freedom township, LaSalle County, Illinois",099,27845,17
44.3,46.6,38.6,"Grand Rapids township, LaSalle County, Illinois",099,30744,17
54.4,52.9,58.0,"Groveland township, LaSalle County, Illinois",099,31914,17
38.6,37.7,39.3,"LaSalle township, LaSalle County, Illinois",099,42197,17
37.6,36.5,38.4,"Manlius township, LaSalle County, Illinois",099,46448,17
39.1,38.4,39.3,"Mendota township, LaSalle County, Illinois",099,48346,17
41.6,46.5,26.6,"Meriden township, LaSalle County, Illinois",099,48463,17
42.3,49.1,41.2,"Miller township, LaSalle County, Illinois",099,49204,17
36.7,33.5,45.6,"Mission township, LaSalle County, Illinois",099,49646,17
44.4,44.2,44.8,"Northville township, LaSalle County, Illinois",099,54248,17
49.4,47.8,50.8,"Allen township, LaSalle County, Illinois",099,00763,17
29.7,20.6,33.1,"Brookfield township, LaSalle County, Illinois",099,08583,17
40.0,37.4,44.4,"Bruce township, LaSalle County, Illinois",099,09057,17
45.9,41.8,50.1,"Rutland township, LaSalle County, Illinois",099,66456,17
42.6,43.0,42.4,"Otter Creek township, LaSalle County, Illinois",099,56965,17
46.2,44.7,49.0,"Peru township, LaSalle County, Illinois",099,59247,17
48.8,45.6,54.5,"Richland township, LaSalle County, Illinois",099,63576,17
44.4,41.6,54.1,"Serena township, LaSalle County, Illinois",099,68692,17
40.2,40.3,40.0,"South Ottawa township, LaSalle County, Illinois",099,71110,17
43.7,41.8,45.7,"Troy Grove township, LaSalle County, Illinois",099,76238,17
44.5,44.9,44.2,"Utica township, LaSalle County, Illinois",099,77096,17
42.8,38.0,44.5,"Vermillion township, LaSalle County, Illinois",099,77623,17
39.3,46.2,36.8,"Wallace township, LaSalle County, Illinois",099,78487,17
37.8,37.8,37.5,"Waltham township, LaSalle County, Illinois",099,78682,17
59.4,59.7,55.7,"Ophir township, LaSalle County, Illinois",099,56224,17
50.3,42.7,50.4,"Osage township, LaSalle County, Illinois",099,56731,17
40.7,40.7,40.8,"Ottawa township, LaSalle County, Illinois",099,56939,17
45.5,42.5,49.4,"Dayton township, LaSalle County, Illinois",099,18784,17
47.1,47.1,47.0,"Deer Park township, LaSalle County, Illinois",099,19096,17
45.0,47.5,44.2,"Eagle township, LaSalle County, Illinois",099,21436,17
43.5,42.9,43.8,"Earl township, LaSalle County, Illinois",099,21527,17
44.1,44.1,44.2,"Eden township, LaSalle County, Illinois",099,22424,17
45.0,43.6,47.5,"Farm Ridge township, LaSalle County, Illinois",099,25583,17
35.4,33.1,37.6,"Old Town township, McLean County, Illinois",113,55782,17
41.2,42.6,40.1,"Franklin Grove township, Lee County, Illinois",103,27695,17
47.5,43.5,50.3,"Hennepin township, Putnam County, Illinois",155,34124,17
45.5,36.7,48.1,"Magnolia township, Putnam County, Illinois",155,46123,17
45.6,44.6,46.6,"Granville township, Putnam County, Illinois",155,31030,17
64.4,65.4,62.8,"Senachwine township, Putnam County, Illinois",155,68627,17
57.7,57.2,58.0,"Tunbridge township, De Witt County, Illinois",039,76342,17
38.4,38.3,38.4,"Clintonia township, De Witt County, Illinois",039,15014,17
48.5,52.8,41.8,"Nixon township, De Witt County, Illinois",039,53117,17
47.1,46.6,47.3,"Santa Anna township, De Witt County, Illinois",039,67639,17
51.7,47.9,54.3,"Texas township, De Witt County, Illinois",039,74769,17
38.6,37.7,39.5,"Wilson township, De Witt County, Illinois",039,82140,17
35.0,25.8,39.4,"Barnett township, De Witt County, Illinois",039,03714,17
33.3,31.7,38.5,"Waynesville township, De Witt County, Illinois",039,79462,17
48.8,47.0,54.6,"De Witt township, De Witt County, Illinois",039,19785,17
35.6,25.7,40.8,"Creek township, De Witt County, Illinois",039,17302,17
60.2,66.4,48.6,"Rutledge township, De Witt County, Illinois",039,66469,17
40.2,41.6,38.7,"Wapella township, De Witt County, Illinois",039,78786,17
57.7,57.0,65.8,"Harp township, De Witt County, Illinois",039,33058,17
66.0,65.5,66.4,"Carson township, Fayette County, Illinois",051,11501,17
46.8,48.2,46.4,"Kaskaskia township, Fayette County, Illinois",051,39116,17
49.4,49.8,44.9,"La Clede township, Fayette County, Illinois",051,40533,17
59.3,51.5,61.2,"Shafter township, Fayette County, Illinois",051,68926,17
35.5,35.0,42.4,"Sharon township, Fayette County, Illinois",051,69017,17
48.7,40.8,67.2,"Bowling Green township, Fayette County, Illinois",051,07562,17
35.9,32.5,38.1,"Loudon township, Fayette County, Illinois",051,44901,17
39.7,39.4,42.4,"Lincoln precinct, Massac County, Illinois",127,91908,17
44.6,43.7,44.9,"Bear Grove township, Fayette County, Illinois",051,04377,17
31.6,26.8,39.0,"Lone Grove township, Fayette County, Illinois",051,44459,17
28.8,27.3,48.9,"Pope township, Fayette County, Illinois",051,61106,17
50.7,44.6,50.9,"Jackson precinct, Massac County, Illinois",127,91692,17
43.7,43.2,44.7,"Jefferson precinct, Massac County, Illinois",127,91740,17
47.6,48.9,47.1,"Washington precinct, Massac County, Illinois",127,93618,17
27.5,18.0,30.9,"Franklin precinct, Massac County, Illinois",127,91260,17
41.9,44.8,39.2,"Hillerman precinct, Massac County, Illinois",127,91638,17
44.9,47.3,42.3,"Winchester No. 1 precinct, Scott County, Illinois",171,93780,17
39.6,38.5,43.3,"Metropolis No. 1 precinct, Massac County, Illinois",127,92070,17
40.5,43.1,30.8,"Naples-Bluffs precinct, Scott County, Illinois",171,92250,17
40.9,37.8,41.9,"Exeter-Bluffs precinct, Scott County, Illinois",171,91224,17
51.6,52.2,51.5,"Alsey precinct, Scott County, Illinois",171,90072,17
42.2,41.8,42.7,"Glasgow precinct, Scott County, Illinois",171,91368,17
52.2,49.0,54.5,"Manchester precinct, Scott County, Illinois",171,92016,17
49.5,49.6,49.5,"Bloomfield precinct, Scott County, Illinois",171,90468,17
30.3,32.5,14.9,"Merritt precinct, Scott County, Illinois",171,92052,17
42.4,39.6,46.0,"Winchester No. 2 precinct, Scott County, Illinois",171,93798,17
41.5,38.6,48.2,"Winchester No. 3 precinct, Scott County, Illinois",171,93816,17
41.4,38.9,44.4,"Hopedale township, Tazewell County, Illinois",179,36139,17
44.5,44.5,44.4,"Sand Prairie township, Tazewell County, Illinois",179,67483,17
39.8,39.5,40.2,"Washington township, Tazewell County, Illinois",179,79046,17
35.0,34.2,35.7,"Deer Creek township, Tazewell County, Illinois",179,18953,17
45.8,41.6,46.6,"Hittle township, Tazewell County, Illinois",179,35359,17
41.9,39.8,47.4,"Cincinnati township, Tazewell County, Illinois",179,14403,17
43.7,41.5,44.8,"Groveland township, Tazewell County, Illinois",179,31940,17
41.3,52.1,29.6,"Malone township, Tazewell County, Illinois",179,46266,17
37.3,35.4,39.9,"Pekin township, Tazewell County, Illinois",179,58460,17
41.6,36.7,44.2,"Tremont township, Tazewell County, Illinois",179,75978,17
40.8,38.3,41.1,"Little Mackinaw township, Tazewell County, Illinois",179,44017,17
48.4,49.3,47.7,"Spring Lake township, Tazewell County, Illinois",179,72130,17
50.0,50.2,47.8,"Boynton township, Tazewell County, Illinois",179,07627,17
37.8,34.3,41.0,"Delavan township, Tazewell County, Illinois",179,19239,17
40.6,40.4,40.8,"Mackinaw township, Tazewell County, Illinois",179,45792,17
41.3,40.0,42.9,"Morton township, Tazewell County, Illinois",179,50634,17
36.9,36.8,37.1,"Dillon township, Tazewell County, Illinois",179,19941,17
40.4,43.7,35.0,"Elm Grove township, Tazewell County, Illinois",179,23607,17
44.2,41.2,46.3,"Fondulac township, Tazewell County, Illinois",179,26636,17
44.2,40.6,45.9,"Pittsfield township, Pike County, Illinois",149,60235,17
30.0,32.1,26.2,"Derry township, Pike County, Illinois",149,19577,17
52.6,52.8,40.0,"Atlas township, Pike County, Illinois",149,02791,17
25.9,32.1,25.8,"Flint township, Pike County, Illinois",149,26415,17
35.6,38.2,33.8,"Griggsville township, Pike County, Illinois",149,31784,17
43.8,43.2,45.5,"Ross township, Pike County, Illinois",149,65936,17
47.5,47.7,44.8,"Martinsburg township, Pike County, Illinois",149,47241,17
48.3,41.0,57.0,"Newburg township, Pike County, Illinois",149,52259,17
40.1,29.6,40.3,"New Salem township, Pike County, Illinois",149,52818,17
-666666666.0,-666666666.0,-666666666.0,"Cincinnati township, Pike County, Illinois",149,14390,17
-666666666.0,-666666666.0,-666666666.0,"Levee township, Pike County, Illinois",149,43003,17
42.5,39.0,43.7,"Barry township, Pike County, Illinois",149,03974,17
47.0,46.8,47.3,"Golconda No. 3 precinct, Pope County, Illinois",151,91422,17
50.5,48.6,54.2,"Webster No. 5 precinct, Pope County, Illinois",151,93654,17
64.0,63.2,64.4,"Golconda No. 2 precinct, Pope County, Illinois",151,91404,17
42.7,42.1,43.9,"Eddyville No. 6 precinct, Pope County, Illinois",151,91116,17
57.0,59.8,49.1,"Jefferson No. 4 precinct, Pope County, Illinois",151,91746,17
54.0,54.0,53.8,"Golconda No. 1 precinct, Pope County, Illinois",151,91386,17
45.4,42.5,46.8,"Blackhawk township, Rock Island County, Illinois",161,06301,17
51.4,50.3,54.1,"Buffalo Prairie township, Rock Island County, Illinois",161,09512,17
28.9,29.5,28.3,"Rock Island township, Rock Island County, Illinois",161,65091,17
33.5,35.9,31.9,"Canoe Creek township, Rock Island County, Illinois",161,10955,17
44.6,38.5,48.3,"Port Byron township, Rock Island County, Illinois",161,61236,17
