B01002_001E,B01002_002E,B01002_003E,name,county,county subdivision,state
54.7,53.0,55.5,"Sand Creek township, Meade County, Kansas",119,62925,20
36.0,35.2,37.1,"Coffeyville city, Montgomery County, Kansas",125,14600,20
42.8,40.4,45.6,"Meade Center township, Meade County, Kansas",119,45350,20
59.8,65.3,55.8,"Odee township, Meade County, Kansas",119,52075,20
59.3,61.1,58.8,"Rutland township, Montgomery County, Kansas",125,61925,20
41.0,33.2,46.2,"Fowler township, Meade County, Kansas",119,24200,20
36.9,37.3,36.4,"Drum Creek township, Montgomery County, Kansas",125,18700,20
54.9,55.1,54.8,"Liberty township, Montgomery County, Kansas",125,40275,20
44.8,50.6,39.1,"Sycamore township, Montgomery County, Kansas",125,69750,20
54.9,56.8,51.9,"Logan township, Meade County, Kansas",119,42000,20
25.1,15.5,32.4,"Mertilla township, Meade County, Kansas",119,46025,20
57.3,60.1,50.3,"Crooked Creek township, Meade County, Kansas",119,16450,20
64.1,66.0,59.1,"Cherokee township, Montgomery County, Kansas",125,12850,20
38.8,35.9,41.2,"Cherryvale city, Montgomery County, Kansas",125,12925,20
36.9,32.2,42.7,"Independence city, Montgomery County, Kansas",125,33875,20
40.1,36.9,43.1,"Caney city, Montgomery County, Kansas",125,10375,20
37.8,35.0,42.5,"Independence township, Montgomery County, Kansas",125,33900,20
47.9,48.8,47.2,"Parker township, Montgomery County, Kansas",125,54525,20
47.7,47.9,47.5,"Fawn Creek township, Montgomery County, Kansas",125,23325,20
41.9,44.8,37.0,"Louisburg township, Montgomery County, Kansas",125,42900,20
46.5,49.4,39.9,"West Cherry township, Montgomery County, Kansas",125,76825,20
48.3,57.5,21.7,"Grant township, Republic County, Kansas",157,28050,20
62.4,-666666666.0,-666666666.0,"Liberty township, Republic County, Kansas",157,40325,20
-666666666.0,-666666666.0,-666666666.0,"Union township, Republic County, Kansas",157,72300,20
55.2,55.6,54.6,"Lincoln township, Republic County, Kansas",157,41075,20
53.6,53.6,47.8,"Norway township, Republic County, Kansas",157,51575,20
61.5,57.5,64.3,"Rose Creek township, Republic County, Kansas",157,61200,20
75.6,76.2,75.4,"Elk Creek township, Republic County, Kansas",157,20275,20
43.2,36.7,43.9,"Beaver township, Republic County, Kansas",157,05150,20
-666666666.0,-666666666.0,-666666666.0,"Bryant township, Graham County, Kansas",065,08850,20
51.4,47.4,54.4,"Hill City township, Graham County, Kansas",065,32200,20
-666666666.0,-666666666.0,-666666666.0,"Indiana township, Graham County, Kansas",065,34000,20
-666666666.0,-666666666.0,-666666666.0,"Happy township, Graham County, Kansas",065,29950,20
-666666666.0,-666666666.0,-666666666.0,"Allodium township, Graham County, Kansas",065,01325,20
59.3,66.0,-666666666.0,"Graham township, Graham County, Kansas",065,27175,20
33.7,32.9,44.5,"Morlan township, Graham County, Kansas",065,48250,20
55.7,51.8,55.8,"Solomon township, Graham County, Kansas",065,66300,20
39.0,37.4,41.5,"Rosalia township, Butler County, Kansas",015,61125,20
58.1,58.1,57.0,"Logan township, Butler County, Kansas",015,41775,20
45.7,35.4,60.1,"Fairview township, Butler County, Kansas",015,22450,20
38.5,34.2,45.4,"Milton township, Butler County, Kansas",015,46875,20
44.3,55.1,39.9,"Union township, Butler County, Kansas",015,72050,20
37.1,35.8,38.1,"Douglass township, Butler County, Kansas",015,18425,20
35.9,34.3,37.2,"El Dorado city, Butler County, Kansas",015,20075,20
28.3,30.1,27.7,"Plum Grove township, Butler County, Kansas",015,56850,20
52.8,50.9,54.5,"Spring township, Butler County, Kansas",015,67275,20
35.9,27.2,40.7,"Towanda township, Butler County, Kansas",015,71150,20
70.1,66.0,70.4,"Clay township, Butler County, Kansas",015,13575,20
49.3,49.4,48.0,"Chelsea township, Butler County, Kansas",015,12750,20
41.8,41.0,45.8,"Glencoe township, Butler County, Kansas",015,26400,20
40.2,39.9,42.3,"Pleasant township, Butler County, Kansas",015,56200,20
26.3,21.4,31.6,"Clifford township, Butler County, Kansas",015,14175,20
39.0,44.5,37.3,"Fairmount township, Butler County, Kansas",015,22275,20
46.3,48.7,46.1,"Little Walnut township, Butler County, Kansas",015,41625,20
42.6,40.4,46.7,"Benton township, Butler County, Kansas",015,06200,20
52.0,49.8,52.3,"Lincoln township, Butler County, Kansas",015,40500,20
38.3,41.5,35.4,"Sycamore township, Butler County, Kansas",015,69700,20
33.8,31.8,34.8,"Augusta city, Butler County, Kansas",015,03300,20
55.1,55.1,56.0,"Augusta township, Butler County, Kansas",015,03325,20
33.5,36.3,18.7,"Bloomington township, Butler County, Kansas",015,07500,20
36.6,33.6,38.0,"Bruno township, Butler County, Kansas",015,08825,20
52.1,50.4,52.3,"El Dorado township, Butler County, Kansas",015,20100,20
22.8,43.1,19.3,"Murdock township, Butler County, Kansas",015,49225,20
34.4,33.7,51.4,"Prospect township, Butler County, Kansas",015,57775,20
43.2,44.3,41.4,"Richland township, Butler County, Kansas",015,59250,20
52.9,53.7,52.4,"Walnut township, Butler County, Kansas",015,74900,20
56.3,66.1,56.2,"Hickory township, Butler County, Kansas",015,31750,20
51.2,51.5,50.9,"Rock Creek township, Butler County, Kansas",015,60475,20
53.5,47.9,57.3,"Blaine township, Clay County, Kansas",027,07050,20
35.3,35.4,-666666666.0,"Bloom township, Clay County, Kansas",027,07325,20
42.7,40.2,50.4,"Clay Center city, Clay County, Kansas",027,13625,20
47.1,47.7,39.4,"Exeter township, Clay County, Kansas",027,22100,20
51.1,51.4,48.5,"Highland township, Clay County, Kansas",027,31825,20
39.2,37.1,40.0,"Republican township, Clay County, Kansas",027,59025,20
55.5,73.1,38.3,"Garfield township, Clay County, Kansas",027,25500,20
51.9,51.5,52.3,"Mulberry township, Clay County, Kansas",027,49000,20
43.0,42.0,44.0,"Grinnell township, Gove County, Kansas",063,28925,20
43.5,45.3,43.0,"Payne township, Gove County, Kansas",063,55050,20
50.3,54.0,46.5,"Gove township, Gove County, Kansas",063,27075,20
64.1,-666666666.0,-666666666.0,"Lewis township, Gove County, Kansas",063,39750,20
38.0,40.6,33.3,"Ohio township, Franklin County, Kansas",059,52350,20
34.9,33.4,37.0,"Ottawa city, Franklin County, Kansas",059,53550,20
34.7,31.7,35.9,"Centropolis township, Franklin County, Kansas",059,12475,20
38.6,37.3,40.9,"Williamsburg township, Franklin County, Kansas",059,79325,20
46.4,54.3,45.3,"Appanoose township, Franklin County, Kansas",059,02075,20
49.9,44.9,53.2,"Greenwood township, Franklin County, Kansas",059,28750,20
59.6,62.4,53.5,"Lincoln township, Franklin County, Kansas",059,40700,20
43.6,40.8,47.9,"Cutler township, Franklin County, Kansas",059,16900,20
49.9,46.5,54.7,"Hayes township, Franklin County, Kansas",059,30925,20
36.6,37.7,36.3,"Pomona township, Franklin County, Kansas",059,57025,20
34.0,35.1,31.2,"Franklin township, Franklin County, Kansas",059,24375,20
51.5,51.6,51.4,"Homewood township, Franklin County, Kansas",059,33000,20
41.5,40.7,41.8,"Peoria township, Franklin County, Kansas",059,55425,20
54.1,52.0,54.7,"Pottawatomie township, Franklin County, Kansas",059,57225,20
37.7,15.4,50.4,"Richland township, Harvey County, Kansas",079,59350,20
43.8,41.8,46.1,"Richmond township, Franklin County, Kansas",059,59700,20
62.4,59.9,62.8,"Ottawa township, Franklin County, Kansas",059,53575,20
57.8,58.1,54.8,"Harrison township, Franklin County, Kansas",059,30300,20
43.8,44.7,41.6,"Liberty township, Coffey County, Kansas",031,39925,20
41.0,36.1,44.8,"Burlington city, Coffey County, Kansas",031,09400,20
51.3,49.8,51.6,"Pottawatomie township, Coffey County, Kansas",031,57200,20
43.2,43.0,43.3,"Lincoln township, Coffey County, Kansas",031,40550,20
65.3,65.4,65.1,"Spring Creek township, Coffey County, Kansas",031,67375,20
44.9,36.6,54.5,"Star township, Coffey County, Kansas",031,68000,20
45.2,45.7,39.5,"Hampden township, Coffey County, Kansas",031,29775,20
47.5,50.3,46.0,"Rock Creek township, Coffey County, Kansas",031,60500,20
42.0,44.5,35.9,"Mulberry city, Crawford County, Kansas",037,49025,20
33.5,32.2,34.4,"Girard city, Crawford County, Kansas",037,26300,20
57.9,60.5,57.4,"Grant township, Crawford County, Kansas",037,27575,20
-666666666.0,-666666666.0,-666666666.0,"Harlan township, Decatur County, Kansas",039,30050,20
-666666666.0,-666666666.0,-666666666.0,"Logan township, Decatur County, Kansas",039,41825,20
-666666666.0,-666666666.0,-666666666.0,"Olive township, Decatur County, Kansas",039,52675,20
-666666666.0,-666666666.0,-666666666.0,"Cook township, Decatur County, Kansas",039,15375,20
56.8,56.6,-666666666.0,"Pleasant Valley township, Decatur County, Kansas",039,56525,20
2.7,-666666666.0,-666666666.0,"Custer township, Decatur County, Kansas",039,16850,20
38.6,37.8,39.2,"Lincoln township, Dickinson County, Kansas",041,40625,20
26.5,29.3,23.7,"Logan township, Dickinson County, Kansas",041,41850,20
44.8,37.5,56.6,"Sherman township, Dickinson County, Kansas",041,64925,20
49.0,34.9,54.8,"Cheever township, Dickinson County, Kansas",041,12700,20
44.2,45.4,39.5,"Hope township, Dickinson County, Kansas",041,33100,20
41.1,41.0,41.1,"Abilene city, Dickinson County, Kansas",041,00125,20
42.1,42.8,32.1,"Garfield township, Dickinson County, Kansas",041,25550,20
61.1,61.7,54.7,"Union township, Dickinson County, Kansas",041,72100,20
44.5,46.9,43.3,"Herington city, Dickinson County, Kansas",041,31400,20
50.2,56.5,13.0,"Banner township, Dickinson County, Kansas",041,03975,20
51.8,51.6,52.2,"Rinehart township, Dickinson County, Kansas",041,59900,20
41.8,41.9,41.8,"Flora township, Dickinson County, Kansas",041,23550,20
65.0,65.3,63.6,"Lyon township, Dickinson County, Kansas",041,43475,20
47.9,47.6,56.5,"Ridge township, Dickinson County, Kansas",041,59800,20
36.5,36.0,46.0,"Hayes township, Dickinson County, Kansas",041,30900,20
38.4,38.2,47.5,"Newbern township, Dickinson County, Kansas",041,50225,20
47.9,47.5,54.1,"Willowdale township, Dickinson County, Kansas",041,79450,20
30.4,30.5,30.4,"Buckeye township, Dickinson County, Kansas",041,08925,20
43.4,44.9,24.5,"Fragrant Hill township, Dickinson County, Kansas",041,24250,20
51.1,51.0,52.1,"Grant township, Dickinson County, Kansas",041,27625,20
66.7,66.7,66.7,"Holland township, Dickinson County, Kansas",041,32625,20
60.0,60.8,57.4,"Jefferson township, Dickinson County, Kansas",041,35175,20
46.3,41.7,46.7,"Wheatland township, Dickinson County, Kansas",041,77625,20
29.9,35.0,27.0,"Liberty township, Dickinson County, Kansas",041,40000,20
28.5,27.9,30.3,"Center township, Dickinson County, Kansas",041,11675,20
39.8,35.3,42.4,"Noble township, Dickinson County, Kansas",041,50800,20
37.7,37.7,40.0,"Rural township, Jefferson County, Kansas",087,61700,20
