B01002_001E,B01002_002E,B01002_003E,name,county,county subdivision,state
60.2,46.2,60.4,"Skinnersville township, Washington County, North Carolina",187,92968,37
43.2,39.5,44.8,"Plymouth township, Washington County, North Carolina",187,92540,37
46.6,45.0,46.7,"Scuppernong township, Washington County, North Carolina",187,92876,37
38.3,38.4,38.0,"Lees Mill township, Washington County, North Carolina",187,91768,37
39.1,37.9,41.5,"Courthouse township, Camden County, North Carolina",029,90784,37
43.6,44.6,41.7,"Shiloh township, Camden County, North Carolina",029,92920,37
40.3,41.4,40.2,"South Mills township, Camden County, North Carolina",029,93044,37
49.7,50.9,49.3,"Sweetwater township, Clay County, North Carolina",043,93192,37
49.9,52.0,43.9,"Shooting Creek township, Clay County, North Carolina",043,92944,37
64.6,68.1,64.4,"Tusquittee township, Clay County, North Carolina",043,93792,37
48.1,48.1,50.1,"Brasstown township, Clay County, North Carolina",043,90360,37
47.6,39.7,54.4,"Hayesville township, Clay County, North Carolina",043,91436,37
39.0,38.8,39.3,"Black River township, Cumberland County, North Carolina",051,90288,37
38.1,33.7,42.6,"Eastover township, Cumberland County, North Carolina",051,90968,37
34.2,31.4,36.7,"Cross Creek township, Cumberland County, North Carolina",051,90832,37
34.0,31.7,35.6,"Rockfish township, Cumberland County, North Carolina",051,92724,37
29.3,27.8,31.2,"Seventy-First township, Cumberland County, North Carolina",051,92892,37
39.6,36.4,42.2,"Grays Creek township, Cumberland County, North Carolina",051,91296,37
35.5,31.4,36.1,"Beaver Dam township, Cumberland County, North Carolina",051,90192,37
30.9,29.4,32.6,"Pearces Mill township, Cumberland County, North Carolina",051,92460,37
34.6,34.4,34.9,"Carvers Creek township, Cumberland County, North Carolina",051,90532,37
23.8,23.3,25.0,"Manchester township, Cumberland County, North Carolina",051,91964,37
39.3,39.7,39.0,"Cedar Creek township, Cumberland County, North Carolina",051,90572,37
40.4,37.7,42.9,"South Point township, Gaston County, North Carolina",071,93048,37
41.1,41.8,40.4,"Crowders Mountain township, Gaston County, North Carolina",071,90844,37
38.6,36.8,40.3,"Gastonia township, Gaston County, North Carolina",071,91216,37
