B01002_001E,B01002_002E,B01002_003E,name,county,county subdivision,state
56.2,63.4,49.6,"Dixie Valley CCD, Churchill County, Nevada",001,94238,32
38.9,37.7,40.8,"Fallon CCD, Churchill County, Nevada",001,94308,32
-666666666.0,-666666666.0,-666666666.0,"Carson Sink CCD, Churchill County, Nevada",001,94154,32
53.1,53.8,51.8,"Genoa-Jacks Valley CCD, Douglas County, Nevada",005,94378,32
62.2,62.1,63.5,"Pine Nut CCD, Douglas County, Nevada",005,94658,32
54.4,55.8,52.5,"Zephyr Cove CCD, Douglas County, Nevada",005,94952,32
48.7,46.8,50.5,"Gardnerville-Minden CCD, Douglas County, Nevada",005,94364,32
56.0,54.9,57.2,"Topaz Lake CCD, Douglas County, Nevada",005,94826,32
36.8,33.1,42.7,"Battle Mountain CCD, Lander County, Nevada",015,94070,32
53.9,65.2,51.3,"Austin CCD, Lander County, Nevada",015,94042,32
41.6,41.8,38.8,"Lovelock CCD, Pershing County, Nevada",027,94518,32
44.8,44.5,53.4,"Imlay CCD, Pershing County, Nevada",027,94448,32
44.9,55.1,40.1,"McDermitt CCD, Humboldt County, Nevada",013,94546,32
37.2,35.3,39.5,"Goldfield CCD, Esmeralda County, Nevada",009,94420,32
51.4,51.8,50.8,"Beowawe CCD, Eureka County, Nevada",011,94098,32
46.5,47.7,44.3,"Eureka CCD, Eureka County, Nevada",011,94294,32
48.6,51.6,46.9,"Golconda CCD, Humboldt County, Nevada",013,94406,32
58.3,44.8,58.8,"Mina CCD, Mineral County, Nevada",021,94588,32
65.3,54.8,65.5,"Summit Lake CCD, Humboldt County, Nevada",013,94798,32
33.9,33.9,33.9,"Winnemucca CCD, Humboldt County, Nevada",013,94910,32
50.6,51.5,50.3,"Hawthorne CCD, Mineral County, Nevada",021,94434,32
28.3,28.5,28.2,"Walker River CCD, Mineral County, Nevada",021,94868,32
-666666666.0,-666666666.0,-666666666.0,"Cherry Creek CCD, White Pine County, Nevada",033,94168,32
39.1,38.4,39.5,"Ely CCD, White Pine County, Nevada",033,94280,32
47.2,37.9,53.5,"McGill CCD, White Pine County, Nevada",033,94560,32
60.3,60.4,59.9,"Lund CCD, White Pine County, Nevada",033,94532,32
