B01002_001E,B01002_002E,B01002_003E,name,county,county subdivision,state
59.7,59.3,60.3,"Mitchell CCD, Wheeler County, Oregon",069,91938,41
43.9,45.8,40.4,"Ione-Lexington CCD, Morrow County, Oregon",049,91411,41
37.7,37.2,38.2,"Boardman CCD, Morrow County, Oregon",049,90323,41
42.0,36.8,47.0,"Heppner CCD, Morrow County, Oregon",049,91309,41
44.2,43.3,44.4,"Seaside CCD, Clatsop County, Oregon",007,92839,41
43.8,41.7,46.0,"Astoria CCD, Clatsop County, Oregon",007,90153,41
44.3,44.3,44.1,"Knappa-Brownsmead CCD, Clatsop County, Oregon",007,91598,41
47.4,49.9,44.4,"Jewell CCD, Clatsop County, Oregon",007,91445,41
55.2,50.7,58.0,"Powers CCD, Coos County, Oregon",011,92567,41
56.8,58.0,55.4,"Bandon CCD, Coos County, Oregon",011,90221,41
55.5,50.5,56.5,"Myrtle Point CCD, Coos County, Oregon",011,92074,41
43.7,40.7,45.7,"Coos Bay CCD, Coos County, Oregon",011,90629,41
51.5,51.9,51.2,"Eastside CCD, Coos County, Oregon",011,91003,41
50.3,49.7,51.0,"Coquille CCD, Coos County, Oregon",011,90646,41
52.6,52.8,52.6,"North Bayside CCD, Coos County, Oregon",011,92159,41
57.2,56.9,57.3,"Port Orford CCD, Curry County, Oregon",015,92533,41
-666666666.0,-666666666.0,-666666666.0,"Agness CCD, Curry County, Oregon",015,90051,41
53.1,52.9,53.2,"Brookings CCD, Curry County, Oregon",015,90357,41
53.5,49.8,58.1,"Gold Beach CCD, Curry County, Oregon",015,91207,41
58.5,56.6,60.6,"Harbor CCD, Curry County, Oregon",015,91275,41
55.0,54.0,57.1,"Condon CCD, Gilliam County, Oregon",021,90612,41
41.0,41.7,36.9,"Arlington CCD, Gilliam County, Oregon",021,90102,41
37.1,33.2,41.1,"Parkdale CCD, Hood River County, Oregon",027,92431,41
37.7,37.2,37.9,"Odell CCD, Hood River County, Oregon",027,92380,41
47.1,44.5,49.5,"Dee CCD, Hood River County, Oregon",027,90850,41
49.5,41.2,51.5,"Cascade Locks CCD, Hood River County, Oregon",027,90476,41
38.7,39.1,38.4,"Hood River CCD, Hood River County, Oregon",027,91343,41
57.6,63.2,54.9,"Silver Lake-Fort Rock CCD, Lake County, Oregon",037,92924,41
44.5,48.2,40.7,"Warner Valley CCD, Lake County, Oregon",037,93417,41
51.1,50.4,51.3,"Summer Lake CCD, Lake County, Oregon",037,93145,41
