B01002_001E,B01002_002E,B01002_003E,name,county,county subdivision,state
53.9,54.1,53.8,"Little Compton town, Newport County, Rhode Island",005,42400,44
42.8,41.0,44.4,"Middletown town, Newport County, Rhode Island",005,45460,44
35.9,35.6,36.5,"Newport city, Newport County, Rhode Island",005,49960,44
-666666666.0,-666666666.0,-666666666.0,"County subdivisions not defined, Newport County, Rhode Island",005,00000,44
50.8,48.9,53.0,"Jamestown town, Newport County, Rhode Island",005,36820,44
47.4,45.9,48.3,"Portsmouth town, Newport County, Rhode Island",005,57880,44
50.2,46.6,51.4,"Tiverton town, Newport County, Rhode Island",005,70880,44
45.1,42.4,47.2,"Warwick city, Kent County, Rhode Island",003,74300,44
44.2,43.3,44.6,"Coventry town, Kent County, Rhode Island",003,18640,44
38.8,36.7,41.6,"West Warwick town, Kent County, Rhode Island",003,78440,44
44.7,43.1,46.8,"West Greenwich town, Kent County, Rhode Island",003,77720,44
43.7,41.9,45.1,"East Greenwich town, Kent County, Rhode Island",003,22240,44
44.5,43.6,45.3,"Cumberland town, Providence County, Rhode Island",007,20080,44
37.8,35.7,39.2,"Woonsocket city, Providence County, Rhode Island",007,80780,44
43.6,41.7,44.7,"North Providence town, Providence County, Rhode Island",007,51760,44
41.2,39.3,43.0,"Lincoln town, Providence County, Rhode Island",007,41500,44
42.7,38.1,46.5,"East Providence city, Providence County, Rhode Island",007,22960,44
44.8,42.6,47.0,"Glocester town, Providence County, Rhode Island",007,30340,44
47.3,43.6,49.0,"North Smithfield town, Providence County, Rhode Island",007,52480,44
29.1,27.5,30.5,"Central Falls city, Providence County, Rhode Island",007,14140,44
43.9,40.9,46.7,"Smithfield town, Providence County, Rhode Island",007,66200,44
36.0,34.5,37.8,"Pawtucket city, Providence County, Rhode Island",007,54640,44
29.8,29.8,29.9,"Providence city, Providence County, Rhode Island",007,59000,44
48.7,48.1,49.6,"Foster town, Providence County, Rhode Island",007,27460,44
45.5,41.7,47.9,"Johnston town, Providence County, Rhode Island",007,37720,44
48.8,48.9,48.7,"Scituate town, Providence County, Rhode Island",007,64220,44
45.2,44.4,46.0,"Burrillville town, Providence County, Rhode Island",007,11800,44
40.6,38.7,42.3,"Cranston city, Providence County, Rhode Island",007,19180,44
46.0,44.5,47.0,"Barrington town, Bristol County, Rhode Island",001,05140,44
45.2,39.6,48.2,"Warren town, Bristol County, Rhode Island",001,73760,44
41.9,40.6,43.2,"Bristol town, Bristol County, Rhode Island",001,09280,44
45.7,43.8,47.2,"Westerly town, Washington County, Rhode Island",009,77000,44
44.8,43.4,46.6,"North Kingstown town, Washington County, Rhode Island",009,51580,44
36.4,33.3,38.4,"South Kingstown town, Washington County, Rhode Island",009,67460,44
47.2,45.8,47.7,"Hopkinton town, Washington County, Rhode Island",009,35380,44
44.3,44.2,44.5,"Richmond town, Washington County, Rhode Island",009,61160,44
46.6,46.4,46.8,"Exeter town, Washington County, Rhode Island",009,25300,44
43.7,43.7,43.7,"Narragansett town, Washington County, Rhode Island",009,48340,44
55.3,53.4,56.2,"New Shoreham town, Washington County, Rhode Island",009,50500,44
47.9,45.7,50.0,"Charlestown town, Washington County, Rhode Island",009,14500,44
