B01002_001E,B01002_002E,B01002_003E,name,county,county subdivision,state
46.4,46.7,44.8,"Bow CCD, Skagit County, Washington",057,90272,53
56.6,54.1,57.7,"Swinomish Reservation CCD, Skagit County, Washington",057,93360,53
35.5,33.3,38.4,"Mount Vernon CCD, Skagit County, Washington",057,92096,53
35.6,35.0,36.1,"Burlington CCD, Skagit County, Washington",057,90384,53
47.6,49.3,47.2,"Conway CCD, Skagit County, Washington",057,90768,53
50.3,51.2,49.6,"La Conner CCD, Skagit County, Washington",057,91536,53
43.7,43.3,46.3,"Lyman-Hamilton CCD, Skagit County, Washington",057,91776,53
34.5,34.3,34.8,"Sedro-Woolley CCD, Skagit County, Washington",057,92944,53
44.2,45.9,40.4,"Clear Lake CCD, Skagit County, Washington",057,90608,53
51.3,50.7,51.8,"Anacortes CCD, Skagit County, Washington",057,90064,53
44.4,45.0,44.3,"Springdale CCD, Stevens County, Washington",065,93232,53
51.0,48.0,53.1,"Chewelah CCD, Stevens County, Washington",065,90560,53
48.6,48.5,48.6,"Colville CCD, Stevens County, Washington",065,90688,53
32.4,27.8,35.9,"Spokane Reservation CCD, Stevens County, Washington",065,93216,53
44.6,43.5,45.7,"Loon Lake CCD, Stevens County, Washington",065,91680,53
51.1,51.4,51.0,"Kettle Falls CCD, Stevens County, Washington",065,91472,53
36.7,35.3,38.3,"Spokane CCD, Spokane County, Washington",063,93200,53
44.4,44.2,44.5,"Deer Park CCD, Spokane County, Washington",063,90880,53
48.2,48.3,47.6,"Rockford CCD, Spokane County, Washington",063,92816,53
47.2,49.3,45.4,"Valleyford CCD, Spokane County, Washington",063,93584,53
39.3,38.4,40.8,"Airway Heights CCD, Spokane County, Washington",063,90048,53
47.6,47.9,47.4,"Colbert CCD, Spokane County, Washington",063,90640,53
41.7,38.3,43.0,"Liberty Lake CCD, Spokane County, Washington",063,91616,53
47.7,47.6,47.7,"Mount Spokane CCD, Spokane County, Washington",063,92080,53
48.9,50.9,47.4,"Odessa CCD, Lincoln County, Washington",043,92304,53
49.2,49.1,49.4,"Wilbur CCD, Lincoln County, Washington",043,93760,53
47.2,44.5,50.3,"Davenport CCD, Lincoln County, Washington",043,90848,53
35.8,35.4,36.2,"Wenatchee CCD, Chelan County, Washington",007,93712,53
40.4,39.2,41.0,"Cashmere CCD, Chelan County, Washington",007,90448,53
49.6,52.4,47.0,"Leavenworth-Lake Wenatchee CCD, Chelan County, Washington",007,91600,53
66.4,-666666666.0,67.3,"Stehekin CCD, Chelan County, Washington",007,93280,53
43.3,41.4,45.5,"Port Angeles CCD, Clallam County, Washington",009,92592,53
37.0,35.6,40.3,"Forks CCD, Clallam County, Washington",009,91168,53
58.0,56.5,59.2,"Agnew-Carlsborg CCD, Clallam County, Washington",009,90032,53
49.8,48.6,50.2,"Crescent CCD, Clallam County, Washington",009,90816,53
38.9,38.2,40.1,"Longview-Kelso CCD, Cowlitz County, Washington",015,91664,53
45.5,44.9,45.7,"Kalama CCD, Cowlitz County, Washington",015,91440,53
47.3,45.9,48.7,"Rose Valley CCD, Cowlitz County, Washington",015,92864,53
37.6,37.3,38.0,"Woodland CCD, Cowlitz County, Washington",015,93856,53
45.9,45.5,46.6,"Castle Rock CCD, Cowlitz County, Washington",015,90464,53
52.0,53.9,48.5,"Curlew CCD, Ferry County, Washington",019,90832,53
39.4,34.5,44.4,"Colville Reservation CCD, Ferry County, Washington",019,90704,53
