B19013_001E,name,county,county subdivision,state
46891.0,"Precinct 8, Hamilton County, Nebraska",081,92543,31
101406.0,"Precinct 6, Hamilton County, Nebraska",081,92523,31
62083.0,"Precinct 1, Hamilton County, Nebraska",081,92473,31
64844.0,"Precinct 2, Hamilton County, Nebraska",081,92483,31
58635.0,"Precinct 4, Hamilton County, Nebraska",081,92503,31
71563.0,"Precinct 7, Hamilton County, Nebraska",081,92533,31
59250.0,"Precinct 3, Hamilton County, Nebraska",081,92493,31
35909.0,"Newton precinct, Jefferson County, Nebraska",095,92110,31
56875.0,"Pleasant precinct, Jefferson County, Nebraska",095,92405,31
79250.0,"Rock Creek precinct, Jefferson County, Nebraska",095,92760,31
39688.0,"Brewster precinct, Blaine County, Nebraska",009,90355,31
51600.0,"Dunning precinct, Blaine County, Nebraska",009,90765,31
81250.0,"Purdum precinct, Blaine County, Nebraska",009,92690,31
45625.0,"Adams precinct, Colfax County, Nebraska",037,90005,31
53756.0,"Schuyler city, Colfax County, Nebraska",037,92868,31
60147.0,"Lincoln precinct, Colfax County, Nebraska",037,91755,31
40938.0,"Richland precinct, Colfax County, Nebraska",037,92725,31
48988.0,"Midland precinct, Colfax County, Nebraska",037,91975,31
63438.0,"Rogers precinct, Colfax County, Nebraska",037,92780,31
68750.0,"Maple Creek precinct, Colfax County, Nebraska",037,91920,31
60750.0,"Ayr township, Adams County, Nebraska",001,02900,31
48333.0,"Little Blue township, Adams County, Nebraska",001,28385,31
58929.0,"Verona township, Adams County, Nebraska",001,50545,31
65625.0,"Silver Lake township, Adams County, Nebraska",001,45470,31
57763.0,"Cottonwood township, Adams County, Nebraska",001,10810,31
83125.0,"Hanover township, Adams County, Nebraska",001,20855,31
54167.0,"Kenesaw township, Adams County, Nebraska",001,25195,31
57188.0,"Roseland township, Adams County, Nebraska",001,42390,31
56875.0,"Richland precinct, Jefferson County, Nebraska",095,92730,31
47292.0,"Eureka precinct, Jefferson County, Nebraska",095,90935,31
55952.0,"Gibson precinct, Jefferson County, Nebraska",095,91115,31
40750.0,"Cub Creek precinct, Jefferson County, Nebraska",095,90620,31
33889.0,"Fairbury precinct, Jefferson County, Nebraska",095,90940,31
55815.0,"Jefferson precinct, Jefferson County, Nebraska",095,91540,31
65517.0,"Meridian precinct, Jefferson County, Nebraska",095,91955,31
-666666666.0,"Washington precinct, Jefferson County, Nebraska",095,93350,31
46172.0,"Antelope precinct, Jefferson County, Nebraska",095,90055,31
50750.0,"Endicott precinct, Jefferson County, Nebraska",095,90915,31
39194.0,"Fairbury city, Jefferson County, Nebraska",095,90938,31
-666666666.0,"Lincoln precinct, Jefferson County, Nebraska",095,91770,31
27500.0,"Buckley precinct, Jefferson County, Nebraska",095,90405,31
47434.0,"Plymouth precinct, Jefferson County, Nebraska",095,92450,31
-666666666.0,"Newark township, Kearney County, Nebraska",099,34055,31
40250.0,"Liberty township, Kearney County, Nebraska",099,27050,31
39726.0,"Lincoln township, Kearney County, Nebraska",099,27295,31
43977.0,"Lowell township, Kearney County, Nebraska",099,29610,31
53977.0,"Oneida township, Kearney County, Nebraska",099,37070,31
54464.0,"May township, Kearney County, Nebraska",099,31255,31
74821.0,"Blaine township, Kearney County, Nebraska",099,05315,31
51250.0,"Logan township, Kearney County, Nebraska",099,28840,31
-666666666.0,"Cosmo township, Kearney County, Nebraska",099,10670,31
54432.0,"Eaton township, Kearney County, Nebraska",099,14345,31
250001.0,"Sherman township, Kearney County, Nebraska",099,44980,31
73536.0,"Hayes township, Kearney County, Nebraska",099,21625,31
-666666666.0,"Grant township, Kearney County, Nebraska",099,19875,31
59231.0,"Mirage township, Kearney County, Nebraska",099,32375,31
36097.0,"Ogallala city, Keith County, Nebraska",101,92218,31
57604.0,"Brule precinct, Keith County, Nebraska",101,90385,31
54028.0,"Rural Ogallala precinct, Keith County, Nebraska",101,92807,31
72159.0,"Logan precinct, Keith County, Nebraska",101,91820,31
38750.0,"Lonergan precinct, Keith County, Nebraska",101,91840,31
30507.0,"Whitetail precinct, Keith County, Nebraska",101,93470,31
57232.0,"Paxton precinct, Keith County, Nebraska",101,92325,31
68750.0,"Kent precinct, Loup County, Nebraska",115,91580,31
45000.0,"Madison Square precinct, Loup County, Nebraska",115,91905,31
79479.0,"Shell Creek precinct, Colfax County, Nebraska",037,92920,31
71719.0,"Wilson precinct, Colfax County, Nebraska",037,93520,31
60179.0,"Stanton precinct, Colfax County, Nebraska",037,93070,31
109667.0,"Grant precinct, Colfax County, Nebraska",037,91190,31
71442.0,"Schuyler precinct, Colfax County, Nebraska",037,92870,31
40000.0,"Colfax precinct, Colfax County, Nebraska",037,90560,31
52500.0,"Big Springs precinct, Deuel County, Nebraska",049,90250,31
57083.0,"Swan precinct, Deuel County, Nebraska",049,93150,31
54286.0,"Chappell precinct, Deuel County, Nebraska",049,90495,31
26417.0,"Upper Driftwood precinct, Hitchcock County, Nebraska",087,93275,31
-666666666.0,"Webster precinct, Hitchcock County, Nebraska",087,93380,31
-666666666.0,"Cornell precinct, Hitchcock County, Nebraska",087,90575,31
-666666666.0,"Eden precinct, Hitchcock County, Nebraska",087,90840,31
-666666666.0,"Freedom precinct, Hitchcock County, Nebraska",087,91030,31
-666666666.0,"Pleasant Hill precinct, Hitchcock County, Nebraska",087,92410,31
-666666666.0,"Pleasant View precinct, Hitchcock County, Nebraska",087,92425,31
-666666666.0,"Union precinct, Hitchcock County, Nebraska",087,93255,31
46875.0,"Beverly precinct, Hitchcock County, Nebraska",087,90240,31
37273.0,"Trenton precinct, Hitchcock County, Nebraska",087,93215,31
151500.0,"Blackwood precinct, Hitchcock County, Nebraska",087,90260,31
42813.0,"Culbertson precinct, Hitchcock County, Nebraska",087,90625,31
-666666666.0,"Driftwood precinct, Hitchcock County, Nebraska",087,90745,31
52109.0,"Logan precinct, Hitchcock County, Nebraska",087,91815,31
-666666666.0,"Starkey precinct, Hitchcock County, Nebraska",087,93090,31
-666666666.0,"Grant precinct, Hitchcock County, Nebraska",087,91210,31
68250.0,"Riverside precinct, Hitchcock County, Nebraska",087,92750,31
41250.0,"Stratton precinct, Hitchcock County, Nebraska",087,93130,31
32500.0,"Ridnour precinct, Hitchcock County, Nebraska",087,92740,31
