B19013_001E,name,county,county subdivision,state
69375.0,"Dublin town, Cheshire County, New Hampshire",005,19140,33
65813.0,"Richmond town, Cheshire County, New Hampshire",005,64420,33
76217.0,"Chesterfield town, Cheshire County, New Hampshire",005,12260,33
70991.0,"Walpole town, Cheshire County, New Hampshire",005,78420,33
49578.0,"Winchester town, Cheshire County, New Hampshire",005,85540,33
80163.0,"Surry town, Cheshire County, New Hampshire",005,75300,33
68250.0,"Rindge town, Cheshire County, New Hampshire",005,64580,33
67500.0,"Roxbury town, Cheshire County, New Hampshire",005,65700,33
60625.0,"Sullivan town, Cheshire County, New Hampshire",005,74900,33
51638.0,"Fitzwilliam town, Cheshire County, New Hampshire",005,26500,33
57097.0,"Alstead town, Cheshire County, New Hampshire",005,00820,33
59750.0,"Gilsum town, Cheshire County, New Hampshire",005,29220,33
67266.0,"Harrisville town, Cheshire County, New Hampshire",005,34420,33
59698.0,"Jaffrey town, Cheshire County, New Hampshire",005,38500,33
55398.0,"Keene city, Cheshire County, New Hampshire",005,39300,33
78182.0,"Stoddard town, Cheshire County, New Hampshire",005,73700,33
60200.0,"Troy town, Cheshire County, New Hampshire",005,77380,33
71500.0,"Nelson town, Cheshire County, New Hampshire",005,50580,33
57326.0,"Swanzey town, Cheshire County, New Hampshire",005,75700,33
60833.0,"Marlow town, Cheshire County, New Hampshire",005,45700,33
57340.0,"Hinsdale town, Cheshire County, New Hampshire",005,36660,33
81818.0,"Canterbury town, Merrimack County, New Hampshire",013,09860,33
102375.0,"Dunbarton town, Merrimack County, New Hampshire",013,19460,33
67072.0,"Loudon town, Merrimack County, New Hampshire",013,43380,33
72285.0,"New London town, Merrimack County, New Hampshire",013,52100,33
88250.0,"Sutton town, Merrimack County, New Hampshire",013,75460,33
75195.0,"Warner town, Merrimack County, New Hampshire",013,78580,33
65066.0,"Wilmot town, Merrimack County, New Hampshire",013,84900,33
84456.0,"Hopkinton town, Merrimack County, New Hampshire",013,37540,33
74750.0,"Webster town, Merrimack County, New Hampshire",013,80020,33
54769.0,"Allenstown town, Merrimack County, New Hampshire",013,00660,33
81397.0,"Chichester town, Merrimack County, New Hampshire",013,12420,33
63750.0,"Danbury town, Merrimack County, New Hampshire",013,16980,33
48398.0,"Franklin city, Merrimack County, New Hampshire",013,27380,33
68309.0,"Boscawen town, Merrimack County, New Hampshire",013,06260,33
69609.0,"Henniker town, Merrimack County, New Hampshire",013,35540,33
85952.0,"Hooksett town, Merrimack County, New Hampshire",013,37300,33
89087.0,"Newbury town, Merrimack County, New Hampshire",013,50900,33
87884.0,"Pembroke town, Merrimack County, New Hampshire",013,60020,33
66449.0,"Northfield town, Merrimack County, New Hampshire",013,54260,33
75192.0,"Salisbury town, Merrimack County, New Hampshire",013,66980,33
110274.0,"Bow town, Merrimack County, New Hampshire",013,06500,33
67857.0,"Bradford town, Merrimack County, New Hampshire",013,06980,33
67500.0,"Andover town, Merrimack County, New Hampshire",013,01460,33
73971.0,"Hill town, Merrimack County, New Hampshire",013,35860,33
61310.0,"Concord city, Merrimack County, New Hampshire",013,14200,33
67008.0,"Epsom town, Merrimack County, New Hampshire",013,24900,33
54167.0,"Bath town, Grafton County, New Hampshire",009,03940,33
65129.0,"Campton town, Grafton County, New Hampshire",009,08660,33
67143.0,"Holderness town, Grafton County, New Hampshire",009,36900,33
51250.0,"Benton town, Grafton County, New Hampshire",009,05060,33
53894.0,"Bristol town, Grafton County, New Hampshire",009,07700,33
81250.0,"Orford town, Grafton County, New Hampshire",009,58500,33
69479.0,"Piermont town, Grafton County, New Hampshire",009,61060,33
50238.0,"Lincoln town, Grafton County, New Hampshire",009,41860,33
51726.0,"Lisbon town, Grafton County, New Hampshire",009,42020,33
39490.0,"Littleton town, Grafton County, New Hampshire",009,42580,33
53854.0,"Bridgewater town, Grafton County, New Hampshire",009,07540,33
58889.0,"Easton town, Grafton County, New Hampshire",009,22020,33
68000.0,"Hebron town, Grafton County, New Hampshire",009,35220,33
-666666666.0,"Livermore town, Grafton County, New Hampshire",009,42820,33
64915.0,"Canaan town, Grafton County, New Hampshire",009,08980,33
49000.0,"Ellsworth town, Grafton County, New Hampshire",009,23860,33
53869.0,"Haverhill town, Grafton County, New Hampshire",009,34820,33
56964.0,"Lyman town, Grafton County, New Hampshire",009,44100,33
98125.0,"Waterville Valley town, Grafton County, New Hampshire",009,79380,33
82469.0,"Enfield town, Grafton County, New Hampshire",009,24340,33
59250.0,"Orange town, Grafton County, New Hampshire",009,58340,33
41875.0,"Plymouth town, Grafton County, New Hampshire",009,62660,33
83125.0,"Sugar Hill town, Grafton County, New Hampshire",009,74740,33
47188.0,"Warren town, Grafton County, New Hampshire",009,78740,33
42300.0,"Ashland town, Grafton County, New Hampshire",009,02020,33
59167.0,"Dorchester town, Grafton County, New Hampshire",009,18740,33
48036.0,"Landaff town, Grafton County, New Hampshire",009,40660,33
54500.0,"Bethlehem town, Grafton County, New Hampshire",009,05460,33
58750.0,"Alexandria town, Grafton County, New Hampshire",009,00580,33
68750.0,"Franconia town, Grafton County, New Hampshire",009,27300,33
54000.0,"Grafton town, Grafton County, New Hampshire",009,30820,33
46818.0,"Groton town, Grafton County, New Hampshire",009,32180,33
52845.0,"Woodstock town, Grafton County, New Hampshire",009,87060,33
108558.0,"Lyme town, Grafton County, New Hampshire",009,44260,33
