B19013_001E,name,county,county subdivision,state
36250.0,"Dixie Valley CCD, Churchill County, Nevada",001,94238,32
46938.0,"Fallon CCD, Churchill County, Nevada",001,94308,32
-666666666.0,"Carson Sink CCD, Churchill County, Nevada",001,94154,32
68179.0,"Genoa-Jacks Valley CCD, Douglas County, Nevada",005,94378,32
79583.0,"Pine Nut CCD, Douglas County, Nevada",005,94658,32
61094.0,"Zephyr Cove CCD, Douglas County, Nevada",005,94952,32
60142.0,"Gardnerville-Minden CCD, Douglas County, Nevada",005,94364,32
46081.0,"Topaz Lake CCD, Douglas County, Nevada",005,94826,32
83521.0,"Battle Mountain CCD, Lander County, Nevada",015,94070,32
45570.0,"Austin CCD, Lander County, Nevada",015,94042,32
51250.0,"Lovelock CCD, Pershing County, Nevada",027,94518,32
52500.0,"Imlay CCD, Pershing County, Nevada",027,94448,32
36336.0,"McDermitt CCD, Humboldt County, Nevada",013,94546,32
31389.0,"Goldfield CCD, Esmeralda County, Nevada",009,94420,32
-666666666.0,"Beowawe CCD, Eureka County, Nevada",011,94098,32
70000.0,"Eureka CCD, Eureka County, Nevada",011,94294,32
48214.0,"Golconda CCD, Humboldt County, Nevada",013,94406,32
50167.0,"Mina CCD, Mineral County, Nevada",021,94588,32
67794.0,"Summit Lake CCD, Humboldt County, Nevada",013,94798,32
76621.0,"Winnemucca CCD, Humboldt County, Nevada",013,94910,32
46806.0,"Hawthorne CCD, Mineral County, Nevada",021,94434,32
26944.0,"Walker River CCD, Mineral County, Nevada",021,94868,32
-666666666.0,"Cherry Creek CCD, White Pine County, Nevada",033,94168,32
61339.0,"Ely CCD, White Pine County, Nevada",033,94280,32
53571.0,"McGill CCD, White Pine County, Nevada",033,94560,32
77926.0,"Lund CCD, White Pine County, Nevada",033,94532,32
56991.0,"Ruth CCD, White Pine County, Nevada",033,94742,32
59000.0,"Baker CCD, White Pine County, Nevada",033,94056,32
60426.0,"Wells CCD, Elko County, Nevada",007,94882,32
24840.0,"Jackpot CCD, Elko County, Nevada",007,94476,32
48429.0,"West Wendover CCD, Elko County, Nevada",007,94896,32
85530.0,"Elko CCD, Elko County, Nevada",007,94266,32
-666666666.0,"Montello CCD, Elko County, Nevada",007,94602,32
74148.0,"Carlin CCD, Elko County, Nevada",007,94126,32
71375.0,"Jarbidge CCD, Elko County, Nevada",007,94490,32
45000.0,"Mountain City CCD, Elko County, Nevada",007,94616,32
58363.0,"Alamo CCD, Lincoln County, Nevada",017,94014,32
61023.0,"Caliente CCD, Lincoln County, Nevada",017,94112,32
49012.0,"Pioche CCD, Lincoln County, Nevada",017,94672,32
53508.0,"Amargosa Valley CCD, Nye County, Nevada",023,94028,32
92750.0,"Round Mountain CCD, Nye County, Nevada",023,94728,32
43133.0,"Pahrump CCD, Nye County, Nevada",023,94644,32
-666666666.0,"Yucca Flat CCD, Nye County, Nevada",023,94938,32
41786.0,"Duckwater CCD, Nye County, Nevada",023,94252,32
58702.0,"Clark CCD, Storey County, Nevada",029,94196,32
34063.0,"Gabbs CCD, Nye County, Nevada",023,94350,32
34085.0,"Beatty CCD, Nye County, Nevada",023,94084,32
38178.0,"Tonopah CCD, Nye County, Nevada",023,94812,32
67254.0,"Virginia City CCD, Storey County, Nevada",029,94854,32
38611.0,"High Desert CCD, Washoe County, Nevada",031,94440,32
46959.0,"Sun Valley CCD, Washoe County, Nevada",031,94804,32
50836.0,"Reno Southeast CCD, Washoe County, Nevada",031,94709,32
31800.0,"Pyramid Lake CCD, Washoe County, Nevada",031,94686,32
92567.0,"Verdi CCD, Washoe County, Nevada",031,94840,32
82660.0,"Warm Springs-Truckee Canyon CCD, Washoe County, Nevada",031,94871,32
72844.0,"Reno Southwest CCD, Washoe County, Nevada",031,94712,32
61110.0,"North Valleys CCD, Washoe County, Nevada",031,94635,32
47408.0,"Sparks CCD, Washoe County, Nevada",031,94794,32
85344.0,"Washoe Valley CCD, Washoe County, Nevada",031,94874,32
47216.0,"Reno North CCD, Washoe County, Nevada",031,94703,32
81857.0,"Incline Village CCD, Washoe County, Nevada",031,94462,32
52985.0,"Las Vegas CCD, Clark County, Nevada",003,94504,32
73339.0,"Clark CCD, Clark County, Nevada",003,94182,32
49341.0,"Carson City CCD, Carson City, Nevada",510,94140,32
53650.0,"Dayton CCD, Lyon County, Nevada",019,94224,32
41673.0,"Silver Springs CCD, Lyon County, Nevada",019,94777,32
77500.0,"Smith Valley CCD, Lyon County, Nevada",019,94784,32
56742.0,"Fernley CCD, Lyon County, Nevada",019,94322,32
42587.0,"Yerington CCD, Lyon County, Nevada",019,94924,32
-666666666.0,"Ralston Valley CCD, Nye County, Nevada",023,94701,32
48250.0,"Silver Peak CCD, Esmeralda County, Nevada",009,94770,32
