B19013D_001E,name,county,county subdivision,state
-666666666.0,"Mitchell CCD, Wheeler County, Oregon",069,91938,41
-666666666.0,"Ione-Lexington CCD, Morrow County, Oregon",049,91411,41
-666666666.0,"Boardman CCD, Morrow County, Oregon",049,90323,41
-666666666.0,"Heppner CCD, Morrow County, Oregon",049,91309,41
-666666666.0,"Seaside CCD, Clatsop County, Oregon",007,92839,41
-666666666.0,"Astoria CCD, Clatsop County, Oregon",007,90153,41
-666666666.0,"Knappa-Brownsmead CCD, Clatsop County, Oregon",007,91598,41
-666666666.0,"Jewell CCD, Clatsop County, Oregon",007,91445,41
-666666666.0,"Powers CCD, Coos County, Oregon",011,92567,41
-666666666.0,"Bandon CCD, Coos County, Oregon",011,90221,41
-666666666.0,"Myrtle Point CCD, Coos County, Oregon",011,92074,41
-666666666.0,"Coos Bay CCD, Coos County, Oregon",011,90629,41
-666666666.0,"Eastside CCD, Coos County, Oregon",011,91003,41
-666666666.0,"Coquille CCD, Coos County, Oregon",011,90646,41
-666666666.0,"North Bayside CCD, Coos County, Oregon",011,92159,41
-666666666.0,"Port Orford CCD, Curry County, Oregon",015,92533,41
-666666666.0,"Agness CCD, Curry County, Oregon",015,90051,41
34286.0,"Brookings CCD, Curry County, Oregon",015,90357,41
-666666666.0,"Gold Beach CCD, Curry County, Oregon",015,91207,41
-666666666.0,"Harbor CCD, Curry County, Oregon",015,91275,41
-666666666.0,"Condon CCD, Gilliam County, Oregon",021,90612,41
-666666666.0,"Arlington CCD, Gilliam County, Oregon",021,90102,41
-666666666.0,"Parkdale CCD, Hood River County, Oregon",027,92431,41
-666666666.0,"Odell CCD, Hood River County, Oregon",027,92380,41
-666666666.0,"Dee CCD, Hood River County, Oregon",027,90850,41
-666666666.0,"Cascade Locks CCD, Hood River County, Oregon",027,90476,41
-666666666.0,"Hood River CCD, Hood River County, Oregon",027,91343,41
-666666666.0,"Silver Lake-Fort Rock CCD, Lake County, Oregon",037,92924,41
-666666666.0,"Warner Valley CCD, Lake County, Oregon",037,93417,41
-666666666.0,"Summer Lake CCD, Lake County, Oregon",037,93145,41
-666666666.0,"Lakeview CCD, Lake County, Oregon",037,91632,41
-666666666.0,"Corbett CCD, Multnomah County, Oregon",051,90663,41
-666666666.0,"Skyline CCD, Multnomah County, Oregon",051,92975,41
-666666666.0,"Cove CCD, Union County, Oregon",061,90714,41
-666666666.0,"Starkey CCD, Union County, Oregon",061,93111,41
-666666666.0,"Elgin CCD, Union County, Oregon",061,91037,41
-666666666.0,"La Grande CCD, Union County, Oregon",061,91615,41
-666666666.0,"Union CCD, Union County, Oregon",061,93281,41
-666666666.0,"Yonna Valley-Poe Valley CCD, Klamath County, Oregon",035,93594,41
-666666666.0,"East Marion CCD, Marion County, Oregon",047,90994,41
103438.0,"Beavercreek CCD, Clackamas County, Oregon",005,90272,41
115000.0,"Chehalem Mountains CCD, Washington County, Oregon",067,90510,41
-666666666.0,"Langell Valley CCD, Klamath County, Oregon",035,91651,41
104336.0,"Rockcreek CCD, Washington County, Oregon",067,92678,41
-666666666.0,"Wingville-Haines CCD, Baker County, Oregon",001,93555,41
50000.0,"McKenzie River CCD, Lane County, Oregon",039,91719,41
-666666666.0,"Middle Siuslaw River-Triangle Lake CCD, Lane County, Oregon",039,91889,41
-666666666.0,"Florence CCD, Lane County, Oregon",039,91147,41
-666666666.0,"Dunes City CCD, Lane County, Oregon",039,90943,41
-666666666.0,"Hermiston-Umatilla CCD, Umatilla County, Oregon",059,91334,41
-666666666.0,"Upper Siuslaw River CCD, Lane County, Oregon",039,93300,41
-666666666.0,"Prineville CCD, Crook County, Oregon",013,92592,41
51429.0,"Newport CCD, Lincoln County, Oregon",041,92133,41
-666666666.0,"Lincoln City CCD, Lincoln County, Oregon",041,91674,41
-666666666.0,"Milton-Freewater CCD, Umatilla County, Oregon",059,91929,41
107917.0,"Umatilla Reservation CCD, Umatilla County, Oregon",059,93270,41
55874.0,"Portland East CCD, Multnomah County, Oregon",051,92518,41
70213.0,"Portland West CCD, Multnomah County, Oregon",051,92520,41
65938.0,"Gresham CCD, Multnomah County, Oregon",051,91249,41
-666666666.0,"West Bench CCD, Malheur County, Oregon",045,93442,41
-666666666.0,"Sutherlin CCD, Douglas County, Oregon",019,93153,41
-666666666.0,"Tillamook CCD, Tillamook County, Oregon",057,93213,41
-666666666.0,"Neskowin CCD, Tillamook County, Oregon",057,92108,41
-666666666.0,"Nehalem CCD, Tillamook County, Oregon",057,92091,41
-666666666.0,"Carlton CCD, Yamhill County, Oregon",071,90459,41
95982.0,"Dayton-Amity CCD, Yamhill County, Oregon",071,90816,41
44063.0,"McMinnville CCD, Yamhill County, Oregon",071,91734,41
-666666666.0,"Sheridan CCD, Yamhill County, Oregon",071,92890,41
-666666666.0,"Newberg CCD, Yamhill County, Oregon",071,92125,41
-666666666.0,"Hereford CCD, Baker County, Oregon",001,91326,41
-666666666.0,"Halfway CCD, Baker County, Oregon",001,91258,41
-666666666.0,"Eagle Valley CCD, Baker County, Oregon",001,90969,41
-666666666.0,"Huntington CCD, Baker County, Oregon",001,91377,41
-666666666.0,"Baker City CCD, Baker County, Oregon",001,90204,41
-666666666.0,"Williams CCD, Josephine County, Oregon",033,93519,41
-666666666.0,"Cave Junction CCD, Josephine County, Oregon",033,90493,41
57212.0,"Grants Pass CCD, Josephine County, Oregon",033,91241,41
-666666666.0,"Northwest Josephine CCD, Josephine County, Oregon",033,92295,41
-666666666.0,"Wilderville CCD, Josephine County, Oregon",033,93485,41
-666666666.0,"Chiloquin CCD, Klamath County, Oregon",035,90527,41
73229.0,"Klamath Falls CCD, Klamath County, Oregon",035,91581,41
-666666666.0,"Merrill CCD, Klamath County, Oregon",035,91870,41
-666666666.0,"Malin CCD, Klamath County, Oregon",035,91785,41
-666666666.0,"Keno CCD, Klamath County, Oregon",035,91564,41
-666666666.0,"Crescent Lake CCD, Klamath County, Oregon",035,90731,41
95455.0,"Pendleton CCD, Umatilla County, Oregon",059,92448,41
-666666666.0,"Pilot Rock CCD, Umatilla County, Oregon",059,92465,41
-666666666.0,"Umapine CCD, Umatilla County, Oregon",059,93264,41
-666666666.0,"Weston CCD, Umatilla County, Oregon",059,93451,41
-666666666.0,"Athena CCD, Umatilla County, Oregon",059,90170,41
-666666666.0,"Siletz CCD, Lincoln County, Oregon",041,92907,41
-666666666.0,"Toledo CCD, Lincoln County, Oregon",041,93230,41
-666666666.0,"Waldport CCD, Lincoln County, Oregon",041,93349,41
-666666666.0,"Eddyville CCD, Lincoln County, Oregon",041,91020,41
55735.0,"Depoe Bay CCD, Lincoln County, Oregon",041,90884,41
-666666666.0,"North Albany CCD, Benton County, Oregon",003,92142,41
-666666666.0,"Southwest Benton CCD, Benton County, Oregon",003,93077,41
27729.0,"Corvallis CCD, Benton County, Oregon",003,90680,41
-666666666.0,"Southeast Benton CCD, Benton County, Oregon",003,93009,41
66250.0,"North Benton CCD, Benton County, Oregon",003,92176,41
-666666666.0,"Goble CCD, Columbia County, Oregon",009,91190,41
-666666666.0,"St. Helens CCD, Columbia County, Oregon",009,92703,41
-666666666.0,"Clatskanie CCD, Columbia County, Oregon",009,90544,41
-666666666.0,"Rainier CCD, Columbia County, Oregon",009,92601,41
28259.0,"Scappoose CCD, Columbia County, Oregon",009,92805,41
-666666666.0,"Vernonia CCD, Columbia County, Oregon",009,93332,41
-666666666.0,"Powell Butte CCD, Crook County, Oregon",013,92550,41
-666666666.0,"Crooked River CCD, Crook County, Oregon",013,90765,41
-666666666.0,"Moro CCD, Sherman County, Oregon",055,91989,41
-666666666.0,"Wasco CCD, Sherman County, Oregon",055,93434,41
-666666666.0,"Dufur CCD, Wasco County, Oregon",065,90935,41
-666666666.0,"Antelope CCD, Wasco County, Oregon",065,90085,41
-666666666.0,"The Dalles CCD, Wasco County, Oregon",065,93196,41
-666666666.0,"Warm Springs CCD, Wasco County, Oregon",065,93400,41
-666666666.0,"Drewsey CCD, Harney County, Oregon",025,90918,41
-666666666.0,"Burns CCD, Harney County, Oregon",025,90391,41
-666666666.0,"Diamond CCD, Harney County, Oregon",025,90901,41
-666666666.0,"Lowell CCD, Lane County, Oregon",039,91700,41
-666666666.0,"Oakridge CCD, Lane County, Oregon",039,92346,41
-666666666.0,"Pleasant Hill CCD, Lane County, Oregon",039,92482,41
33667.0,"Badger Mountain CCD, Lane County, Oregon",039,90187,41
-666666666.0,"Marcola CCD, Lane County, Oregon",039,91802,41
-666666666.0,"Cottage Grove CCD, Lane County, Oregon",039,90697,41
-666666666.0,"Creswell CCD, Lane County, Oregon",039,90748,41
30114.0,"Eugene-Springfield CCD, Lane County, Oregon",039,91105,41
-666666666.0,"Coburg CCD, Lane County, Oregon",039,90578,41
-666666666.0,"Junction City CCD, Lane County, Oregon",039,91513,41
-666666666.0,"Jordan Valley CCD, Malheur County, Oregon",045,91479,41
60227.0,"Owyhee CCD, Malheur County, Oregon",045,92414,41
-666666666.0,"Dead Ox Flat CCD, Malheur County, Oregon",045,90833,41
-666666666.0,"Nyssa CCD, Malheur County, Oregon",045,92329,41
55298.0,"Vale CCD, Malheur County, Oregon",045,93315,41
-666666666.0,"Adrian CCD, Malheur County, Oregon",045,90017,41
-666666666.0,"Brogan CCD, Malheur County, Oregon",045,90340,41
61964.0,"Ontario CCD, Malheur County, Oregon",045,92397,41
-666666666.0,"Malheur Junction CCD, Malheur County, Oregon",045,91768,41
-666666666.0,"Juntura CCD, Malheur County, Oregon",045,91530,41
-666666666.0,"Imnaha CCD, Wallowa County, Oregon",063,91394,41
-666666666.0,"Wallowa CCD, Wallowa County, Oregon",063,93366,41
-666666666.0,"Joseph CCD, Wallowa County, Oregon",063,91496,41
-666666666.0,"Enterprise CCD, Wallowa County, Oregon",063,91071,41
-666666666.0,"Flora CCD, Wallowa County, Oregon",063,91139,41
91143.0,"Beaverton-Hillsboro CCD, Washington County, Oregon",067,90289,41
-666666666.0,"Coast Range CCD, Washington County, Oregon",067,90561,41
145694.0,"North Plains CCD, Washington County, Oregon",067,92210,41
43627.0,"Forest Grove-Cornelius CCD, Washington County, Oregon",067,91156,41
-666666666.0,"Fossil CCD, Wheeler County, Oregon",069,91173,41
58244.0,"Salem CCD, Marion County, Oregon",047,92737,41
-666666666.0,"Stayton CCD, Marion County, Oregon",047,93128,41
47625.0,"Woodburn CCD, Marion County, Oregon",047,93570,41
75956.0,"Jefferson CCD, Marion County, Oregon",047,91428,41
-666666666.0,"St. Paul CCD, Marion County, Oregon",047,92720,41
-666666666.0,"Mount Angel CCD, Marion County, Oregon",047,92006,41
-666666666.0,"Silverton CCD, Marion County, Oregon",047,92941,41
56971.0,"Hubbard CCD, Marion County, Oregon",047,91360,41
-666666666.0,"Ashland CCD, Jackson County, Oregon",029,90119,41
-666666666.0,"Butte Falls-Prospect CCD, Jackson County, Oregon",029,90408,41
76023.0,"Medford CCD, Jackson County, Oregon",029,91836,41
-666666666.0,"Sams Valley CCD, Jackson County, Oregon",029,92771,41
-666666666.0,"Southwest Jackson CCD, Jackson County, Oregon",029,93094,41
-666666666.0,"Eagle Point CCD, Jackson County, Oregon",029,90952,41
-666666666.0,"Southeast Jackson CCD, Jackson County, Oregon",029,93026,41
-666666666.0,"Northwest Jackson CCD, Jackson County, Oregon",029,92278,41
-666666666.0,"Shady Cove CCD, Jackson County, Oregon",029,92873,41
-666666666.0,"Elkton-Drain CCD, Douglas County, Oregon",019,91054,41
-666666666.0,"North Umpqua CCD, Douglas County, Oregon",019,92244,41
-666666666.0,"Reedsport CCD, Douglas County, Oregon",019,92652,41
-666666666.0,"South Umpqua CCD, Douglas County, Oregon",019,93060,41
-666666666.0,"Melrose CCD, Douglas County, Oregon",019,91853,41
-666666666.0,"Kellogg-Yoncalla CCD, Douglas County, Oregon",019,91547,41
88854.0,"Myrtle Creek-Riddle CCD, Douglas County, Oregon",019,92057,41
-666666666.0,"Tenmile CCD, Douglas County, Oregon",019,93179,41
108631.0,"Roseburg CCD, Douglas County, Oregon",019,92686,41
-666666666.0,"John Day CCD, Grant County, Oregon",023,91462,41
-666666666.0,"Prairie City CCD, Grant County, Oregon",023,92584,41
-666666666.0,"Long Creek CCD, Grant County, Oregon",023,91683,41
-666666666.0,"Seneca CCD, Grant County, Oregon",023,92856,41
-666666666.0,"Warm Springs CCD, Jefferson County, Oregon",031,93383,41
41406.0,"Culver CCD, Jefferson County, Oregon",031,90782,41
-666666666.0,"Madras CCD, Jefferson County, Oregon",031,91751,41
-666666666.0,"Ashwood CCD, Jefferson County, Oregon",031,90136,41
-666666666.0,"Grandview CCD, Jefferson County, Oregon",031,91224,41
51250.0,"Salem CCD, Polk County, Oregon",053,92754,41
22057.0,"Dallas CCD, Polk County, Oregon",053,90799,41
-666666666.0,"Falls City CCD, Polk County, Oregon",053,91122,41
-666666666.0,"Willamina CCD, Polk County, Oregon",053,93502,41
2499.0,"Monmouth-Independence CCD, Polk County, Oregon",053,91972,41
84135.0,"Wilsonville CCD, Clackamas County, Oregon",005,93536,41
-666666666.0,"Sandy CCD, Clackamas County, Oregon",005,92788,41
-666666666.0,"Yoder CCD, Clackamas County, Oregon",005,93587,41
134000.0,"Estacada CCD, Clackamas County, Oregon",005,91088,41
-666666666.0,"Mulino CCD, Clackamas County, Oregon",005,92040,41
-666666666.0,"Redland CCD, Clackamas County, Oregon",005,92618,41
103367.0,"Northwest Clackamas CCD, Clackamas County, Oregon",005,92261,41
75288.0,"Canby CCD, Clackamas County, Oregon",005,90442,41
-666666666.0,"Colton CCD, Clackamas County, Oregon",005,90595,41
82917.0,"Molalla CCD, Clackamas County, Oregon",005,91955,41
111731.0,"Mount Hood CCD, Clackamas County, Oregon",005,92023,41
59234.0,"Bend CCD, Deschutes County, Oregon",017,90306,41
-666666666.0,"Tumalo CCD, Deschutes County, Oregon",017,93247,41
105571.0,"Redmond CCD, Deschutes County, Oregon",017,92635,41
-666666666.0,"Sisters-Millican CCD, Deschutes County, Oregon",017,92958,41
-666666666.0,"Mill City CCD, Linn County, Oregon",043,91904,41
57917.0,"Albany CCD, Linn County, Oregon",043,90068,41
-666666666.0,"Brownsville CCD, Linn County, Oregon",043,90374,41
-666666666.0,"Sweet Home CCD, Linn County, Oregon",043,93162,41
-666666666.0,"Lebanon CCD, Linn County, Oregon",043,91666,41
-666666666.0,"East Linn CCD, Linn County, Oregon",043,90986,41
-666666666.0,"Harrisburg CCD, Linn County, Oregon",043,91292,41
-666666666.0,"Scio-Lacomb CCD, Linn County, Oregon",043,92822,41
-666666666.0,"Beaver CCD, Tillamook County, Oregon",057,90255,41
-666666666.0,"Bay City CCD, Tillamook County, Oregon",057,90238,41
