B19013B_001E,name,county,county subdivision,state
-666666666.0,"South Wheatland township, Macon County, Illinois",115,71357,17
22163.0,"Decatur township, Macon County, Illinois",115,18836,17
-666666666.0,"Pleasant View township, Macon County, Illinois",115,60677,17
-666666666.0,"Long Creek township, Macon County, Illinois",115,44511,17
-666666666.0,"Mount Zion township, Macon County, Illinois",115,51219,17
-666666666.0,"Austin township, Macon County, Illinois",115,03051,17
-666666666.0,"Illini township, Macon County, Illinois",115,37023,17
-666666666.0,"Lynnville precinct, Morgan County, Illinois",137,91962,17
-666666666.0,"Maroa township, Macon County, Illinois",115,47085,17
-666666666.0,"Blue Mound township, Macon County, Illinois",115,06769,17
34213.0,"Hickory Point township, Macon County, Illinois",115,34527,17
-666666666.0,"Niantic township, Macon County, Illinois",115,52974,17
-666666666.0,"Oakley township, Macon County, Illinois",115,54859,17
30806.0,"Jacksonville No. 2 precinct, Morgan County, Illinois",137,91712,17
40625.0,"Jacksonville No. 9 precinct, Morgan County, Illinois",137,91719,17
-666666666.0,"Nortonville precinct, Morgan County, Illinois",137,92268,17
-666666666.0,"Markham precinct, Morgan County, Illinois",137,92034,17
-666666666.0,"Jacksonville No. 5 precinct, Morgan County, Illinois",137,91715,17
-666666666.0,"Jacksonville No. 6 precinct, Morgan County, Illinois",137,91716,17
-666666666.0,"Appanoose township, Hancock County, Illinois",067,01621,17
-666666666.0,"Harmony township, Hancock County, Illinois",067,32993,17
-666666666.0,"Rock Creek township, Hancock County, Illinois",067,64876,17
-666666666.0,"Sonora township, Hancock County, Illinois",067,70499,17
-666666666.0,"Walker township, Hancock County, Illinois",067,78422,17
-666666666.0,"Chili township, Hancock County, Illinois",067,14104,17
36776.0,"Collinsville township, Madison County, Illinois",119,15612,17
-666666666.0,"St. Mary township, Hancock County, Illinois",067,67054,17
-666666666.0,"Dallas City township, Hancock County, Illinois",067,18433,17
21176.0,"Alton township, Madison County, Illinois",119,01127,17
-666666666.0,"Wilcox township, Hancock County, Illinois",067,81607,17
-666666666.0,"St. Jacob township, Madison County, Illinois",119,66872,17
-666666666.0,"Wood River township, Madison County, Illinois",119,83284,17
-666666666.0,"Marine township, Madison County, Illinois",119,46877,17
-666666666.0,"Omphghent township, Madison County, Illinois",119,56068,17
21840.0,"Venice township, Madison County, Illinois",119,77486,17
-666666666.0,"Chouteau township, Madison County, Illinois",119,14260,17
38261.0,"Jarvis township, Madison County, Illinois",119,38245,17
32031.0,"Nameoki township, Madison County, Illinois",119,51583,17
12727.0,"Granite City township, Madison County, Illinois",119,30939,17
-666666666.0,"Helvetia township, Madison County, Illinois",119,33981,17
103194.0,"Foster township, Madison County, Illinois",119,27182,17
-666666666.0,"Moro township, Madison County, Illinois",119,50465,17
-666666666.0,"Pin Oak township, Madison County, Illinois",119,60014,17
-666666666.0,"Hamel township, Madison County, Illinois",119,32421,17
51568.0,"Edwardsville township, Madison County, Illinois",119,22710,17
-666666666.0,"New Douglas township, Madison County, Illinois",119,52428,17
-666666666.0,"Saline township, Madison County, Illinois",119,67275,17
-666666666.0,"Leef township, Madison County, Illinois",119,42652,17
-666666666.0,"Olive township, Madison County, Illinois",119,55834,17
-666666666.0,"Fort Russell township, Madison County, Illinois",119,27130,17
54861.0,"Godfrey township, Madison County, Illinois",119,30107,17
-666666666.0,"Felix township, Grundy County, Illinois",063,25778,17
-666666666.0,"Goodfarm township, Grundy County, Illinois",063,30432,17
-666666666.0,"Mazon township, Grundy County, Illinois",063,47800,17
-666666666.0,"Alhambra township, Madison County, Illinois",119,00750,17
-666666666.0,"Goose Lake township, Grundy County, Illinois",063,30549,17
-666666666.0,"Vienna township, Grundy County, Illinois",063,77850,17
-666666666.0,"Erienna township, Grundy County, Illinois",063,24400,17
-666666666.0,"Garfield township, Grundy County, Illinois",063,28677,17
-666666666.0,"Greenfield township, Grundy County, Illinois",063,31381,17
-666666666.0,"Norman township, Grundy County, Illinois",063,53286,17
-666666666.0,"Highland township, Grundy County, Illinois",063,34657,17
-666666666.0,"Saratoga township, Grundy County, Illinois",063,67678,17
-666666666.0,"Wauponsee township, Grundy County, Illinois",063,79345,17
-666666666.0,"Nettle Creek township, Grundy County, Illinois",063,52038,17
-666666666.0,"Braceville township, Grundy County, Illinois",063,07653,17
