B19013B_001E,name,county,county subdivision,state
-666666666.0,"Palmyra town, Somerset County, Maine",025,56520,23
-666666666.0,"Solon town, Somerset County, Maine",025,69505,23
-666666666.0,"Brighton plantation, Somerset County, Maine",025,07380,23
-666666666.0,"New Portland town, Somerset County, Maine",025,49205,23
-666666666.0,"Smithfield town, Somerset County, Maine",025,69155,23
-666666666.0,"Embden town, Somerset County, Maine",025,23410,23
-666666666.0,"Northwest Somerset UT, Somerset County, Maine",025,53636,23
-666666666.0,"St. Albans town, Somerset County, Maine",025,64850,23
-666666666.0,"West Forks plantation, Somerset County, Maine",025,82840,23
-666666666.0,"Madison town, Somerset County, Maine",025,42660,23
-666666666.0,"Anson town, Somerset County, Maine",025,01395,23
-666666666.0,"Dennistown plantation, Somerset County, Maine",025,17285,23
-666666666.0,"Fairfield town, Somerset County, Maine",025,24320,23
-666666666.0,"Hartland town, Somerset County, Maine",025,31740,23
-666666666.0,"Moscow town, Somerset County, Maine",025,47455,23
-666666666.0,"Pleasant Ridge plantation, Somerset County, Maine",025,59705,23
-666666666.0,"Seboomook Lake UT, Somerset County, Maine",025,67238,23
-666666666.0,"Gouldsboro town, Hancock County, Maine",009,28450,23
-666666666.0,"Northwest Hancock UT, Hancock County, Maine",009,53620,23
-666666666.0,"Otis town, Hancock County, Maine",009,55890,23
-666666666.0,"Deer Isle town, Hancock County, Maine",009,17145,23
-666666666.0,"Hancock town, Hancock County, Maine",009,30970,23
-666666666.0,"Osborn town, Hancock County, Maine",009,55855,23
-666666666.0,"Sorrento town, Hancock County, Maine",009,69750,23
-666666666.0,"Stonington town, Hancock County, Maine",009,74580,23
-666666666.0,"Sullivan town, Hancock County, Maine",009,74965,23
-666666666.0,"Brooks town, Waldo County, Maine",027,07870,23
-666666666.0,"Frankfort town, Waldo County, Maine",027,26280,23
-666666666.0,"Knox town, Waldo County, Maine",027,37585,23
-666666666.0,"Belmont town, Waldo County, Maine",027,04125,23
-666666666.0,"Monroe town, Waldo County, Maine",027,46475,23
-666666666.0,"Waldo town, Waldo County, Maine",027,79480,23
-666666666.0,"Montville town, Waldo County, Maine",027,46790,23
-666666666.0,"Palermo town, Waldo County, Maine",027,56450,23
-666666666.0,"Prospect town, Waldo County, Maine",027,61210,23
-666666666.0,"Searsmont town, Waldo County, Maine",027,66565,23
-666666666.0,"Stockton Springs town, Waldo County, Maine",027,74475,23
-666666666.0,"Troy town, Waldo County, Maine",027,77625,23
-666666666.0,"Northport town, Waldo County, Maine",027,52845,23
-666666666.0,"Unity town, Waldo County, Maine",027,78255,23
-666666666.0,"Freedom town, Waldo County, Maine",027,26420,23
-666666666.0,"Islesboro town, Waldo County, Maine",027,35240,23
-666666666.0,"Liberty town, Waldo County, Maine",027,39055,23
-666666666.0,"Lincolnville town, Waldo County, Maine",027,39755,23
-666666666.0,"Jackson town, Waldo County, Maine",027,35450,23
-666666666.0,"Swanville town, Waldo County, Maine",027,75525,23
-666666666.0,"Winterport town, Waldo County, Maine",027,86760,23
-666666666.0,"Morrill town, Waldo County, Maine",027,47245,23
-666666666.0,"Burnham town, Waldo County, Maine",027,09270,23
-666666666.0,"Burlington town, Penobscot County, Maine",019,09200,23
-666666666.0,"Corinna town, Penobscot County, Maine",019,14310,23
-666666666.0,"Searsport town, Waldo County, Maine",027,66635,23
-666666666.0,"Thorndike town, Waldo County, Maine",027,76610,23
-666666666.0,"Brewer city, Penobscot County, Maine",019,06925,23
-666666666.0,"Dexter town, Penobscot County, Maine",019,17530,23
-666666666.0,"Lee town, Penobscot County, Maine",019,38530,23
-666666666.0,"Hudson town, Penobscot County, Maine",019,34365,23
-666666666.0,"Hampden town, Penobscot County, Maine",019,30795,23
-666666666.0,"Lincoln town, Penobscot County, Maine",019,39475,23
-666666666.0,"Millinocket town, Penobscot County, Maine",019,45810,23
-666666666.0,"Orono town, Penobscot County, Maine",019,55565,23
-666666666.0,"Veazie town, Penobscot County, Maine",019,78780,23
-666666666.0,"Whitney UT, Penobscot County, Maine",019,85230,23
