B19013B_001E,name,county,county subdivision,state
-666666666.0,"St. Petersburg borough, Clarion County, Pennsylvania",031,67384,42
-666666666.0,"Strattanville borough, Clarion County, Pennsylvania",031,74728,42
-666666666.0,"Porter township, Clarion County, Pennsylvania",031,62144,42
-666666666.0,"Douglass township, Montgomery County, Pennsylvania",091,19672,42
124219.0,"East Norriton township, Montgomery County, Pennsylvania",091,21600,42
49444.0,"Lower Frederick township, Montgomery County, Pennsylvania",091,44912,42
129471.0,"Lower Salford township, Montgomery County, Pennsylvania",091,45096,42
-666666666.0,"Rockledge borough, Montgomery County, Pennsylvania",091,65568,42
75938.0,"Springfield township, Montgomery County, Pennsylvania",091,73088,42
39441.0,"Towamencin township, Montgomery County, Pennsylvania",091,77152,42
-666666666.0,"Manchester township, Wayne County, Pennsylvania",127,46856,42
-666666666.0,"Dyberry township, Wayne County, Pennsylvania",127,20576,42
-666666666.0,"Paupack township, Wayne County, Pennsylvania",127,58480,42
-666666666.0,"Prompton borough, Wayne County, Pennsylvania",127,62744,42
-666666666.0,"South Canaan township, Wayne County, Pennsylvania",127,72024,42
-666666666.0,"Buckingham township, Wayne County, Pennsylvania",127,09824,42
-666666666.0,"Hawley borough, Wayne County, Pennsylvania",127,33200,42
-666666666.0,"Mount Pleasant township, Wayne County, Pennsylvania",127,51872,42
-666666666.0,"Starrucca borough, Wayne County, Pennsylvania",127,73784,42
-666666666.0,"Waymart borough, Wayne County, Pennsylvania",127,81712,42
-666666666.0,"Cherry Ridge township, Wayne County, Pennsylvania",127,13096,42
-666666666.0,"Lebanon township, Wayne County, Pennsylvania",127,42176,42
-666666666.0,"Oregon township, Wayne County, Pennsylvania",127,57000,42
-666666666.0,"Preston township, Wayne County, Pennsylvania",127,62600,42
-666666666.0,"Salem township, Wayne County, Pennsylvania",127,67488,42
-666666666.0,"Damascus township, Wayne County, Pennsylvania",127,18104,42
-666666666.0,"Canaan township, Wayne County, Pennsylvania",127,11056,42
-666666666.0,"Honesdale borough, Wayne County, Pennsylvania",127,35520,42
-666666666.0,"Bethany borough, Wayne County, Pennsylvania",127,05976,42
-666666666.0,"Texas township, Wayne County, Pennsylvania",127,76424,42
-666666666.0,"Palmyra township, Wayne County, Pennsylvania",127,57736,42
-666666666.0,"Pleasantville borough, Bedford County, Pennsylvania",009,61496,42
-666666666.0,"Bedford borough, Bedford County, Pennsylvania",009,04944,42
-666666666.0,"Lincoln township, Bedford County, Pennsylvania",009,43416,42
-666666666.0,"Mann township, Bedford County, Pennsylvania",009,46928,42
-666666666.0,"South Woodbury township, Bedford County, Pennsylvania",009,72656,42
-666666666.0,"Woodbury township, Bedford County, Pennsylvania",009,86136,42
-666666666.0,"Hyndman borough, Bedford County, Pennsylvania",009,36640,42
-666666666.0,"East St. Clair township, Bedford County, Pennsylvania",009,21788,42
-666666666.0,"Saxton borough, Bedford County, Pennsylvania",009,68072,42
-666666666.0,"East Hanover township, Dauphin County, Pennsylvania",043,21208,42
16875.0,"Highspire borough, Dauphin County, Pennsylvania",043,34664,42
-666666666.0,"Pillow borough, Dauphin County, Pennsylvania",043,60264,42
-666666666.0,"Wiconisco township, Dauphin County, Pennsylvania",043,84976,42
-666666666.0,"Berrysburg borough, Dauphin County, Pennsylvania",043,05856,42
-666666666.0,"Lower Swatara township, Dauphin County, Pennsylvania",043,45120,42
-666666666.0,"Hummelstown borough, Dauphin County, Pennsylvania",043,36232,42
-666666666.0,"Millersburg borough, Dauphin County, Pennsylvania",043,49680,42
-666666666.0,"Dauphin borough, Dauphin County, Pennsylvania",043,18272,42
-666666666.0,"Jackson township, Dauphin County, Pennsylvania",043,37368,42
-666666666.0,"Wayne township, Dauphin County, Pennsylvania",043,81744,42
-666666666.0,"Reed township, Dauphin County, Pennsylvania",043,63928,42
-666666666.0,"Mifflin township, Dauphin County, Pennsylvania",043,49264,42
-666666666.0,"Elizabethville borough, Dauphin County, Pennsylvania",043,23024,42
-666666666.0,"Barree township, Huntingdon County, Pennsylvania",061,04288,42
-666666666.0,"Dudley borough, Huntingdon County, Pennsylvania",061,20152,42
-666666666.0,"Hopewell township, Huntingdon County, Pennsylvania",061,35688,42
-666666666.0,"Marklesburg borough, Huntingdon County, Pennsylvania",061,47544,42
-666666666.0,"Springfield township, Huntingdon County, Pennsylvania",061,73072,42
-666666666.0,"Porter township, Huntingdon County, Pennsylvania",061,62160,42
-666666666.0,"Warriors Mark township, Huntingdon County, Pennsylvania",061,81104,42
-666666666.0,"Franklin township, Huntingdon County, Pennsylvania",061,27416,42
-666666666.0,"Ernest borough, Indiana County, Pennsylvania",063,24040,42
18258.0,"Blairsville borough, Indiana County, Pennsylvania",063,06904,42
-666666666.0,"Cherryhill township, Indiana County, Pennsylvania",063,13072,42
-666666666.0,"Burrell township, Indiana County, Pennsylvania",063,10352,42
-666666666.0,"Cherry Tree borough, Indiana County, Pennsylvania",063,13120,42
-666666666.0,"Armstrong township, Indiana County, Pennsylvania",063,03064,42
-666666666.0,"Conemaugh township, Indiana County, Pennsylvania",063,15560,42
-666666666.0,"Creekside borough, Indiana County, Pennsylvania",063,17024,42
-666666666.0,"East Mahoning township, Indiana County, Pennsylvania",063,21456,42
-666666666.0,"Rayne township, Indiana County, Pennsylvania",063,63584,42
60486.0,"White township, Indiana County, Pennsylvania",063,84472,42
-666666666.0,"East Wheatfield township, Indiana County, Pennsylvania",063,22048,42
-666666666.0,"Canoe township, Indiana County, Pennsylvania",063,11120,42
-666666666.0,"Indiana borough, Indiana County, Pennsylvania",063,36816,42
-666666666.0,"Marion Center borough, Indiana County, Pennsylvania",063,47472,42
-666666666.0,"Black Lick township, Indiana County, Pennsylvania",063,06752,42
-666666666.0,"Green township, Indiana County, Pennsylvania",063,30816,42
-666666666.0,"Plumville borough, Indiana County, Pennsylvania",063,61632,42
-666666666.0,"Saltsburg borough, Indiana County, Pennsylvania",063,67648,42
-666666666.0,"Shelocta borough, Indiana County, Pennsylvania",063,70040,42
-666666666.0,"Armagh borough, Indiana County, Pennsylvania",063,03032,42
-666666666.0,"Brush Valley township, Indiana County, Pennsylvania",063,09624,42
-666666666.0,"Buffington township, Indiana County, Pennsylvania",063,10104,42
-666666666.0,"Young township, Indiana County, Pennsylvania",063,87160,42
-666666666.0,"Banks township, Indiana County, Pennsylvania",063,04056,42
-666666666.0,"Center township, Indiana County, Pennsylvania",063,12040,42
-666666666.0,"Clymer borough, Indiana County, Pennsylvania",063,14520,42
-666666666.0,"Montgomery township, Indiana County, Pennsylvania",063,50624,42
-666666666.0,"North Mahoning township, Indiana County, Pennsylvania",063,55184,42
-666666666.0,"Pine township, Indiana County, Pennsylvania",063,60320,42
-666666666.0,"Overfield township, Wyoming County, Pennsylvania",131,57408,42
-666666666.0,"Tunkhannock borough, Wyoming County, Pennsylvania",131,77784,42
-666666666.0,"Tunkhannock township, Wyoming County, Pennsylvania",131,77792,42
-666666666.0,"Factoryville borough, Wyoming County, Pennsylvania",131,24488,42
-666666666.0,"Hamilton township, Adams County, Pennsylvania",001,32144,42
-666666666.0,"Berwick township, Adams County, Pennsylvania",001,05880,42
-666666666.0,"Germany township, Adams County, Pennsylvania",001,28936,42
-666666666.0,"Highland township, Adams County, Pennsylvania",001,34424,42
-666666666.0,"Reading township, Adams County, Pennsylvania",001,63616,42
-666666666.0,"Tyrone township, Adams County, Pennsylvania",001,78160,42
-666666666.0,"York Springs borough, Adams County, Pennsylvania",001,87136,42
-666666666.0,"Carroll Valley borough, Adams County, Pennsylvania",001,11472,42
-666666666.0,"Arendtsville borough, Adams County, Pennsylvania",001,02928,42
-666666666.0,"Conewago township, Adams County, Pennsylvania",001,15632,42
-666666666.0,"Mount Pleasant township, Adams County, Pennsylvania",001,51776,42
250001.0,"Cumberland township, Adams County, Pennsylvania",001,17640,42
-666666666.0,"Abbottstown borough, Adams County, Pennsylvania",001,00116,42
-666666666.0,"Freedom township, Adams County, Pennsylvania",001,27704,42
-666666666.0,"Latimore township, Adams County, Pennsylvania",001,41672,42
-666666666.0,"Littlestown borough, Adams County, Pennsylvania",001,43944,42
-666666666.0,"Fairfield borough, Adams County, Pennsylvania",001,24560,42
-666666666.0,"Huntington township, Adams County, Pennsylvania",001,36424,42
-666666666.0,"Bendersville borough, Adams County, Pennsylvania",001,05536,42
-666666666.0,"Butler township, Adams County, Pennsylvania",001,10456,42
-666666666.0,"East Berlin borough, Adams County, Pennsylvania",001,20792,42
31694.0,"Gettysburg borough, Adams County, Pennsylvania",001,28960,42
-666666666.0,"Liberty township, Adams County, Pennsylvania",001,43056,42
-666666666.0,"Straban township, Adams County, Pennsylvania",001,74680,42
-666666666.0,"Biglerville borough, Adams County, Pennsylvania",001,06296,42
-666666666.0,"Franklin township, Adams County, Pennsylvania",001,27320,42
-666666666.0,"Menallen township, Adams County, Pennsylvania",001,48608,42
-666666666.0,"New Oxford borough, Adams County, Pennsylvania",001,53920,42
-666666666.0,"Bonneauville borough, Adams County, Pennsylvania",001,07560,42
-666666666.0,"Hamiltonban township, Adams County, Pennsylvania",001,32200,42
-666666666.0,"McSherrystown borough, Adams County, Pennsylvania",001,46376,42
-666666666.0,"Oxford township, Adams County, Pennsylvania",001,57472,42
-666666666.0,"Union township, Adams County, Pennsylvania",001,78264,42
-666666666.0,"Mount Joy township, Adams County, Pennsylvania",001,51640,42
-666666666.0,"Hatboro borough, Montgomery County, Pennsylvania",091,33088,42
-666666666.0,"Marlborough township, Montgomery County, Pennsylvania",091,47592,42
37400.0,"Norristown borough, Montgomery County, Pennsylvania",091,54656,42
-666666666.0,"Red Hill borough, Montgomery County, Pennsylvania",091,63808,42
-666666666.0,"Schwenksville borough, Montgomery County, Pennsylvania",091,68328,42
-666666666.0,"Skippack township, Montgomery County, Pennsylvania",091,71016,42
53320.0,"Upper Moreland township, Montgomery County, Pennsylvania",091,79176,42
80208.0,"Upper Pottsgrove township, Montgomery County, Pennsylvania",091,79240,42
55515.0,"West Pottsgrove township, Montgomery County, Pennsylvania",091,83912,42
59322.0,"Abington township, Montgomery County, Pennsylvania",091,00156,42
-666666666.0,"Bridgeport borough, Montgomery County, Pennsylvania",091,08568,42
40733.0,"Lansdale borough, Montgomery County, Pennsylvania",091,41432,42
58750.0,"Conshohocken borough, Montgomery County, Pennsylvania",091,15848,42
-666666666.0,"Franconia township, Montgomery County, Pennsylvania",091,27280,42
71726.0,"Lower Gwynedd township, Montgomery County, Pennsylvania",091,44920,42
-666666666.0,"Upper Hanover township, Montgomery County, Pennsylvania",091,79064,42
88083.0,"Hatfield township, Montgomery County, Pennsylvania",091,33120,42
-666666666.0,"Burnside borough, Clearfield County, Pennsylvania",033,10280,42
-666666666.0,"Grampian borough, Clearfield County, Pennsylvania",033,30280,42
-666666666.0,"Lawrence township, Clearfield County, Pennsylvania",033,41952,42
-666666666.0,"Pike township, Clearfield County, Pennsylvania",033,60192,42
-666666666.0,"Bloom township, Clearfield County, Pennsylvania",033,07008,42
-666666666.0,"Goshen township, Clearfield County, Pennsylvania",033,30152,42
-666666666.0,"Huston township, Clearfield County, Pennsylvania",033,36512,42
-666666666.0,"Mahaffey borough, Clearfield County, Pennsylvania",033,46568,42
-666666666.0,"Ramey borough, Clearfield County, Pennsylvania",033,63360,42
-666666666.0,"Girard township, Clearfield County, Pennsylvania",033,29224,42
