B19013B_001E,name,county,county subdivision,state
-666666666.0,"Mount Carmel CCD, McCormick County, South Carolina",065,92262,45
27821.0,"Clinton CCD, Laurens County, South Carolina",059,90663,45
32572.0,"Laurens CCD, Laurens County, South Carolina",059,91924,45
-666666666.0,"Joanna CCD, Laurens County, South Carolina",059,91690,45
37833.0,"Parksville CCD, McCormick County, South Carolina",065,92561,45
28528.0,"McCormick CCD, McCormick County, South Carolina",065,92119,45
32056.0,"Central CCD, Pickens County, South Carolina",077,90533,45
40072.0,"Easley CCD, Pickens County, South Carolina",077,90936,45
-666666666.0,"Pickens CCD, Pickens County, South Carolina",077,92639,45
-666666666.0,"Easley East CCD, Pickens County, South Carolina",077,90949,45
54375.0,"Six Mile CCD, Pickens County, South Carolina",077,93146,45
21375.0,"Clemson CCD, Pickens County, South Carolina",077,90650,45
26003.0,"Liberty CCD, Pickens County, South Carolina",077,91950,45
26375.0,"Jonesville CCD, Union County, South Carolina",087,91742,45
32708.0,"Carlisle CCD, Union County, South Carolina",087,90507,45
31667.0,"Cross Keys CCD, Union County, South Carolina",087,90832,45
-666666666.0,"West Springs CCD, Union County, South Carolina",087,93679,45
15938.0,"Lockhart CCD, Union County, South Carolina",087,91989,45
23621.0,"Union CCD, Union County, South Carolina",087,93497,45
35500.0,"Hemingway CCD, Williamsburg County, South Carolina",089,91495,45
26679.0,"Trio CCD, Williamsburg County, South Carolina",089,93458,45
20588.0,"Greeleyville CCD, Williamsburg County, South Carolina",089,91339,45
25211.0,"Kingstree CCD, Williamsburg County, South Carolina",089,91768,45
28520.0,"Nesmith CCD, Williamsburg County, South Carolina",089,92353,45
36146.0,"Lane CCD, Williamsburg County, South Carolina",089,91898,45
30163.0,"Aiken CCD, Aiken County, South Carolina",003,90026,45
42625.0,"Jackson CCD, Aiken County, South Carolina",003,91651,45
28207.0,"Beech Island CCD, Aiken County, South Carolina",003,90208,45
40044.0,"New Ellenton CCD, Aiken County, South Carolina",003,92379,45
35245.0,"North Augusta CCD, Aiken County, South Carolina",003,92418,45
25660.0,"Salley CCD, Aiken County, South Carolina",003,92977,45
39799.0,"Wagener CCD, Aiken County, South Carolina",003,93562,45
31201.0,"Monetta CCD, Aiken County, South Carolina",003,92223,45
53269.0,"Windsor CCD, Aiken County, South Carolina",003,93744,45
19167.0,"Fairfax CCD, Allendale County, South Carolina",005,91092,45
48826.0,"Millett CCD, Allendale County, South Carolina",005,92197,45
18793.0,"Allendale CCD, Allendale County, South Carolina",005,90052,45
27450.0,"Sycamore CCD, Allendale County, South Carolina",005,93367,45
29688.0,"Whitmire CCD, Newberry County, South Carolina",071,93705,45
32209.0,"Newberry CCD, Newberry County, South Carolina",071,92366,45
40278.0,"Pomaria CCD, Newberry County, South Carolina",071,92704,45
18750.0,"Barnwell CCD, Barnwell County, South Carolina",011,90143,45
-666666666.0,"Mountain Rest CCD, Oconee County, South Carolina",073,92249,45
33221.0,"Walhalla CCD, Oconee County, South Carolina",073,93575,45
-666666666.0,"Salem CCD, Oconee County, South Carolina",073,92964,45
-666666666.0,"Oakway CCD, Oconee County, South Carolina",073,92457,45
25391.0,"Cades CCD, Williamsburg County, South Carolina",089,90442,45
22460.0,"Blackville CCD, Barnwell County, South Carolina",011,90286,45
14391.0,"Williston CCD, Barnwell County, South Carolina",011,93731,45
31429.0,"Kline-Snelling CCD, Barnwell County, South Carolina",011,91794,45
47674.0,"Goose Creek-Hanahan CCD, Berkeley County, South Carolina",015,91274,45
34261.0,"Edisto Island CCD, Charleston County, South Carolina",019,90988,45
42238.0,"James Island CCD, Charleston County, South Carolina",019,91664,45
41250.0,"Johns Island CCD, Charleston County, South Carolina",019,91703,45
44411.0,"Mount Pleasant CCD, Charleston County, South Carolina",019,92301,45
33625.0,"McClellanville CCD, Charleston County, South Carolina",019,92080,45
27838.0,"Wadmalaw Island CCD, Charleston County, South Carolina",019,93549,45
26875.0,"Lake Swamp CCD, Darlington County, South Carolina",031,91820,45
25513.0,"Darlington CCD, Darlington County, South Carolina",031,90858,45
25000.0,"Lamar CCD, Darlington County, South Carolina",031,91846,45
34125.0,"North Hartsville CCD, Darlington County, South Carolina",031,92431,45
33116.0,"Society Hill CCD, Darlington County, South Carolina",031,93185,45
27813.0,"Hartsville CCD, Darlington County, South Carolina",031,91469,45
28992.0,"Andrews CCD, Georgetown County, South Carolina",043,90078,45
20554.0,"Plantersville CCD, Georgetown County, South Carolina",043,92665,45
37961.0,"Pleasant Hill-Folly Grove CCD, Georgetown County, South Carolina",043,92678,45
