B19013B_001E,name,county,county subdivision,state
-666666666.0,"Kanab CCD, Kane County, Utah",025,91591,49
-666666666.0,"Enterprise CCD, Washington County, Utah",053,90817,49
14219.0,"St. George CCD, Washington County, Utah",053,92924,49
-666666666.0,"Orderville CCD, Kane County, Utah",025,92494,49
47563.0,"Park City CCD, Summit County, Utah",043,92580,49
-666666666.0,"Kamas CCD, Summit County, Utah",043,91548,49
-666666666.0,"Coalville CCD, Summit County, Utah",043,90430,49
-666666666.0,"Uintah and Ouray CCD, Grand County, Utah",019,93526,49
-666666666.0,"Moab CCD, Grand County, Utah",019,91935,49
-666666666.0,"Circleville CCD, Piute County, Utah",031,90387,49
-666666666.0,"Marysvale CCD, Piute County, Utah",031,91849,49
-666666666.0,"Randolph-Woodruff CCD, Rich County, Utah",033,92752,49
-666666666.0,"Garden City-Laketown CCD, Rich County, Utah",033,91032,49
-666666666.0,"Uintah and Ouray CCD, Wasatch County, Utah",051,93612,49
-666666666.0,"Soldier Summit CCD, Wasatch County, Utah",051,93139,49
-666666666.0,"Beaver CCD, Beaver County, Utah",001,90086,49
-666666666.0,"Milford-Minersville CCD, Beaver County, Utah",001,91892,49
-666666666.0,"Brigham City CCD, Box Elder County, Utah",003,90258,49
-666666666.0,"Tremonton CCD, Box Elder County, Utah",003,93440,49
-666666666.0,"West Box Elder CCD, Box Elder County, Utah",003,93827,49
-666666666.0,"Howell-Snowville CCD, Box Elder County, Utah",003,91419,49
-666666666.0,"Parowan CCD, Iron County, Utah",021,92623,49
-666666666.0,"Beryl-Newcastle CCD, Iron County, Utah",021,90129,49
-666666666.0,"Cedar City CCD, Iron County, Utah",021,90344,49
-666666666.0,"Mount Pleasant-Moroni CCD, Sanpete County, Utah",039,92150,49
-666666666.0,"Gunnison CCD, Sanpete County, Utah",039,91204,49
-666666666.0,"Ephraim-Manti CCD, Sanpete County, Utah",039,90860,49
-666666666.0,"Richfield CCD, Sevier County, Utah",041,92838,49
-666666666.0,"Monroe CCD, Sevier County, Utah",041,91978,49
-666666666.0,"Salina CCD, Sevier County, Utah",041,92967,49
-666666666.0,"Goshen CCD, Utah County, Utah",049,91118,49
-666666666.0,"American Fork-Pleasant Grove CCD, Utah County, Utah",049,90043,49
31901.0,"Provo-Orem CCD, Utah County, Utah",049,92709,49
73929.0,"Lehi CCD, Utah County, Utah",049,91634,49
-666666666.0,"Spanish Fork-Payson CCD, Utah County, Utah",049,93268,49
-666666666.0,"Springville-Mapleton CCD, Utah County, Utah",049,93311,49
37231.0,"Ogden CCD, Weber County, Utah",057,92322,49
-666666666.0,"Ogden Valley CCD, Weber County, Utah",057,92365,49
-666666666.0,"Delta CCD, Millard County, Utah",027,90516,49
-666666666.0,"Garrison-Sevier Lake CCD, Millard County, Utah",027,91075,49
-666666666.0,"Fillmore CCD, Millard County, Utah",027,90989,49
180046.0,"Tooele-Grantsville CCD, Tooele County, Utah",045,93397,49
-666666666.0,"Dugway-Wendover CCD, Tooele County, Utah",045,90602,49
-666666666.0,"Hurricane CCD, Washington County, Utah",053,91462,49
-666666666.0,"North Duchesne CCD, Duchesne County, Utah",013,92279,49
-666666666.0,"South Duchesne CCD, Duchesne County, Utah",013,93225,49
-666666666.0,"Duchesne CCD, Duchesne County, Utah",013,90559,49
-666666666.0,"Roosevelt CCD, Duchesne County, Utah",013,92881,49
-666666666.0,"Oljato CCD, San Juan County, Utah",037,92408,49
-666666666.0,"Blanding CCD, San Juan County, Utah",037,90215,49
-666666666.0,"Monticello CCD, San Juan County, Utah",037,92021,49
-666666666.0,"Cottonwood CCD, Salt Lake County, Utah",035,90473,49
40005.0,"Salt Lake City CCD, Salt Lake County, Utah",035,93010,49
-666666666.0,"Emigration CCD, Salt Lake County, Utah",035,90774,49
-666666666.0,"Magna CCD, Salt Lake County, Utah",035,91806,49
-666666666.0,"Bingham CCD, Salt Lake County, Utah",035,90172,49
-666666666.0,"Vernal CCD, Uintah County, Utah",047,93655,49
-666666666.0,"Uintah and Ouray CCD, Uintah County, Utah",047,93569,49
-666666666.0,"West Daggett CCD, Daggett County, Utah",009,93870,49
-666666666.0,"East Daggett CCD, Daggett County, Utah",009,90688,49
45114.0,"North Davis CCD, Davis County, Utah",011,92236,49
101484.0,"South Davis CCD, Davis County, Utah",011,93182,49
-666666666.0,"Loa CCD, Wayne County, Utah",055,91720,49
-666666666.0,"Hanksville CCD, Wayne County, Utah",055,91247,49
-666666666.0,"East Carbon CCD, Carbon County, Utah",007,90645,49
41172.0,"Price CCD, Carbon County, Utah",007,92666,49
-666666666.0,"Helper CCD, Carbon County, Utah",007,91333,49
