B19013I_001E,name,county,county subdivision,state
-666666666.0,"Enterprise township, Linn County, Missouri",115,22438,29
-666666666.0,"Grantsville township, Linn County, Missouri",115,28612,29
-666666666.0,"North Salem township, Linn County, Missouri",115,53300,29
-666666666.0,"Benton township, Linn County, Missouri",115,04726,29
-666666666.0,"Jackson township, Linn County, Missouri",115,35864,29
-666666666.0,"Parson Creek township, Linn County, Missouri",115,56378,29
-666666666.0,"Yellow Creek township, Linn County, Missouri",115,81304,29
-666666666.0,"Willow Springs township, Howell County, Missouri",091,80116,29
-666666666.0,"Benton township, Howell County, Missouri",091,04690,29
-666666666.0,"South Fork township, Howell County, Missouri",091,68780,29
-666666666.0,"Dry Creek township, Howell County, Missouri",091,20188,29
31165.0,"Howell township, Howell County, Missouri",091,33382,29
-666666666.0,"Sisson township, Howell County, Missouri",091,68078,29
-666666666.0,"Myatt township, Howell County, Missouri",091,50960,29
-666666666.0,"Goldsberry township, Howell County, Missouri",091,27748,29
-666666666.0,"Kingsville township, Johnson County, Missouri",101,38936,29
-666666666.0,"Rose Hill township, Johnson County, Missouri",101,63146,29
-666666666.0,"Warrensburg township, Johnson County, Missouri",101,77110,29
54136.0,"Washington township, Johnson County, Missouri",101,77524,29
-666666666.0,"Jackson township, Johnson County, Missouri",101,35846,29
-666666666.0,"Jefferson township, Johnson County, Missouri",101,36836,29
-666666666.0,"Chilhowee township, Johnson County, Missouri",101,13672,29
-666666666.0,"Simpson township, Johnson County, Missouri",101,68006,29
-666666666.0,"Columbus township, Johnson County, Missouri",101,15724,29
-666666666.0,"Grover township, Johnson County, Missouri",101,29620,29
-666666666.0,"Post Oak township, Johnson County, Missouri",101,59312,29
15781.0,"Madison township, Johnson County, Missouri",101,45434,29
-666666666.0,"Auglaize township, Laclede County, Missouri",105,02494,29
-666666666.0,"Lebanon township, Laclede County, Missouri",105,41186,29
-666666666.0,"Eldridge township, Laclede County, Missouri",105,21556,29
96125.0,"Gasconade township, Laclede County, Missouri",105,26596,29
-666666666.0,"Washington township, Laclede County, Missouri",105,77542,29
-666666666.0,"Franklin township, Laclede County, Missouri",105,25660,29
-666666666.0,"Chapel township, Howell County, Missouri",091,13168,29
-666666666.0,"Hutton Valley township, Howell County, Missouri",091,34120,29
-666666666.0,"Siloam Springs township, Howell County, Missouri",091,67844,29
-666666666.0,"Spring Creek township, Howell County, Missouri",091,69644,29
-666666666.0,"Hazel Hill township, Johnson County, Missouri",101,31240,29
-666666666.0,"Centerview township, Johnson County, Missouri",101,12700,29
-666666666.0,"Montserrat township, Johnson County, Missouri",101,49700,29
-666666666.0,"Union township, Laclede County, Missouri",105,74734,29
-666666666.0,"Spring Hollow township, Laclede County, Missouri",105,70072,29
-666666666.0,"Prairie township, Howard County, Missouri",089,59546,29
-666666666.0,"Franklin township, Howard County, Missouri",089,25642,29
-666666666.0,"Richmond township, Howard County, Missouri",089,61652,29
-666666666.0,"Moniteau township, Howard County, Missouri",089,49232,29
-666666666.0,"May/Smith township, Laclede County, Missouri",105,46937,29
-666666666.0,"Phillipsburg township, Laclede County, Missouri",105,57386,29
32075.0,"Kaw township, Jackson County, Missouri",095,38054,29
32081.0,"Blue township, Jackson County, Missouri",095,06490,29
40020.0,"Washington township, Jackson County, Missouri",095,77506,29
60173.0,"Sni-A-Bar township, Jackson County, Missouri",095,68438,29
-666666666.0,"Van Buren township, Jackson County, Missouri",095,75598,29
88214.0,"Prairie township, Jackson County, Missouri",095,59564,29
2499.0,"Fort Osage township, Jackson County, Missouri",095,25282,29
62037.0,"Brooking township, Jackson County, Missouri",095,08686,29
-666666666.0,"Hoberg township, Lawrence County, Missouri",109,32428,29
54360.0,"Aurora township, Lawrence County, Missouri",109,02566,29
-666666666.0,"Red Oak township, Lawrence County, Missouri",109,61040,29
36923.0,"Pierce township, Lawrence County, Missouri",109,57440,29
-666666666.0,"Vineyard township, Lawrence County, Missouri",109,76228,29
-666666666.0,"Buck Prairie township, Lawrence County, Missouri",109,09442,29
42813.0,"Spring River township, Lawrence County, Missouri",109,70090,29
-666666666.0,"Grand River township, Daviess County, Missouri",061,28270,29
-666666666.0,"Washington township, Daviess County, Missouri",061,77362,29
36250.0,"Jamesport township, Daviess County, Missouri",061,36350,29
-666666666.0,"Bigelow township, Holt County, Missouri",087,05482,29
-666666666.0,"Minton township, Holt County, Missouri",087,48836,29
-666666666.0,"Liberty township, Holt County, Missouri",087,42140,29
-666666666.0,"Union township, Holt County, Missouri",087,74680,29
-666666666.0,"Benton township, Holt County, Missouri",087,04672,29
-666666666.0,"Forest township, Holt County, Missouri",087,25048,29
-666666666.0,"Hickory township, Holt County, Missouri",087,31852,29
-666666666.0,"Nodaway township, Holt County, Missouri",087,52706,29
37813.0,"Freistatt township, Lawrence County, Missouri",109,25930,29
-666666666.0,"Mount Pleasant township, Lawrence County, Missouri",109,50582,29
-666666666.0,"Turnback township, Lawrence County, Missouri",109,74104,29
-666666666.0,"Mount Vernon township, Lawrence County, Missouri",109,50690,29
-666666666.0,"Ozark township, Lawrence County, Missouri",109,55784,29
-666666666.0,"Lincoln township, Lawrence County, Missouri",109,42806,29
-666666666.0,"Saline township, Miller County, Missouri",131,65342,29
-666666666.0,"Equality township, Miller County, Missouri",131,22528,29
-666666666.0,"Glaze township, Miller County, Missouri",131,27244,29
-666666666.0,"Jim Henry township, Miller County, Missouri",131,37322,29
-666666666.0,"Osage township, Miller County, Missouri",131,55172,29
-666666666.0,"Richwoods township, Miller County, Missouri",131,61778,29
-666666666.0,"Franklin township, Miller County, Missouri",131,25678,29
-666666666.0,"Jefferson township, Harrison County, Missouri",081,36818,29
-666666666.0,"Trail Creek township, Harrison County, Missouri",081,73744,29
-666666666.0,"Butler township, Harrison County, Missouri",081,10072,29
-666666666.0,"Clay township, Harrison County, Missouri",081,14392,29
-666666666.0,"Hamilton township, Harrison County, Missouri",081,30070,29
-666666666.0,"Lincoln township, Harrison County, Missouri",081,42752,29
-666666666.0,"Washington township, Harrison County, Missouri",081,77488,29
-666666666.0,"Adams township, Harrison County, Missouri",081,00226,29
-666666666.0,"White Oak township, Harrison County, Missouri",081,79486,29
-666666666.0,"Sherman township, Harrison County, Missouri",081,67448,29
43125.0,"Bethany township, Harrison County, Missouri",081,05086,29
-666666666.0,"Dallas township, Harrison County, Missouri",081,18064,29
-666666666.0,"Green township, Lawrence County, Missouri",109,28972,29
-666666666.0,"Colfax township, Harrison County, Missouri",081,15508,29
-666666666.0,"Fox Creek township, Harrison County, Missouri",081,25455,29
-666666666.0,"Jefferson township, Daviess County, Missouri",061,36782,29
-666666666.0,"Liberty township, Daviess County, Missouri",061,42104,29
-666666666.0,"Union township, Daviess County, Missouri",061,74590,29
-666666666.0,"Grant township, Harrison County, Missouri",081,28486,29
-666666666.0,"Madison township, Harrison County, Missouri",081,45398,29
-666666666.0,"Cypress township, Harrison County, Missouri",081,17956,29
-666666666.0,"Marion township, Harrison County, Missouri",081,46046,29
-666666666.0,"Sugar Creek township, Harrison County, Missouri",081,71350,29
-666666666.0,"Union township, Harrison County, Missouri",081,74662,29
-666666666.0,"Dover township, Lafayette County, Missouri",107,19936,29
-666666666.0,"Sni-A-Bar township, Lafayette County, Missouri",107,68456,29
-666666666.0,"Davis township, Lafayette County, Missouri",107,18406,29
-666666666.0,"Washington township, Lafayette County, Missouri",107,77560,29
-666666666.0,"Clay township, Lafayette County, Missouri",107,14428,29
-666666666.0,"Middleton township, Lafayette County, Missouri",107,47882,29
-666666666.0,"Lexington township, Lafayette County, Missouri",107,41888,29
-666666666.0,"Freedom township, Lafayette County, Missouri",107,25858,29
-666666666.0,"Chalk Level township, St. Clair County, Missouri",185,13024,29
