B19013I_001E,name,county,county subdivision,state
86534.0,"Timberlake district, Campbell County, Virginia",031,96087,51
122923.0,"Concord district, Campbell County, Virginia",031,90968,51
-666666666.0,"Seneca district, Campbell County, Virginia",031,95623,51
-666666666.0,"Brookneal district, Campbell County, Virginia",031,90504,51
-666666666.0,"Rustburg district, Campbell County, Virginia",031,95503,51
40028.0,"Tuckahoe district, Henrico County, Virginia",087,96119,51
26048.0,"Fairfield district, Henrico County, Virginia",087,93511,51
80435.0,"Three Chopt district, Henrico County, Virginia",087,96079,51
-666666666.0,"Iriswood district, Henry County, Virginia",089,93975,51
50183.0,"Brookland district, Henrico County, Virginia",087,90496,51
61053.0,"Varina district, Henrico County, Virginia",087,96175,51
118884.0,"Collinsville district, Henry County, Virginia",089,90944,51
26130.0,"Reed Creek district, Henry County, Virginia",089,95263,51
35224.0,"Blackberry district, Henry County, Virginia",089,90288,51
-666666666.0,"Ridgeway district, Henry County, Virginia",089,95295,51
-666666666.0,"Horsepasture district, Henry County, Virginia",089,93919,51
-666666666.0,"Dahlgren district, King George County, Virginia",099,91080,51
-666666666.0,"James Monroe district, King George County, Virginia",099,94039,51
-666666666.0,"Shiloh district, King George County, Virginia",099,95687,51
98250.0,"James Madison district, King George County, Virginia",099,94031,51
-666666666.0,"West Point district, King William County, Virginia",101,96327,51
-666666666.0,"Acquinton district, King William County, Virginia",101,90016,51
-666666666.0,"Mangohick district, King William County, Virginia",101,94479,51
-666666666.0,"Mountain Road district, Louisa County, Virginia",109,94759,51
-666666666.0,"Patrick Henry district, Louisa County, Virginia",109,95015,51
34018.0,"Louisa district, Louisa County, Virginia",109,94375,51
42670.0,"Mineral district, Louisa County, Virginia",109,94711,51
-666666666.0,"Cuckoo district, Louisa County, Virginia",109,91040,51
81071.0,"Green Spring district, Louisa County, Virginia",109,93767,51
-666666666.0,"Jackson district, Louisa County, Virginia",109,93999,51
-666666666.0,"Chesapeake district, Mathews County, Virginia",115,90808,51
-666666666.0,"Westville district, Mathews County, Virginia",115,96335,51
-666666666.0,"Piankatank district, Mathews County, Virginia",115,95055,51
-666666666.0,"Jamaica district, Middlesex County, Virginia",119,94023,51
-666666666.0,"Pine Top district, Middlesex County, Virginia",119,95079,51
-666666666.0,"Saluda district, Middlesex County, Virginia",119,95559,51
-666666666.0,"District 501, Prince Edward County, Virginia",147,92593,51
-666666666.0,"District 701, Prince Edward County, Virginia",147,92613,51
-666666666.0,"District 401, Prince Edward County, Virginia",147,92583,51
-666666666.0,"District 201, Prince Edward County, Virginia",147,92563,51
-666666666.0,"District 801, Prince Edward County, Virginia",147,92623,51
-666666666.0,"District 601, Prince Edward County, Virginia",147,92603,51
-666666666.0,"District 301, Prince Edward County, Virginia",147,92573,51
-666666666.0,"District 101, Prince Edward County, Virginia",147,92553,51
52417.0,"Bland district, Prince George County, Virginia",149,90352,51
-666666666.0,"Blackwater district, Prince George County, Virginia",149,90328,51
-666666666.0,"Brandon district, Prince George County, Virginia",149,90472,51
70956.0,"Rives district, Prince George County, Virginia",149,95343,51
-666666666.0,"Templeton district, Prince George County, Virginia",149,96063,51
-666666666.0,"District 1, Richmond County, Virginia",159,91271,51
-666666666.0,"District 3, Richmond County, Virginia",159,91571,51
-666666666.0,"District 2, Richmond County, Virginia",159,91421,51
43750.0,"District 4, Richmond County, Virginia",159,91721,51
-666666666.0,"District 5, Richmond County, Virginia",159,91871,51
67772.0,"Central district, Rockingham County, Virginia",165,90736,51
35234.0,"Plains district, Rockingham County, Virginia",165,95095,51
64716.0,"Stonewall district, Rockingham County, Virginia",165,95951,51
37300.0,"Ashby district, Rockingham County, Virginia",165,90080,51
-666666666.0,"Linville district, Rockingham County, Virginia",165,94287,51
-666666666.0,"District 6, Scott County, Virginia",169,92026,51
-666666666.0,"District 1, Scott County, Virginia",169,91276,51
-666666666.0,"District 3, Scott County, Virginia",169,91576,51
-666666666.0,"District 4, Scott County, Virginia",169,91726,51
-666666666.0,"District 2, Scott County, Virginia",169,91426,51
-666666666.0,"District 5, Scott County, Virginia",169,91876,51
89688.0,"Chancellor district, Spotsylvania County, Virginia",177,90760,51
108872.0,"Livingston district, Spotsylvania County, Virginia",177,94311,51
65742.0,"Lee Hill district, Spotsylvania County, Virginia",177,94231,51
81087.0,"Battlefield district, Spotsylvania County, Virginia",177,90168,51
77188.0,"Courtland district, Spotsylvania County, Virginia",177,91008,51
49138.0,"Berkeley district, Spotsylvania County, Virginia",177,90232,51
72938.0,"Salem district, Spotsylvania County, Virginia",177,95543,51
-666666666.0,"Bacons Castle district, Surry County, Virginia",181,90136,51
-666666666.0,"Carsley district, Surry County, Virginia",181,90624,51
-666666666.0,"Claremont district, Surry County, Virginia",181,90848,51
-666666666.0,"Dendron district, Surry County, Virginia",181,91136,51
-666666666.0,"Surry district, Surry County, Virginia",181,96023,51
-666666666.0,"Russell district, Clarke County, Virginia",043,95495,51
79007.0,"White Post district, Clarke County, Virginia",043,96367,51
-666666666.0,"Berryville district, Clarke County, Virginia",043,90256,51
-666666666.0,"Buckmarsh district, Clarke County, Virginia",043,90544,51
-666666666.0,"Millwood district, Clarke County, Virginia",043,94703,51
-666666666.0,"Blackwater district, Franklin County, Virginia",067,90320,51
