B19013H_001E,name,county,county subdivision,state
50605.0,"Marana CCD, Pima County, Arizona",019,92040,04
34806.0,"Ajo CCD, Pima County, Arizona",019,90051,04
55579.0,"Tucson CCD, Pima County, Arizona",019,93570,04
53398.0,"Arivaca CCD, Pima County, Arizona",019,90153,04
77386.0,"Gila Bend CCD, Maricopa County, Arizona",013,91377,04
85810.0,"Chandler CCD, Maricopa County, Arizona",013,90561,04
60997.0,"Phoenix CCD, Maricopa County, Arizona",013,92601,04
89094.0,"Deer Valley CCD, Maricopa County, Arizona",013,90867,04
-666666666.0,"St. Johns CCD, Maricopa County, Arizona",013,93009,04
-666666666.0,"San Carlos CCD, Graham County, Arizona",009,93111,04
56322.0,"Wickenburg CCD, Maricopa County, Arizona",013,93774,04
65221.0,"Buckeye CCD, Maricopa County, Arizona",013,90459,04
47149.0,"Payson CCD, Gila County, Arizona",007,92570,04
46181.0,"Winkelman CCD, Gila County, Arizona",007,93927,04
29904.0,"Salt River CCD, Maricopa County, Arizona",013,93060,04
38558.0,"Globe-Miami CCD, Gila County, Arizona",007,91495,04
52917.0,"Bonita-Klondyke CCD, Graham County, Arizona",009,90357,04
53606.0,"Pima CCD, Graham County, Arizona",009,92652,04
52045.0,"Safford CCD, Graham County, Arizona",009,92907,04
47719.0,"Nogales CCD, Santa Cruz County, Arizona",023,92295,04
49063.0,"Patagonia CCD, Santa Cruz County, Arizona",023,92550,04
40489.0,"Benson CCD, Cochise County, Arizona",003,90255,04
54851.0,"Sierra Vista CCD, Cochise County, Arizona",003,93182,04
41479.0,"Willcox CCD, Cochise County, Arizona",003,93825,04
44844.0,"Douglas CCD, Cochise County, Arizona",003,90969,04
62314.0,"Bisbee CCD, Cochise County, Arizona",003,90306,04
38418.0,"Parker CCD, La Paz County, Arizona",012,92480,04
40375.0,"Elfrida CCD, Cochise County, Arizona",003,91122,04
38173.0,"Bowie CCD, Cochise County, Arizona",003,90408,04
-666666666.0,"Fort Apache CCD, Apache County, Arizona",001,91275,04
-666666666.0,"Dennehotso CCD, Apache County, Arizona",001,90918,04
69750.0,"Sweetwater CCD, Apache County, Arizona",001,93315,04
65000.0,"Chinle CCD, Apache County, Arizona",001,90612,04
62813.0,"Fort Defiance CCD, Apache County, Arizona",001,91326,04
59194.0,"Eagar-Springerville CCD, Apache County, Arizona",001,91071,04
53514.0,"Puerco CCD, Apache County, Arizona",001,92805,04
49571.0,"St. Johns CCD, Apache County, Arizona",001,92958,04
62736.0,"Tuba City CCD, Coconino County, Arizona",005,93519,04
-666666666.0,"Havasupai CCD, Coconino County, Arizona",005,91530,04
-666666666.0,"Hualapai CCD, Coconino County, Arizona",005,91683,04
-666666666.0,"Hopi CCD, Coconino County, Arizona",005,91581,04
48529.0,"Williams CCD, Coconino County, Arizona",005,93876,04
50550.0,"Prescott CCD, Yavapai County, Arizona",025,92754,04
38605.0,"Congress CCD, Yavapai County, Arizona",025,90765,04
46644.0,"Mingus Mountain CCD, Yavapai County, Arizona",025,92193,04
48506.0,"Yuma CCD, Yuma County, Arizona",027,93978,04
48554.0,"Wellton CCD, Yuma County, Arizona",027,93672,04
71311.0,"Somerton CCD, Yuma County, Arizona",027,93264,04
72024.0,"Clifton CCD, Greenlee County, Arizona",011,90663,04
47827.0,"Duncan CCD, Greenlee County, Arizona",011,91020,04
47669.0,"Eloy CCD, Pinal County, Arizona",021,91173,04
49508.0,"Snowflake CCD, Navajo County, Arizona",017,93213,04
-666666666.0,"Hopi CCD, Navajo County, Arizona",017,91632,04
-666666666.0,"Indian Wells CCD, Navajo County, Arizona",017,91785,04
56623.0,"Florence CCD, Pinal County, Arizona",021,91224,04
54125.0,"North Pinal CCD, Pinal County, Arizona",021,92346,04
42115.0,"Coolidge CCD, Pinal County, Arizona",021,90816,04
66447.0,"Maricopa-Stanfield CCD, Pinal County, Arizona",021,92091,04
-666666666.0,"Gila River CCD, Pinal County, Arizona",021,91428,04
53051.0,"Casa Grande CCD, Pinal County, Arizona",021,90510,04
61188.0,"San Manuel CCD, Pinal County, Arizona",021,93162,04
37438.0,"Kingman CCD, Mohave County, Arizona",015,91885,04
27935.0,"Ash Fork CCD, Yavapai County, Arizona",025,90204,04
102431.0,"Tonto National Forest CCD, Maricopa County, Arizona",013,93472,04
47991.0,"Camp Verde-Sedona CCD, Yavapai County, Arizona",025,90484,04
63369.0,"Flagstaff CCD, Coconino County, Arizona",005,91198,04
48438.0,"Kaibab Plateau CCD, Coconino County, Arizona",005,91838,04
40254.0,"Bullhead City CCD, Mohave County, Arizona",015,90470,04
40712.0,"North Mohave CCD, Mohave County, Arizona",015,92340,04
46696.0,"Lake Havasu City CCD, Mohave County, Arizona",015,91964,04
83056.0,"Fort Apache CCD, Navajo County, Arizona",017,91279,04
50820.0,"Winslow-Holbrook CCD, Navajo County, Arizona",017,93952,04
64292.0,"Kayenta CCD, Navajo County, Arizona",017,91860,04
56094.0,"San Carlos CCD, Gila County, Arizona",007,93109,04
31566.0,"Tonto Basin CCD, Gila County, Arizona",007,93470,04
-666666666.0,"Fort Apache CCD, Gila County, Arizona",007,91277,04
48779.0,"Cordes Lakes-Mayer CCD, Yavapai County, Arizona",025,90840,04
72292.0,"Piñon CCD, Navajo County, Arizona",017,92703,04
-666666666.0,"Tohono O'odham Nation CCD, Pinal County, Arizona",021,93377,04
66016.0,"Tohono O'odham Nation CCD, Pima County, Arizona",019,93375,04
