B19013H_001E,name,county,county subdivision,state
93646.0,"District 1, Vansville; Prince George's County; Maryland",033,90064,24
108485.0,"District 3, Marlboro; Prince George's County; Maryland",033,90248,24
81849.0,"District 10, Laurel; Prince George's County; Maryland",033,90892,24
92907.0,"District 13, Kent; Prince George's County; Maryland",033,91164,24
58047.0,"District 6, Spauldings; Prince George's County; Maryland",033,90524,24
107586.0,"District 7, Queen Anne; Prince George's County; Maryland",033,90616,24
92480.0,"District 16, Hyattsville; Prince George's County; Maryland",033,91440,24
74811.0,"District 20, Lanham; Prince George's County; Maryland",033,91808,24
82754.0,"District 21, Berwyn; Prince George's County; Maryland",033,91900,24
82784.0,"District 12, Oxon Hill; Prince George's County; Maryland",033,91072,24
100603.0,"District 4, Nottingham; Prince George's County; Maryland",033,90340,24
95362.0,"District 5, Piscataway; Prince George's County; Maryland",033,90432,24
112600.0,"District 14, Bowie; Prince George's County; Maryland",033,91256,24
74375.0,"District 15, Mellwood; Prince George's County; Maryland",033,91348,24
58000.0,"District 18, Seat Pleasant; Prince George's County; Maryland",033,91624,24
65033.0,"District 17, Chillum; Prince George's County; Maryland",033,91532,24
109519.0,"District 19, Riverdale; Prince George's County; Maryland",033,91716,24
66188.0,"District 8, Aquasco; Prince George's County; Maryland",033,90708,24
80414.0,"District 1, Anne Arundel County, Maryland",003,90008,24
104242.0,"District 4, Anne Arundel County, Maryland",003,90284,24
75636.0,"District 2, Anne Arundel County, Maryland",003,90100,24
105800.0,"District 6, Anne Arundel County, Maryland",003,90468,24
92878.0,"District 3, Anne Arundel County, Maryland",003,90192,24
127840.0,"District 5, Anne Arundel County, Maryland",003,90376,24
110983.0,"District 7, Anne Arundel County, Maryland",003,90560,24
84990.0,"District 3, Baltimore County, Maryland",005,90196,24
86103.0,"District 4, Baltimore County, Maryland",005,90288,24
79846.0,"District 9, Baltimore County, Maryland",005,90748,24
82820.0,"District 11, Baltimore County, Maryland",005,90932,24
101622.0,"District 7, Baltimore County, Maryland",005,90564,24
107879.0,"District 5, Baltimore County, Maryland",005,90380,24
107529.0,"District 6, Baltimore County, Maryland",005,90472,24
72521.0,"District 13, Baltimore County, Maryland",005,91112,24
68016.0,"District 14, Baltimore County, Maryland",005,91204,24
89163.0,"District 8, Baltimore County, Maryland",005,90656,24
127452.0,"District 10, Baltimore County, Maryland",005,90840,24
84296.0,"District 1, Baltimore County, Maryland",005,90012,24
52225.0,"District 12, Baltimore County, Maryland",005,91020,24
76346.0,"District 2, Baltimore County, Maryland",005,90104,24
60402.0,"District 15, Baltimore County, Maryland",005,91296,24
121156.0,"District 3, Middletown; Frederick County; Maryland",021,90224,24
105862.0,"District 14, Jefferson; Frederick County; Maryland",021,91232,24
115301.0,"District 9, New Market; Frederick County; Maryland",021,90776,24
65574.0,"District 10, Hauvers; Frederick County; Maryland",021,90868,24
98869.0,"District 16, Jackson; Frederick County; Maryland",021,91416,24
73232.0,"District 5, Emmitsburg; Frederick County; Maryland",021,90408,24
111885.0,"District 13, Mount Pleasant; Frederick County; Maryland",021,91140,24
66975.0,"District 15, Thurmont; Frederick County; Maryland",021,91324,24
98988.0,"District 23, Ballenger; Frederick County; Maryland",021,92060,24
122627.0,"District 18, Woodville; Frederick County; Maryland",021,91600,24
101791.0,"District 8, Liberty; Frederick County; Maryland",021,90684,24
88642.0,"District 20, Lewistown; Frederick County; Maryland",021,91784,24
111567.0,"District 21, Tuscarora; Frederick County; Maryland",021,91876,24
102738.0,"District 24, Braddock; Frederick County; Maryland",021,92152,24
81667.0,"District 6, Catoctin; Frederick County; Maryland",021,90500,24
74392.0,"District 19, Linganore; Frederick County; Maryland",021,91692,24
107143.0,"District 22, Burkittsville; Frederick County; Maryland",021,91968,24
87778.0,"District 26, Walkersville; Frederick County; Maryland",021,92336,24
81786.0,"District 12, Petersville; Frederick County; Maryland",021,91048,24
103205.0,"District 1, Buckeystown; Frederick County; Maryland",021,90040,24
143007.0,"District 7, Urbana; Frederick County; Maryland",021,90592,24
85444.0,"District 11, Woodsboro; Frederick County; Maryland",021,90956,24
71966.0,"District 2, Frederick; Frederick County; Maryland",021,90132,24
78047.0,"District 4, Creagerstown; Frederick County; Maryland",021,90316,24
88194.0,"District 17, Johnsville; Frederick County; Maryland",021,91508,24
74625.0,"District 25, Brunswick; Frederick County; Maryland",021,92244,24
92945.0,"District 1, Solomons Island; Calvert County; Maryland",009,90016,24
115428.0,"District 3, Sunderland; Calvert County; Maryland",009,90200,24
115746.0,"District 2, Prince Frederick; Calvert County; Maryland",009,90108,24
52317.0,"District 5, Accident; Garrett County; Maryland",023,90412,24
40087.0,"District 7, East Oakland; Garrett County; Maryland",023,90596,24
34861.0,"District 13, Kitzmiller; Garrett County; Maryland",023,91144,24
53036.0,"District 3, Grantsville; Garrett County; Maryland",023,90228,24
50391.0,"District 9, Finzel; Garrett County; Maryland",023,90780,24
53021.0,"District 12, Bittinger; Garrett County; Maryland",023,91052,24
45255.0,"District 14, West Oakland; Garrett County; Maryland",023,91236,24
53000.0,"District 15, Avilton; Garrett County; Maryland",023,91328,24
47975.0,"District 4, Bloomington; Garrett County; Maryland",023,90320,24
51591.0,"District 6, Sang Run; Garrett County; Maryland",023,90504,24
47950.0,"District 8, Red House; Garrett County; Maryland",023,90688,24
43472.0,"District 2, Friendsville; Garrett County; Maryland",023,90136,24
25156.0,"District 11, The Elbow; Garrett County; Maryland",023,90960,24
46236.0,"District 16, Mountain Lake Park; Garrett County; Maryland",023,91420,24
49682.0,"District 10, Deer Park; Garrett County; Maryland",023,90872,24
57813.0,"District 3, Worton (Betterton); Kent County; Maryland",029,90240,24
55809.0,"District 1, Swanton; Garrett County; Maryland",023,90044,24
55510.0,"District 4, Chestertown; Kent County; Maryland",029,90332,24
71286.0,"District 6, Fairlee; Kent County; Maryland",029,90516,24
53277.0,"District 5, Edesville; Kent County; Maryland",029,90424,24
61899.0,"District 1, Massey; Kent County; Maryland",029,90056,24
75083.0,"District 2, Kennedyville; Kent County; Maryland",029,90148,24
78750.0,"District 7, Pomona; Kent County; Maryland",029,90608,24
143848.0,"District 3, Montgomery County, Maryland",031,90244,24
206092.0,"District 10, Montgomery County, Maryland",031,90888,24
121556.0,"District 12, Montgomery County, Maryland",031,91068,24
109388.0,"District 2, Montgomery County, Maryland",031,90152,24
121414.0,"District 4, Montgomery County, Maryland",031,90336,24
117222.0,"District 11, Montgomery County, Maryland",031,90976,24
145224.0,"District 1, Montgomery County, Maryland",031,90060,24
165648.0,"District 6, Montgomery County, Maryland",031,90520,24
170329.0,"District 7, Montgomery County, Maryland",031,90612,24
110677.0,"District 5, Montgomery County, Maryland",031,90428,24
108289.0,"District 13, Montgomery County, Maryland",031,91160,24
148225.0,"District 8, Montgomery County, Maryland",031,90704,24
103695.0,"District 9, Montgomery County, Maryland",031,90796,24
65278.0,"District 12, Union Bridge; Carroll County; Maryland",013,91032,24
104318.0,"District 9, Franklin; Carroll County; Maryland",013,90760,24
85294.0,"District 11, New Windsor; Carroll County; Maryland",013,90940,24
83142.0,"District 3, Myers; Carroll County; Maryland",013,90208,24
82713.0,"District 6, Manchester; Carroll County; Maryland",013,90484,24
74671.0,"District 7, Westminster; Carroll County; Maryland",013,90576,24
76875.0,"District 10, Middleburg; Carroll County; Maryland",013,90852,24
81779.0,"District 8, Hampstead; Carroll County; Maryland",013,90668,24
106552.0,"District 4, Woolerys; Carroll County; Maryland",013,90300,24
110492.0,"District 5, Freedom; Carroll County; Maryland",013,90392,24
118417.0,"District 13, Mount Airy; Carroll County; Maryland",013,91124,24
73846.0,"District 1, Taneytown; Carroll County; Maryland",013,90024,24
106397.0,"District 14, Berrett; Carroll County; Maryland",013,91216,24
81047.0,"District 2, Uniontown; Carroll County; Maryland",013,90116,24
98368.0,"District 4, Kent Island; Queen Anne's County; Maryland",035,90344,24
70231.0,"District 2, Church Hill; Queen Anne's County; Maryland",035,90160,24
105000.0,"District 5, Queenstown; Queen Anne's County; Maryland",035,90436,24
65893.0,"District 1, Dixon; Queen Anne's County; Maryland",035,90068,24
107151.0,"District 3, Centreville; Queen Anne's County; Maryland",035,90252,24
59978.0,"District 7, Crumpton; Queen Anne's County; Maryland",035,90620,24
92200.0,"District 6, Ruthsburg; Queen Anne's County; Maryland",035,90528,24
101761.0,"District 2, Valley Lee; St. Mary's County; Maryland",037,90164,24
-666666666.0,"District 9, St. George Island; St. Mary's County; Maryland",037,90808,24
106088.0,"District 3, Leonardtown; St. Mary's County; Maryland",037,90256,24
97921.0,"District 5, Mechanicsville; St. Mary's County; Maryland",037,90440,24
94720.0,"District 6, Patuxent; St. Mary's County; Maryland",037,90532,24
98859.0,"District 4, Chaptico; St. Mary's County; Maryland",037,90348,24
61793.0,"District 7, Milestown; St. Mary's County; Maryland",037,90624,24
88597.0,"District 8, Bay; St. Mary's County; Maryland",037,90716,24
110125.0,"District 1, St. Inigoes; St. Mary's County; Maryland",037,90072,24
106932.0,"District 1, La Plata; Charles County; Maryland",017,90032,24
94406.0,"District 6, Waldorf; Charles County; Maryland",017,90492,24
114036.0,"District 8, Bryantown; Charles County; Maryland",017,90676,24
93500.0,"District 10, Marbury; Charles County; Maryland",017,90860,24
102984.0,"District 4, Allens Fresh; Charles County; Maryland",017,90308,24
121850.0,"District 2, Hill Top; Charles County; Maryland",017,90124,24
90503.0,"District 3, Nanjemoy; Charles County; Maryland",017,90216,24
91500.0,"District 5, Thompkinsville; Charles County; Maryland",017,90400,24
71389.0,"District 7, Pomonkey; Charles County; Maryland",017,90584,24
124097.0,"District 9, Hughesville; Charles County; Maryland",017,90768,24
57813.0,"District 16, Madison; Dorchester County; Maryland",019,91412,24
55893.0,"District 4, Taylors Island; Dorchester County; Maryland",019,90312,24
81058.0,"District 8, Neck; Dorchester County; Maryland",019,90680,24
47500.0,"District 3, Vienna; Dorchester County; Maryland",019,90220,24
55938.0,"District 6, Hoopers Island; Dorchester County; Maryland",019,90496,24
72500.0,"District 9, Church Creek; Dorchester County; Maryland",019,90772,24
64916.0,"District 12, Williamsburg; Dorchester County; Maryland",019,91044,24
51250.0,"District 13, Bucktown; Dorchester County; Maryland",019,91136,24
78083.0,"District 17, Salem; Dorchester County; Maryland",019,91504,24
