B19013H_001E,name,county,county subdivision,state
90536.0,"Enterprise township, Linn County, Missouri",115,22438,29
36875.0,"Grantsville township, Linn County, Missouri",115,28612,29
57083.0,"North Salem township, Linn County, Missouri",115,53300,29
31250.0,"Benton township, Linn County, Missouri",115,04726,29
68125.0,"Jackson township, Linn County, Missouri",115,35864,29
55521.0,"Parson Creek township, Linn County, Missouri",115,56378,29
67008.0,"Yellow Creek township, Linn County, Missouri",115,81304,29
32287.0,"Willow Springs township, Howell County, Missouri",091,80116,29
35821.0,"Benton township, Howell County, Missouri",091,04690,29
41522.0,"South Fork township, Howell County, Missouri",091,68780,29
35703.0,"Dry Creek township, Howell County, Missouri",091,20188,29
37157.0,"Howell township, Howell County, Missouri",091,33382,29
38021.0,"Sisson township, Howell County, Missouri",091,68078,29
42639.0,"Myatt township, Howell County, Missouri",091,50960,29
26978.0,"Goldsberry township, Howell County, Missouri",091,27748,29
47308.0,"Kingsville township, Johnson County, Missouri",101,38936,29
50833.0,"Rose Hill township, Johnson County, Missouri",101,63146,29
48900.0,"Warrensburg township, Johnson County, Missouri",101,77110,29
49149.0,"Washington township, Johnson County, Missouri",101,77524,29
76341.0,"Jackson township, Johnson County, Missouri",101,35846,29
69821.0,"Jefferson township, Johnson County, Missouri",101,36836,29
51429.0,"Chilhowee township, Johnson County, Missouri",101,13672,29
-666666666.0,"Simpson township, Johnson County, Missouri",101,68006,29
59706.0,"Columbus township, Johnson County, Missouri",101,15724,29
63897.0,"Grover township, Johnson County, Missouri",101,29620,29
54531.0,"Post Oak township, Johnson County, Missouri",101,59312,29
43294.0,"Madison township, Johnson County, Missouri",101,45434,29
55038.0,"Auglaize township, Laclede County, Missouri",105,02494,29
39870.0,"Lebanon township, Laclede County, Missouri",105,41186,29
62596.0,"Eldridge township, Laclede County, Missouri",105,21556,29
29615.0,"Gasconade township, Laclede County, Missouri",105,26596,29
54403.0,"Washington township, Laclede County, Missouri",105,77542,29
54427.0,"Franklin township, Laclede County, Missouri",105,25660,29
21944.0,"Chapel township, Howell County, Missouri",091,13168,29
27351.0,"Hutton Valley township, Howell County, Missouri",091,34120,29
38125.0,"Siloam Springs township, Howell County, Missouri",091,67844,29
