B19013H_001E,name,county,county subdivision,state
52182.0,"Canisteo town, Steuben County, New York",101,12265,36
53500.0,"Thurston town, Steuben County, New York",101,73836,36
52159.0,"Urbana town, Steuben County, New York",101,76496,36
46481.0,"Corning city, Steuben County, New York",101,18256,36
55433.0,"Fremont town, Steuben County, New York",101,27551,36
58566.0,"Howard town, Steuben County, New York",101,35837,36
50625.0,"Pulteney town, Steuben County, New York",101,59982,36
47885.0,"Wheeler town, Steuben County, New York",101,81457,36
49565.0,"Lindley town, Steuben County, New York",101,42576,36
44853.0,"Avoca town, Steuben County, New York",101,03342,36
74028.0,"Caton town, Steuben County, New York",101,12991,36
46016.0,"Tuscarora town, Steuben County, New York",101,75737,36
52375.0,"Troupsburg town, Steuben County, New York",101,75440,36
44545.0,"Rathbone town, Steuben County, New York",101,60653,36
55625.0,"Wayne town, Steuben County, New York",101,78883,36
42813.0,"West Union town, Steuben County, New York",101,81105,36
61058.0,"Volney town, Oswego County, New York",075,77662,36
77306.0,"Oswego town, Oswego County, New York",075,55585,36
50867.0,"Palermo town, Oswego County, New York",075,56154,36
58625.0,"Scriba town, Oswego County, New York",075,65992,36
54943.0,"Williamstown town, Oswego County, New York",075,82073,36
44527.0,"Richland town, Oswego County, New York",075,61533,36
46853.0,"Albion town, Oswego County, New York",075,01055,36
60959.0,"Mexico town, Oswego County, New York",075,46822,36
50688.0,"Redfield town, Oswego County, New York",075,60873,36
53542.0,"Orwell town, Oswego County, New York",075,55453,36
56786.0,"Parish town, Oswego County, New York",075,56352,36
50536.0,"Hannibal town, Oswego County, New York",075,32028,36
55318.0,"Laurens town, Otsego County, New York",077,41531,36
51875.0,"Decatur town, Otsego County, New York",077,19895,36
40883.0,"Oneonta city, Otsego County, New York",077,54881,36
56875.0,"Edmeston town, Otsego County, New York",077,23613,36
48800.0,"Maryland town, Otsego County, New York",077,45920,36
50703.0,"Morris town, Otsego County, New York",077,48494,36
57222.0,"Oneonta town, Otsego County, New York",077,54892,36
48964.0,"Richfield town, Otsego County, New York",077,61467,36
46042.0,"Roseboom town, Otsego County, New York",077,63638,36
44848.0,"Worcester town, Otsego County, New York",077,83129,36
49400.0,"Otego town, Otsego County, New York",077,55629,36
47500.0,"Pittsfield town, Otsego County, New York",077,58343,36
-666666666.0,"County subdivisions not defined, Wayne County, New York",117,00000,36
63607.0,"Marion town, Wayne County, New York",117,45645,36
63750.0,"Williamson town, Wayne County, New York",117,82040,36
65014.0,"Ontario town, Wayne County, New York",117,55013,36
43631.0,"Wolcott town, Wayne County, New York",117,82689,36
82016.0,"Knox town, Albany County, New York",001,40002,36
56499.0,"Albany city, Albany County, New York",001,01000,36
50309.0,"Cohoes city, Albany County, New York",001,16749,36
49505.0,"Watervliet city, Albany County, New York",001,78674,36
72269.0,"Berne town, Albany County, New York",001,06211,36
96952.0,"Bethlehem town, Albany County, New York",001,06354,36
77900.0,"Colonie town, Albany County, New York",001,17343,36
51313.0,"Green Island town, Albany County, New York",001,30532,36
79429.0,"Guilderland town, Albany County, New York",001,31104,36
55656.0,"Chautauqua town, Chautauqua County, New York",013,14069,36
55000.0,"North Harmony town, Chautauqua County, New York",013,52155,36
52058.0,"Pomfret town, Chautauqua County, New York",013,58981,36
-666666666.0,"County subdivisions not defined, Chautauqua County, New York",013,00000,36
40960.0,"Dunkirk city, Chautauqua County, New York",013,21105,36
42560.0,"Sherman town, Chautauqua County, New York",013,66960,36
44432.0,"Villenova town, Chautauqua County, New York",013,77530,36
46321.0,"Mina town, Chautauqua County, New York",013,47592,36
43854.0,"Portland town, Chautauqua County, New York",013,59421,36
43899.0,"Carroll town, Chautauqua County, New York",013,12639,36
