B19013H_001E,name,county,county subdivision,state
43500.0,"St. Petersburg borough, Clarion County, Pennsylvania",031,67384,42
37321.0,"Strattanville borough, Clarion County, Pennsylvania",031,74728,42
47847.0,"Porter township, Clarion County, Pennsylvania",031,62144,42
82448.0,"Douglass township, Montgomery County, Pennsylvania",091,19672,42
78250.0,"East Norriton township, Montgomery County, Pennsylvania",091,21600,42
84355.0,"Lower Frederick township, Montgomery County, Pennsylvania",091,44912,42
103882.0,"Lower Salford township, Montgomery County, Pennsylvania",091,45096,42
63214.0,"Rockledge borough, Montgomery County, Pennsylvania",091,65568,42
93153.0,"Springfield township, Montgomery County, Pennsylvania",091,73088,42
81801.0,"Towamencin township, Montgomery County, Pennsylvania",091,77152,42
52031.0,"Manchester township, Wayne County, Pennsylvania",127,46856,42
58571.0,"Dyberry township, Wayne County, Pennsylvania",127,20576,42
60110.0,"Paupack township, Wayne County, Pennsylvania",127,58480,42
51042.0,"Prompton borough, Wayne County, Pennsylvania",127,62744,42
66094.0,"South Canaan township, Wayne County, Pennsylvania",127,72024,42
53250.0,"Buckingham township, Wayne County, Pennsylvania",127,09824,42
32434.0,"Hawley borough, Wayne County, Pennsylvania",127,33200,42
50474.0,"Mount Pleasant township, Wayne County, Pennsylvania",127,51872,42
62431.0,"Starrucca borough, Wayne County, Pennsylvania",127,73784,42
49868.0,"Waymart borough, Wayne County, Pennsylvania",127,81712,42
51154.0,"Cherry Ridge township, Wayne County, Pennsylvania",127,13096,42
51136.0,"Lebanon township, Wayne County, Pennsylvania",127,42176,42
45469.0,"Oregon township, Wayne County, Pennsylvania",127,57000,42
52174.0,"Preston township, Wayne County, Pennsylvania",127,62600,42
44734.0,"Salem township, Wayne County, Pennsylvania",127,67488,42
66518.0,"Damascus township, Wayne County, Pennsylvania",127,18104,42
51316.0,"Canaan township, Wayne County, Pennsylvania",127,11056,42
28299.0,"Honesdale borough, Wayne County, Pennsylvania",127,35520,42
48000.0,"Bethany borough, Wayne County, Pennsylvania",127,05976,42
60435.0,"Texas township, Wayne County, Pennsylvania",127,76424,42
57857.0,"Palmyra township, Wayne County, Pennsylvania",127,57736,42
32000.0,"Pleasantville borough, Bedford County, Pennsylvania",009,61496,42
43792.0,"Bedford borough, Bedford County, Pennsylvania",009,04944,42
50417.0,"Lincoln township, Bedford County, Pennsylvania",009,43416,42
42292.0,"Mann township, Bedford County, Pennsylvania",009,46928,42
50357.0,"South Woodbury township, Bedford County, Pennsylvania",009,72656,42
51719.0,"Woodbury township, Bedford County, Pennsylvania",009,86136,42
41250.0,"Hyndman borough, Bedford County, Pennsylvania",009,36640,42
50452.0,"East St. Clair township, Bedford County, Pennsylvania",009,21788,42
38438.0,"Saxton borough, Bedford County, Pennsylvania",009,68072,42
77623.0,"East Hanover township, Dauphin County, Pennsylvania",043,21208,42
43424.0,"Highspire borough, Dauphin County, Pennsylvania",043,34664,42
53750.0,"Pillow borough, Dauphin County, Pennsylvania",043,60264,42
44779.0,"Wiconisco township, Dauphin County, Pennsylvania",043,84976,42
52232.0,"Berrysburg borough, Dauphin County, Pennsylvania",043,05856,42
64624.0,"Lower Swatara township, Dauphin County, Pennsylvania",043,45120,42
58343.0,"Hummelstown borough, Dauphin County, Pennsylvania",043,36232,42
47155.0,"Millersburg borough, Dauphin County, Pennsylvania",043,49680,42
73500.0,"Dauphin borough, Dauphin County, Pennsylvania",043,18272,42
76198.0,"Jackson township, Dauphin County, Pennsylvania",043,37368,42
72361.0,"Wayne township, Dauphin County, Pennsylvania",043,81744,42
65625.0,"Reed township, Dauphin County, Pennsylvania",043,63928,42
58077.0,"Mifflin township, Dauphin County, Pennsylvania",043,49264,42
45224.0,"Elizabethville borough, Dauphin County, Pennsylvania",043,23024,42
58750.0,"Barree township, Huntingdon County, Pennsylvania",061,04288,42
50750.0,"Dudley borough, Huntingdon County, Pennsylvania",061,20152,42
43125.0,"Hopewell township, Huntingdon County, Pennsylvania",061,35688,42
35833.0,"Marklesburg borough, Huntingdon County, Pennsylvania",061,47544,42
48750.0,"Springfield township, Huntingdon County, Pennsylvania",061,73072,42
55703.0,"Porter township, Huntingdon County, Pennsylvania",061,62160,42
62206.0,"Warriors Mark township, Huntingdon County, Pennsylvania",061,81104,42
68750.0,"Franklin township, Huntingdon County, Pennsylvania",061,27416,42
47344.0,"Ernest borough, Indiana County, Pennsylvania",063,24040,42
45724.0,"Blairsville borough, Indiana County, Pennsylvania",063,06904,42
53438.0,"Cherryhill township, Indiana County, Pennsylvania",063,13072,42
44176.0,"Burrell township, Indiana County, Pennsylvania",063,10352,42
