B19013H_001E,name,county,county subdivision,state
-666666666.0,"Dog Ear township, Tripp County, South Dakota",123,16780,46
-666666666.0,"Lake township, Tripp County, South Dakota",123,35060,46
28750.0,"Wilson township, Tripp County, South Dakota",123,72060,46
54348.0,"Winner city, Tripp County, South Dakota",123,72180,46
-666666666.0,"Elliston township, Tripp County, South Dakota",123,18860,46
-666666666.0,"Jordan township, Tripp County, South Dakota",123,32980,46
-666666666.0,"Lamro township, Tripp County, South Dakota",123,35700,46
-666666666.0,"Carter township, Tripp County, South Dakota",123,10180,46
-666666666.0,"Huggins township, Tripp County, South Dakota",123,30820,46
-666666666.0,"Lone Star township, Tripp County, South Dakota",123,38580,46
-666666666.0,"Banner township, Tripp County, South Dakota",123,03620,46
-666666666.0,"Beaver Creek township, Tripp County, South Dakota",123,04140,46
-666666666.0,"Brunson township, Tripp County, South Dakota",123,07900,46
-666666666.0,"Curlew township, Tripp County, South Dakota",123,15020,46
-666666666.0,"Gassman UT, Tripp County, South Dakota",123,23880,46
39474.0,"Colome city, Tripp County, South Dakota",123,13300,46
41667.0,"Colome township, Tripp County, South Dakota",123,13340,46
-666666666.0,"Rosedale township, Tripp County, South Dakota",123,56100,46
111250.0,"Star Prairie township, Tripp County, South Dakota",123,61380,46
62955.0,"Pleasant Valley township, Tripp County, South Dakota",123,50980,46
250001.0,"Rames township, Tripp County, South Dakota",123,52820,46
-666666666.0,"Greenwood township, Tripp County, South Dakota",123,26140,46
-666666666.0,"Bull Creek township, Tripp County, South Dakota",123,08420,46
60938.0,"New Witten town, Tripp County, South Dakota",123,45100,46
-666666666.0,"Roseland township, Tripp County, South Dakota",123,56260,46
-666666666.0,"Star Valley township, Tripp County, South Dakota",123,61500,46
-666666666.0,"Taylor township, Tripp County, South Dakota",123,63060,46
49219.0,"Stewart township, Tripp County, South Dakota",123,61660,46
-666666666.0,"Valley township, Tripp County, South Dakota",123,66220,46
-666666666.0,"Willow Creek township, Tripp County, South Dakota",123,71860,46
-666666666.0,"Holsclaw township, Tripp County, South Dakota",123,29780,46
-666666666.0,"Keyapaha township, Tripp County, South Dakota",123,33780,46
-666666666.0,"Witten township, Tripp County, South Dakota",123,72380,46
-666666666.0,"Wortman township, Tripp County, South Dakota",123,72860,46
-666666666.0,"Wright township, Tripp County, South Dakota",123,72940,46
-666666666.0,"Plainview township, Tripp County, South Dakota",123,49940,46
-666666666.0,"Black township, Tripp County, South Dakota",123,05700,46
-666666666.0,"Lincoln township, Tripp County, South Dakota",123,37700,46
-666666666.0,"Condon township, Tripp County, South Dakota",123,13780,46
-666666666.0,"Sully township, Tripp County, South Dakota",123,62140,46
58750.0,"Interior town, Jackson County, South Dakota",071,31620,46
53190.0,"Kadoka city, Jackson County, South Dakota",071,33180,46
-666666666.0,"Grandview II township, Jackson County, South Dakota",071,25520,46
-666666666.0,"Weta township, Jackson County, South Dakota",071,70700,46
-666666666.0,"Northwest Jackson UT, Jackson County, South Dakota",071,45800,46
-666666666.0,"Belvidere town, Jackson County, South Dakota",071,04620,46
-666666666.0,"Cottonwood town, Jackson County, South Dakota",071,14220,46
-666666666.0,"Interior township, Jackson County, South Dakota",071,31660,46
-666666666.0,"Jewett township, Jackson County, South Dakota",071,32780,46
40833.0,"Southwest Jackson UT, Jackson County, South Dakota",071,59962,46
