B25105_001E,name,county,county subdivision,state
1057.0,"Lower Christiana CCD, New Castle County, Delaware",003,91924,10
1747.0,"Piedmont CCD, New Castle County, Delaware",003,92960,10
993.0,"Wilmington CCD, New Castle County, Delaware",003,93996,10
1446.0,"Red Lion CCD, New Castle County, Delaware",003,93256,10
1264.0,"Upper Christiana CCD, New Castle County, Delaware",003,93848,10
1209.0,"Brandywine CCD, New Castle County, Delaware",003,90148,10
1524.0,"Middletown-Odessa CCD, New Castle County, Delaware",003,92072,10
1232.0,"Pike Creek-Central Kirkwood CCD, New Castle County, Delaware",003,93108,10
886.0,"Laurel-Delmar CCD, Sussex County, Delaware",005,91628,10
1068.0,"Milton CCD, Sussex County, Delaware",005,92664,10
1163.0,"New Castle CCD, New Castle County, Delaware",003,92812,10
890.0,"Bridgeville-Greenwood CCD, Sussex County, Delaware",005,90296,10
1110.0,"Lewes CCD, Sussex County, Delaware",005,91776,10
946.0,"Millsboro CCD, Sussex County, Delaware",005,92516,10
862.0,"Seaford CCD, Sussex County, Delaware",005,93404,10
1051.0,"Milford South CCD, Sussex County, Delaware",005,92368,10
840.0,"Georgetown CCD, Sussex County, Delaware",005,91036,10
1101.0,"Kenton CCD, Kent County, Delaware",001,91480,10
859.0,"Milford North CCD, Kent County, Delaware",001,92220,10
1073.0,"Harrington CCD, Kent County, Delaware",001,91332,10
904.0,"Felton CCD, Kent County, Delaware",001,90888,10
1087.0,"Dover CCD, Kent County, Delaware",001,90740,10
1122.0,"Central Kent CCD, Kent County, Delaware",001,90444,10
1248.0,"Smyrna CCD, Kent County, Delaware",001,93700,10
1147.0,"Newark CCD, New Castle County, Delaware",003,92738,10
1503.0,"Glasgow CCD, New Castle County, Delaware",003,91110,10
974.0,"Selbyville-Frankford CCD, Sussex County, Delaware",005,93552,10
