B25105_001E,name,county,county subdivision,state
-666666666.0,"County subdivisions not defined, Alcona County, Michigan",001,00000,26
584.0,"Alcona township, Alcona County, Michigan",001,01040,26
678.0,"Caledonia township, Alcona County, Michigan",001,12460,26
509.0,"Curtis township, Alcona County, Michigan",001,19320,26
544.0,"Greenbush township, Alcona County, Michigan",001,34820,26
549.0,"Gustin township, Alcona County, Michigan",001,35740,26
453.0,"Harrisville city, Alcona County, Michigan",001,36860,26
663.0,"Harrisville township, Alcona County, Michigan",001,36880,26
619.0,"Hawes township, Alcona County, Michigan",001,37220,26
731.0,"Haynes township, Alcona County, Michigan",001,37380,26
524.0,"Mikado township, Alcona County, Michigan",001,53880,26
573.0,"Millen township, Alcona County, Michigan",001,54060,26
600.0,"Mitchell township, Alcona County, Michigan",001,54740,26
-666666666.0,"County subdivisions not defined, Alger County, Michigan",003,00000,26
619.0,"Au Train township, Alger County, Michigan",003,04460,26
605.0,"Burt township, Alger County, Michigan",003,11960,26
1375.0,"Grand Island township, Alger County, Michigan",003,33380,26
663.0,"Limestone township, Alger County, Michigan",003,47540,26
422.0,"Mathias township, Alger County, Michigan",003,52360,26
593.0,"Munising city, Alger County, Michigan",003,56200,26
578.0,"Munising township, Alger County, Michigan",003,56220,26
721.0,"Onota township, Alger County, Michigan",003,60820,26
742.0,"Rock River township, Alger County, Michigan",003,69160,26
-666666666.0,"County subdivisions not defined, Allegan County, Michigan",005,00000,26
751.0,"Allegan city, Allegan County, Michigan",005,01260,26
813.0,"Allegan township, Allegan County, Michigan",005,01280,26
854.0,"Casco township, Allegan County, Michigan",005,13700,26
619.0,"Cheshire township, Allegan County, Michigan",005,15200,26
710.0,"Clyde township, Allegan County, Michigan",005,16720,26
1019.0,"Dorr township, Allegan County, Michigan",005,22680,26
883.0,"Douglas city, Allegan County, Michigan",005,22740,26
743.0,"Fennville city, Allegan County, Michigan",005,27740,26
862.0,"Fillmore township, Allegan County, Michigan",005,28120,26
813.0,"Ganges township, Allegan County, Michigan",005,31360,26
929.0,"Gun Plain township, Allegan County, Michigan",005,35720,26
1075.0,"Heath township, Allegan County, Michigan",005,37460,26
785.0,"Holland city, Allegan County, Michigan",005,38640,26
818.0,"Hopkins township, Allegan County, Michigan",005,39200,26
914.0,"Laketown township, Allegan County, Michigan",005,45180,26
637.0,"Lee township, Allegan County, Michigan",005,46600,26
1082.0,"Leighton township, Allegan County, Michigan",005,46760,26
1056.0,"Manlius township, Allegan County, Michigan",005,50840,26
817.0,"Martin township, Allegan County, Michigan",005,52000,26
1022.0,"Monterey township, Allegan County, Michigan",005,55200,26
661.0,"Otsego city, Allegan County, Michigan",005,61620,26
815.0,"Otsego township, Allegan County, Michigan",005,61640,26
968.0,"Overisel township, Allegan County, Michigan",005,61820,26
756.0,"Plainwell city, Allegan County, Michigan",005,64740,26
910.0,"Salem township, Allegan County, Michigan",005,71100,26
985.0,"Saugatuck city, Allegan County, Michigan",005,71700,26
810.0,"Saugatuck township, Allegan County, Michigan",005,71720,26
-666666666.0,"South Haven city, Allegan County, Michigan",005,74980,26
677.0,"Trowbridge township, Allegan County, Michigan",005,80620,26
857.0,"Valley township, Allegan County, Michigan",005,81580,26
825.0,"Watson township, Allegan County, Michigan",005,84580,26
813.0,"Wayland city, Allegan County, Michigan",005,84880,26
933.0,"Wayland township, Allegan County, Michigan",005,84900,26
-666666666.0,"County subdivisions not defined, Alpena County, Michigan",007,00000,26
611.0,"Alpena city, Alpena County, Michigan",007,01740,26
640.0,"Alpena township, Alpena County, Michigan",007,01760,26
701.0,"Green township, Alpena County, Michigan",007,34740,26
717.0,"Long Rapids township, Alpena County, Michigan",007,49360,26
599.0,"Maple Ridge township, Alpena County, Michigan",007,51220,26
668.0,"Ossineke township, Alpena County, Michigan",007,61520,26
613.0,"Sanborn township, Alpena County, Michigan",007,71240,26
631.0,"Wellington township, Alpena County, Michigan",007,85180,26
674.0,"Wilson township, Alpena County, Michigan",007,87680,26
-666666666.0,"County subdivisions not defined, Antrim County, Michigan",009,00000,26
802.0,"Banks township, Antrim County, Michigan",009,05240,26
724.0,"Central Lake township, Antrim County, Michigan",009,14420,26
890.0,"Chestonia township, Antrim County, Michigan",009,15380,26
832.0,"Custer township, Antrim County, Michigan",009,19400,26
665.0,"Echo township, Antrim County, Michigan",009,24640,26
919.0,"Elk Rapids township, Antrim County, Michigan",009,25340,26
863.0,"Forest Home township, Antrim County, Michigan",009,29600,26
871.0,"Helena township, Antrim County, Michigan",009,37500,26
773.0,"Jordan township, Antrim County, Michigan",009,41960,26
913.0,"Kearney township, Antrim County, Michigan",009,42400,26
677.0,"Mancelona township, Antrim County, Michigan",009,50640,26
914.0,"Milton township, Antrim County, Michigan",009,54440,26
732.0,"Star township, Antrim County, Michigan",009,76260,26
1036.0,"Torch Lake township, Antrim County, Michigan",009,80100,26
700.0,"Warner township, Antrim County, Michigan",009,83300,26
-666666666.0,"County subdivisions not defined, Arenac County, Michigan",011,00000,26
850.0,"Adams township, Arenac County, Michigan",011,00280,26
563.0,"Arenac township, Arenac County, Michigan",011,03360,26
556.0,"Au Gres city, Arenac County, Michigan",011,04120,26
610.0,"Au Gres township, Arenac County, Michigan",011,04140,26
575.0,"Clayton township, Arenac County, Michigan",011,16240,26
613.0,"Deep River township, Arenac County, Michigan",011,21120,26
683.0,"Lincoln township, Arenac County, Michigan",011,47580,26
661.0,"Mason township, Arenac County, Michigan",011,52120,26
636.0,"Moffatt township, Arenac County, Michigan",011,54800,26
644.0,"Omer city, Arenac County, Michigan",011,60660,26
631.0,"Sims township, Arenac County, Michigan",011,74020,26
527.0,"Standish city, Arenac County, Michigan",011,76120,26
645.0,"Standish township, Arenac County, Michigan",011,76140,26
673.0,"Turner township, Arenac County, Michigan",011,80840,26
555.0,"Whitney township, Arenac County, Michigan",011,87080,26
-666666666.0,"County subdivisions not defined, Baraga County, Michigan",013,00000,26
581.0,"Arvon township, Baraga County, Michigan",013,03660,26
612.0,"Baraga township, Baraga County, Michigan",013,05340,26
442.0,"Covington township, Baraga County, Michigan",013,18600,26
534.0,"L'Anse township, Baraga County, Michigan",013,45560,26
654.0,"Spurr township, Baraga County, Michigan",013,76000,26
913.0,"Assyria township, Barry County, Michigan",015,03860,26
716.0,"Baltimore township, Barry County, Michigan",015,05020,26
814.0,"Barry township, Barry County, Michigan",015,05560,26
845.0,"Carlton township, Barry County, Michigan",015,13340,26
745.0,"Castleton township, Barry County, Michigan",015,13960,26
806.0,"Hastings city, Barry County, Michigan",015,37120,26
787.0,"Hastings charter township, Barry County, Michigan",015,37140,26
900.0,"Hope township, Barry County, Michigan",015,39120,26
1044.0,"Irving township, Barry County, Michigan",015,41120,26
845.0,"Johnstown township, Barry County, Michigan",015,41860,26
964.0,"Maple Grove township, Barry County, Michigan",015,50960,26
808.0,"Orangeville township, Barry County, Michigan",015,60980,26
1056.0,"Prairieville township, Barry County, Michigan",015,66260,26
718.0,"Rutland charter township, Barry County, Michigan",015,70420,26
972.0,"Thornapple township, Barry County, Michigan",015,79620,26
907.0,"Woodland township, Barry County, Michigan",015,88440,26
1003.0,"Yankee Springs township, Barry County, Michigan",015,89020,26
-666666666.0,"County subdivisions not defined, Bay County, Michigan",017,00000,26
729.0,"Auburn city, Bay County, Michigan",017,04080,26
686.0,"Bangor charter township, Bay County, Michigan",017,05120,26
672.0,"Bay City city, Bay County, Michigan",017,06020,26
962.0,"Beaver township, Bay County, Michigan",017,06540,26
805.0,"Essexville city, Bay County, Michigan",017,26420,26
944.0,"Frankenlust township, Bay County, Michigan",017,30180,26
718.0,"Fraser township, Bay County, Michigan",017,30400,26
853.0,"Garfield township, Bay County, Michigan",017,31540,26
751.0,"Gibson township, Bay County, Michigan",017,32040,26
643.0,"Hampton charter township, Bay County, Michigan",017,36260,26
661.0,"Kawkawlin township, Bay County, Michigan",017,42360,26
857.0,"Merritt township, Bay County, Michigan",017,53220,26
432.0,"Midland city, Bay County, Michigan",017,53780,26
657.0,"Monitor charter township, Bay County, Michigan",017,54980,26
793.0,"Mount Forest township, Bay County, Michigan",017,55920,26
598.0,"Pinconning city, Bay County, Michigan",017,64160,26
716.0,"Pinconning township, Bay County, Michigan",017,64180,26
636.0,"Portsmouth charter township, Bay County, Michigan",017,65980,26
947.0,"Williams charter township, Bay County, Michigan",017,87380,26
-666666666.0,"County subdivisions not defined, Benzie County, Michigan",019,00000,26
967.0,"Almira township, Benzie County, Michigan",019,01640,26
724.0,"Benzonia township, Benzie County, Michigan",019,07600,26
647.0,"Blaine township, Benzie County, Michigan",019,08840,26
693.0,"Colfax township, Benzie County, Michigan",019,17120,26
643.0,"Crystal Lake township, Benzie County, Michigan",019,19180,26
648.0,"Frankfort city, Benzie County, Michigan",019,30260,26
811.0,"Gilmore township, Benzie County, Michigan",019,32180,26
793.0,"Homestead township, Benzie County, Michigan",019,39000,26
969.0,"Inland township, Benzie County, Michigan",019,40700,26
650.0,"Joyfield township, Benzie County, Michigan",019,42000,26
850.0,"Lake township, Benzie County, Michigan",019,44240,26
800.0,"Platte township, Benzie County, Michigan",019,64760,26
756.0,"Weldon township, Benzie County, Michigan",019,85160,26
-666666666.0,"County subdivisions not defined, Berrien County, Michigan",021,00000,26
815.0,"Bainbridge township, Berrien County, Michigan",021,04840,26
804.0,"Baroda township, Berrien County, Michigan",021,05520,26
670.0,"Benton charter township, Berrien County, Michigan",021,07400,26
654.0,"Benton Harbor city, Berrien County, Michigan",021,07520,26
914.0,"Berrien township, Berrien County, Michigan",021,07820,26
901.0,"Bertrand township, Berrien County, Michigan",021,07920,26
900.0,"Bridgman city, Berrien County, Michigan",021,10580,26
676.0,"Buchanan city, Berrien County, Michigan",021,11400,26
780.0,"Buchanan township, Berrien County, Michigan",021,11420,26
808.0,"Chikaming township, Berrien County, Michigan",021,15480,26
790.0,"Coloma city, Berrien County, Michigan",021,17320,26
788.0,"Coloma charter township, Berrien County, Michigan",021,17340,26
711.0,"Galien township, Berrien County, Michigan",021,31320,26
753.0,"Hagar township, Berrien County, Michigan",021,35860,26
790.0,"Lake charter township, Berrien County, Michigan",021,44260,26
955.0,"Lincoln charter township, Berrien County, Michigan",021,47600,26
847.0,"New Buffalo city, Berrien County, Michigan",021,57220,26
1095.0,"New Buffalo township, Berrien County, Michigan",021,57230,26
679.0,"Niles city, Berrien County, Michigan",021,57760,26
700.0,"Niles township, Berrien County, Michigan",021,57780,26
746.0,"Oronoko charter township, Berrien County, Michigan",021,61180,26
806.0,"Pipestone township, Berrien County, Michigan",021,64480,26
975.0,"Royalton township, Berrien County, Michigan",021,70100,26
834.0,"St. Joseph city, Berrien County, Michigan",021,70960,26
955.0,"St. Joseph charter township, Berrien County, Michigan",021,70980,26
613.0,"Sodus township, Berrien County, Michigan",021,74440,26
795.0,"Three Oaks township, Berrien County, Michigan",021,79740,26
768.0,"Watervliet city, Berrien County, Michigan",021,84500,26
641.0,"Watervliet township, Berrien County, Michigan",021,84520,26
651.0,"Weesaw township, Berrien County, Michigan",021,85120,26
784.0,"Algansee township, Branch County, Michigan",023,01120,26
731.0,"Batavia township, Branch County, Michigan",023,05800,26
768.0,"Bethel township, Branch County, Michigan",023,08060,26
720.0,"Bronson city, Branch County, Michigan",023,10860,26
827.0,"Bronson township, Branch County, Michigan",023,10880,26
810.0,"Butler township, Branch County, Michigan",023,12140,26
589.0,"California township, Branch County, Michigan",023,12560,26
715.0,"Coldwater city, Branch County, Michigan",023,17020,26
771.0,"Coldwater township, Branch County, Michigan",023,17040,26
819.0,"Gilead township, Branch County, Michigan",023,32120,26
809.0,"Girard township, Branch County, Michigan",023,32280,26
910.0,"Kinderhook township, Branch County, Michigan",023,43260,26
672.0,"Matteson township, Branch County, Michigan",023,52400,26
780.0,"Noble township, Branch County, Michigan",023,57860,26
867.0,"Ovid township, Branch County, Michigan",023,61840,26
783.0,"Quincy township, Branch County, Michigan",023,66660,26
624.0,"Sherwood township, Branch County, Michigan",023,73440,26
646.0,"Union township, Branch County, Michigan",023,81280,26
617.0,"Albion city, Calhoun County, Michigan",025,00980,26
779.0,"Albion township, Calhoun County, Michigan",025,01000,26
774.0,"Athens township, Calhoun County, Michigan",025,03900,26
723.0,"Battle Creek city, Calhoun County, Michigan",025,05920,26
775.0,"Bedford charter township, Calhoun County, Michigan",025,06720,26
712.0,"Burlington township, Calhoun County, Michigan",025,11820,26
763.0,"Clarence township, Calhoun County, Michigan",025,15960,26
724.0,"Clarendon township, Calhoun County, Michigan",025,16020,26
745.0,"Convis township, Calhoun County, Michigan",025,17880,26
957.0,"Eckford township, Calhoun County, Michigan",025,24700,26
830.0,"Emmett charter township, Calhoun County, Michigan",025,25935,26
793.0,"Fredonia township, Calhoun County, Michigan",025,30500,26
681.0,"Homer township, Calhoun County, Michigan",025,38940,26
874.0,"Lee township, Calhoun County, Michigan",025,46620,26
899.0,"Leroy township, Calhoun County, Michigan",025,47060,26
790.0,"Marengo township, Calhoun County, Michigan",025,51520,26
794.0,"Marshall city, Calhoun County, Michigan",025,51940,26
1022.0,"Marshall township, Calhoun County, Michigan",025,51960,26
1127.0,"Newton township, Calhoun County, Michigan",025,57620,26
759.0,"Pennfield charter township, Calhoun County, Michigan",025,63440,26
599.0,"Sheridan township, Calhoun County, Michigan",025,72980,26
613.0,"Springfield city, Calhoun County, Michigan",025,75700,26
686.0,"Tekonsha township, Calhoun County, Michigan",025,79180,26
751.0,"Calvin township, Cass County, Michigan",027,12620,26
615.0,"Dowagiac city, Cass County, Michigan",027,22880,26
713.0,"Howard township, Cass County, Michigan",027,39480,26
885.0,"Jefferson township, Cass County, Michigan",027,41600,26
749.0,"LaGrange township, Cass County, Michigan",027,44140,26
829.0,"Marcellus township, Cass County, Michigan",027,51480,26
747.0,"Mason township, Cass County, Michigan",027,52140,26
1037.0,"Milton township, Cass County, Michigan",027,54460,26
800.0,"Newberg township, Cass County, Michigan",027,57120,26
-666666666.0,"Niles city, Cass County, Michigan",027,57760,26
821.0,"Ontwa township, Cass County, Michigan",027,60900,26
821.0,"Penn township, Cass County, Michigan",027,63380,26
735.0,"Pokagon township, Cass County, Michigan",027,65300,26
868.0,"Porter township, Cass County, Michigan",027,65720,26
855.0,"Silver Creek township, Cass County, Michigan",027,73940,26
775.0,"Volinia township, Cass County, Michigan",027,82580,26
609.0,"Wayne township, Cass County, Michigan",027,84920,26
-666666666.0,"County subdivisions not defined, Charlevoix County, Michigan",029,00000,26
957.0,"Bay township, Charlevoix County, Michigan",029,06000,26
803.0,"Boyne City city, Charlevoix County, Michigan",029,09820,26
805.0,"Boyne Valley township, Charlevoix County, Michigan",029,09860,26
646.0,"Chandler township, Charlevoix County, Michigan",029,14560,26
709.0,"Charlevoix city, Charlevoix County, Michigan",029,14780,26
807.0,"Charlevoix township, Charlevoix County, Michigan",029,14800,26
612.0,"East Jordan city, Charlevoix County, Michigan",029,24020,26
958.0,"Evangeline township, Charlevoix County, Michigan",029,26580,26
1082.0,"Eveline township, Charlevoix County, Michigan",029,26680,26
938.0,"Hayes township, Charlevoix County, Michigan",029,37320,26
594.0,"Hudson township, Charlevoix County, Michigan",029,39700,26
889.0,"Marion township, Charlevoix County, Michigan",029,51620,26
910.0,"Melrose township, Charlevoix County, Michigan",029,52880,26
887.0,"Norwood township, Charlevoix County, Michigan",029,59340,26
621.0,"Peaine township, Charlevoix County, Michigan",029,63140,26
834.0,"St. James township, Charlevoix County, Michigan",029,70920,26
792.0,"South Arm township, Charlevoix County, Michigan",029,74680,26
773.0,"Wilson township, Charlevoix County, Michigan",029,87700,26
-666666666.0,"County subdivisions not defined, Cheboygan County, Michigan",031,00000,26
625.0,"Aloha township, Cheboygan County, Michigan",031,01720,26
546.0,"Beaugrand township, Cheboygan County, Michigan",031,06500,26
692.0,"Benton township, Cheboygan County, Michigan",031,07420,26
831.0,"Burt township, Cheboygan County, Michigan",031,11980,26
589.0,"Cheboygan city, Cheboygan County, Michigan",031,15000,26
686.0,"Ellis township, Cheboygan County, Michigan",031,25400,26
490.0,"Forest township, Cheboygan County, Michigan",031,29400,26
543.0,"Grant township, Cheboygan County, Michigan",031,34200,26
883.0,"Hebron township, Cheboygan County, Michigan",031,37480,26
711.0,"Inverness township, Cheboygan County, Michigan",031,40820,26
676.0,"Koehler township, Cheboygan County, Michigan",031,43820,26
572.0,"Mackinaw township, Cheboygan County, Michigan",031,50300,26
714.0,"Mentor township, Cheboygan County, Michigan",031,53100,26
658.0,"Mullett township, Cheboygan County, Michigan",031,56100,26
678.0,"Munro township, Cheboygan County, Michigan",031,56280,26
660.0,"Nunda township, Cheboygan County, Michigan",031,59500,26
673.0,"Tuscarora township, Cheboygan County, Michigan",031,80880,26
545.0,"Walker township, Cheboygan County, Michigan",031,82940,26
597.0,"Waverly township, Cheboygan County, Michigan",031,84760,26
549.0,"Wilmot township, Cheboygan County, Michigan",031,87640,26
-666666666.0,"County subdivisions not defined, Chippewa County, Michigan",033,00000,26
586.0,"Bay Mills township, Chippewa County, Michigan",033,06070,26
769.0,"Bruce township, Chippewa County, Michigan",033,11280,26
688.0,"Chippewa township, Chippewa County, Michigan",033,15560,26
768.0,"Dafter township, Chippewa County, Michigan",033,19540,26
490.0,"Detour township, Chippewa County, Michigan",033,21770,26
584.0,"Drummond township, Chippewa County, Michigan",033,23080,26
571.0,"Hulbert township, Chippewa County, Michigan",033,39860,26
656.0,"Kinross charter township, Chippewa County, Michigan",033,43480,26
735.0,"Pickford township, Chippewa County, Michigan",033,63980,26
550.0,"Raber township, Chippewa County, Michigan",033,66760,26
625.0,"Rudyard township, Chippewa County, Michigan",033,70220,26
666.0,"Sault Ste. Marie city, Chippewa County, Michigan",033,71740,26
821.0,"Soo township, Chippewa County, Michigan",033,74620,26
568.0,"Sugar Island township, Chippewa County, Michigan",033,77020,26
691.0,"Superior township, Chippewa County, Michigan",033,77540,26
545.0,"Trout Lake township, Chippewa County, Michigan",033,80600,26
432.0,"Whitefish township, Chippewa County, Michigan",033,86700,26
658.0,"Arthur township, Clare County, Michigan",035,03620,26
629.0,"Clare city, Clare County, Michigan",035,15920,26
507.0,"Franklin township, Clare County, Michigan",035,30280,26
594.0,"Freeman township, Clare County, Michigan",035,30560,26
601.0,"Frost township, Clare County, Michigan",035,30900,26
