B25105_001E,name,county,county subdivision,state
917.0,"Onamia township, Mille Lacs County, Minnesota",095,48328,27
1261.0,"Page township, Mille Lacs County, Minnesota",095,49480,27
684.0,"Kathio township, Mille Lacs County, Minnesota",095,32516,27
1171.0,"Princeton township, Mille Lacs County, Minnesota",095,52540,27
783.0,"Dailey township, Mille Lacs County, Minnesota",095,14500,27
821.0,"East Side township, Mille Lacs County, Minnesota",095,17810,27
1207.0,"Greenbush township, Mille Lacs County, Minnesota",095,25586,27
782.0,"Princeton city, Mille Lacs County, Minnesota",095,52522,27
928.0,"Emmet township, Renville County, Minnesota",129,19322,27
675.0,"Ericson township, Renville County, Minnesota",129,19628,27
950.0,"Norfolk township, Renville County, Minnesota",129,46600,27
875.0,"Crooks township, Renville County, Minnesota",129,13852,27
-666666666.0,"Redwood Falls city, Renville County, Minnesota",129,53656,27
1019.0,"Bandon township, Renville County, Minnesota",129,03484,27
443.0,"Bird Island city, Renville County, Minnesota",129,06076,27
800.0,"Brookfield township, Renville County, Minnesota",129,07912,27
487.0,"Franklin city, Renville County, Minnesota",129,22364,27
678.0,"Henryville township, Renville County, Minnesota",129,28610,27
722.0,"Melville township, Renville County, Minnesota",129,41624,27
800.0,"Palmyra township, Renville County, Minnesota",129,49606,27
525.0,"Preston Lake township, Renville County, Minnesota",129,52486,27
975.0,"Wang township, Renville County, Minnesota",129,68026,27
836.0,"Winfield township, Renville County, Minnesota",129,70852,27
750.0,"Birch Cooley township, Renville County, Minnesota",129,05968,27
700.0,"Buffalo Lake city, Renville County, Minnesota",129,08488,27
517.0,"Martinsburg township, Renville County, Minnesota",129,40832,27
906.0,"Eckles township, Beltrami County, Minnesota",007,17954,27
593.0,"Olivia city, Renville County, Minnesota",129,48256,27
738.0,"Beaver Falls township, Renville County, Minnesota",129,04546,27
584.0,"Cairo township, Renville County, Minnesota",129,09208,27
645.0,"Camp township, Renville County, Minnesota",129,09478,27
690.0,"Danube city, Renville County, Minnesota",129,14716,27
751.0,"Hector city, Renville County, Minnesota",129,28124,27
538.0,"Midway township, Cottonwood County, Minnesota",033,42002,27
614.0,"Carson township, Cottonwood County, Minnesota",033,10108,27
654.0,"Germantown township, Cottonwood County, Minnesota",033,23570,27
857.0,"Great Bend township, Cottonwood County, Minnesota",033,25514,27
475.0,"Springfield township, Cottonwood County, Minnesota",033,61834,27
638.0,"Amo township, Cottonwood County, Minnesota",033,01441,27
550.0,"Bingham Lake city, Cottonwood County, Minnesota",033,05896,27
705.0,"Lakeside township, Cottonwood County, Minnesota",033,35000,27
833.0,"Ann township, Cottonwood County, Minnesota",033,01666,27
509.0,"Jeffers city, Cottonwood County, Minnesota",033,31796,27
642.0,"Amboy township, Cottonwood County, Minnesota",033,01342,27
1063.0,"Medo township, Blue Earth County, Minnesota",013,41498,27
939.0,"Pemberton city, Blue Earth County, Minnesota",013,50200,27
1053.0,"Skyline city, Blue Earth County, Minnesota",013,60754,27
563.0,"Pleasant Mound township, Blue Earth County, Minnesota",013,51604,27
890.0,"St. Clair city, Blue Earth County, Minnesota",013,56824,27
967.0,"Butternut Valley township, Blue Earth County, Minnesota",013,09046,27
1090.0,"Eagle Lake city, Blue Earth County, Minnesota",013,17378,27
817.0,"Lake Crystal city, Blue Earth County, Minnesota",013,34190,27
880.0,"Mapleton township, Blue Earth County, Minnesota",013,40328,27
-666666666.0,"Minnesota Lake city, Blue Earth County, Minnesota",013,43198,27
-666666666.0,"North Mankato city, Blue Earth County, Minnesota",013,47068,27
666.0,"Cambria township, Blue Earth County, Minnesota",013,09352,27
717.0,"Good Thunder city, Blue Earth County, Minnesota",013,24506,27
982.0,"Le Ray township, Blue Earth County, Minnesota",013,36584,27
1378.0,"Lime township, Blue Earth County, Minnesota",013,37052,27
700.0,"Lincoln township, Blue Earth County, Minnesota",013,37124,27
982.0,"McPherson township, Blue Earth County, Minnesota",013,39176,27
900.0,"Judson township, Blue Earth County, Minnesota",013,32210,27
1018.0,"Mankato township, Blue Earth County, Minnesota",013,39896,27
842.0,"Mapleton city, Blue Earth County, Minnesota",013,40310,27
886.0,"Mankato city, Blue Earth County, Minnesota",013,39878,27
1000.0,"Garden City township, Blue Earth County, Minnesota",013,23102,27
1181.0,"Decoria township, Blue Earth County, Minnesota",013,15130,27
725.0,"Brownsville township, Houston County, Minnesota",055,08236,27
650.0,"Jefferson township, Houston County, Minnesota",055,31814,27
634.0,"Spring Grove city, Houston County, Minnesota",055,61852,27
906.0,"Spring Grove township, Houston County, Minnesota",055,61870,27
991.0,"Caledonia township, Houston County, Minnesota",055,09244,27
1020.0,"Hokah township, Houston County, Minnesota",055,29528,27
788.0,"Houston city, Houston County, Minnesota",055,30230,27
911.0,"La Crescent township, Houston County, Minnesota",055,33884,27
972.0,"Wilmington township, Houston County, Minnesota",055,70564,27
913.0,"Winnebago township, Houston County, Minnesota",055,70960,27
950.0,"Black Hammer township, Houston County, Minnesota",055,06292,27
900.0,"Houston township, Houston County, Minnesota",055,30248,27
916.0,"Brownsville city, Houston County, Minnesota",055,08218,27
1000.0,"Crooked Creek township, Houston County, Minnesota",055,13816,27
831.0,"Money Creek township, Houston County, Minnesota",055,43648,27
650.0,"Morton city, Renville County, Minnesota",129,44368,27
544.0,"Sacred Heart city, Renville County, Minnesota",129,56572,27
860.0,"Sacred Heart township, Renville County, Minnesota",129,56590,27
531.0,"Fairfax city, Renville County, Minnesota",129,20222,27
625.0,"Flora township, Renville County, Minnesota",129,21374,27
625.0,"Hector township, Renville County, Minnesota",129,28142,27
950.0,"Kingman township, Renville County, Minnesota",129,33290,27
930.0,"Bird Island township, Renville County, Minnesota",129,06094,27
547.0,"Renville city, Renville County, Minnesota",129,53890,27
993.0,"Troy township, Renville County, Minnesota",129,65632,27
696.0,"Hawk Creek township, Renville County, Minnesota",129,27728,27
793.0,"Wellington township, Renville County, Minnesota",129,69088,27
880.0,"Osceola township, Renville County, Minnesota",129,48868,27
1125.0,"Boon Lake township, Renville County, Minnesota",129,06976,27
1566.0,"Afton city, Washington County, Minnesota",163,00316,27
1213.0,"Forest Lake city, Washington County, Minnesota",163,21770,27
1106.0,"Grey Cloud Island township, Washington County, Minnesota",163,25982,27
2308.0,"Baytown township, Washington County, Minnesota",163,04132,27
1466.0,"Cottage Grove city, Washington County, Minnesota",163,13456,27
1478.0,"Denmark township, Washington County, Minnesota",163,15688,27
1814.0,"May township, Washington County, Minnesota",163,41120,27
1284.0,"Stillwater city, Washington County, Minnesota",163,62824,27
1379.0,"Birchwood Village city, Washington County, Minnesota",163,06058,27
1336.0,"Lakeland Shores city, Washington County, Minnesota",163,34658,27
1258.0,"St. Marys Point city, Washington County, Minnesota",163,57292,27
1076.0,"Willernie city, Washington County, Minnesota",163,70366,27
1416.0,"Bayport city, Washington County, Minnesota",163,04114,27
1417.0,"Marine on St. Croix city, Washington County, Minnesota",163,40562,27
2133.0,"Dellwood city, Washington County, Minnesota",163,15616,27
1587.0,"Grant city, Washington County, Minnesota",163,25334,27
1450.0,"Hugo city, Washington County, Minnesota",163,30392,27
1574.0,"Lake Elmo city, Washington County, Minnesota",163,34244,27
1625.0,"Pine Springs city, Washington County, Minnesota",163,51316,27
1546.0,"Woodbury city, Washington County, Minnesota",163,71428,27
1041.0,"Newport city, Washington County, Minnesota",163,45790,27
1343.0,"Oak Park Heights city, Washington County, Minnesota",163,47914,27
638.0,"Highwater township, Cottonwood County, Minnesota",033,29060,27
600.0,"Westbrook township, Cottonwood County, Minnesota",033,69268,27
710.0,"Mountain Lake city, Cottonwood County, Minnesota",033,44566,27
600.0,"Storden township, Cottonwood County, Minnesota",033,63040,27
651.0,"Windom city, Cottonwood County, Minnesota",033,70798,27
642.0,"Mountain Lake township, Cottonwood County, Minnesota",033,44584,27
713.0,"Selma township, Cottonwood County, Minnesota",033,59224,27
700.0,"Southbrook township, Cottonwood County, Minnesota",033,61294,27
828.0,"Delton township, Cottonwood County, Minnesota",033,15652,27
990.0,"Rose Hill township, Cottonwood County, Minnesota",033,55672,27
491.0,"Storden city, Cottonwood County, Minnesota",033,63022,27
431.0,"Westbrook city, Cottonwood County, Minnesota",033,69250,27
942.0,"Comfrey city, Cottonwood County, Minnesota",033,12772,27
813.0,"Dale township, Cottonwood County, Minnesota",033,14608,27
1540.0,"Helena township, Scott County, Minnesota",139,28322,27
2069.0,"New Market township, Scott County, Minnesota",139,45754,27
1417.0,"Shakopee city, Scott County, Minnesota",139,59350,27
1429.0,"Belle Plaine township, Scott County, Minnesota",139,04852,27
1948.0,"Credit River township, Scott County, Minnesota",139,13726,27
2120.0,"Cedar Lake township, Scott County, Minnesota",139,10450,27
1626.0,"Savage city, Scott County, Minnesota",139,58738,27
1598.0,"Louisville township, Scott County, Minnesota",139,38294,27
1202.0,"Jordan city, Scott County, Minnesota",139,32174,27
1375.0,"Sand Creek township, Scott County, Minnesota",139,58324,27
1307.0,"Belle Plaine city, Scott County, Minnesota",139,04834,27
810.0,"Jackson township, Scott County, Minnesota",139,31580,27
713.0,"Hantho township, Lac qui Parle County, Minnesota",073,27044,27
862.0,"Camp Release township, Lac qui Parle County, Minnesota",073,09550,27
-666666666.0,"Freeland township, Lac qui Parle County, Minnesota",073,22616,27
607.0,"Madison township, Lac qui Parle County, Minnesota",073,39284,27
346.0,"Marietta city, Lac qui Parle County, Minnesota",073,40526,27
552.0,"Dawson city, Lac qui Parle County, Minnesota",073,14968,27
683.0,"Manfred township, Lac qui Parle County, Minnesota",073,39788,27
500.0,"Providence township, Lac qui Parle County, Minnesota",073,52702,27
535.0,"Walter township, Lac qui Parle County, Minnesota",073,67882,27
694.0,"Yellow Bank township, Lac qui Parle County, Minnesota",073,72058,27
388.0,"Louisburg city, Lac qui Parle County, Minnesota",073,38258,27
850.0,"Agassiz township, Lac qui Parle County, Minnesota",073,00352,27
563.0,"Cerro Gordo township, Lac qui Parle County, Minnesota",073,10774,27
625.0,"Lac qui Parle township, Lac qui Parle County, Minnesota",073,33848,27
425.0,"Perry township, Lac qui Parle County, Minnesota",073,50524,27
833.0,"Maxwell township, Lac qui Parle County, Minnesota",073,41084,27
663.0,"Mehurin township, Lac qui Parle County, Minnesota",073,41516,27
313.0,"Nassau city, Lac qui Parle County, Minnesota",073,45016,27
721.0,"Lake Shore township, Lac qui Parle County, Minnesota",073,34946,27
527.0,"Madison city, Lac qui Parle County, Minnesota",073,39266,27
625.0,"Ten Mile Lake township, Lac qui Parle County, Minnesota",073,64408,27
494.0,"Arena township, Lac qui Parle County, Minnesota",073,02062,27
868.0,"Dodge Center city, Dodge County, Minnesota",039,15994,27
1354.0,"Hayfield township, Dodge County, Minnesota",039,27890,27
1214.0,"Milton township, Dodge County, Minnesota",039,42380,27
1504.0,"Vernon township, Dodge County, Minnesota",039,66892,27
1283.0,"Westfield township, Dodge County, Minnesota",039,69448,27
-666666666.0,"Blooming Prairie city, Dodge County, Minnesota",039,06580,27
1107.0,"Claremont township, Dodge County, Minnesota",039,11584,27
1176.0,"Ashland township, Dodge County, Minnesota",039,02512,27
773.0,"Hayfield city, Dodge County, Minnesota",039,27872,27
733.0,"Ripley township, Dodge County, Minnesota",039,54502,27
1063.0,"Prairie Lake township, St. Louis County, Minnesota",137,52306,27
720.0,"Sand Lake UT, St. Louis County, Minnesota",137,58369,27
525.0,"Clinton township, St. Louis County, Minnesota",137,12016,27
529.0,"Colvin township, St. Louis County, Minnesota",137,12736,27
1157.0,"Hermantown city, St. Louis County, Minnesota",137,28682,27
572.0,"Mountain Iron city, St. Louis County, Minnesota",137,44548,27
705.0,"Stoney Brook township, St. Louis County, Minnesota",137,62968,27
773.0,"Balkan township, St. Louis County, Minnesota",137,03322,27
681.0,"Tower city, St. Louis County, Minnesota",137,65272,27
816.0,"French township, St. Louis County, Minnesota",137,22724,27
1336.0,"East Bethel city, Anoka County, Minnesota",003,17486,27
954.0,"Lexington city, Anoka County, Minnesota",003,36836,27
1446.0,"Oak Grove city, Anoka County, Minnesota",003,47690,27
1573.0,"Andover city, Anoka County, Minnesota",003,01486,27
966.0,"Anoka city, Anoka County, Minnesota",003,01720,27
1263.0,"Bethel city, Anoka County, Minnesota",003,05554,27
1450.0,"Ramsey city, Anoka County, Minnesota",003,53026,27
1313.0,"Linwood township, Anoka County, Minnesota",003,37376,27
1239.0,"Circle Pines city, Anoka County, Minnesota",003,11494,27
581.0,"Hilltop city, Anoka County, Minnesota",003,29258,27
1251.0,"St. Francis city, Anoka County, Minnesota",003,56950,27
1558.0,"Centerville city, Anoka County, Minnesota",003,10648,27
1147.0,"Coon Rapids city, Anoka County, Minnesota",003,13114,27
1566.0,"Lino Lakes city, Anoka County, Minnesota",003,37322,27
696.0,"Thompson township, Kittson County, Minnesota",069,64642,27
500.0,"Karlstad city, Kittson County, Minnesota",069,32444,27
458.0,"St. Joseph township, Kittson County, Minnesota",069,57112,27
-666666666.0,"Spring Brook township, Kittson County, Minnesota",069,61744,27
883.0,"Clow township, Kittson County, Minnesota",069,12340,27
758.0,"Pelan township, Kittson County, Minnesota",069,50074,27
441.0,"Davis township, Kittson County, Minnesota",069,14950,27
525.0,"Humboldt city, Kittson County, Minnesota",069,30446,27
494.0,"Lancaster city, Kittson County, Minnesota",069,35378,27
465.0,"Percy township, Kittson County, Minnesota",069,50452,27
700.0,"Skane township, Kittson County, Minnesota",069,60646,27
-666666666.0,"South Red River township, Kittson County, Minnesota",069,61456,27
-666666666.0,"Arveson township, Kittson County, Minnesota",069,02386,27
444.0,"Deerwood township, Kittson County, Minnesota",069,15382,27
615.0,"Hallock township, Kittson County, Minnesota",069,26594,27
488.0,"Hampden township, Kittson County, Minnesota",069,26846,27
506.0,"Kennedy city, Kittson County, Minnesota",069,32732,27
410.0,"Halma city, Kittson County, Minnesota",069,26612,27
-666666666.0,"Hill township, Kittson County, Minnesota",069,29078,27
560.0,"St. Vincent township, Kittson County, Minnesota",069,58162,27
700.0,"Svea township, Kittson County, Minnesota",069,63652,27
825.0,"Tegner township, Kittson County, Minnesota",069,64336,27
530.0,"Teien township, Kittson County, Minnesota",069,64354,27
1287.0,"Washington township, Le Sueur County, Minnesota",079,68350,27
787.0,"Waterville city, Le Sueur County, Minnesota",079,68584,27
687.0,"Kasota city, Le Sueur County, Minnesota",079,32462,27
959.0,"Cleveland city, Le Sueur County, Minnesota",079,11872,27
1199.0,"Elysian city, Le Sueur County, Minnesota",079,19160,27
1038.0,"Derrynane township, Le Sueur County, Minnesota",079,15760,27
1206.0,"Kasota township, Le Sueur County, Minnesota",079,32480,27
1074.0,"Tyrone township, Le Sueur County, Minnesota",079,66100,27
883.0,"Cordova township, Le Sueur County, Minnesota",079,13204,27
1042.0,"Elysian township, Le Sueur County, Minnesota",079,19178,27
1516.0,"Lanesburgh township, Le Sueur County, Minnesota",079,35468,27
810.0,"Montgomery city, Le Sueur County, Minnesota",079,43738,27
914.0,"Sharon township, Le Sueur County, Minnesota",079,59386,27
873.0,"Le Center city, Le Sueur County, Minnesota",079,36134,27
1016.0,"Spring Lake Park city, Anoka County, Minnesota",003,61996,27
1407.0,"Ham Lake city, Anoka County, Minnesota",003,26738,27
1034.0,"Columbia Heights city, Anoka County, Minnesota",003,12700,27
1272.0,"Blaine city, Anoka County, Minnesota",003,06382,27
955.0,"Fridley city, Anoka County, Minnesota",003,22814,27
1024.0,"Avon city, Stearns County, Minnesota",145,03070,27
777.0,"Freeport city, Stearns County, Minnesota",145,22652,27
850.0,"Kimball city, Stearns County, Minnesota",145,33164,27
1144.0,"Collegeville township, Stearns County, Minnesota",145,12592,27
716.0,"Greenwald city, Stearns County, Minnesota",145,25874,27
725.0,"Lake George township, Stearns County, Minnesota",145,34406,27
1082.0,"Maine Prairie township, Stearns County, Minnesota",145,39518,27
821.0,"Richmond city, Stearns County, Minnesota",145,54268,27
915.0,"St. Joseph township, Stearns County, Minnesota",145,57148,27
900.0,"Ashley township, Stearns County, Minnesota",145,02530,27
1083.0,"Fair Haven township, Stearns County, Minnesota",145,20294,27
998.0,"Le Sauk township, Stearns County, Minnesota",145,36656,27
868.0,"Melrose city, Stearns County, Minnesota",145,41570,27
1240.0,"Oak township, Stearns County, Minnesota",145,47644,27
1292.0,"St. Rosa city, Stearns County, Minnesota",145,58072,27
1100.0,"Wakefield township, Stearns County, Minnesota",145,67630,27
1274.0,"Farming township, Stearns County, Minnesota",145,20600,27
1030.0,"Grove township, Stearns County, Minnesota",145,26090,27
927.0,"Krain township, Stearns County, Minnesota",145,33722,27
1001.0,"St. Wendel township, Stearns County, Minnesota",145,58198,27
967.0,"New Munich city, Stearns County, Minnesota",145,45772,27
679.0,"North Fork township, Stearns County, Minnesota",145,46960,27
654.0,"Paynesville city, Stearns County, Minnesota",145,49966,27
860.0,"St. Anthony city, Stearns County, Minnesota",145,56698,27
914.0,"Spring Hill township, Stearns County, Minnesota",145,61906,27
771.0,"Avon township, Stearns County, Minnesota",145,03088,27
927.0,"Crow Lake township, Stearns County, Minnesota",145,14032,27
740.0,"Crow River township, Stearns County, Minnesota",145,14086,27
680.0,"Holdingford city, Stearns County, Minnesota",145,29582,27
-666666666.0,"Mankato city, Le Sueur County, Minnesota",079,39878,27
1160.0,"Waterville township, Le Sueur County, Minnesota",079,68602,27
1316.0,"Cleveland township, Le Sueur County, Minnesota",079,11890,27
837.0,"Le Sueur city, Le Sueur County, Minnesota",079,36746,27
1443.0,"Lexington township, Le Sueur County, Minnesota",079,36872,27
1228.0,"Montgomery township, Le Sueur County, Minnesota",079,43756,27
1366.0,"Kilkenny township, Le Sueur County, Minnesota",079,33128,27
1118.0,"Ottawa township, Le Sueur County, Minnesota",079,49174,27
