B25105_001E,name,county,county subdivision,state
288.0,"Shiprock-Sanostee CCD, San Juan County, New Mexico",045,92970,35
705.0,"Bloomfield CCD, San Juan County, New Mexico",045,90360,35
834.0,"Farmington CCD, San Juan County, New Mexico",045,91290,35
215.0,"Naschitti CCD, San Juan County, New Mexico",045,92160,35
745.0,"Aztec CCD, San Juan County, New Mexico",045,90180,35
508.0,"San Jon CCD, Quay County, New Mexico",037,92730,35
424.0,"Tucumcari CCD, Quay County, New Mexico",037,93540,35
625.0,"Hondo CCD, Lincoln County, New Mexico",027,91500,35
393.0,"Logan-Nara Visa CCD, Quay County, New Mexico",037,91830,35
421.0,"House-Forrest CCD, Quay County, New Mexico",037,91530,35
463.0,"Corona CCD, Lincoln County, New Mexico",027,90780,35
411.0,"Carrizozo CCD, Lincoln County, New Mexico",027,90510,35
711.0,"Capitan CCD, Lincoln County, New Mexico",027,90450,35
720.0,"Ruidoso CCD, Lincoln County, New Mexico",027,92700,35
484.0,"Hagerman CCD, Chaves County, New Mexico",005,91410,35
844.0,"Northwest Chaves CCD, Chaves County, New Mexico",005,92280,35
572.0,"Southwest Chaves CCD, Chaves County, New Mexico",005,93240,35
634.0,"Dexter CCD, Chaves County, New Mexico",005,90960,35
563.0,"Southeast Chaves CCD, Chaves County, New Mexico",005,93090,35
667.0,"Roswell CCD, Chaves County, New Mexico",005,92670,35
-666666666.0,"Northeast Chaves CCD, Chaves County, New Mexico",005,92190,35
583.0,"Lovington CCD, Lea County, New Mexico",025,91950,35
504.0,"Jal CCD, Lea County, New Mexico",025,91620,35
750.0,"Hobbs CCD, Lea County, New Mexico",025,91470,35
440.0,"Eunice CCD, Lea County, New Mexico",025,91230,35
390.0,"Tatum CCD, Lea County, New Mexico",025,93360,35
1155.0,"Santa Fe South CCD, Santa Fe County, New Mexico",049,92880,35
1024.0,"Santa Fe CCD, Santa Fe County, New Mexico",049,92820,35
673.0,"Santa Fe North CCD, Santa Fe County, New Mexico",049,92850,35
497.0,"Clayton North CCD, Union County, New Mexico",059,90660,35
538.0,"Clayton South CCD, Union County, New Mexico",059,90690,35
436.0,"Truth or Consequences West CCD, Sierra County, New Mexico",051,93510,35
440.0,"Truth or Consequences East CCD, Sierra County, New Mexico",051,93480,35
273.0,"Magdalena CCD, Socorro County, New Mexico",053,91980,35
-666666666.0,"Claunch CCD, Socorro County, New Mexico",053,90630,35
707.0,"Portales CCD, Roosevelt County, New Mexico",041,92430,35
433.0,"Elida CCD, Roosevelt County, New Mexico",041,91140,35
450.0,"Dora CCD, Roosevelt County, New Mexico",041,91080,35
1014.0,"Los Alamos CCD, Los Alamos County, New Mexico",028,91860,35
1357.0,"White Rock CCD, Los Alamos County, New Mexico",028,93810,35
336.0,"Dixon CCD, Rio Arriba County, New Mexico",039,91020,35
413.0,"Rio Chama CCD, Rio Arriba County, New Mexico",039,92610,35
315.0,"Coyote CCD, Rio Arriba County, New Mexico",039,90810,35
549.0,"Tierra Amarilla CCD, Rio Arriba County, New Mexico",039,93390,35
-666666666.0,"Conchas Dam CCD, San Miguel County, New Mexico",047,90750,35
391.0,"Villanueva CCD, San Miguel County, New Mexico",047,93690,35
555.0,"South Rio Arriba CCD, Rio Arriba County, New Mexico",039,93210,35
334.0,"Chimayo CCD, Rio Arriba County, New Mexico",039,90570,35
514.0,"Pecos CCD, San Miguel County, New Mexico",047,92310,35
539.0,"Santa Clara Pueblo CCD, Rio Arriba County, New Mexico",039,92790,35
537.0,"Las Vegas CCD, San Miguel County, New Mexico",047,91770,35
99.0,"Trementina CCD, San Miguel County, New Mexico",047,93420,35
697.0,"Belen CCD, Valencia County, New Mexico",061,90240,35
795.0,"Los Lunas CCD, Valencia County, New Mexico",061,91890,35
550.0,"Mountainair-Encino CCD, Torrance County, New Mexico",057,92135,35
660.0,"Estancia CCD, Torrance County, New Mexico",057,91200,35
510.0,"Grants CCD, Cibola County, New Mexico",006,91380,35
281.0,"Zuni-Ramah Navajo CCD, Cibola County, New Mexico",006,93900,35
-666666666.0,"Fence Lake CCD, Cibola County, New Mexico",006,91320,35
225.0,"Laguna CCD, Cibola County, New Mexico",006,91710,35
464.0,"Vaughn CCD, Guadalupe County, New Mexico",019,93660,35
228.0,"Dilia CCD, Guadalupe County, New Mexico",019,90990,35
466.0,"East De Baca CCD, De Baca County, New Mexico",011,91110,35
296.0,"West De Baca CCD, De Baca County, New Mexico",011,93750,35
434.0,"Santa Rosa CCD, Guadalupe County, New Mexico",019,92910,35
350.0,"Reserve CCD, Catron County, New Mexico",003,92580,35
338.0,"Quemado CCD, Catron County, New Mexico",003,92460,35
477.0,"North Hidalgo CCD, Hidalgo County, New Mexico",023,92250,35
327.0,"South Hidalgo CCD, Hidalgo County, New Mexico",023,93180,35
385.0,"Deming North CCD, Luna County, New Mexico",029,90900,35
243.0,"Red Rock CCD, McKinley County, New Mexico",031,92535,35
298.0,"Crownpoint CCD, McKinley County, New Mexico",031,90840,35
448.0,"Deming South CCD, Luna County, New Mexico",029,90930,35
685.0,"Gallup CCD, McKinley County, New Mexico",031,91350,35
264.0,"Zuni CCD, McKinley County, New Mexico",031,93870,35
333.0,"Cuba CCD, Sandoval County, New Mexico",043,90870,35
-666666666.0,"Tres Piedras CCD, Taos County, New Mexico",055,93450,35
563.0,"Questa CCD, Taos County, New Mexico",055,92490,35
641.0,"Taos CCD, Taos County, New Mexico",055,93300,35
326.0,"Taos Pueblo CCD, Taos County, New Mexico",055,93330,35
587.0,"Arroyo Hondo CCD, Taos County, New Mexico",055,90120,35
386.0,"Picuris CCD, Taos County, New Mexico",055,92370,35
624.0,"Pinos Altos CCD, Grant County, New Mexico",017,92400,35
