B25105_001E,name,county,county subdivision,state
450.0,"Stilwell East CCD, Adair County, Oklahoma",001,93250,40
559.0,"Westville CCD, Adair County, Oklahoma",001,93796,40
495.0,"Watts CCD, Adair County, Oklahoma",001,93588,40
476.0,"Stilwell West CCD, Adair County, Oklahoma",001,93263,40
518.0,"Konawa CCD, Seminole County, Oklahoma",133,91612,40
440.0,"Seminole South CCD, Seminole County, Oklahoma",133,92795,40
465.0,"Wewoka CCD, Seminole County, Oklahoma",133,93835,40
572.0,"Seminole North CCD, Seminole County, Oklahoma",133,92782,40
524.0,"Velma-Alma CCD, Stephens County, Oklahoma",137,93432,40
639.0,"Marlow CCD, Stephens County, Oklahoma",137,91781,40
536.0,"Comanche CCD, Stephens County, Oklahoma",137,90650,40
675.0,"Duncan CCD, Stephens County, Oklahoma",137,90780,40
434.0,"Keyes CCD, Cimarron County, Oklahoma",025,91560,40
452.0,"Boise City CCD, Cimarron County, Oklahoma",025,90286,40
500.0,"Watonga CCD, Blaine County, Oklahoma",011,93575,40
399.0,"Canton CCD, Blaine County, Oklahoma",011,90416,40
496.0,"Geary CCD, Blaine County, Oklahoma",011,91170,40
498.0,"Okeene CCD, Blaine County, Oklahoma",011,92392,40
704.0,"Ardmore CCD, Carter County, Oklahoma",019,90156,40
552.0,"Wilson CCD, Carter County, Oklahoma",019,93861,40
616.0,"Ardmore North CCD, Carter County, Oklahoma",019,90169,40
496.0,"Healdton North CCD, Carter County, Oklahoma",019,91287,40
447.0,"Healdton Central CCD, Carter County, Oklahoma",019,91274,40
502.0,"West Coal CCD, Coal County, Oklahoma",029,93705,40
490.0,"East Coal CCD, Coal County, Oklahoma",029,90871,40
438.0,"Lamont CCD, Grant County, Oklahoma",053,91625,40
579.0,"Medford CCD, Grant County, Oklahoma",053,91820,40
365.0,"Wakita CCD, Grant County, Oklahoma",053,93510,40
536.0,"Southwest Grant CCD, Grant County, Oklahoma",053,93159,40
514.0,"Northwest Greer CCD, Greer County, Oklahoma",055,92275,40
431.0,"Mangum CCD, Greer County, Oklahoma",055,91768,40
483.0,"Granite CCD, Greer County, Oklahoma",055,91196,40
