B25105_001E,name,county,county subdivision,state
555.0,"Mitchell CCD, Wheeler County, Oregon",069,91938,41
750.0,"Ione-Lexington CCD, Morrow County, Oregon",049,91411,41
765.0,"Boardman CCD, Morrow County, Oregon",049,90323,41
812.0,"Heppner CCD, Morrow County, Oregon",049,91309,41
919.0,"Seaside CCD, Clatsop County, Oregon",007,92839,41
976.0,"Astoria CCD, Clatsop County, Oregon",007,90153,41
658.0,"Knappa-Brownsmead CCD, Clatsop County, Oregon",007,91598,41
1063.0,"Jewell CCD, Clatsop County, Oregon",007,91445,41
413.0,"Powers CCD, Coos County, Oregon",011,92567,41
693.0,"Bandon CCD, Coos County, Oregon",011,90221,41
583.0,"Myrtle Point CCD, Coos County, Oregon",011,92074,41
811.0,"Coos Bay CCD, Coos County, Oregon",011,90629,41
895.0,"Eastside CCD, Coos County, Oregon",011,91003,41
720.0,"Coquille CCD, Coos County, Oregon",011,90646,41
590.0,"North Bayside CCD, Coos County, Oregon",011,92159,41
729.0,"Port Orford CCD, Curry County, Oregon",015,92533,41
-666666666.0,"Agness CCD, Curry County, Oregon",015,90051,41
921.0,"Brookings CCD, Curry County, Oregon",015,90357,41
736.0,"Gold Beach CCD, Curry County, Oregon",015,91207,41
609.0,"Harbor CCD, Curry County, Oregon",015,91275,41
559.0,"Condon CCD, Gilliam County, Oregon",021,90612,41
844.0,"Arlington CCD, Gilliam County, Oregon",021,90102,41
819.0,"Parkdale CCD, Hood River County, Oregon",027,92431,41
942.0,"Odell CCD, Hood River County, Oregon",027,92380,41
981.0,"Dee CCD, Hood River County, Oregon",027,90850,41
788.0,"Cascade Locks CCD, Hood River County, Oregon",027,90476,41
1151.0,"Hood River CCD, Hood River County, Oregon",027,91343,41
599.0,"Silver Lake-Fort Rock CCD, Lake County, Oregon",037,92924,41
417.0,"Warner Valley CCD, Lake County, Oregon",037,93417,41
431.0,"Summer Lake CCD, Lake County, Oregon",037,93145,41
680.0,"Lakeview CCD, Lake County, Oregon",037,91632,41
1468.0,"Corbett CCD, Multnomah County, Oregon",051,90663,41
1142.0,"Skyline CCD, Multnomah County, Oregon",051,92975,41
823.0,"Cove CCD, Union County, Oregon",061,90714,41
-666666666.0,"Starkey CCD, Union County, Oregon",061,93111,41
656.0,"Elgin CCD, Union County, Oregon",061,91037,41
753.0,"La Grande CCD, Union County, Oregon",061,91615,41
758.0,"Union CCD, Union County, Oregon",061,93281,41
712.0,"Yonna Valley-Poe Valley CCD, Klamath County, Oregon",035,93594,41
821.0,"East Marion CCD, Marion County, Oregon",047,90994,41
1623.0,"Beavercreek CCD, Clackamas County, Oregon",005,90272,41
1168.0,"Chehalem Mountains CCD, Washington County, Oregon",067,90510,41
690.0,"Langell Valley CCD, Klamath County, Oregon",035,91651,41
1454.0,"Rockcreek CCD, Washington County, Oregon",067,92678,41
693.0,"Wingville-Haines CCD, Baker County, Oregon",001,93555,41
961.0,"McKenzie River CCD, Lane County, Oregon",039,91719,41
637.0,"Middle Siuslaw River-Triangle Lake CCD, Lane County, Oregon",039,91889,41
731.0,"Florence CCD, Lane County, Oregon",039,91147,41
746.0,"Dunes City CCD, Lane County, Oregon",039,90943,41
773.0,"Hermiston-Umatilla CCD, Umatilla County, Oregon",059,91334,41
994.0,"Upper Siuslaw River CCD, Lane County, Oregon",039,93300,41
807.0,"Prineville CCD, Crook County, Oregon",013,92592,41
894.0,"Newport CCD, Lincoln County, Oregon",041,92133,41
870.0,"Lincoln City CCD, Lincoln County, Oregon",041,91674,41
653.0,"Milton-Freewater CCD, Umatilla County, Oregon",059,91929,41
797.0,"Umatilla Reservation CCD, Umatilla County, Oregon",059,93270,41
1262.0,"Portland East CCD, Multnomah County, Oregon",051,92518,41
1473.0,"Portland West CCD, Multnomah County, Oregon",051,92520,41
1152.0,"Gresham CCD, Multnomah County, Oregon",051,91249,41
-666666666.0,"West Bench CCD, Malheur County, Oregon",045,93442,41
848.0,"Sutherlin CCD, Douglas County, Oregon",019,93153,41
867.0,"Tillamook CCD, Tillamook County, Oregon",057,93213,41
756.0,"Neskowin CCD, Tillamook County, Oregon",057,92108,41
851.0,"Nehalem CCD, Tillamook County, Oregon",057,92091,41
1379.0,"Carlton CCD, Yamhill County, Oregon",071,90459,41
1123.0,"Dayton-Amity CCD, Yamhill County, Oregon",071,90816,41
1000.0,"McMinnville CCD, Yamhill County, Oregon",071,91734,41
975.0,"Sheridan CCD, Yamhill County, Oregon",071,92890,41
1338.0,"Newberg CCD, Yamhill County, Oregon",071,92125,41
754.0,"Hereford CCD, Baker County, Oregon",001,91326,41
571.0,"Halfway CCD, Baker County, Oregon",001,91258,41
534.0,"Eagle Valley CCD, Baker County, Oregon",001,90969,41
539.0,"Huntington CCD, Baker County, Oregon",001,91377,41
681.0,"Baker City CCD, Baker County, Oregon",001,90204,41
845.0,"Williams CCD, Josephine County, Oregon",033,93519,41
679.0,"Cave Junction CCD, Josephine County, Oregon",033,90493,41
910.0,"Grants Pass CCD, Josephine County, Oregon",033,91241,41
776.0,"Northwest Josephine CCD, Josephine County, Oregon",033,92295,41
722.0,"Wilderville CCD, Josephine County, Oregon",033,93485,41
529.0,"Chiloquin CCD, Klamath County, Oregon",035,90527,41
769.0,"Klamath Falls CCD, Klamath County, Oregon",035,91581,41
688.0,"Merrill CCD, Klamath County, Oregon",035,91870,41
687.0,"Malin CCD, Klamath County, Oregon",035,91785,41
749.0,"Keno CCD, Klamath County, Oregon",035,91564,41
763.0,"Crescent Lake CCD, Klamath County, Oregon",035,90731,41
800.0,"Pendleton CCD, Umatilla County, Oregon",059,92448,41
704.0,"Pilot Rock CCD, Umatilla County, Oregon",059,92465,41
675.0,"Umapine CCD, Umatilla County, Oregon",059,93264,41
683.0,"Weston CCD, Umatilla County, Oregon",059,93451,41
790.0,"Athena CCD, Umatilla County, Oregon",059,90170,41
750.0,"Siletz CCD, Lincoln County, Oregon",041,92907,41
871.0,"Toledo CCD, Lincoln County, Oregon",041,93230,41
804.0,"Waldport CCD, Lincoln County, Oregon",041,93349,41
478.0,"Eddyville CCD, Lincoln County, Oregon",041,91020,41
861.0,"Depoe Bay CCD, Lincoln County, Oregon",041,90884,41
1355.0,"North Albany CCD, Benton County, Oregon",003,92142,41
827.0,"Southwest Benton CCD, Benton County, Oregon",003,93077,41
1005.0,"Corvallis CCD, Benton County, Oregon",003,90680,41
829.0,"Southeast Benton CCD, Benton County, Oregon",003,93009,41
1019.0,"North Benton CCD, Benton County, Oregon",003,92176,41
968.0,"Goble CCD, Columbia County, Oregon",009,91190,41
1062.0,"St. Helens CCD, Columbia County, Oregon",009,92703,41
807.0,"Clatskanie CCD, Columbia County, Oregon",009,90544,41
747.0,"Rainier CCD, Columbia County, Oregon",009,92601,41
1062.0,"Scappoose CCD, Columbia County, Oregon",009,92805,41
1149.0,"Vernonia CCD, Columbia County, Oregon",009,93332,41
1231.0,"Powell Butte CCD, Crook County, Oregon",013,92550,41
811.0,"Crooked River CCD, Crook County, Oregon",013,90765,41
690.0,"Moro CCD, Sherman County, Oregon",055,91989,41
632.0,"Wasco CCD, Sherman County, Oregon",055,93434,41
824.0,"Dufur CCD, Wasco County, Oregon",065,90935,41
636.0,"Antelope CCD, Wasco County, Oregon",065,90085,41
871.0,"The Dalles CCD, Wasco County, Oregon",065,93196,41
505.0,"Warm Springs CCD, Wasco County, Oregon",065,93400,41
655.0,"Drewsey CCD, Harney County, Oregon",025,90918,41
556.0,"Burns CCD, Harney County, Oregon",025,90391,41
633.0,"Diamond CCD, Harney County, Oregon",025,90901,41
874.0,"Lowell CCD, Lane County, Oregon",039,91700,41
675.0,"Oakridge CCD, Lane County, Oregon",039,92346,41
842.0,"Pleasant Hill CCD, Lane County, Oregon",039,92482,41
1060.0,"Badger Mountain CCD, Lane County, Oregon",039,90187,41
995.0,"Marcola CCD, Lane County, Oregon",039,91802,41
917.0,"Cottage Grove CCD, Lane County, Oregon",039,90697,41
1116.0,"Creswell CCD, Lane County, Oregon",039,90748,41
1013.0,"Eugene-Springfield CCD, Lane County, Oregon",039,91105,41
984.0,"Coburg CCD, Lane County, Oregon",039,90578,41
980.0,"Junction City CCD, Lane County, Oregon",039,91513,41
357.0,"Jordan Valley CCD, Malheur County, Oregon",045,91479,41
810.0,"Owyhee CCD, Malheur County, Oregon",045,92414,41
573.0,"Dead Ox Flat CCD, Malheur County, Oregon",045,90833,41
749.0,"Nyssa CCD, Malheur County, Oregon",045,92329,41
696.0,"Vale CCD, Malheur County, Oregon",045,93315,41
655.0,"Adrian CCD, Malheur County, Oregon",045,90017,41
1018.0,"Brogan CCD, Malheur County, Oregon",045,90340,41
697.0,"Ontario CCD, Malheur County, Oregon",045,92397,41
622.0,"Malheur Junction CCD, Malheur County, Oregon",045,91768,41
375.0,"Juntura CCD, Malheur County, Oregon",045,91530,41
664.0,"Imnaha CCD, Wallowa County, Oregon",063,91394,41
685.0,"Wallowa CCD, Wallowa County, Oregon",063,93366,41
749.0,"Joseph CCD, Wallowa County, Oregon",063,91496,41
694.0,"Enterprise CCD, Wallowa County, Oregon",063,91071,41
249.0,"Flora CCD, Wallowa County, Oregon",063,91139,41
1362.0,"Beaverton-Hillsboro CCD, Washington County, Oregon",067,90289,41
1475.0,"Coast Range CCD, Washington County, Oregon",067,90561,41
1134.0,"North Plains CCD, Washington County, Oregon",067,92210,41
1154.0,"Forest Grove-Cornelius CCD, Washington County, Oregon",067,91156,41
590.0,"Fossil CCD, Wheeler County, Oregon",069,91173,41
966.0,"Salem CCD, Marion County, Oregon",047,92737,41
1050.0,"Stayton CCD, Marion County, Oregon",047,93128,41
998.0,"Woodburn CCD, Marion County, Oregon",047,93570,41
1046.0,"Jefferson CCD, Marion County, Oregon",047,91428,41
1296.0,"St. Paul CCD, Marion County, Oregon",047,92720,41
830.0,"Mount Angel CCD, Marion County, Oregon",047,92006,41
1083.0,"Silverton CCD, Marion County, Oregon",047,92941,41
1112.0,"Hubbard CCD, Marion County, Oregon",047,91360,41
1015.0,"Ashland CCD, Jackson County, Oregon",029,90119,41
834.0,"Butte Falls-Prospect CCD, Jackson County, Oregon",029,90408,41
977.0,"Medford CCD, Jackson County, Oregon",029,91836,41
997.0,"Sams Valley CCD, Jackson County, Oregon",029,92771,41
898.0,"Southwest Jackson CCD, Jackson County, Oregon",029,93094,41
1140.0,"Eagle Point CCD, Jackson County, Oregon",029,90952,41
1338.0,"Southeast Jackson CCD, Jackson County, Oregon",029,93026,41
811.0,"Northwest Jackson CCD, Jackson County, Oregon",029,92278,41
877.0,"Shady Cove CCD, Jackson County, Oregon",029,92873,41
675.0,"Elkton-Drain CCD, Douglas County, Oregon",019,91054,41
697.0,"North Umpqua CCD, Douglas County, Oregon",019,92244,41
589.0,"Reedsport CCD, Douglas County, Oregon",019,92652,41
772.0,"South Umpqua CCD, Douglas County, Oregon",019,93060,41
1043.0,"Melrose CCD, Douglas County, Oregon",019,91853,41
590.0,"Kellogg-Yoncalla CCD, Douglas County, Oregon",019,91547,41
739.0,"Myrtle Creek-Riddle CCD, Douglas County, Oregon",019,92057,41
768.0,"Tenmile CCD, Douglas County, Oregon",019,93179,41
821.0,"Roseburg CCD, Douglas County, Oregon",019,92686,41
581.0,"John Day CCD, Grant County, Oregon",023,91462,41
633.0,"Prairie City CCD, Grant County, Oregon",023,92584,41
572.0,"Long Creek CCD, Grant County, Oregon",023,91683,41
334.0,"Seneca CCD, Grant County, Oregon",023,92856,41
422.0,"Warm Springs CCD, Jefferson County, Oregon",031,93383,41
1025.0,"Culver CCD, Jefferson County, Oregon",031,90782,41
851.0,"Madras CCD, Jefferson County, Oregon",031,91751,41
714.0,"Ashwood CCD, Jefferson County, Oregon",031,90136,41
950.0,"Grandview CCD, Jefferson County, Oregon",031,91224,41
1164.0,"Salem CCD, Polk County, Oregon",053,92754,41
889.0,"Dallas CCD, Polk County, Oregon",053,90799,41
1104.0,"Falls City CCD, Polk County, Oregon",053,91122,41
924.0,"Willamina CCD, Polk County, Oregon",053,93502,41
1001.0,"Monmouth-Independence CCD, Polk County, Oregon",053,91972,41
1328.0,"Wilsonville CCD, Clackamas County, Oregon",005,93536,41
1314.0,"Sandy CCD, Clackamas County, Oregon",005,92788,41
1032.0,"Yoder CCD, Clackamas County, Oregon",005,93587,41
1279.0,"Estacada CCD, Clackamas County, Oregon",005,91088,41
1336.0,"Mulino CCD, Clackamas County, Oregon",005,92040,41
1462.0,"Redland CCD, Clackamas County, Oregon",005,92618,41
1398.0,"Northwest Clackamas CCD, Clackamas County, Oregon",005,92261,41
1194.0,"Canby CCD, Clackamas County, Oregon",005,90442,41
1190.0,"Colton CCD, Clackamas County, Oregon",005,90595,41
1276.0,"Molalla CCD, Clackamas County, Oregon",005,91955,41
1281.0,"Mount Hood CCD, Clackamas County, Oregon",005,92023,41
1201.0,"Bend CCD, Deschutes County, Oregon",017,90306,41
1252.0,"Tumalo CCD, Deschutes County, Oregon",017,93247,41
1049.0,"Redmond CCD, Deschutes County, Oregon",017,92635,41
1089.0,"Sisters-Millican CCD, Deschutes County, Oregon",017,92958,41
